planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Ang Mo Kio,Ang Mo Kio Town Centre,education,20,4.865,948,97.3
Ang Mo Kio,Ang Mo Kio Town Centre,transport,20,4.165,17402,83.3
Ang Mo Kio,Ang Mo Kio Town Centre,food,20,4.12,26154,82.4
Ang Mo Kio,Ang Mo Kio Town Centre,shopping,20,4.05,79014,81.0
Ang Mo Kio,Ang Mo Kio Town Centre,recreation,20,4.437,7774,88.74
Ang Mo Kio,Ang Mo Kio Town Centre,nature,19,4.516,30605,90.32
Ang Mo Kio,Cheng San,education,20,4.768,3860,95.36
Ang Mo Kio,Cheng San,transport,20,3.75,1520,75.0
Ang Mo Kio,Cheng San,food,20,4.095,61434,81.9
Ang Mo Kio,Cheng San,shopping,20,4.145,82518,82.9
Ang Mo Kio,Cheng San,recreation,20,4.355,8506,87.1
Ang Mo Kio,Cheng San,nature,20,4.49,23519,89.8
Ang Mo Kio,Chong Boon,education,20,4.87,849,97.4
Ang Mo Kio,Chong Boon,transport,20,4.25,2119,85.0
Ang Mo Kio,Chong Boon,food,20,4.055,22956,81.1
Ang Mo Kio,Chong Boon,shopping,20,4.075,67083,81.5
Ang Mo Kio,Chong Boon,recreation,20,4.216,6845,84.32
Ang Mo Kio,Chong Boon,nature,20,4.425,32317,88.5
Ang Mo Kio,Kebun Bahru,education,20,4.825,729,96.5
Ang Mo Kio,Kebun Bahru,transport,20,4.24,3026,84.8
Ang Mo Kio,Kebun Bahru,food,20,4.11,86516,82.2
Ang Mo Kio,Kebun Bahru,shopping,20,4.12,73157,82.4
Ang Mo Kio,Kebun Bahru,recreation,20,4.335,6705,86.7
Ang Mo Kio,Kebun Bahru,nature,20,4.5,44518,90.0
Ang Mo Kio,Sembawang Hills,education,20,4.79,851,95.8
Ang Mo Kio,Sembawang Hills,transport,20,4.02,309,80.4
Ang Mo Kio,Sembawang Hills,food,1,3.9,2392,78.0
Ang Mo Kio,Sembawang Hills,shopping,20,4.13,89235,82.6
Ang Mo Kio,Sembawang Hills,recreation,20,4.335,5458,86.7
Ang Mo Kio,Sembawang Hills,nature,20,4.475,21449,89.5
