planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Ang Mo Kio,Ang Mo Kio Town Centre,education,10,4.9,5,0,1,1,2,0,0,0,2,0,0,0,"My P1 daughter loves EduFirst- especially Teacher Precia and Teacher Yanxin who have been so kind, loving and patient with her. She has benefitted tremendously not just from their ... || I attended Mandarin classes at EduFirst AMC for a year. My teacher, Precia, was wonderful, and I liked her teaching style. She is incredibly kind, patient, and always encouraging. ... || I am very grateful to the EduFirst for helping my child pass the AEIS exam and get into a local school now (Yew Tee Primary). Now, I am getting my younger son back at EduFirst to p...",5,0,2,0,2,0
Ang Mo Kio,Ang Mo Kio Town Centre,transport,10,4.4,0,0,0,2,4,0,0,1,7,0,0,0,"AMK Hub is one of the most convenient and practical malls in Ang Mo Kio. The location is excellent, as it is directly connected to Ang Mo Kio MRT station and the bus interchange, m... || AMK Hub is a really convenient neighbourhood mall, especially since it’s directly connected to Ang Mo Kio MRT and the bus interchange. It’s super easy to get to, which makes it a p... || A good, classic neighbourhood mall with food options that leave you spoilt for choice. A rectangular-shaped mall with basements mostly eateries, Level 1 & 2 mostly shops, and Level...",0,-2,4,-1,7,0
Ang Mo Kio,Ang Mo Kio Town Centre,food,10,4.6,0,0,1,4,1,0,0,0,2,0,2,1,"Vegetarian hor fun was nice! Generous portion with a lot of ingredients (veggies and mock meats) at only $5 || This is my offday favourite lunch place. All the way from Bedok to here for these 2 foods. This boneless chicken rice honestly is the best. Fragrance rice, thick and juicy chicken,... || A medium sized hawker centre which is clean, spacious and well ventilated. There is always a long queue at the roast meat stall. Tried their assorted roast meat set for one person ...",0,-3,1,0,2,1
Ang Mo Kio,Ang Mo Kio Town Centre,shopping,10,4.2,0,0,0,3,3,0,0,1,7,0,0,0,"AMK Hub is one of the most convenient and practical malls in Ang Mo Kio. The location is excellent, as it is directly connected to Ang Mo Kio MRT station and the bus interchange, m... || AMK Hub is a really convenient neighbourhood mall, especially since it’s directly connected to Ang Mo Kio MRT and the bus interchange. It’s super easy to get to, which makes it a p... || A good, classic neighbourhood mall with food options that leave you spoilt for choice. A rectangular-shaped mall with basements mostly eateries, Level 1 & 2 mostly shops, and Level...",0,-3,3,-1,7,0
Ang Mo Kio,Ang Mo Kio Town Centre,recreation,10,4.7,0,0,1,1,3,1,0,0,2,0,0,0,"I've been a member of Fitness First AMK branch for a while now, and I must say, it's been a game-changer! The staff are incredibly friendly and always go above and beyond to accomm... || Happy to work out at this gym! The receptionists and staff are super friendly and always ready to help. The equipment layout is nice and easy to use, not messy at all. There are al... || Fully equipped gym in a convenient location. Right in the heart of AMK Hub. Free weights and various weight machines for different fitness levels with different training areas. Man...",0,0,2,0,2,0
Ang Mo Kio,Ang Mo Kio Town Centre,nature,10,4.8,8,0,2,2,1,0,0,0,0,0,0,0,"Woodlands Waterfront Park is a relaxing and scenic park located in the northern part of Singapore. It faces the Straits of Johor, so visitors can actually see Malaysia across the w... || This seaside park has an interesting history. The jetty, which is the centerpiece of the park, was a mooring location for the Malayan/Malaysian Navy when Singapore was still within... || It's a beautiful place we can see Singapore and Malaysia at that same time. When I went it's full rainy and I took photoshoot there. We want to spend peace area I will suggest The ...",8,0,1,0,0,0
Ang Mo Kio,Cheng San,education,10,3.6,0,0,0,2,0,0,0,0,0,0,3,0,"A lively neighbourhood wet market & hawker centre in Ang Mo Kio serving the surrounding HDB estates. The market sells fresh seafood, meat, vegetables & other daily ingredients, whi... || This Lor Mee standard dropped le. After 3 minutes, the gravy turned watery. The taste is different now. I have always been patronising this stall. Will try the laksa again, when I ... || Nice variety of affordable hawker food. My fav here is the teochew porridge. Steam fish, the authentic teochew fishcake, fried anchovies are my top faves. There's a good range of o...",0,-2,0,0,0,3
Ang Mo Kio,Cheng San,transport,10,4.6,1,0,0,2,2,0,0,0,5,0,0,0,"Located at Ang Mo Kio Avenue 3 near the junction of Ang Mo Kio Avenue 8 and Ang Mo Kio Street 42, this MRT station will be on the first phase of the Cross Island MRT Line (CRL) and... || Would like to compliment the 4 staff at AMK station ( on 15 February around 930pm) who promptly helped a lady who sat the floor, feeling breathless and wanted to vomit. They brough... || MRT with connections! Next to Ang Mo Kio Hub Jubilee Square Djitsun Mall Fairprice Boardway Plaza with plenty of local delights and Western food shopping banking supermarkets groce...",1,-2,2,0,5,0
Ang Mo Kio,Cheng San,food,10,4.7,0,3,0,6,0,0,0,0,1,0,2,1,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-3,-6,0,0,1,1
Ang Mo Kio,Cheng San,shopping,10,4.2,0,0,0,3,3,0,0,1,7,0,0,0,"AMK Hub is one of the most convenient and practical malls in Ang Mo Kio. The location is excellent, as it is directly connected to Ang Mo Kio MRT station and the bus interchange, m... || AMK Hub is a really convenient neighbourhood mall, especially since it’s directly connected to Ang Mo Kio MRT and the bus interchange. It’s super easy to get to, which makes it a p... || A good, classic neighbourhood mall with food options that leave you spoilt for choice. A rectangular-shaped mall with basements mostly eateries, Level 1 & 2 mostly shops, and Level...",0,-3,3,-1,7,0
