planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Bedok,Bayshore,education,20,4.726,2501,94.52
Bedok,Bayshore,transport,20,4.025,1119,80.5
Bedok,Bayshore,food,20,4.3,126250,86.0
Bedok,Bayshore,shopping,20,4.19,93943,83.8
Bedok,Bayshore,recreation,20,4.335,27094,86.7
Bedok,Bayshore,nature,20,4.465,59576,89.3
Bedok,Bedok North,education,20,4.815,2490,96.3
Bedok,Bedok North,transport,20,3.983,2751,79.66
Bedok,Bedok North,food,20,4.17,31390,83.4
Bedok,Bedok North,shopping,20,4.14,59588,82.8
Bedok,Bedok North,recreation,20,4.217,12551,84.34
Bedok,Bedok North,nature,20,4.405,41971,88.1
Bedok,Bedok Reservoir,education,20,4.805,2465,96.1
Bedok,Bedok Reservoir,transport,20,4.19,3272,83.8
Bedok,Bedok Reservoir,food,20,4.265,34052,85.3
Bedok,Bedok Reservoir,shopping,20,4.18,81024,83.6
Bedok,Bedok Reservoir,recreation,20,4.38,32125,87.6
Bedok,Bedok Reservoir,nature,20,4.435,41989,88.7
Bedok,Bedok South,education,20,4.815,1292,96.3
Bedok,Bedok South,transport,20,3.845,2199,76.9
Bedok,Bedok South,food,20,4.255,30434,85.1
Bedok,Bedok South,shopping,20,4.14,77359,82.8
Bedok,Bedok South,recreation,17,4.22,9325,84.4
Bedok,Bedok South,nature,20,4.325,40295,86.5
Bedok,Frankel,education,20,4.85,1404,97.0
Bedok,Frankel,transport,20,3.985,2193,79.7
Bedok,Frankel,food,20,4.255,50841,85.1
Bedok,Frankel,shopping,20,4.19,87357,83.8
Bedok,Frankel,recreation,20,4.35,27511,87.0
Bedok,Frankel,nature,20,4.45,64479,89.0
Bedok,Kaki Bukit,education,20,4.71,3017,94.2
Bedok,Kaki Bukit,transport,20,3.97,2982,79.4
Bedok,Kaki Bukit,food,20,4.245,100371,84.9
Bedok,Kaki Bukit,shopping,20,4.24,159401,84.8
Bedok,Kaki Bukit,recreation,20,4.245,16766,84.9
Bedok,Kaki Bukit,nature,20,4.47,61597,89.4
Bedok,Kembangan,education,20,4.805,1334,96.1
Bedok,Kembangan,transport,20,4.042,3164,80.84
Bedok,Kembangan,food,20,4.24,65903,84.8
Bedok,Kembangan,shopping,20,4.215,140612,84.3
Bedok,Kembangan,recreation,20,4.37,26631,87.4
Bedok,Kembangan,nature,20,4.475,67063,89.5
Bedok,Siglap,education,20,4.75,1685,95.0
Bedok,Siglap,transport,19,4.026,2155,80.52
Bedok,Siglap,food,20,4.325,71628,86.5
Bedok,Siglap,shopping,20,4.21,80859,84.2
Bedok,Siglap,recreation,20,4.337,15101,86.74
Bedok,Siglap,nature,20,4.455,50815,89.1
