planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Bedok,Bayshore,education,10,4.4,3,2,2,0,2,0,0,0,3,0,0,0,"Heartbeat@Bedok is more than just a building; it’s a beautifully designed, integrated lifestyle hub that truly feels like the pulse of the neighborhood. Whether you're there for a ... || Had a great time at the Singapore Police Force Community Roadshow 2025 @ Bedok! 🎉 It's clear why I'm quite keen on visiting Heartbeat @ Bedok—it was the place to be for this exciti... || I really loved the place, especially the library. Many amenities for example diverse food options (including local and non-local) as well as fitness, leisure, social. Library was q...",1,2,2,0,3,0
Bedok,Bayshore,transport,10,4.4,0,0,1,2,1,0,0,1,4,0,0,0,"Many thanks to Ms. Anni ASM of SIGLAP MRT STN staff. Because it was raining tonight, She kindly lent me an umbrella and service was excellent.Very professional. || This mrt station was the nearest to East Coast park food lagoons. Walking distance and easy for cycling too. || This MRT doesn't have too much to speak of on its own. There is a nearby Mosque for any Muslims who live around here and there are a few places to eat but you do need to walk to Ea...",0,-1,1,-1,4,0
Bedok,Bayshore,food,10,4.8,1,3,0,7,0,0,0,0,0,0,3,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-7,0,0,0,3
Bedok,Bayshore,shopping,10,4.6,0,0,1,3,0,0,0,0,6,0,1,0,"Bedok Mall is well located beside Bedok MRT, Bedok Bus Interchange and the famous Bedok Interchange Hawker Center. Many commuters usually like to drop by the Bedok Mall for essenti... || It's a huge mall with many varieties of shops. It's crowded and lively! It's located just beside Bedok MRT station. Recommended! || Very biggest mall BEDOK interchange and BEDOK MRT are in this place Nice logo design which is attractive Good to have evening time You can play corndor nearby. You can find the pic...",0,-2,0,0,6,1
Bedok,Bayshore,recreation,10,4.8,0,0,0,3,0,0,0,0,2,0,0,0,"Great pool with indoor and outdoor options. You could even swim when there is lightning alert. Indoor pool is cool and water is not salty. Toilet is a little run down but it’s ok. || A nice beautiful place ... There is a library... Foods ... Places to sit n relax ... Movie screen to watch movies... 😉 Bedok polyclinic...there is a library inside bedok hub...ther... || This is a large swimming complex and great for kids on the 5th floor. There are 3 pools. One for small kiddies, one intermediate and one advanced. Pool is not heated but good for w...",0,-3,0,0,2,0
Bedok,Bayshore,nature,10,5.0,10,0,2,5,7,0,0,0,2,0,0,0,"East Coast area and wanted to share my thoughts on East Coast Park. It remains one of the best-maintained spaces in Singapore, and its extensive connectivity to other parks makes i... || East Coast Park is one of the best and most well-maintained parks in Singapore. It is a very big park and is beautifully connected to other parks across Singapore, making it perfec... || Nice place to walk, enjoy the sea breeze. Or one can enjoy coffee/drinks at one of the restaurant or cafe or even hawker centre. Cycling or inline blading can let u exercise and he...",10,-3,7,0,2,0
Bedok,Bedok North,education,10,4.4,3,2,2,0,2,0,0,0,3,0,0,0,"Heartbeat@Bedok is more than just a building; it’s a beautifully designed, integrated lifestyle hub that truly feels like the pulse of the neighborhood. Whether you're there for a ... || Had a great time at the Singapore Police Force Community Roadshow 2025 @ Bedok! 🎉 It's clear why I'm quite keen on visiting Heartbeat @ Bedok—it was the place to be for this exciti... || I really loved the place, especially the library. Many amenities for example diverse food options (including local and non-local) as well as fitness, leisure, social. Library was q...",1,2,2,0,3,0
Bedok,Bedok North,transport,10,4.2,1,0,0,0,4,0,1,0,5,0,0,0,"Kembangan MRT is a gem for residents of Mill Creek Condo, just a 5-minute walk away via a sheltered linkway, making it convenient rain or shine. The nearby bus stop offers direct s... || I would like to extend my sincere commendation to Mr Ahmed and his team for their professionalism and compassion. Earlier today, I encountered an elderly gentleman who appeared dis... || a very useful mrt that is not only clean, but also services those living in the area! it is also connected to a bus stop, making travelling easy and convenient. the walkways nearby...",1,0,4,1,5,0
Bedok,Bedok North,food,10,4.5,0,0,0,2,0,1,0,0,0,0,1,0,"Favourite hawker center, especially at night, for delicious foods. Worth trying various nice foods and drinks there. But hard to find parking space near by. I need to park at carpa... || Super yummy spot HAHA Come here to eat quite often with my boyfriend The lor mee is really nice with crispy fish! Can taste the lor sauce. BCM is also good and I love the otah HAHA... || This food center is quite poplar in the east area. They have stalls covering breakfast, lunch, dinner and supper crowds. They are famous for Bak Chor Mee, Grilled Chicken Wings, Ch...",0,-2,-1,0,0,1
Bedok,Bedok North,shopping,10,4.5,0,0,3,5,2,0,0,0,10,0,1,0,"Bedok Mall is well located beside Bedok MRT, Bedok Bus Interchange and the famous Bedok Interchange Hawker Center. Many commuters usually like to drop by the Bedok Mall for essenti... || It's a huge mall with many varieties of shops. It's crowded and lively! It's located just beside Bedok MRT station. Recommended! || Very biggest mall BEDOK interchange and BEDOK MRT are in this place Nice logo design which is attractive Good to have evening time You can play corndor nearby. You can find the pic...",0,-2,2,0,10,1
Bedok,Bedok North,recreation,10,4.3,0,0,1,0,0,0,0,0,3,0,0,0,"Great pool with indoor and outdoor options. You could even swim when there is lightning alert. Indoor pool is cool and water is not salty. Toilet is a little run down but it’s ok. || A nice beautiful place ... There is a library... Foods ... Places to sit n relax ... Movie screen to watch movies... 😉 Bedok polyclinic...there is a library inside bedok hub...ther... || This is a large swimming complex and great for kids on the 5th floor. There are 3 pools. One for small kiddies, one intermediate and one advanced. Pool is not heated but good for w...",0,1,0,0,3,0
Bedok,Bedok North,nature,10,4.8,5,0,2,4,9,0,0,0,5,0,0,0,"East Coast area and wanted to share my thoughts on East Coast Park. It remains one of the best-maintained spaces in Singapore, and its extensive connectivity to other parks makes i... || East Coast Park is one of the best and most well-maintained parks in Singapore. It is a very big park and is beautifully connected to other parks across Singapore, making it perfec... || Nice place to walk, enjoy the sea breeze. Or one can enjoy coffee/drinks at one of the restaurant or cafe or even hawker centre. Cycling or inline blading can let u exercise and he...",5,-2,9,0,5,0
Bedok,Bedok Reservoir,education,10,4.4,3,2,2,0,2,0,0,0,3,0,0,0,"Heartbeat@Bedok is more than just a building; it’s a beautifully designed, integrated lifestyle hub that truly feels like the pulse of the neighborhood. Whether you're there for a ... || Had a great time at the Singapore Police Force Community Roadshow 2025 @ Bedok! 🎉 It's clear why I'm quite keen on visiting Heartbeat @ Bedok—it was the place to be for this exciti... || I really loved the place, especially the library. Many amenities for example diverse food options (including local and non-local) as well as fitness, leisure, social. Library was q...",1,2,2,0,3,0
Bedok,Bedok Reservoir,transport,10,3.9,0,0,3,2,1,0,0,1,3,0,0,0,"On 1st January 2026, I took the last bus service number 14 from Bedok Interchange. The bus driver was a Malaysian Indian. I am in my 70s and with a walking stick with lights blinki... || Bedok interchange has always been known as a vibrant place! Lots of shops example : coffee shops, cafes, restaurant, salons, supermarket and others. || Thanks Mr Jack Leong for ur proactive service n helping up just now. Wanting to activate my senior card n he was very helpful approached me n asked if he could help. Office closed ...",0,1,1,-1,3,0
Bedok,Bedok Reservoir,food,10,4.5,0,0,0,2,0,1,0,0,0,0,1,0,"Favourite hawker center, especially at night, for delicious foods. Worth trying various nice foods and drinks there. But hard to find parking space near by. I need to park at carpa... || Super yummy spot HAHA Come here to eat quite often with my boyfriend The lor mee is really nice with crispy fish! Can taste the lor sauce. BCM is also good and I love the otah HAHA... || This food center is quite poplar in the east area. They have stalls covering breakfast, lunch, dinner and supper crowds. They are famous for Bak Chor Mee, Grilled Chicken Wings, Ch...",0,-2,-1,0,0,1
Bedok,Bedok Reservoir,shopping,10,4.7,0,0,0,3,0,0,0,0,7,0,1,1,"Bedok Mall is well located beside Bedok MRT, Bedok Bus Interchange and the famous Bedok Interchange Hawker Center. Many commuters usually like to drop by the Bedok Mall for essenti... || It's a huge mall with many varieties of shops. It's crowded and lively! It's located just beside Bedok MRT station. Recommended! || Very biggest mall BEDOK interchange and BEDOK MRT are in this place Nice logo design which is attractive Good to have evening time You can play corndor nearby. You can find the pic...",0,-3,0,0,7,0
Bedok,Bedok Reservoir,recreation,10,4.8,0,0,0,3,0,0,0,0,2,0,0,0,"Great pool with indoor and outdoor options. You could even swim when there is lightning alert. Indoor pool is cool and water is not salty. Toilet is a little run down but it’s ok. || A nice beautiful place ... There is a library... Foods ... Places to sit n relax ... Movie screen to watch movies... 😉 Bedok polyclinic...there is a library inside bedok hub...ther... || This is a large swimming complex and great for kids on the 5th floor. There are 3 pools. One for small kiddies, one intermediate and one advanced. Pool is not heated but good for w...",0,-3,0,0,2,0
Bedok,Bedok Reservoir,nature,10,4.8,5,0,2,4,9,0,0,0,5,0,0,0,"East Coast area and wanted to share my thoughts on East Coast Park. It remains one of the best-maintained spaces in Singapore, and its extensive connectivity to other parks makes i... || East Coast Park is one of the best and most well-maintained parks in Singapore. It is a very big park and is beautifully connected to other parks across Singapore, making it perfec... || Nice place to walk, enjoy the sea breeze. Or one can enjoy coffee/drinks at one of the restaurant or cafe or even hawker centre. Cycling or inline blading can let u exercise and he...",5,-2,9,0,5,0
Bedok,Bedok South,education,10,4.8,2,2,0,0,1,0,0,0,1,0,0,0,"Choosing the right preschool for our son was really important to us, and we’re very grateful for the experience he has had here. The teachers are incredibly dedicated and genuinely... || My child often happily tells us, ""Teacher taught me a new song today,"" or ""I made some great friends at school."" From these words, I can clearly feel his love for MindChamps. Ms. H... || Repeat customer here. My elder child was at Mindchamps Bedok from 2018-2021. My second child has been with them since 2023. There has been some staff changes over the years but the...",0,0,1,0,1,0
Bedok,Bedok South,transport,10,4.3,1,0,3,2,3,0,1,1,6,0,0,0,"Kembangan MRT is a gem for residents of Mill Creek Condo, just a 5-minute walk away via a sheltered linkway, making it convenient rain or shine. The nearby bus stop offers direct s... || I would like to extend my sincere commendation to Mr Ahmed and his team for their professionalism and compassion. Earlier today, I encountered an elderly gentleman who appeared dis... || a very useful mrt that is not only clean, but also services those living in the area! it is also connected to a bus stop, making travelling easy and convenient. the walkways nearby...",1,1,3,0,6,0
Bedok,Bedok South,food,10,4.5,0,0,0,2,0,1,0,0,0,0,1,0,"Favourite hawker center, especially at night, for delicious foods. Worth trying various nice foods and drinks there. But hard to find parking space near by. I need to park at carpa... || Super yummy spot HAHA Come here to eat quite often with my boyfriend The lor mee is really nice with crispy fish! Can taste the lor sauce. BCM is also good and I love the otah HAHA... || This food center is quite poplar in the east area. They have stalls covering breakfast, lunch, dinner and supper crowds. They are famous for Bak Chor Mee, Grilled Chicken Wings, Ch...",0,-2,-1,0,0,1
Bedok,Bedok South,shopping,10,4.7,0,0,0,3,0,0,0,0,7,0,1,1,"Bedok Mall is well located beside Bedok MRT, Bedok Bus Interchange and the famous Bedok Interchange Hawker Center. Many commuters usually like to drop by the Bedok Mall for essenti... || It's a huge mall with many varieties of shops. It's crowded and lively! It's located just beside Bedok MRT station. Recommended! || Very biggest mall BEDOK interchange and BEDOK MRT are in this place Nice logo design which is attractive Good to have evening time You can play corndor nearby. You can find the pic...",0,-3,0,0,7,0
Bedok,Bedok South,recreation,10,4.3,0,0,1,0,0,0,0,0,3,0,0,0,"Great pool with indoor and outdoor options. You could even swim when there is lightning alert. Indoor pool is cool and water is not salty. Toilet is a little run down but it’s ok. || A nice beautiful place ... There is a library... Foods ... Places to sit n relax ... Movie screen to watch movies... 😉 Bedok polyclinic...there is a library inside bedok hub...ther... || This is a large swimming complex and great for kids on the 5th floor. There are 3 pools. One for small kiddies, one intermediate and one advanced. Pool is not heated but good for w...",0,1,0,0,3,0
Bedok,Bedok South,nature,10,4.8,5,0,2,4,9,0,0,0,5,0,0,0,"East Coast area and wanted to share my thoughts on East Coast Park. It remains one of the best-maintained spaces in Singapore, and its extensive connectivity to other parks makes i... || East Coast Park is one of the best and most well-maintained parks in Singapore. It is a very big park and is beautifully connected to other parks across Singapore, making it perfec... || Nice place to walk, enjoy the sea breeze. Or one can enjoy coffee/drinks at one of the restaurant or cafe or even hawker centre. Cycling or inline blading can let u exercise and he...",5,-2,9,0,5,0
Bedok,Frankel,education,10,4.8,2,2,0,0,1,0,0,0,1,0,0,0,"Choosing the right preschool for our son was really important to us, and we’re very grateful for the experience he has had here. The teachers are incredibly dedicated and genuinely... || My child often happily tells us, ""Teacher taught me a new song today,"" or ""I made some great friends at school."" From these words, I can clearly feel his love for MindChamps. Ms. H... || Repeat customer here. My elder child was at Mindchamps Bedok from 2018-2021. My second child has been with them since 2023. There has been some staff changes over the years but the...",0,0,1,0,1,0
Bedok,Frankel,transport,10,4.3,1,0,3,2,3,0,1,1,6,0,0,0,"Kembangan MRT is a gem for residents of Mill Creek Condo, just a 5-minute walk away via a sheltered linkway, making it convenient rain or shine. The nearby bus stop offers direct s... || I would like to extend my sincere commendation to Mr Ahmed and his team for their professionalism and compassion. Earlier today, I encountered an elderly gentleman who appeared dis... || a very useful mrt that is not only clean, but also services those living in the area! it is also connected to a bus stop, making travelling easy and convenient. the walkways nearby...",1,1,3,0,6,0
Bedok,Frankel,food,10,4.5,0,0,0,2,0,1,0,0,0,0,3,0,"The market and food centre is named after the Archipelago Brewery Company, one of Singapore's oldest breweries (the ABC part), and the brick making factories, which once operated i... || This food market offers a good variety of dishes, and several stalls are worth trying. The steam fish was especially fresh and flavorful. The BBQ pork rice came with tender, well-c... || Came here for the 505 White Carrot Cake. Personally not a big cai tao kway eater but so far this particular stall has been delivering great taste and flavor! Introduced by my partn...",0,-2,-1,0,0,3
Bedok,Frankel,shopping,10,4.6,0,0,1,3,0,0,0,0,6,0,1,0,"Bedok Mall is well located beside Bedok MRT, Bedok Bus Interchange and the famous Bedok Interchange Hawker Center. Many commuters usually like to drop by the Bedok Mall for essenti... || It's a huge mall with many varieties of shops. It's crowded and lively! It's located just beside Bedok MRT station. Recommended! || Very biggest mall BEDOK interchange and BEDOK MRT are in this place Nice logo design which is attractive Good to have evening time You can play corndor nearby. You can find the pic...",0,-2,0,0,6,1
Bedok,Frankel,recreation,10,4.8,0,0,0,3,0,0,0,0,2,0,0,0,"Great pool with indoor and outdoor options. You could even swim when there is lightning alert. Indoor pool is cool and water is not salty. Toilet is a little run down but it’s ok. || A nice beautiful place ... There is a library... Foods ... Places to sit n relax ... Movie screen to watch movies... 😉 Bedok polyclinic...there is a library inside bedok hub...ther... || This is a large swimming complex and great for kids on the 5th floor. There are 3 pools. One for small kiddies, one intermediate and one advanced. Pool is not heated but good for w...",0,-3,0,0,2,0
Bedok,Frankel,nature,10,5.0,10,0,2,5,7,0,0,0,2,0,0,0,"East Coast area and wanted to share my thoughts on East Coast Park. It remains one of the best-maintained spaces in Singapore, and its extensive connectivity to other parks makes i... || East Coast Park is one of the best and most well-maintained parks in Singapore. It is a very big park and is beautifully connected to other parks across Singapore, making it perfec... || Nice place to walk, enjoy the sea breeze. Or one can enjoy coffee/drinks at one of the restaurant or cafe or even hawker centre. Cycling or inline blading can let u exercise and he...",10,-3,7,0,2,0
Bedok,Kaki Bukit,education,10,4.5,5,0,3,5,4,0,0,0,3,0,0,0,"Review of ✔️NLB Public Library Tampines Regional at Our Tampines Hub (OTH) 👍 On November 18, 2025, I had the opportunity to visit the large community centre, Our Tampines Hub (OTH)... || Step into a space where curiosity thrives and knowledge knows no bounds. The Tampines Library isn’t just a building of books—it’s an inviting haven designed to spark learning and i... || One of the best libraries in Singapore, hands down. This place is more than just a library it’s a full lifestyle and learning hub. Spread across five levels, the space is huge, mod...",5,-2,4,0,3,0
Bedok,Kaki Bukit,transport,10,4.4,0,0,1,2,2,0,0,0,1,0,0,0,"I encountered an issue with my PayWave when tapping out at the gantry and approached the station staff for assistance. Unfortunately, my initial experience was unpleasant, as one o... || Kaki Bukit MRT rating 4.8 Sylvia Ang known as Ang Lay Kheng Visited Kaki Bukit MRT today Sun 20 July 25 Circle line serangoon to MacPherson Change DTL downtown Line MacPherson to K... || SINGAPORE KAKI BUKIT MRT STATION. , THISis Blue colour code Downtown mrt station no26... Kaki bukit Mrt station opened on21oct2017... it is located along kaki bukit avenue 1. Mrt s...",0,-1,2,0,1,0
Bedok,Kaki Bukit,food,10,4.8,1,3,0,7,0,0,0,0,0,0,3,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-7,0,0,0,3
Bedok,Kaki Bukit,shopping,10,4.7,2,0,1,4,3,0,0,0,5,0,0,1,"Vivocity shopping mall is located at harborfront mrt station.inside vivocity there is harbourfront centre.therefore vivocity is a shopping mall with lots of food n shopping.there i... || A crowded megamall in Singapore. Can go there directly by MRT, very convenient! The malls have so many shoplots, restaurants and cafes. A lot of branded shops can be found at here.... || Really enjoyed visiting VivoCity 🛍️ The mall is HUGE and has pretty much everything you need. Lots of shopping, food options, cafes, and entertainment all in one place. It’s also s...",2,-3,3,0,5,-1
