planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Bedok,Bayshore,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bayshore, Bedok, Singapore",ChIJEUv2lq8j2jERSz1QvxJ17bg,Mulberry Learning @ East Coast (Bayshore),"440A Upper E Coast Rd, Level 1, Singapore 466497",4.0,3,"[""establishment"", ""point_of_interest"", ""school""]",1.3141562,103.9406255,True
Bedok,Bayshore,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bayshore, Bedok, Singapore",ChIJw8IVMqk92jERhPm5ecCjtU8,Brave Feats Student Care (Bedok),"21 Bedok North Street 1, #02-02 Common Ground Civics Centre, Singapore 469659",5.0,33,"[""establishment"", ""point_of_interest""]",1.3269455,103.9308431,True
Bedok,Bayshore,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bayshore, Bedok, Singapore",ChIJp82Vu0w92jER70H7i4t8wfk,Bedok Library,"11 Bedok North Street 1, #02-03 & #03-04 Heartbeat@Bedok, Singapore 469662",4.3,534,"[""establishment"", ""library"", ""point_of_interest""]",1.3268222,103.9316907,True
Bedok,Bayshore,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bayshore, Bedok, Singapore",ChIJ1TyhXks92jERtiprK_owk2Y,Mulberry Learning @ Bedok - Childcare & Infant Care Centre,"11 Bedok North Street 1, #03-05 Heartbeat @ Bedok, Singapore 469662",4.9,31,"[""establishment"", ""point_of_interest""]",1.3271359,103.932401,True
Bedok,Bayshore,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bayshore, Bedok, Singapore",ChIJlScVJdEi2jERqUCuQWHiOu0,Wharton Montessori Preschool @ East Coast,"791A Upper E Coast Rd, Singapore 466601",4.8,19,"[""establishment"", ""point_of_interest"", ""school""]",1.3196791,103.9539117,True
Bedok,Bayshore,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bayshore, Bedok, Singapore",ChIJYd8wh9Qj2jERahnj4xtfiB0,MapleBear Bedok,"202 Bedok South Ave 1, #03-12, Singapore 469332",4.8,17,"[""establishment"", ""point_of_interest"", ""school""]",1.3224634,103.9311167,True
Bedok,Bayshore,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bayshore, Bedok, Singapore",ChIJA2AF7Mgi2jERZRVTqLXzjko,Les Petits Gaulois,"895 E Coast Rd, Singapore 459098",4.5,22,"[""establishment"", ""point_of_interest"", ""school""]",1.3127555,103.9241824,True
Bedok,Bayshore,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bayshore, Bedok, Singapore",ChIJq6p6rbQi2jER6y18-7XVuck,Ideas@Play Enrichment Centre,"Blk 510 Bedok North Street 3, #01-21, Singapore 460510",4.8,22,"[""establishment"", ""point_of_interest""]",1.3321164,103.9306825,True
Bedok,Bayshore,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bayshore, Bedok, Singapore",ChIJn2-a0sEj2jEROLebHUuAM9s,PlayFACTO School @ Bedok Central | Student Care Bedok,"Blk 209 New Upper Changi Rd, #04-651, Singapore 460209",4.9,61,"[""establishment"", ""point_of_interest"", ""school""]",1.3247745,103.9309971,True
Bedok,Bayshore,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bayshore, Bedok, Singapore",ChIJ-5TFdtMi2jERzRc9Vcbr_F4,Bedok Methodist Preschool,"86 Bedok Rd, Singapore 469371",4.7,44,"[""establishment"", ""point_of_interest"", ""school""]",1.3240103,103.9541411,True
Bedok,Bayshore,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bayshore, Bedok, Singapore",ChIJB9Ccfawi2jERKJ60DuzOFBo,MindChamps PreSchool @ Bedok,"750C Chai Chee Rd, #01-01 Viva Business Park, Singapore 469003",4.8,233,"[""establishment"", ""point_of_interest"", ""school""]",1.3235151,103.9206728,True
Bedok,Bayshore,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bayshore, Bedok, Singapore",ChIJU75ZirYi2jERyyXEO57jhpA,Integral Learning Academy (Bedok),"Blk 18 Bedok South Road #01-65, Singapore 460018",5.0,110,"[""establishment"", ""point_of_interest"", ""school""]",1.320551,103.934715,True
Bedok,Bayshore,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bayshore, Bedok, Singapore",ChIJjwbOYgwY2jERyyol4amaPOs,Little Big Pre-School,"95 Telok Kurau Rd, Singapore 423797",4.7,47,"[""establishment"", ""point_of_interest"", ""school""]",1.315427,103.909938,True
Bedok,Bayshore,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bayshore, Bedok, Singapore",ChIJt8pGUyc92jERb3Rz3d2azjk,PlayFACTO School @ Bedok Reservoir,"900 Bedok North Rd, #01-06 HomeTeamNS Bedok Reservoir Clubhouse, Singapore 479994",4.8,22,"[""establishment"", ""point_of_interest""]",1.3414933,103.918978,True
Bedok,Bayshore,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bayshore, Bedok, Singapore",ChIJT__1D68j2jERQo0PFI0Cr08,Heartbeat @ Bedok,"11 Bedok North Street 1, Singapore 469662",4.5,1198,"[""establishment"", ""point_of_interest""]",1.3269753,103.9321493,True
Bedok,Bayshore,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bayshore, Bedok, Singapore",ChIJJx2kD8I92jERTJaw6YXP4z4,The Ark Education Centre,"723 Bedok Reservoir Rd, Singapore 470723",5.0,27,"[""establishment"", ""point_of_interest"", ""school""]",1.336844,103.9293101,True
Bedok,Bayshore,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bayshore, Bedok, Singapore",ChIJe0iXrMAi2jERczwaVFoILfY,Singapore Educational and Tutorial Books,"Bayshore Rd, Singapore 469970",,0,"[""book_store"", ""establishment"", ""point_of_interest"", ""store""]",1.3118719,103.9380151,True
Bedok,Bayshore,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bayshore, Bedok, Singapore",ChIJfYGbwW0Y2jERefbN8VCOMFU,Christopher Learning Centre,"Blk 8 Marine Vista, Singapore 449032",5.0,38,"[""establishment"", ""point_of_interest"", ""school""]",1.3068354,103.9214148,True
Bedok,Bayshore,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bayshore, Bedok, Singapore",ChIJMYSKIwY92jERDQ3USlNv1OQ,Learning Impact Pte Ltd,"11 Bedok North Street 1, #01-08 HEARTBEAT@BEDOK, Singapore 469662",5.0,12,"[""establishment"", ""point_of_interest""]",1.3271895,103.9323688,True
Bedok,Bayshore,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bayshore, Bedok, Singapore",ChIJSUMmbzgY2jERiTXUHJkxkm4,St. Andrew's Autism Centre,"1 Elliot Rd, Singapore 458686",4.3,28,"[""establishment"", ""point_of_interest"", ""school""]",1.3119389,103.9296771,True
Bedok,Bayshore,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Bayshore, Bedok, Singapore",ChIJq_0PDLMi2jERb6799gqyk2E,Bedok,"315 New Upper Changi Rd, Singapore 467347",4.4,514,"[""establishment"", ""point_of_interest"", ""subway_station"", ""transit_station""]",1.3239319,103.9296448,True
