planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Bishan,Bishan East,education,20,4.675,1297,93.5
Bishan,Bishan East,transport,20,4.337,3420,86.74
Bishan,Bishan East,food,20,4.22,90678,84.4
Bishan,Bishan East,shopping,20,4.21,117258,84.2
Bishan,Bishan East,recreation,20,4.205,6905,84.1
Bishan,Bishan East,nature,20,4.465,53340,89.3
Bishan,Marymount,education,20,4.611,1330,92.22
Bishan,Marymount,transport,20,4.075,2972,81.5
Bishan,Marymount,food,20,4.22,143880,84.4
Bishan,Marymount,shopping,20,4.255,95900,85.1
Bishan,Marymount,recreation,20,4.205,6286,84.1
Bishan,Marymount,nature,20,4.49,37700,89.8
Bishan,Upper Thomson,education,20,4.88,1221,97.6
Bishan,Upper Thomson,transport,20,4.3,4317,86.0
Bishan,Upper Thomson,food,20,4.32,42073,86.4
Bishan,Upper Thomson,shopping,20,4.25,68896,85.0
Bishan,Upper Thomson,recreation,20,4.27,7443,85.4
Bishan,Upper Thomson,nature,20,4.455,25411,89.1
