planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Bishan,Bishan East,education,10,4.9,2,0,0,0,4,0,2,0,0,0,0,0,"quiet cozy and big library, 4 lvls and a cafe downstairs. Theres a programme rm to study in, which i did, or for u to browse a huge variety of books! borrowed a couple books and ha... || Great selection of books. There's a 40-50 year old balding guy with a bright shoe and a bright watch who will go around harassing boys. Be aware! || I love this library a lot. And I love its clean toilets even more. Hehehe. Book selection is quite good, better than some libraries out there.",2,0,4,2,0,0
Bishan,Bishan East,transport,10,4.7,0,0,2,3,12,1,0,0,4,0,0,0,"Bishan MRT station in the Circle line it is Station Number 15. It is connecting one side with Harbour Front and another side with Marina Bay. Same MRT connected with North South Li... || --- ⭐⭐⭐⭐⭐ Bishan MRT Station is one of the most convenient and well‑connected stations in Singapore. Serving both the North–South Line and Circle Line, it makes transfers quick and... || The base of my reviewing operations. The station is usually well maintained and kept clean by the staff. During peak hours can get a bit squeezy but usually got enough space for ev...",0,-1,11,0,4,0
Bishan,Bishan East,food,10,4.7,1,3,0,4,0,0,0,0,0,0,2,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-4,0,0,0,2
Bishan,Bishan East,shopping,10,4.3,0,0,0,2,1,0,0,0,6,0,0,1,"Refurbished recently. Some nice deco outside but not much has changed. The net playground is still there, which is a good thing and a unique attraction to this mall. || 🟠 City Square Mall 180 Kitchener Road Singapore 208539 🟣 Location = 🟣 the mall is located at the junction of Serangoon Road and Kitchener Road. 🟣 It is directly connected to the Fa... || If you are around Little India area, City Square Mall is actually a pretty nice place to chill and makan. It's just a short walk from Mustafa Centre and the mall has a good mix of ...",0,-2,1,0,6,-1
Bishan,Bishan East,recreation,10,4.3,0,0,1,0,4,0,0,1,3,0,0,0,"Was here for an Edusave award ceremony at the MPH, which is clean and has aircon. The open air area is also sheltered and has a huge fan so it's not hot. There are also counters to... || First time booking a pickleball court for play on Tuesday (20 Jan, 8-9am) and when we arrived at the CC, the only hall that we saw was dark and empty. As the counter was not open, ... || The volunteer staff there were very polite and provided clear, correct guidance. I’m very grateful for their service—it solved my problem and helped me save a considerable amount o...",0,1,4,-1,3,0
Bishan,Bishan East,nature,10,4.9,8,0,2,4,7,0,0,0,2,0,0,0,"East Coast area and wanted to share my thoughts on East Coast Park. It remains one of the best-maintained spaces in Singapore, and its extensive connectivity to other parks makes i... || East Coast Park is one of the best and most well-maintained parks in Singapore. It is a very big park and is beautifully connected to other parks across Singapore, making it perfec... || Nice place to walk, enjoy the sea breeze. Or one can enjoy coffee/drinks at one of the restaurant or cafe or even hawker centre. Cycling or inline blading can let u exercise and he...",8,-2,7,0,2,0
Bishan,Marymount,education,10,4.9,2,0,0,0,4,0,2,0,0,0,0,0,"quiet cozy and big library, 4 lvls and a cafe downstairs. Theres a programme rm to study in, which i did, or for u to browse a huge variety of books! borrowed a couple books and ha... || Great selection of books. There's a 40-50 year old balding guy with a bright shoe and a bright watch who will go around harassing boys. Be aware! || I love this library a lot. And I love its clean toilets even more. Hehehe. Book selection is quite good, better than some libraries out there.",2,0,4,2,0,0
Bishan,Marymount,transport,10,4.4,1,1,1,2,7,0,0,0,2,0,0,0,"Bishan MRT station in the Circle line it is Station Number 15. It is connecting one side with Harbour Front and another side with Marina Bay. Same MRT connected with North South Li... || --- ⭐⭐⭐⭐⭐ Bishan MRT Station is one of the most convenient and well‑connected stations in Singapore. Serving both the North–South Line and Circle Line, it makes transfers quick and... || The base of my reviewing operations. The station is usually well maintained and kept clean by the staff. During peak hours can get a bit squeezy but usually got enough space for ev...",0,-1,7,0,2,0
Bishan,Marymount,food,10,4.8,1,3,0,7,0,0,0,0,0,0,3,0,"Decent spot for variety, but not for those craving familiar Pakistani flavours Visited Lau Pa Sat (Lay Pa Sat) recently in Singapore. It’s a lively and iconic hawker centre with pl... || fantastic place to grab some food and/or beer. Famous for the skewers on the street, especially the chicken satay. Plenty of options to choose from, Indian, Arabic, Chinese, Singap... || There's no need to write much about this place; you simply must stop in for a fantastic meal. There are plenty of street food joints offering a variety of Asian cuisines. Everythin...",-2,-7,0,0,0,3
Bishan,Marymount,shopping,10,4.3,0,0,0,2,1,0,0,0,6,0,0,1,"Refurbished recently. Some nice deco outside but not much has changed. The net playground is still there, which is a good thing and a unique attraction to this mall. || 🟠 City Square Mall 180 Kitchener Road Singapore 208539 🟣 Location = 🟣 the mall is located at the junction of Serangoon Road and Kitchener Road. 🟣 It is directly connected to the Fa... || If you are around Little India area, City Square Mall is actually a pretty nice place to chill and makan. It's just a short walk from Mustafa Centre and the mall has a good mix of ...",0,-2,1,0,6,-1
