planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Bishan,Bishan East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bishan East, Bishan, Singapore",ChIJ_yBIIRQX2jERvEDz9aXhFoU,Bishan Library,"5 Bishan Pl, #01-01, Singapore 579841",4.4,470,"[""establishment"", ""library"", ""point_of_interest""]",1.3498471,103.8487828,True
Bishan,Bishan East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bishan East, Bishan, Singapore",ChIJRR9-bRQX2jER6ODuRijvtOQ,Star Learners @ Bishan Central | Preschool & Childcare,"510 Bishan St. 13, #03-02, Singapore 570510",4.9,18,"[""establishment"", ""point_of_interest"", ""school""]",1.3487889,103.8498898,True
Bishan,Bishan East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bishan East, Bishan, Singapore",ChIJtW_d2BMX2jERJx2YGdtDHto,New Life Preschool @ Bishan,"185 Bishan St. 13, #01-323, Singapore 570185",4.9,35,"[""establishment"", ""point_of_interest"", ""school""]",1.3497932,103.8526879,True
Bishan,Bishan East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bishan East, Bishan, Singapore",ChIJN0cGKDAX2jERY8fXtmOMBkw,Learning Point - Thomson,"301 Upper Thomson Rd, #03-19/20, Singapore 574408",4.7,98,"[""establishment"", ""point_of_interest""]",1.35457,103.8313728,True
Bishan,Bishan East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bishan East, Bishan, Singapore",ChIJeyIJ9hQX2jERXzKuqFsPJig,Star Learners @ Bishan | Preschool & Childcare,"114 Bishan St. 12, #01-96, Singapore 570114",4.8,35,"[""establishment"", ""point_of_interest"", ""school""]",1.347495,103.8491184,True
Bishan,Bishan East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bishan East, Bishan, Singapore",ChIJoZ-S7mgX2jERg0ks2IXnh5s,Nest Preschool Bishan,"16 Pemimpin Pl, Singapore 576013",5.0,10,"[""establishment"", ""point_of_interest"", ""school""]",1.3546233,103.8427154,True
Bishan,Bishan East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bishan East, Bishan, Singapore",ChIJc-4d0WwX2jERqtl9CjyACPE,Little Footprints Preschool @ Bishan,"140 Bishan St. 12, #01-484 Bishan Green, Singapore 570140",4.7,26,"[""establishment"", ""point_of_interest"", ""school""]",1.3449111,103.8528911,True
Bishan,Bishan East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bishan East, Bishan, Singapore",ChIJv3XvbuIT2jERCLy2SwKXxxg,Nobleland Arts N Learning Place @ Bishan,"104 Pemimpin Pl, Singapore 576101",5.0,5,"[""establishment"", ""point_of_interest"", ""school""]",1.3529274,103.8424494,True
Bishan,Bishan East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bishan East, Bishan, Singapore",ChIJx5vQQRQX2jERIImvRx5i7DM,Ascend Learning Centre,"508 Bishan St.11, #01-390, Singapore 570508",5.0,1,"[""establishment"", ""point_of_interest""]",1.348643,103.849313,True
Bishan,Bishan East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bishan East, Bishan, Singapore",ChIJaxoB7yUX2jERmBb86cH5_3M,MindChamps PreSchool @ Bishan,"18 Sin Ming Ln, #01-18 Midview City, Singapore 573960",4.9,175,"[""establishment"", ""point_of_interest"", ""school""]",1.359509,103.8344968,True
Bishan,Bishan East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bishan East, Bishan, Singapore",ChIJJx2vbgAX2jERbawDfBqsT6M,The Study: A Cherrybrook Student Care,"37 Jln Pemimpin, #01-01, Singapore 577177",5.0,8,"[""establishment"", ""point_of_interest""]",1.348939,103.8408832,True
Bishan,Bishan East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bishan East, Bishan, Singapore",ChIJO4UV-SIX2jERsmJGXZbs04o,Edugreen,"271 Bishan Street 24, Block 271, Singapore 570271",4.0,4,"[""establishment"", ""point_of_interest""]",1.3566586,103.8422142,True
