timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-18T16:55:36.855274,text_search,1,AIzaSy...IDGw,337,Boon Lay,Liu Fang,education,kindergarten,"kindergarten in Liu Fang, Boon Lay, Singapore",OK,,20,
2026-07-18T16:55:37.591607,text_search,1,AIzaSy...IDGw,338,Boon Lay,Liu Fang,education,childcare centre,"childcare centre in Liu Fang, Boon Lay, Singapore",OK,,20,
2026-07-18T16:55:38.512725,text_search,1,AIzaSy...IDGw,339,Boon Lay,Liu Fang,education,primary school,"primary school in Liu Fang, Boon Lay, Singapore",OK,,17,
2026-07-18T16:55:39.411918,text_search,1,AIzaSy...IDGw,340,Boon Lay,Liu Fang,education,secondary school,"secondary school in Liu Fang, Boon Lay, Singapore",OK,,6,
2026-07-18T16:55:40.109442,text_search,1,AIzaSy...IDGw,341,Boon Lay,Liu Fang,education,junior college,"junior college in Liu Fang, Boon Lay, Singapore",OK,,20,
2026-07-18T16:55:40.788056,text_search,1,AIzaSy...IDGw,342,Boon Lay,Liu Fang,education,polytechnic,"polytechnic in Liu Fang, Boon Lay, Singapore",OK,,20,
2026-07-18T16:55:41.787003,text_search,1,AIzaSy...IDGw,343,Boon Lay,Liu Fang,education,university,"university in Liu Fang, Boon Lay, Singapore",OK,,20,
2026-07-18T16:55:42.760046,text_search,1,AIzaSy...IDGw,344,Boon Lay,Liu Fang,education,tuition centre,"tuition centre in Liu Fang, Boon Lay, Singapore",OK,,20,
2026-07-18T16:55:43.456108,text_search,1,AIzaSy...IDGw,345,Boon Lay,Liu Fang,education,library,"library in Liu Fang, Boon Lay, Singapore",OK,,20,
2026-07-18T16:55:44.217625,text_search,1,AIzaSy...IDGw,346,Boon Lay,Liu Fang,transport,MRT station,"MRT station in Liu Fang, Boon Lay, Singapore",OK,,7,
2026-07-18T16:55:44.938017,text_search,1,AIzaSy...IDGw,347,Boon Lay,Liu Fang,transport,bus stop,"bus stop in Liu Fang, Boon Lay, Singapore",OK,,20,
2026-07-18T16:55:45.994426,text_search,1,AIzaSy...IDGw,348,Boon Lay,Liu Fang,transport,bus interchange,"bus interchange in Liu Fang, Boon Lay, Singapore",OK,,13,
2026-07-18T16:55:46.883747,text_search,1,AIzaSy...IDGw,349,Boon Lay,Liu Fang,transport,LRT station,"LRT station in Liu Fang, Boon Lay, Singapore",OK,,10,
2026-07-18T16:55:47.916143,text_search,1,AIzaSy...IDGw,350,Boon Lay,Liu Fang,food,hawker centre,"hawker centre in Liu Fang, Boon Lay, Singapore",OK,,6,
2026-07-18T16:55:48.569660,text_search,1,AIzaSy...IDGw,351,Boon Lay,Liu Fang,food,food court,"food court in Liu Fang, Boon Lay, Singapore",OK,,14,
2026-07-18T16:55:49.145476,text_search,1,AIzaSy...IDGw,352,Boon Lay,Liu Fang,food,coffee shop,"coffee shop in Liu Fang, Boon Lay, Singapore",OK,,20,
2026-07-18T16:55:49.970161,text_search,1,AIzaSy...IDGw,353,Boon Lay,Liu Fang,food,restaurant,"restaurant in Liu Fang, Boon Lay, Singapore",OK,,20,
2026-07-18T16:55:50.964517,text_search,1,AIzaSy...IDGw,354,Boon Lay,Liu Fang,food,cafe,"cafe in Liu Fang, Boon Lay, Singapore",OK,,20,
2026-07-18T16:55:51.769793,text_search,1,AIzaSy...IDGw,355,Boon Lay,Liu Fang,shopping,shopping mall,"shopping mall in Liu Fang, Boon Lay, Singapore",OK,,20,
2026-07-18T16:55:52.593966,text_search,1,AIzaSy...IDGw,356,Boon Lay,Liu Fang,shopping,supermarket,"supermarket in Liu Fang, Boon Lay, Singapore",OK,,20,
2026-07-18T16:55:53.460733,text_search,1,AIzaSy...IDGw,357,Boon Lay,Liu Fang,shopping,grocery store,"grocery store in Liu Fang, Boon Lay, Singapore",OK,,20,
2026-07-18T16:55:54.383068,text_search,1,AIzaSy...IDGw,358,Boon Lay,Liu Fang,shopping,convenience store,"convenience store in Liu Fang, Boon Lay, Singapore",OK,,20,
2026-07-18T16:55:55.365135,text_search,1,AIzaSy...IDGw,359,Boon Lay,Liu Fang,shopping,wet market,"wet market in Liu Fang, Boon Lay, Singapore",OK,,17,
2026-07-18T16:55:56.310426,text_search,1,AIzaSy...IDGw,360,Boon Lay,Liu Fang,recreation,gym,"gym in Liu Fang, Boon Lay, Singapore",OK,,20,
2026-07-18T16:55:57.210427,text_search,1,AIzaSy...IDGw,361,Boon Lay,Liu Fang,recreation,sports centre,"sports centre in Liu Fang, Boon Lay, Singapore",OK,,20,
2026-07-18T16:55:58.031653,text_search,1,AIzaSy...IDGw,362,Boon Lay,Liu Fang,recreation,swimming complex,"swimming complex in Liu Fang, Boon Lay, Singapore",OK,,20,
2026-07-18T16:55:58.759898,text_search,1,AIzaSy...IDGw,363,Boon Lay,Liu Fang,recreation,cinema,"cinema in Liu Fang, Boon Lay, Singapore",OK,,8,
2026-07-18T16:55:59.711541,text_search,1,AIzaSy...IDGw,364,Boon Lay,Liu Fang,recreation,community club,"community club in Liu Fang, Boon Lay, Singapore",OK,,17,
2026-07-18T16:56:00.797393,text_search,1,AIzaSy...IDGw,365,Boon Lay,Liu Fang,recreation,playground,"playground in Liu Fang, Boon Lay, Singapore",OK,,20,
2026-07-18T16:56:01.668686,text_search,1,AIzaSy...IDGw,366,Boon Lay,Liu Fang,nature,park,"park in Liu Fang, Boon Lay, Singapore",OK,,9,
2026-07-18T16:56:02.660229,text_search,1,AIzaSy...IDGw,367,Boon Lay,Liu Fang,nature,nature reserve,"nature reserve in Liu Fang, Boon Lay, Singapore",OK,,20,
2026-07-18T16:56:03.369985,text_search,1,AIzaSy...IDGw,368,Boon Lay,Liu Fang,nature,garden,"garden in Liu Fang, Boon Lay, Singapore",OK,,10,
2026-07-18T16:56:04.470113,text_search,1,AIzaSy...IDGw,369,Boon Lay,Liu Fang,nature,beach,"beach in Liu Fang, Boon Lay, Singapore",OK,,18,
2026-07-18T16:56:05.008973,text_search,1,AIzaSy...IDGw,370,Boon Lay,Liu Fang,nature,waterfront,"waterfront in Liu Fang, Boon Lay, Singapore",OK,,20,
2026-07-18T16:56:05.869175,text_search,1,AIzaSy...IDGw,371,Boon Lay,Liu Fang,nature,park connector,"park connector in Liu Fang, Boon Lay, Singapore",OK,,20,
2026-07-18T16:56:06.567177,text_search,1,AIzaSy...IDGw,372,Boon Lay,Samulun,education,kindergarten,"kindergarten in Samulun, Boon Lay, Singapore",OK,,20,
2026-07-18T16:56:07.173483,text_search,1,AIzaSy...IDGw,373,Boon Lay,Samulun,education,childcare centre,"childcare centre in Samulun, Boon Lay, Singapore",OK,,20,
2026-07-18T16:56:07.925775,text_search,1,AIzaSy...IDGw,374,Boon Lay,Samulun,education,primary school,"primary school in Samulun, Boon Lay, Singapore",OK,,20,
2026-07-18T16:56:08.818668,text_search,1,AIzaSy...IDGw,375,Boon Lay,Samulun,education,secondary school,"secondary school in Samulun, Boon Lay, Singapore",OK,,4,
2026-07-18T16:56:09.579501,text_search,1,AIzaSy...IDGw,376,Boon Lay,Samulun,education,junior college,"junior college in Samulun, Boon Lay, Singapore",OK,,20,
2026-07-18T16:56:10.264447,text_search,1,AIzaSy...IDGw,377,Boon Lay,Samulun,education,polytechnic,"polytechnic in Samulun, Boon Lay, Singapore",OK,,20,
2026-07-18T16:56:11.294078,text_search,1,AIzaSy...IDGw,378,Boon Lay,Samulun,education,university,"university in Samulun, Boon Lay, Singapore",OK,,20,
2026-07-18T16:56:12.060918,text_search,1,AIzaSy...IDGw,379,Boon Lay,Samulun,education,tuition centre,"tuition centre in Samulun, Boon Lay, Singapore",OK,,20,
2026-07-18T16:56:12.683213,text_search,1,AIzaSy...IDGw,380,Boon Lay,Samulun,education,library,"library in Samulun, Boon Lay, Singapore",OK,,19,
2026-07-18T16:56:13.345869,text_search,1,AIzaSy...IDGw,381,Boon Lay,Samulun,transport,MRT station,"MRT station in Samulun, Boon Lay, Singapore",OK,,4,
2026-07-18T16:56:15.276429,text_search,1,AIzaSy...IDGw,382,Boon Lay,Samulun,transport,bus stop,"bus stop in Samulun, Boon Lay, Singapore",OK,,20,
2026-07-18T16:56:15.882306,text_search,1,AIzaSy...IDGw,383,Boon Lay,Samulun,transport,bus interchange,"bus interchange in Samulun, Boon Lay, Singapore",OK,,20,
2026-07-18T16:56:16.698600,text_search,1,AIzaSy...IDGw,384,Boon Lay,Samulun,transport,LRT station,"LRT station in Samulun, Boon Lay, Singapore",OK,,5,
2026-07-18T16:56:17.616779,text_search,1,AIzaSy...IDGw,385,Boon Lay,Samulun,food,hawker centre,"hawker centre in Samulun, Boon Lay, Singapore",OK,,13,
2026-07-18T16:56:18.370765,text_search,1,AIzaSy...IDGw,386,Boon Lay,Samulun,food,food court,"food court in Samulun, Boon Lay, Singapore",OK,,18,
2026-07-18T16:56:19.028114,text_search,1,AIzaSy...IDGw,387,Boon Lay,Samulun,food,coffee shop,"coffee shop in Samulun, Boon Lay, Singapore",OK,,20,
2026-07-18T16:56:19.728478,text_search,1,AIzaSy...IDGw,388,Boon Lay,Samulun,food,restaurant,"restaurant in Samulun, Boon Lay, Singapore",OK,,20,
2026-07-18T16:56:20.519882,text_search,1,AIzaSy...IDGw,389,Boon Lay,Samulun,food,cafe,"cafe in Samulun, Boon Lay, Singapore",OK,,20,
2026-07-18T16:56:21.464869,text_search,1,AIzaSy...IDGw,390,Boon Lay,Samulun,shopping,shopping mall,"shopping mall in Samulun, Boon Lay, Singapore",OK,,2,
2026-07-18T16:56:22.459422,text_search,1,AIzaSy...IDGw,391,Boon Lay,Samulun,shopping,supermarket,"supermarket in Samulun, Boon Lay, Singapore",OK,,20,
2026-07-18T16:56:23.172130,text_search,1,AIzaSy...IDGw,392,Boon Lay,Samulun,shopping,grocery store,"grocery store in Samulun, Boon Lay, Singapore",OK,,20,
2026-07-18T16:56:23.774412,text_search,1,AIzaSy...IDGw,393,Boon Lay,Samulun,shopping,convenience store,"convenience store in Samulun, Boon Lay, Singapore",OK,,20,
2026-07-18T16:56:24.827702,text_search,1,AIzaSy...IDGw,394,Boon Lay,Samulun,shopping,wet market,"wet market in Samulun, Boon Lay, Singapore",OK,,12,
2026-07-18T16:56:25.771034,text_search,1,AIzaSy...IDGw,395,Boon Lay,Samulun,recreation,gym,"gym in Samulun, Boon Lay, Singapore",OK,,14,
2026-07-18T16:56:26.785948,text_search,1,AIzaSy...IDGw,396,Boon Lay,Samulun,recreation,sports centre,"sports centre in Samulun, Boon Lay, Singapore",OK,,20,
2026-07-18T16:56:27.725539,text_search,1,AIzaSy...IDGw,397,Boon Lay,Samulun,recreation,swimming complex,"swimming complex in Samulun, Boon Lay, Singapore",OK,,20,
2026-07-18T16:56:28.438493,text_search,1,AIzaSy...IDGw,398,Boon Lay,Samulun,recreation,cinema,"cinema in Samulun, Boon Lay, Singapore",OK,,4,
