planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Boon Lay,Liu Fang,education,16,4.5,5780,90.0
Boon Lay,Liu Fang,transport,5,4.08,628,81.6
Boon Lay,Liu Fang,food,9,3.989,5673,79.78
Boon Lay,Liu Fang,shopping,7,4.4,31493,88.0
Boon Lay,Liu Fang,recreation,12,4.442,5527,88.84
Boon Lay,Liu Fang,nature,10,4.322,7424,86.44
Boon Lay,Samulun,education,16,4.475,3686,89.5
Boon Lay,Samulun,transport,6,4.1,886,82.0
Boon Lay,Samulun,food,7,3.943,12078,78.86
Boon Lay,Samulun,shopping,7,4.433,31572,88.66
Boon Lay,Samulun,recreation,12,4.342,7765,86.84
Boon Lay,Samulun,nature,10,4.333,14222,86.66
Boon Lay,Shipyard,education,18,4.477,3034,89.54
Boon Lay,Shipyard,transport,5,4.26,621,85.2
Boon Lay,Shipyard,food,7,3.729,8438,74.58
Boon Lay,Shipyard,shopping,7,4.129,10327,82.58
Boon Lay,Shipyard,recreation,12,4.358,7205,87.16
Boon Lay,Shipyard,nature,12,4.418,15070,88.36
Boon Lay,Tukang,education,15,4.5,2418,90.0
Boon Lay,Tukang,transport,7,4.271,631,85.42
Boon Lay,Tukang,food,6,3.217,6136,64.34
Boon Lay,Tukang,shopping,8,4.037,10327,80.74
Boon Lay,Tukang,recreation,12,4.483,6998,89.66
Boon Lay,Tukang,nature,9,4.35,3143,87.0
