planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Boon Lay,Liu Fang,education,60,4.5,12,1,1,2,8,0,6,1,5,0,1,0,"My two children has been attending Star Learners for the past four years. Overall, our experience has been positive. The teachers have always been warm, caring, and professional, a... || Transferred my child from another childcare when she was N1 - the difference was that she stopped crying and had looked forward to school everyday, and in the blink of an eye - she... || Sent my 2 kids to Star Learners Jurong East and they have been enjoying it. The teachers and principle are really friendly and caring. Love the playground at school and the excursi...",11,-1,8,5,5,1
Boon Lay,Liu Fang,transport,25,3.44,0,0,1,3,4,0,1,1,8,0,0,1,"Been commuting here for years, but never seen staffs up at the platform controlling the crowd during peak hours OR weekends. For eg, to ask ppl to stand at the side to let ppl OUT ... || Located at nearly central of Jurong west area. Very convenient for catching train to city center. The station is attached to a huge shopping mall and the bus interchange. Highly re... || The gantries are so user unfriendly . Entrance going in have to do a detour instead of opening some up on the side facing Jurong point. It might be to drive traffic to the shops at...",0,-2,4,0,8,-1
Boon Lay,Liu Fang,food,40,3.9,0,0,1,0,2,1,0,0,2,0,10,2,"Update: 14 Feb 26 Just had my first visit to the reopened Boon Lay Place Wet Market! It’s easily one of the largest and best-organized markets in Western Singapore now. The stalls ... || Recently reopened Boon Lay Food Place which has been around for the longest time. The newly upgraded place is much more cleaner, cooler and have more space with the center segment ... || Although it's newly renovated hawker centre, but many areas are still required improvement, eg. cleanliness, seating, tray return etc. Majority food selling here is good and still ...",0,1,1,0,2,8
Boon Lay,Liu Fang,shopping,20,3.7,0,0,2,1,2,0,0,1,7,1,1,0,"I stay nearby and I find this shopping centre convenient. It offers a comprehensive range of daily necessities, from an NTUC FairPrice, coffee shops and grocery stores to hardware ... || Month: Feb 2026 Location: Level 1 Located after minmed clinic / near coffeeshop Paying 10 cents is fine but no toilet papers provided. Only 1 sitting toilet and 2 squatting toilet.... || Come back to visit this place again after few years..basically not much change..the food at Hawkers Centre not back..The Power Nasi Lemak..😋 Some new deco is quite nice..",0,1,2,-1,6,1
Boon Lay,Liu Fang,recreation,53,4.132,6,1,6,4,14,1,2,1,3,0,3,1,"My wife recently went to this outlet. Great space and equipment. However the music is blasting and toilets are not cleaned well. This has to improve. Dear AF team, do take note ple... || Been to a couple of their outlets and this is by far the biggest with ample equipments available. Everyone here is friendly and courteous. Highly recommend! || Spacious gym. Could do with more 5, 10 and 12.5kg dumbbells and sanitising sprays & cloths to wipe equipments and benches after using. I noticed hardly any members wipe down after ...",5,2,13,1,3,2
Boon Lay,Liu Fang,nature,40,4.35,16,1,4,2,6,0,1,0,9,1,0,0,"A pleasant neighbourhood park that’s generally well maintained and easy to enjoy. The greenery is neatly kept, paths are clean, and there’s a good mix of features like open lawns, ... || Jurong Central Park · Singapore ⭐️⭐️⭐️⭐️ Visited in the morning and found it fairly quiet, which made for a pleasant short stroll. The park isn’t particularly spectacular, but it’s... || Weekend Wanders: Jurong Central Park Took a stroll through Jurong Central Park over the weekend — a peaceful green escape nestled just minutes away from Jurong Point and Boon Lay M...",15,2,6,1,8,0
Boon Lay,Samulun,education,25,4.24,5,3,2,0,2,0,0,0,2,0,0,0,The environment is both expansive and conducive to fostering a balance between academic pursuits and recreational activities for students. || Teachers are mostly nice and helpful. School is very peaceful. Though i wished it was a little more hyped and had fixed classrooms. || super rowdy students. A bunch of 6 gals in NYJC PE attire was making a lot of noise and shouting/ talking loudly to each other across table as if they owned the japanese restaurant...,2,2,2,0,2,0
Boon Lay,Samulun,transport,5,4.2,0,0,0,1,1,0,0,0,3,0,0,0,"Lakeside MRT Station is clean, well-maintained, and convenient for daily commuters. The station provides easy access to nearby residential areas, schools, and Jurong Lake Gardens. ... || I am reluctant to leave a negative review, but the service I received at the Passenger Service Centre (EZ-Link) was unacceptable. Both staff members on duty—a Chinese male and a Ma... || Crowed MRT Station. I visited Jurong Lake Park via this station as Chinese garden was closed. There are some stores and food stall around the station, good point!",0,-1,1,0,3,0
Boon Lay,Samulun,food,20,4.15,5,2,1,3,3,1,0,0,2,0,3,0,"I believe by now many are aware that the Nasi Lemak is no longer “power” like how they used to be back in the heydays of the early 2000s. However, they still serve a ‘slightly abov... || Grabbed Set 1 + a potato cake at Power Nasi Lemak ($5.50). The taste was okay overall, but the chili was a bit too sweet for my liking. I would have preferred a more spicy sambal. || The $4.50 chicken set more than justified its price. It had everything you’d expect, but in larger portions. Nothing to complain about at this price point.",3,-2,2,0,2,3
Boon Lay,Samulun,shopping,10,4.6,0,0,0,0,3,0,0,0,2,0,1,0,"Neat and clean mini mart that sells convenient kitchen essentials like fresh loose vegetables, eggs, noodles, etc. Amongst other things. There's quite a range of halal frozen goods... || This mart is the best!! They sell he best items at best prices like my favourite durian potong for 80cents and jasmine green tea for 1.20 dollars. The people working at the mart ar... || A nice and well organised minimart. Daily groceries are in reasonable price. Staffs are friendly and helpful. Happy to have this neighbourhood minimart",0,0,3,0,2,1
