planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Boon Lay,Liu Fang,education,kindergarten,"kindergarten in Liu Fang, Boon Lay, Singapore",ChIJqwjRZnUQ2jER4sUlxzFoDwE,Star Learners @ Jurong East | Preschool & Childcare,"8 Boon Lay Way, 8 @, #01-24, Singapore 609964",5.0,55,"[""establishment"", ""point_of_interest"", ""school""]",1.3271401,103.7543423,True
Boon Lay,Liu Fang,education,kindergarten,"kindergarten in Liu Fang, Boon Lay, Singapore",ChIJl0DTCMIP2jERxIYMsHqYeyY,Rainbow Childcare Pte Ltd,"221 Boon Lay Pl, #03-100 Shopping Centre, Singapore 640221",4.8,82,"[""establishment"", ""point_of_interest"", ""school""]",1.3461938,103.7124483,True
Boon Lay,Liu Fang,education,primary school,"primary school in Liu Fang, Boon Lay, Singapore",ChIJiRDxoOkP2jERWvGpVvrW15I,Boon Lay Garden Primary School,"20 Boon Lay Dr, Singapore 649930",,0,"[""establishment"", ""point_of_interest"", ""primary_school"", ""school""]",1.3433969,103.7131343,True
Boon Lay,Liu Fang,education,primary school,"primary school in Liu Fang, Boon Lay, Singapore",ChIJVwe1euUP2jERXOcoAuUFS9Y,Lakeside Primary School,"161 Corporation Walk, Singapore 618310",,0,"[""establishment"", ""point_of_interest"", ""primary_school"", ""school""]",1.3384657,103.7181475,True
Boon Lay,Liu Fang,education,secondary school,"secondary school in Liu Fang, Boon Lay, Singapore",ChIJc2MrR5QP2jERndRHjWsok84,Boon Lay Secondary School,"11 Jurong West Street 65, Singapore 648354",,0,"[""establishment"", ""point_of_interest"", ""school""]",1.343319,103.7019012,True
Boon Lay,Liu Fang,education,secondary school,"secondary school in Liu Fang, Boon Lay, Singapore",ChIJLRtFv9sP2jERVafAzSd4JAs,Hua Yi Secondary School,"60 Jurong West Street 42, Singapore 649371",,0,"[""establishment"", ""point_of_interest"", ""school""]",1.3522705,103.7216407,True
Boon Lay,Liu Fang,education,junior college,"junior college in Liu Fang, Boon Lay, Singapore",ChIJz_-CGpUR2jERsxAVVh_vnoY,Jurong Pioneer Junior College,"21 Teck Whye Walk, Singapore 688258",3.8,86,"[""establishment"", ""point_of_interest"", ""university""]",1.3847446,103.753857,True
Boon Lay,Liu Fang,education,junior college,"junior college in Liu Fang, Boon Lay, Singapore",ChIJESRAQ1sa2jERlSmmrDCCriw,Anglo-Chinese Junior College,"25 Dover Cl E, Singapore 139745",4.0,119,"[""establishment"", ""point_of_interest"", ""school"", ""university""]",1.3031354,103.785109,True
Boon Lay,Liu Fang,education,polytechnic,"polytechnic in Liu Fang, Boon Lay, Singapore",ChIJFXzxL2Aa2jERnoWTOdJdVKk,Singapore Polytechnic,"500 Dover Rd, Singapore 139651",4.3,646,"[""establishment"", ""point_of_interest""]",1.3097757,103.7775495,True
Boon Lay,Liu Fang,education,polytechnic,"polytechnic in Liu Fang, Boon Lay, Singapore",ChIJWeO0jn0Q2jERQwzr3v_n0nU,Ngee Ann Polytechnic,"535 Clementi Rd, Singapore 599489",4.3,500,"[""establishment"", ""point_of_interest""]",1.3315798,103.7747134,True
Boon Lay,Liu Fang,education,university,"university in Liu Fang, Boon Lay, Singapore",ChIJY0QBmQoP2jERGYItxQAIu7g,Nanyang Technological University,"50 Nanyang Ave, Singapore 639798",4.5,1477,"[""establishment"", ""point_of_interest"", ""university""]",1.3483099,103.6831347,True
Boon Lay,Liu Fang,education,university,"university in Liu Fang, Boon Lay, Singapore",ChIJ2QJCeFYa2jERa434wdYIjUg,National University of Singapore,"21 Lower Kent Ridge Rd, University Hall, Singapore 119077",4.5,2389,"[""establishment"", ""point_of_interest"", ""university""]",1.2976493,103.7766916,True
Boon Lay,Liu Fang,education,tuition centre,"tuition centre in Liu Fang, Boon Lay, Singapore",ChIJxVpRXY0b2jERLaTEQpzXKf0,Pillora Learning,"729 Clementi West Street 2, Singapore 120729",5.0,5,"[""establishment"", ""point_of_interest""]",1.3050998,103.763368,True
Boon Lay,Liu Fang,education,tuition centre,"tuition centre in Liu Fang, Boon Lay, Singapore",ChIJQTCeRYUb2jER5TPLc9QLANQ,Yi Xue Learning Centre (易学堂) - Clementi,"3151 Commonwealth Ave W, #02-04A Grantral Mall @ Clementi, Singapore 129581",5.0,35,"[""establishment"", ""point_of_interest""]",1.3130815,103.7657106,True
Boon Lay,Liu Fang,education,library,"library in Liu Fang, Boon Lay, Singapore",ChIJH09-DXUP2jERCg2KA3tyygw,Lee Wee Nam Library,"50 Nanyang Avenue, Blk NS3-03-01, Singapore 639798",4.5,117,"[""establishment"", ""library"", ""point_of_interest""]",1.3475116,103.6809076,True
Boon Lay,Liu Fang,education,library,"library in Liu Fang, Boon Lay, Singapore",ChIJF3XNQ5MP2jERXeUO2D_OtYY,Jurong West Library,"60 Jurong West Central 3, #01-03, Singapore 648346",4.3,269,"[""establishment"", ""library"", ""point_of_interest""]",1.3403486,103.7045246,True
