planning_area,subzone,poi_dimension,place_query_type,place_id,place_name,place_rating,place_user_ratings_total,review_index,review_author_name,review_author_url,review_language,review_profile_photo_url,review_rating,review_relative_time_description,review_time,review_text
Boon Lay,Liu Fang,education,kindergarten,ChIJqwjRZnUQ2jER4sUlxzFoDwE,Star Learners @ Jurong East | Preschool & Childcare,5.0,55,0,Yaya Manje,https://www.google.com/maps/contrib/113392458933332938537/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVC9E_0yS77P3dutOG_vcNvXYCazWdbVW-4h6fUHS3eo9ruFaGX=s128-c0x00000000-cc-rp-mo,4,a year ago,1745287936,"My two children has been attending Star Learners for the past four years. Overall, our experience has been positive. The teachers have always been warm, caring, and professional, and my children enjoy going to school.

While I don't have one particular thing that stands out above the rest, I do feel that the environment is supportive and the team is dedicated to the children’s growth and learning. Like many other childcare centres, they follow structured programmes that keep the kids engaged and learning at their pace.

One thing to note is that there has been a relatively high turnover of teachers during our time here. While new staff are generally just as capable and kind, continuity can be a bit of a challenge.

Despite that, I would still recommend Star Learners to other parents looking for a nurturing and safe place for their little ones."
Boon Lay,Liu Fang,education,kindergarten,ChIJqwjRZnUQ2jER4sUlxzFoDwE,Star Learners @ Jurong East | Preschool & Childcare,5.0,55,1,Adeline Koo,https://www.google.com/maps/contrib/116756291214203122418/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJcfeX2DgtICS9W9bXFSiVnqpvbDdP_lrjnEYKar_Fv5OCNjw=s128-c0x00000000-cc-rp-mo-ba3,5,7 months ago,1765086342,"Transferred my child from another childcare when she was N1 - the difference was that she stopped crying and had looked forward to school everyday, and in the blink of an eye - she is graduating.

Teachers have come and gone (as with all industries) but under Ms Eda, who has made us feel welcomed since day 1, the children has grown up well.

Everybody we met has been so kind - our school bus team, fellow parents, teachers, the whole community. I appreciate the programme, there’s a lot of opportunities for the kids to go out to nature, and for kids to bond with parents. I cannot recommend Star Learners JE enough. Thank you to the team from the bottom of my heart. Wishing the school continued success."
Boon Lay,Liu Fang,education,kindergarten,ChIJqwjRZnUQ2jER4sUlxzFoDwE,Star Learners @ Jurong East | Preschool & Childcare,5.0,55,2,x weeeby,https://www.google.com/maps/contrib/117639151750446479841/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocK-i5XBaOrfP_62FiLlg68EnFcJqyKcjPQBN97ssOTTr2NOgw=s128-c0x00000000-cc-rp-mo-ba2,5,a year ago,1741341078,Sent my 2 kids to Star Learners Jurong East and they have been enjoying it. The teachers and principle are really friendly and caring. Love the playground at school and the excursions organised by the school too!
Boon Lay,Liu Fang,education,kindergarten,ChIJqwjRZnUQ2jER4sUlxzFoDwE,Star Learners @ Jurong East | Preschool & Childcare,5.0,55,3,Jasmine Ang,https://www.google.com/maps/contrib/110950423935866638886/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjW_C_no9QLhw6wI5BzWa6vsgNKr-QYFsqIzmjKkHwdLt4NLYTnY=s128-c0x00000000-cc-rp-mo-ba2,5,a year ago,1749186466,"My son still cries at check-in every day, but the teachers have been consistently patient and caring with him, which I really appreciate. It’s reassuring to know that he’s in such a nurturing environment, even as he continues to adjust.

The teachers and Ms. Eda are also very approachable and responsive via WhatsApp, which makes communication easy and comforting for parents.

Although the school doesn’t have a nearby playground, they regularly arrange outdoor activities, and my son truly enjoys those moments outside. Thank you to the team for your dedication and kindness!"
Boon Lay,Liu Fang,education,kindergarten,ChIJqwjRZnUQ2jER4sUlxzFoDwE,Star Learners @ Jurong East | Preschool & Childcare,5.0,55,4,Siti Salimah,https://www.google.com/maps/contrib/117893728782379212040/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJhWEGlrUkj7hQcnIAfz_OOVAXil2tY-YNTFiPxDewCCqv28Q=s128-c0x00000000-cc-rp-mo,5,a year ago,1741093749,"Star Learners Jurong East has been an incredible part of our child’s early years, from playgroup all the way through to kindergarten. The teachers and staff have consistently provided a warm, nurturing, and engaging environment where children feel safe, encouraged, and excited to learn.

Throughout the years, we’ve seen our child grow in confidence, build friendships, and develop a strong foundation for lifelong learning. The dedication of the teachers is truly remarkable—they are patient, kind, and always go the extra mile to ensure each child thrives. Their creative approach to learning, combined with their genuine care for the children, made every day an enriching experience.

The centre is well-organized, clean, and filled with thoughtful extra activities that support both academic and social development.

Now that our child has graduated, we look back with gratitude for the wonderful experiences and positive impact the centre has had on our family. We highly recommend this centre to any parent looking for a place for their child."
Boon Lay,Liu Fang,education,kindergarten,ChIJl0DTCMIP2jERxIYMsHqYeyY,Rainbow Childcare Pte Ltd,4.8,82,0,naw kapaw htoo,https://www.google.com/maps/contrib/117604484463173560839/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXb9bFy_-OvbQb6U0Hj8d2B4Rve9nO1IxY-7zrLUBalRK9urTZSiw=s128-c0x00000000-cc-rp-mo,5,a year ago,1734225037,"To the Amazing Rainbow Childcare K1B team,
You are truly the best! I want to express my heartfelt gratitude, especially to Teacher Ezann, for always supporting my son both physically and mentally. Thanks to your dedication and care, he has made remarkable improvements and gained so much confidence.I am deeply appreciative of the care and support provided by the entire team at Rainbow Childcare Centre. May this centre continue to be filled with blessings and happiness. Your kindness and unwavering support mean the world to us, and we are forever grateful. Thank you!"
Boon Lay,Liu Fang,education,kindergarten,ChIJl0DTCMIP2jERxIYMsHqYeyY,Rainbow Childcare Pte Ltd,4.8,82,1,Saliza Sani,https://www.google.com/maps/contrib/103156509224279002916/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJWXLvrP_cIDkHWUkN9U_oXzwuuu3jZTEXeLKHJ5mbPA6L1Mg=s128-c0x00000000-cc-rp-mo,5,a year ago,1734756215,"I am incredibly happy with the progress my children have made at this childcare center. The teachers are wonderful and know exactly how to bring out the best in each child, not just my own. It's evident in the way my child has grown more confident in socializing with her friends and teachers. The school goes above and beyond by organizing field trips, which I believe are crucial for their development beyond classroom learning. Additionally, they offer enriching extra classes, including phonics, speech and drama, and science, which have been a fantastic bonus. Most importantly, they are preparing the kids for what to expect when transitioning to Primary 1. I am truly grateful for everything the center has done for my children’s growth and confidence. Thank you Rainbow Childcare!"
Boon Lay,Liu Fang,education,kindergarten,ChIJl0DTCMIP2jERxIYMsHqYeyY,Rainbow Childcare Pte Ltd,4.8,82,2,Rosnani Ibrahim,https://www.google.com/maps/contrib/105066898385272664668/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocKFrIioEy6fBqhrUDCEH2FRMlQZkygRrAkaNeJfVI6Y7HwKNA=s128-c0x00000000-cc-rp-mo,5,a year ago,1734356848,"My son studied in Rainbow School for the past 2 years. I can see improvement in him.
At first, he is very shy to open up and having difficulty in interact with his classmates. After joining, he is very confident to talk to his teacher and his classmates. The Syllabus and teaching techniques by teachers are advanced . Special thanks to Ms Joanne ( Principal) and Teacher Ezann.
This pre-school is highly recommended."
Boon Lay,Liu Fang,education,kindergarten,ChIJl0DTCMIP2jERxIYMsHqYeyY,Rainbow Childcare Pte Ltd,4.8,82,3,Lili,https://www.google.com/maps/contrib/114834679272692404250/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocIfjYbnrJdPBj2v4skJGBrTUuOsS2aUKXVux2WavavQrYq-4w=s128-c0x00000000-cc-rp-mo,5,a year ago,1734318349,"I couldn't be more thrilled with our experience at this childcare! My children are very enjoying at there. Every day, I see how much they enjoy being there and how much they've grown, both academically and socially. The teachers are incredibly caring and attentive, creating a warm and nurturing environment where my child feels safe and excited to learn. My children are well prepared for transition to primary school. Thank you and big hugs to all teachers and principle."
Boon Lay,Liu Fang,education,kindergarten,ChIJl0DTCMIP2jERxIYMsHqYeyY,Rainbow Childcare Pte Ltd,4.8,82,4,Naufa ZAI,https://www.google.com/maps/contrib/115923234130495627816/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjUqPKUJGEAmaJin2M9TxjLsXJgpXTwrRypBUf-5Aw6TWXncAdUU=s128-c0x00000000-cc-rp-mo,5,a year ago,1734974717,"Dear Teachers and Principal,

I wanted to take a moment to express my deepest gratitude for the care and dedication you have shown to my girls since day 1. It is truly comforting to know that they are in such a nurturing and supportive environment where they not only feel safe but also thrive and grow.

The impact of your hard work, patience, and kindness is evident in their smiles and excitement when they talk about their day. Your commitment to fostering a love of learning and encouraging their individual personalities has made a lasting impression on us as a family.

We are so thankful to have such wonderful teachers and a caring principal who genuinely put their hearts into making a difference in the children's lives. I feel incredibly fortunate knowing that my girls are surrounded by such a dedicated team.

Thank you once again for everything you do. Your efforts mean more than words can express! 🥰💜

Warmest regards,
NurfaZai
Naurah.. Nairah.. Natrah"
