timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-19T13:23:38.554359,text_search,1,AIzaSy...IDGw,635,Bukit Batok,Brickworks,education,kindergarten,"kindergarten in Brickworks, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:23:39.575701,text_search,1,AIzaSy...IDGw,636,Bukit Batok,Brickworks,education,childcare centre,"childcare centre in Brickworks, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:23:40.363674,text_search,1,AIzaSy...IDGw,637,Bukit Batok,Brickworks,education,primary school,"primary school in Brickworks, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:23:41.009778,text_search,1,AIzaSy...IDGw,638,Bukit Batok,Brickworks,education,secondary school,"secondary school in Brickworks, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:23:41.621507,text_search,1,AIzaSy...IDGw,639,Bukit Batok,Brickworks,education,junior college,"junior college in Brickworks, Bukit Batok, Singapore",OK,,4,
2026-07-19T13:23:42.699307,text_search,1,AIzaSy...IDGw,640,Bukit Batok,Brickworks,education,polytechnic,"polytechnic in Brickworks, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:23:43.492598,text_search,1,AIzaSy...IDGw,641,Bukit Batok,Brickworks,education,university,"university in Brickworks, Bukit Batok, Singapore",OK,,18,
2026-07-19T13:23:44.709412,text_search,1,AIzaSy...IDGw,642,Bukit Batok,Brickworks,education,tuition centre,"tuition centre in Brickworks, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:23:45.541512,text_search,1,AIzaSy...IDGw,643,Bukit Batok,Brickworks,education,library,"library in Brickworks, Bukit Batok, Singapore",OK,,2,
2026-07-19T13:23:46.338726,text_search,1,AIzaSy...IDGw,644,Bukit Batok,Brickworks,transport,MRT station,"MRT station in Brickworks, Bukit Batok, Singapore",OK,,3,
2026-07-19T13:23:47.278790,text_search,1,AIzaSy...IDGw,645,Bukit Batok,Brickworks,transport,bus stop,"bus stop in Brickworks, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:23:48.351021,text_search,1,AIzaSy...IDGw,646,Bukit Batok,Brickworks,transport,bus interchange,"bus interchange in Brickworks, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:23:49.386443,text_search,1,AIzaSy...IDGw,647,Bukit Batok,Brickworks,transport,LRT station,"LRT station in Brickworks, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:23:50.256998,text_search,1,AIzaSy...IDGw,648,Bukit Batok,Brickworks,food,hawker centre,"hawker centre in Brickworks, Bukit Batok, Singapore",OK,,14,
2026-07-19T13:23:51.269271,text_search,1,AIzaSy...IDGw,649,Bukit Batok,Brickworks,food,food court,"food court in Brickworks, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:23:52.484979,text_search,1,AIzaSy...IDGw,650,Bukit Batok,Brickworks,food,coffee shop,"coffee shop in Brickworks, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:23:53.451710,text_search,1,AIzaSy...IDGw,651,Bukit Batok,Brickworks,food,restaurant,"restaurant in Brickworks, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:23:54.433662,text_search,1,AIzaSy...IDGw,652,Bukit Batok,Brickworks,food,cafe,"cafe in Brickworks, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:23:55.510224,text_search,1,AIzaSy...IDGw,653,Bukit Batok,Brickworks,shopping,shopping mall,"shopping mall in Brickworks, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:23:56.462861,text_search,1,AIzaSy...IDGw,654,Bukit Batok,Brickworks,shopping,supermarket,"supermarket in Brickworks, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:23:57.495766,text_search,1,AIzaSy...IDGw,655,Bukit Batok,Brickworks,shopping,grocery store,"grocery store in Brickworks, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:23:58.534753,text_search,1,AIzaSy...IDGw,656,Bukit Batok,Brickworks,shopping,convenience store,"convenience store in Brickworks, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:23:59.605573,text_search,1,AIzaSy...IDGw,657,Bukit Batok,Brickworks,shopping,wet market,"wet market in Brickworks, Bukit Batok, Singapore",OK,,3,
2026-07-19T13:24:00.697022,text_search,1,AIzaSy...IDGw,658,Bukit Batok,Brickworks,recreation,gym,"gym in Brickworks, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:24:01.603089,text_search,1,AIzaSy...IDGw,659,Bukit Batok,Brickworks,recreation,sports centre,"sports centre in Brickworks, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:24:02.789684,text_search,1,AIzaSy...IDGw,660,Bukit Batok,Brickworks,recreation,swimming complex,"swimming complex in Brickworks, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:24:03.790140,text_search,1,AIzaSy...IDGw,661,Bukit Batok,Brickworks,recreation,cinema,"cinema in Brickworks, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:24:04.591697,text_search,1,AIzaSy...IDGw,662,Bukit Batok,Brickworks,recreation,community club,"community club in Brickworks, Bukit Batok, Singapore",OK,,3,
2026-07-19T13:24:05.404402,text_search,1,AIzaSy...IDGw,663,Bukit Batok,Brickworks,recreation,playground,"playground in Brickworks, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:24:06.351894,text_search,1,AIzaSy...IDGw,664,Bukit Batok,Brickworks,nature,park,"park in Brickworks, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:24:07.418107,text_search,1,AIzaSy...IDGw,665,Bukit Batok,Brickworks,nature,nature reserve,"nature reserve in Brickworks, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:24:08.067527,text_search,1,AIzaSy...IDGw,666,Bukit Batok,Brickworks,nature,garden,"garden in Brickworks, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:24:08.733993,text_search,1,AIzaSy...IDGw,667,Bukit Batok,Brickworks,nature,beach,"beach in Brickworks, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:24:09.636847,text_search,1,AIzaSy...IDGw,668,Bukit Batok,Brickworks,nature,waterfront,"waterfront in Brickworks, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:24:10.423029,text_search,1,AIzaSy...IDGw,669,Bukit Batok,Brickworks,nature,park connector,"park connector in Brickworks, Bukit Batok, Singapore",OK,,5,
2026-07-19T13:24:11.457171,text_search,1,AIzaSy...IDGw,670,Bukit Batok,Bukit Batok Central,education,kindergarten,"kindergarten in Bukit Batok Central, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:24:12.437147,text_search,1,AIzaSy...IDGw,671,Bukit Batok,Bukit Batok Central,education,childcare centre,"childcare centre in Bukit Batok Central, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:24:13.236783,text_search,1,AIzaSy...IDGw,672,Bukit Batok,Bukit Batok Central,education,primary school,"primary school in Bukit Batok Central, Bukit Batok, Singapore",OK,,10,
2026-07-19T13:24:14.223585,text_search,1,AIzaSy...IDGw,673,Bukit Batok,Bukit Batok Central,education,secondary school,"secondary school in Bukit Batok Central, Bukit Batok, Singapore",OK,,6,
2026-07-19T13:24:15.255073,text_search,1,AIzaSy...IDGw,674,Bukit Batok,Bukit Batok Central,education,junior college,"junior college in Bukit Batok Central, Bukit Batok, Singapore",OK,,1,
2026-07-19T13:24:16.276542,text_search,1,AIzaSy...IDGw,675,Bukit Batok,Bukit Batok Central,education,polytechnic,"polytechnic in Bukit Batok Central, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:24:17.048189,text_search,1,AIzaSy...IDGw,676,Bukit Batok,Bukit Batok Central,education,university,"university in Bukit Batok Central, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:24:17.910683,text_search,1,AIzaSy...IDGw,677,Bukit Batok,Bukit Batok Central,education,tuition centre,"tuition centre in Bukit Batok Central, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:24:18.679922,text_search,1,AIzaSy...IDGw,678,Bukit Batok,Bukit Batok Central,education,library,"library in Bukit Batok Central, Bukit Batok, Singapore",OK,,2,
2026-07-19T13:24:19.689228,text_search,1,AIzaSy...IDGw,679,Bukit Batok,Bukit Batok Central,transport,MRT station,"MRT station in Bukit Batok Central, Bukit Batok, Singapore",OK,,2,
2026-07-19T13:24:20.521346,text_search,1,AIzaSy...IDGw,680,Bukit Batok,Bukit Batok Central,transport,bus stop,"bus stop in Bukit Batok Central, Bukit Batok, Singapore",OK,,6,
2026-07-19T13:24:21.536139,text_search,1,AIzaSy...IDGw,681,Bukit Batok,Bukit Batok Central,transport,bus interchange,"bus interchange in Bukit Batok Central, Bukit Batok, Singapore",OK,,2,
2026-07-19T13:24:22.612279,text_search,1,AIzaSy...IDGw,682,Bukit Batok,Bukit Batok Central,transport,LRT station,"LRT station in Bukit Batok Central, Bukit Batok, Singapore",OK,,7,
2026-07-19T13:24:23.320171,text_search,1,AIzaSy...IDGw,683,Bukit Batok,Bukit Batok Central,food,hawker centre,"hawker centre in Bukit Batok Central, Bukit Batok, Singapore",OK,,7,
2026-07-19T13:24:24.509589,text_search,1,AIzaSy...IDGw,684,Bukit Batok,Bukit Batok Central,food,food court,"food court in Bukit Batok Central, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:24:25.377562,text_search,1,AIzaSy...IDGw,685,Bukit Batok,Bukit Batok Central,food,coffee shop,"coffee shop in Bukit Batok Central, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:24:26.359136,text_search,1,AIzaSy...IDGw,686,Bukit Batok,Bukit Batok Central,food,restaurant,"restaurant in Bukit Batok Central, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:24:27.432173,text_search,1,AIzaSy...IDGw,687,Bukit Batok,Bukit Batok Central,food,cafe,"cafe in Bukit Batok Central, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:24:28.304882,text_search,1,AIzaSy...IDGw,688,Bukit Batok,Bukit Batok Central,shopping,shopping mall,"shopping mall in Bukit Batok Central, Bukit Batok, Singapore",OK,,8,
2026-07-19T13:24:29.309525,text_search,1,AIzaSy...IDGw,689,Bukit Batok,Bukit Batok Central,shopping,supermarket,"supermarket in Bukit Batok Central, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:24:30.336185,text_search,1,AIzaSy...IDGw,690,Bukit Batok,Bukit Batok Central,shopping,grocery store,"grocery store in Bukit Batok Central, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:24:31.061943,text_search,1,AIzaSy...IDGw,691,Bukit Batok,Bukit Batok Central,shopping,convenience store,"convenience store in Bukit Batok Central, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:24:32.103666,text_search,1,AIzaSy...IDGw,692,Bukit Batok,Bukit Batok Central,shopping,wet market,"wet market in Bukit Batok Central, Bukit Batok, Singapore",OK,,7,
2026-07-19T13:24:32.999514,text_search,1,AIzaSy...IDGw,693,Bukit Batok,Bukit Batok Central,recreation,gym,"gym in Bukit Batok Central, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:24:33.679764,text_search,1,AIzaSy...IDGw,694,Bukit Batok,Bukit Batok Central,recreation,sports centre,"sports centre in Bukit Batok Central, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:24:34.730724,text_search,1,AIzaSy...IDGw,695,Bukit Batok,Bukit Batok Central,recreation,swimming complex,"swimming complex in Bukit Batok Central, Bukit Batok, Singapore",OK,,1,
2026-07-19T13:24:35.701335,text_search,1,AIzaSy...IDGw,696,Bukit Batok,Bukit Batok Central,recreation,cinema,"cinema in Bukit Batok Central, Bukit Batok, Singapore",OK,,1,
2026-07-19T13:24:36.508716,text_search,1,AIzaSy...IDGw,697,Bukit Batok,Bukit Batok Central,recreation,community club,"community club in Bukit Batok Central, Bukit Batok, Singapore",OK,,1,
2026-07-19T13:24:37.541671,text_search,1,AIzaSy...IDGw,698,Bukit Batok,Bukit Batok Central,recreation,playground,"playground in Bukit Batok Central, Bukit Batok, Singapore",OK,,20,
2026-07-19T13:24:38.200024,text_search,1,AIzaSy...IDGw,699,Bukit Batok,Bukit Batok Central,nature,park,"park in Bukit Batok Central, Bukit Batok, Singapore",OK,,10,
2026-07-19T13:24:39.141233,text_search,1,AIzaSy...IDGw,700,Bukit Batok,Bukit Batok Central,nature,nature reserve,"nature reserve in Bukit Batok Central, Bukit Batok, Singapore",OK,,8,
