planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Bukit Batok,Brickworks,education,16,4.291,4011,85.82
Bukit Batok,Brickworks,transport,4,4.025,3189,80.5
Bukit Batok,Brickworks,food,8,4.212,5606,84.24
Bukit Batok,Brickworks,shopping,9,4.178,13148,83.56
Bukit Batok,Brickworks,recreation,12,4.258,12731,85.16
Bukit Batok,Brickworks,nature,8,4.525,13563,90.5
Bukit Batok,Bukit Batok Central,education,15,4.17,1809,83.4
Bukit Batok,Bukit Batok Central,transport,4,4.025,3189,80.5
Bukit Batok,Bukit Batok Central,food,9,4.156,5475,83.12
Bukit Batok,Bukit Batok Central,shopping,8,3.762,10572,75.24
Bukit Batok,Bukit Batok Central,recreation,9,4.3,3634,86.0
Bukit Batok,Bukit Batok Central,nature,8,4.414,11893,88.28
Bukit Batok,Bukit Batok East,education,16,4.345,5657,86.9
Bukit Batok,Bukit Batok East,transport,4,4.025,3189,80.5
Bukit Batok,Bukit Batok East,food,8,4.1,5901,82.0
Bukit Batok,Bukit Batok East,shopping,8,3.838,10580,76.76
Bukit Batok,Bukit Batok East,recreation,11,4.309,9316,86.18
Bukit Batok,Bukit Batok East,nature,9,4.543,5270,90.86
Bukit Batok,Bukit Batok South,education,15,4.256,1739,85.12
Bukit Batok,Bukit Batok South,transport,4,4.025,3189,80.5
Bukit Batok,Bukit Batok South,food,7,4.1,5649,82.0
Bukit Batok,Bukit Batok South,shopping,9,3.878,11817,77.56
Bukit Batok,Bukit Batok South,recreation,10,4.411,4569,88.22
Bukit Batok,Bukit Batok South,nature,7,4.5,5257,90.0
Bukit Batok,Bukit Batok West,education,17,4.275,11752,85.5
Bukit Batok,Bukit Batok West,transport,4,4.025,3189,80.5
Bukit Batok,Bukit Batok West,food,7,3.971,4619,79.42
Bukit Batok,Bukit Batok West,shopping,9,3.878,11582,77.56
Bukit Batok,Bukit Batok West,recreation,11,4.36,10773,87.2
Bukit Batok,Bukit Batok West,nature,10,4.5,10887,90.0
Bukit Batok,Gombak,education,15,4.333,3671,86.66
Bukit Batok,Gombak,transport,5,4.12,3191,82.4
Bukit Batok,Gombak,food,8,4.138,5335,82.76
Bukit Batok,Gombak,shopping,6,3.717,10559,74.34
Bukit Batok,Gombak,recreation,12,4.283,10506,85.66
Bukit Batok,Gombak,nature,7,4.471,6170,89.42
Bukit Batok,Guilin,education,10,4.414,1890,88.28
Bukit Batok,Guilin,transport,3,4.0,3252,80.0
Bukit Batok,Guilin,food,7,3.614,2561,72.28
Bukit Batok,Guilin,shopping,7,3.867,3915,77.34
Bukit Batok,Guilin,recreation,8,4.1,4646,82.0
Bukit Batok,Guilin,nature,3,3.933,1527,78.66
Bukit Batok,Hillview,education,16,4.425,4874,88.5
Bukit Batok,Hillview,transport,5,4.14,2109,82.8
Bukit Batok,Hillview,food,7,4.157,6831,83.14
Bukit Batok,Hillview,shopping,8,4.012,14010,80.24
Bukit Batok,Hillview,recreation,12,4.283,3092,85.66
Bukit Batok,Hillview,nature,7,4.029,4183,80.58
Bukit Batok,Hong Kah North,education,7,3.9,1659,78.0
Bukit Batok,Hong Kah North,transport,3,3.933,2624,78.66
Bukit Batok,Hong Kah North,food,7,4.1,2279,82.0
Bukit Batok,Hong Kah North,shopping,7,3.8,4132,76.0
Bukit Batok,Hong Kah North,recreation,6,4.267,9118,85.34
Bukit Batok,Hong Kah North,nature,4,4.325,4529,86.5
