planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Bukit Batok,Brickworks,education,55,4.291,9,0,3,0,6,0,3,0,2,0,0,0,"Our family decided to withdraw our child from Mulberry Preschool Bukit Batok after careful consideration of our experience with the centre, forfeiting our deposit. Throughout our c... || Never regret to choose this school. I had send my girl to school at 18 months old. The transition for my girl to pre-nursery is quite smooth. The teachers are very loving to the ch... || ​Highly Recommend! Responsible and Dedicated Staff! Mulberry Bukit Batok is simply amazing. The teachers and staff are incredibly committed and responsible, which gives us so much ...",9,3,6,3,2,0
Bukit Batok,Brickworks,transport,20,3.8,5,1,1,1,1,0,0,1,5,1,2,0,"very liveable estate. A mature estate, with lots of amenities like wet market, coffeeshops, bakery, hairdressers, polyclini, private GP, CC, parking lots and public transportation ... || Everything is good except heading to Jurong East station , really got no idea which door to exit to the next train. No indication at all || MRT station and bus interchange with connections! Next to Bukit Batok Civil Defence Club, Bukit Batok Driving Centre and shopping malls Hawker Centres with plenty of healthy food a...",4,0,1,-1,4,2
Bukit Batok,Brickworks,food,39,4.179,3,0,4,5,2,1,0,0,4,0,6,0,"This relatively new foodcourt offers great variety including few halal stalls. It's comfortable to dine there as the foodcourt is well ventilated and spacious. The highlights for m... || While finally Bukit Batok got it's hawker centre, this is essentially a Food Court without air-conditioning. The number of food stalls(20+) pales compare to traditional hawkers tha... || I went to the fishball noodle and fish soup stall. Based on the menu the fish soup costs $6 for fish soup/fish porridge/fish beehoon. After I ordered the staff told me $13. So I as...",3,-1,1,0,4,6
Bukit Batok,Brickworks,shopping,43,3.907,0,0,2,8,2,1,1,0,6,0,5,0,Cleanliness and littering a big issue. Enforcement slacking. The local wet market is thriving with rodents. We don't need an epidemic to start doing something about it. Can the loc... || The barber vishwa is very good and I gotten the exact hairstyle I wanted || Chance upon this small shopping centre after visiting my mom at nearby St Luke Hospital. Quite a small area with many oldies shops around. You get all you need in the small areas t...,0,-6,1,1,6,5
Bukit Batok,Brickworks,recreation,55,4.127,12,4,6,6,14,1,1,0,8,0,1,0,"The gym environment was motivating and welcoming. The equipment was well-maintained, and there was a good variety of machines and weights available for different fitness goals. The... || I joined the gym back in August 2024 when it first opened, primarily because of its promixity to where I live and the convenience of being able to go to the gym any time of the day... || Syafiq was very helpful and friendly, and made the whole visit feel welcoming and comfortable. He took the time to assist and answer questions without any pressure, which I really ...",8,0,13,1,8,1
Bukit Batok,Brickworks,nature,29,4.345,14,0,0,3,1,0,0,0,2,1,0,1,"A lovely small rainforest park tucked away in the west that feels surprisingly immersive despite its compact size. The walking trails are well-paved and shaded by tall trees, makin... || It was my first and hope it's not the last visit to this place. I really want to go there again. Really liked the place and enjoyed walking around this place. This would definitely... || Didn't realise there was a quarry in the park, took a long walk in nature and found many wonderful things! Was caught by a sudden downpour, appreciated the thick trees around the a...",14,-3,1,0,1,-1
Bukit Batok,Bukit Batok Central,education,20,5.0,0,0,1,0,1,0,2,0,0,0,2,0,"✨𝗛𝗶𝗴𝗵𝗹𝘆 𝗿𝗲𝗰𝗼𝗺𝗺𝗲𝗻𝗱𝗲𝗱✨ 🩵🩷I enrolled my daughter at Small Wonder (159 Bukit Batok), and I couldn’t be happier. The teachers and staff are incredibly caring, observant, and professiona... || Teachers at this outlet are always so kind and caring, and full of energy. They check on our kids and gave us updates regularly. They also helped my son get used to the school very... || One of the better preschools in the area. My kid was enrolled in PN early this year and was under the care of Teacher Xinru. She is a fantastic teacher, and is always giving update...",0,1,1,2,0,2
Bukit Batok,Bukit Batok Central,transport,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Bukit Batok,Bukit Batok Central,food,15,3.6,0,0,0,3,5,1,0,0,1,0,1,0,"A rather run down coffeeshop that houses my favourite HK Roast stall. Most of the stalls in this coffeeshop came & gone, even some good ones. However, the HK Roast & Halal Chicken ... || Outstanding roasted pork and char siew, note that they only accept cash and that seating can be limited during peak hours. But well worth the trouble 👍🏻 || Overall, a nice place located in the Bukit Batok Neighborhood. The most famous stall is definitely the chicken rice stall. The snacks, drinks and rojak, and Sedap Corner are also t...",0,-3,4,0,1,1
Bukit Batok,Bukit Batok Central,shopping,20,2.9,0,0,1,14,0,0,0,0,2,0,2,1,"I would like to compliment Mdm Ho Geok Huay from Sheng Siong for her excellent service and kindness at the payment counter. While I was scanning my purchases at the self-checkout c... || great soermarket. my favorite go-to place for Chinese cooking ingredients. very comprehensive range of veggies, meat and seafood. || I went to the Sheng Siong at Bukit Batok West Shopping Centre in the morning but didn’t get anything as it was packed with customers. This outlet is much better for customers to sh...",0,-13,0,0,2,1
