planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Bukit Batok,Brickworks,education,kindergarten,"kindergarten in Brickworks, Bukit Batok, Singapore",ChIJIYpOTMUR2jERJDQX41qwan0,Mulberry Learning @ Bukit Batok,"25 Bukit Batok Street 22, #03-01, Singapore 659591",4.9,51,"[""establishment"", ""point_of_interest"", ""school""]",1.344113,103.7493641,True
Bukit Batok,Brickworks,education,kindergarten,"kindergarten in Brickworks, Bukit Batok, Singapore",ChIJ9VRBJRUQ2jERx36akgnG7_Y,MapleBear Bukit Batok,"15 Bukit Batok Street 22, #02-01, Singapore 659586",4.7,55,"[""establishment"", ""point_of_interest"", ""school""]",1.3440317,103.7512858,True
Bukit Batok,Brickworks,education,childcare centre,"childcare centre in Brickworks, Bukit Batok, Singapore",ChIJPwriazYQ2jERgxYDrbrAfi0,Little Green House @ Bukit Batok,"Blk 373 Bukit Batok Street 31, #03-244, Singapore 650373",4.6,32,"[""establishment"", ""point_of_interest"", ""school""]",1.358959,103.750278,True
Bukit Batok,Brickworks,education,primary school,"primary school in Brickworks, Bukit Batok, Singapore",ChIJD6GSHkAQ2jERAr_nZSWZnFg,Bukit View Primary School,"18 Bukit Batok Street 21, Singapore 659634",,0,"[""establishment"", ""point_of_interest"", ""primary_school"", ""school""]",1.3461955,103.7537972,True
Bukit Batok,Brickworks,education,primary school,"primary school in Brickworks, Bukit Batok, Singapore",ChIJKwcIgW4Q2jERCXfOGe86lfk,St. Anthony's Primary School,"30 Bukit Batok Street 32, Singapore 659401",,0,"[""establishment"", ""point_of_interest"", ""primary_school"", ""school""]",1.3641887,103.748959,True
Bukit Batok,Brickworks,education,secondary school,"secondary school in Brickworks, Bukit Batok, Singapore",ChIJgdOw1TwQ2jERyhBsORQ474o,Bukit Batok Secondary School,"50 Bukit Batok West Ave. 8, Singapore 658962",,0,"[""establishment"", ""point_of_interest"", ""school""]",1.3483821,103.7401883,True
Bukit Batok,Brickworks,education,secondary school,"secondary school in Brickworks, Bukit Batok, Singapore",ChIJ6czkAUAQ2jERcvQ9hZ1Q8Zk,Bukit View Secondary School,"16 Bukit Batok Street 21, Singapore 659633",,0,"[""establishment"", ""point_of_interest"", ""school"", ""secondary_school""]",1.3460903,103.752164,True
Bukit Batok,Brickworks,education,junior college,"junior college in Brickworks, Bukit Batok, Singapore",ChIJwURjtzoQ2jERlHPeEoKRpho,Millennia Institute,"60 Bukit Batok West Ave. 8, Singapore 658965",3.5,39,"[""establishment"", ""point_of_interest"", ""school"", ""university""]",1.3508257,103.7413873,True
Bukit Batok,Brickworks,education,junior college,"junior college in Brickworks, Bukit Batok, Singapore",ChIJz_-CGpUR2jERsxAVVh_vnoY,Jurong Pioneer Junior College,"21 Teck Whye Walk, Singapore 688258",3.8,86,"[""establishment"", ""point_of_interest"", ""university""]",1.3847446,103.753857,True
Bukit Batok,Brickworks,education,polytechnic,"polytechnic in Brickworks, Bukit Batok, Singapore",ChIJWeO0jn0Q2jERQwzr3v_n0nU,Ngee Ann Polytechnic,"535 Clementi Rd, Singapore 599489",4.3,500,"[""establishment"", ""point_of_interest""]",1.3315798,103.7747134,True
Bukit Batok,Brickworks,education,polytechnic,"polytechnic in Brickworks, Bukit Batok, Singapore",ChIJTfaPWzkQ2jERHLWx7ICU2j4,Bukit Batok Polyclinic,"50 Bukit Batok West Ave 3, Singapore 659164",2.7,323,"[""establishment"", ""health"", ""point_of_interest""]",1.3519711,103.7479248,True
Bukit Batok,Brickworks,education,university,"university in Brickworks, Bukit Batok, Singapore",ChIJ2QJCeFYa2jERa434wdYIjUg,National University of Singapore,"21 Lower Kent Ridge Rd, University Hall, Singapore 119077",4.5,2389,"[""establishment"", ""point_of_interest"", ""university""]",1.2976493,103.7766916,True
Bukit Batok,Brickworks,education,tuition centre,"tuition centre in Brickworks, Bukit Batok, Singapore",ChIJSa1PjEMQ2jERDeHZ-ZbPzCY,"Genie Education Hub, Bukit Batok","Bukit Batok East Ave 4, #01-393 Block 265, Singapore 650265",5.0,172,"[""establishment"", ""point_of_interest""]",1.3501964,103.7600877,True
