timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-19T13:30:14.897686,text_search,2,AIzaSy...8yB0,158,Bukit Panjang,Bangkit,education,kindergarten,"kindergarten in Bangkit, Bukit Panjang, Singapore",OK,,20,
2026-07-19T13:30:15.845075,text_search,2,AIzaSy...8yB0,159,Bukit Panjang,Bangkit,education,childcare centre,"childcare centre in Bangkit, Bukit Panjang, Singapore",OK,,20,
2026-07-19T13:30:16.949397,text_search,2,AIzaSy...8yB0,160,Bukit Panjang,Bangkit,education,primary school,"primary school in Bangkit, Bukit Panjang, Singapore",OK,,17,
2026-07-19T13:30:18.015748,text_search,2,AIzaSy...8yB0,161,Bukit Panjang,Bangkit,education,secondary school,"secondary school in Bangkit, Bukit Panjang, Singapore",OK,,13,
2026-07-19T13:30:18.929714,text_search,2,AIzaSy...8yB0,162,Bukit Panjang,Bangkit,education,junior college,"junior college in Bangkit, Bukit Panjang, Singapore",OK,,20,
2026-07-19T13:30:19.959190,text_search,2,AIzaSy...8yB0,163,Bukit Panjang,Bangkit,education,polytechnic,"polytechnic in Bangkit, Bukit Panjang, Singapore",OK,,20,
2026-07-19T13:30:20.959731,text_search,2,AIzaSy...8yB0,164,Bukit Panjang,Bangkit,education,university,"university in Bangkit, Bukit Panjang, Singapore",OK,,9,
2026-07-19T13:30:21.767685,text_search,2,AIzaSy...8yB0,165,Bukit Panjang,Bangkit,education,tuition centre,"tuition centre in Bangkit, Bukit Panjang, Singapore",OK,,20,
2026-07-19T13:30:22.551071,text_search,2,AIzaSy...8yB0,166,Bukit Panjang,Bangkit,education,library,"library in Bangkit, Bukit Panjang, Singapore",OK,,5,
2026-07-19T13:30:23.295396,text_search,2,AIzaSy...8yB0,167,Bukit Panjang,Bangkit,transport,MRT station,"MRT station in Bangkit, Bukit Panjang, Singapore",OK,,17,
2026-07-19T13:30:24.497780,text_search,2,AIzaSy...8yB0,168,Bukit Panjang,Bangkit,transport,bus stop,"bus stop in Bangkit, Bukit Panjang, Singapore",OK,,20,
2026-07-19T13:30:25.376845,text_search,2,AIzaSy...8yB0,169,Bukit Panjang,Bangkit,transport,bus interchange,"bus interchange in Bangkit, Bukit Panjang, Singapore",OK,,19,
2026-07-19T13:30:26.245764,text_search,2,AIzaSy...8yB0,170,Bukit Panjang,Bangkit,transport,LRT station,"LRT station in Bangkit, Bukit Panjang, Singapore",OK,,5,
2026-07-19T13:30:27.049158,text_search,2,AIzaSy...8yB0,171,Bukit Panjang,Bangkit,food,hawker centre,"hawker centre in Bangkit, Bukit Panjang, Singapore",OK,,20,
2026-07-19T13:30:27.844140,text_search,2,AIzaSy...8yB0,172,Bukit Panjang,Bangkit,food,food court,"food court in Bangkit, Bukit Panjang, Singapore",OK,,20,
2026-07-19T13:30:28.639596,text_search,2,AIzaSy...8yB0,173,Bukit Panjang,Bangkit,food,coffee shop,"coffee shop in Bangkit, Bukit Panjang, Singapore",OK,,20,
2026-07-19T13:30:29.503960,text_search,2,AIzaSy...8yB0,174,Bukit Panjang,Bangkit,food,restaurant,"restaurant in Bangkit, Bukit Panjang, Singapore",OK,,20,
2026-07-19T13:30:30.297095,text_search,2,AIzaSy...8yB0,175,Bukit Panjang,Bangkit,food,cafe,"cafe in Bangkit, Bukit Panjang, Singapore",OK,,12,
2026-07-19T13:30:31.150251,text_search,2,AIzaSy...8yB0,176,Bukit Panjang,Bangkit,shopping,shopping mall,"shopping mall in Bangkit, Bukit Panjang, Singapore",OK,,20,
2026-07-19T13:30:31.839519,text_search,2,AIzaSy...8yB0,177,Bukit Panjang,Bangkit,shopping,supermarket,"supermarket in Bangkit, Bukit Panjang, Singapore",OK,,20,
2026-07-19T13:30:33.080433,text_search,2,AIzaSy...8yB0,178,Bukit Panjang,Bangkit,shopping,grocery store,"grocery store in Bangkit, Bukit Panjang, Singapore",OK,,20,
2026-07-19T13:30:33.736539,text_search,2,AIzaSy...8yB0,179,Bukit Panjang,Bangkit,shopping,convenience store,"convenience store in Bangkit, Bukit Panjang, Singapore",OK,,9,
2026-07-19T13:30:34.547924,text_search,2,AIzaSy...8yB0,180,Bukit Panjang,Bangkit,shopping,wet market,"wet market in Bangkit, Bukit Panjang, Singapore",OK,,1,
2026-07-19T13:30:35.624955,text_search,2,AIzaSy...8yB0,181,Bukit Panjang,Bangkit,recreation,gym,"gym in Bangkit, Bukit Panjang, Singapore",OK,,20,
2026-07-19T13:30:36.410938,text_search,2,AIzaSy...8yB0,182,Bukit Panjang,Bangkit,recreation,sports centre,"sports centre in Bangkit, Bukit Panjang, Singapore",OK,,20,
2026-07-19T13:30:37.270966,text_search,2,AIzaSy...8yB0,183,Bukit Panjang,Bangkit,recreation,swimming complex,"swimming complex in Bangkit, Bukit Panjang, Singapore",OK,,20,
2026-07-19T13:30:38.265060,text_search,2,AIzaSy...8yB0,184,Bukit Panjang,Bangkit,recreation,cinema,"cinema in Bangkit, Bukit Panjang, Singapore",OK,,20,
2026-07-19T13:30:39.277593,text_search,2,AIzaSy...8yB0,185,Bukit Panjang,Bangkit,recreation,community club,"community club in Bangkit, Bukit Panjang, Singapore",OK,,5,
2026-07-19T13:30:40.021583,text_search,2,AIzaSy...8yB0,186,Bukit Panjang,Bangkit,recreation,playground,"playground in Bangkit, Bukit Panjang, Singapore",OK,,18,
2026-07-19T13:30:40.955262,text_search,2,AIzaSy...8yB0,187,Bukit Panjang,Bangkit,nature,park,"park in Bangkit, Bukit Panjang, Singapore",OK,,20,
2026-07-19T13:30:41.736477,text_search,2,AIzaSy...8yB0,188,Bukit Panjang,Bangkit,nature,nature reserve,"nature reserve in Bangkit, Bukit Panjang, Singapore",OK,,20,
2026-07-19T13:30:42.506767,text_search,2,AIzaSy...8yB0,189,Bukit Panjang,Bangkit,nature,garden,"garden in Bangkit, Bukit Panjang, Singapore",OK,,20,
2026-07-19T13:30:43.246218,text_search,2,AIzaSy...8yB0,190,Bukit Panjang,Bangkit,nature,beach,"beach in Bangkit, Bukit Panjang, Singapore",OK,,5,
2026-07-19T13:30:44.116943,text_search,2,AIzaSy...8yB0,191,Bukit Panjang,Bangkit,nature,waterfront,"waterfront in Bangkit, Bukit Panjang, Singapore",OK,,20,
