planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Bukit Panjang,Bangkit,education,18,4.5,4787,90.0
Bukit Panjang,Bangkit,transport,7,3.943,996,78.86
Bukit Panjang,Bangkit,food,5,4.12,6870,82.4
Bukit Panjang,Bangkit,shopping,6,3.717,17365,74.34
Bukit Panjang,Bangkit,recreation,9,4.344,3654,86.88
Bukit Panjang,Bangkit,nature,8,4.375,3920,87.5
Bukit Panjang,Dairy Farm,education,16,4.508,1454,90.16
Bukit Panjang,Dairy Farm,transport,7,4.014,1042,80.28
Bukit Panjang,Dairy Farm,food,6,4.033,3407,80.66
Bukit Panjang,Dairy Farm,shopping,6,3.933,2577,78.66
Bukit Panjang,Dairy Farm,recreation,9,4.478,4821,89.56
Bukit Panjang,Dairy Farm,nature,7,4.5,1477,90.0
Bukit Panjang,Fajar,education,13,4.545,10109,90.9
Bukit Panjang,Fajar,transport,4,3.5,51,70.0
Bukit Panjang,Fajar,food,9,3.989,6903,79.78
Bukit Panjang,Fajar,shopping,8,4.025,10571,80.5
Bukit Panjang,Fajar,recreation,12,4.233,4843,84.66
Bukit Panjang,Fajar,nature,11,4.036,5794,80.72
Bukit Panjang,Jelebu,education,17,4.392,4453,87.84
Bukit Panjang,Jelebu,transport,8,3.9,1257,78.0
Bukit Panjang,Jelebu,food,7,4.471,6152,89.42
Bukit Panjang,Jelebu,shopping,7,3.843,18646,76.86
Bukit Panjang,Jelebu,recreation,10,4.43,4141,88.6
Bukit Panjang,Jelebu,nature,11,4.345,19518,86.9
Bukit Panjang,Nature Reserve,education,17,4.664,11268,93.28
Bukit Panjang,Nature Reserve,transport,7,3.9,1093,78.0
Bukit Panjang,Nature Reserve,food,8,4.35,6066,87.0
Bukit Panjang,Nature Reserve,shopping,8,3.775,17303,75.5
Bukit Panjang,Nature Reserve,recreation,10,4.39,3745,87.8
Bukit Panjang,Nature Reserve,nature,6,4.667,11679,93.34
Bukit Panjang,Saujana,education,16,4.318,1973,86.36
Bukit Panjang,Saujana,transport,6,3.833,1089,76.66
Bukit Panjang,Saujana,food,9,4.144,10632,82.88
Bukit Panjang,Saujana,shopping,8,4.15,17889,83.0
Bukit Panjang,Saujana,recreation,11,4.373,3999,87.46
Bukit Panjang,Saujana,nature,9,4.478,7223,89.56
Bukit Panjang,Senja,education,12,4.378,2609,87.56
Bukit Panjang,Senja,transport,6,3.783,117,75.66
Bukit Panjang,Senja,food,5,3.96,1835,79.2
Bukit Panjang,Senja,shopping,7,3.914,16903,78.28
Bukit Panjang,Senja,recreation,8,4.162,4763,83.24
Bukit Panjang,Senja,nature,10,4.37,4493,87.4
