planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Bukit Panjang,Bangkit,education,kindergarten,"kindergarten in Bangkit, Bukit Panjang, Singapore",ChIJBRGwXAAR2jERTs9vXojL5DY,Artemis Preskool @Bukit Panjang,"256 Bangkit Rd, #02-73, Singapore 670256",5.0,7,"[""establishment"", ""point_of_interest"", ""school""]",1.3790458,103.773002,True
Bukit Panjang,Bangkit,education,kindergarten,"kindergarten in Bangkit, Bukit Panjang, Singapore",ChIJ45x4iIgR2jERQfg5yAOn1ZU,Little Seeds Preschool (TSA - Bukit Panjang),"402 Fajar Rd, #01-217, Singapore 670402",4.9,38,"[""establishment"", ""point_of_interest"", ""school""]",1.3803488,103.7680693,True
Bukit Panjang,Bangkit,education,childcare centre,"childcare centre in Bangkit, Bukit Panjang, Singapore",ChIJQ7lGiAER2jERufyY2n31G64,in:genius by NASCANS Student Care @ Bukit Panjang,"260 Bangkit Rd, #01-15 Upper Floor, Singapore 670260",5.0,3,"[""establishment"", ""point_of_interest""]",1.3779482,103.7733395,True
Bukit Panjang,Bangkit,education,childcare centre,"childcare centre in Bangkit, Bukit Panjang, Singapore",ChIJPYvMLtER2jERBwgbdFjT2eg,Infant care,"#02-02/02-03 Cashew Park, Singapore 679637",5.0,23,"[""establishment"", ""point_of_interest"", ""school""]",1.370652,103.767527,True
Bukit Panjang,Bangkit,education,primary school,"primary school in Bangkit, Bukit Panjang, Singapore",ChIJLYS9rqgR2jERu6jj_I969Gw,Bukit Panjang Primary School,"109 Cashew Rd, Singapore 679676",,0,"[""establishment"", ""point_of_interest"", ""primary_school"", ""school"", ""secondary_school""]",1.3730121,103.7690821,True
Bukit Panjang,Bangkit,education,primary school,"primary school in Bangkit, Bukit Panjang, Singapore",ChIJJR5v3qMR2jER9QZ49ia1PWE,Zhenghua Primary School,"9 Fajar Rd, Singapore 679002",,0,"[""establishment"", ""point_of_interest"", ""primary_school"", ""school"", ""secondary_school""]",1.3796697,103.7692818,True
Bukit Panjang,Bangkit,education,secondary school,"secondary school in Bangkit, Bukit Panjang, Singapore",ChIJbUEQbd0R2jERyMl2YGs8yHE,Bukit Panjang Government High School,"7 Choa Chu Kang Ave 4, Singapore 689809",,0,"[""establishment"", ""point_of_interest"", ""school"", ""secondary_school""]",1.3815132,103.7388106,True
Bukit Panjang,Bangkit,education,secondary school,"secondary school in Bangkit, Bukit Panjang, Singapore",ChIJS4GFPqAR2jERQGJOjeXgYz8,Greenridge Secondary School,"31 Gangsa Rd, Singapore 678972",,0,"[""establishment"", ""point_of_interest"", ""school""]",1.3754112,103.7644315,True
Bukit Panjang,Bangkit,education,junior college,"junior college in Bangkit, Bukit Panjang, Singapore",ChIJz_-CGpUR2jERsxAVVh_vnoY,Jurong Pioneer Junior College,"21 Teck Whye Walk, Singapore 688258",3.8,86,"[""establishment"", ""point_of_interest"", ""university""]",1.3847446,103.753857,True
Bukit Panjang,Bangkit,education,junior college,"junior college in Bangkit, Bukit Panjang, Singapore",ChIJ61lTU6EQ2jERiBDECMxHYFY,National Junior College,"37 Hillcrest Rd, Singapore 288913",4.4,182,"[""establishment"", ""point_of_interest"", ""school"", ""university""]",1.330476,103.8045,True
