planning_area,subzone,poi_dimension,place_query_type,place_id,place_name,place_rating,place_user_ratings_total,review_index,review_author_name,review_author_url,review_language,review_profile_photo_url,review_rating,review_relative_time_description,review_time,review_text
Bukit Panjang,Bangkit,education,kindergarten,ChIJBRGwXAAR2jERTs9vXojL5DY,Artemis Preskool @Bukit Panjang,5.0,7,0,RINI LAU,https://www.google.com/maps/contrib/102772966602440067554/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocKG9dPLuNOeK4xkpfymYjOJWP_NKvOStub6u82FaeWXhcts8A=s128-c0x00000000-cc-rp-mo,5,8 months ago,1763182634,"We really like this school, and our daughter is always happy here. She loves her teachers and classmates, and we can see how much she enjoys going to school every day. The school often organizes various festive events and activities for both children and parents, which we truly appreciate. The school aunty also prepares fresh, home-cooked lunches for the children daily.

Overall, we’re very satisfied and grateful for the warm and caring environment this school provides."
Bukit Panjang,Bangkit,education,kindergarten,ChIJBRGwXAAR2jERTs9vXojL5DY,Artemis Preskool @Bukit Panjang,5.0,7,1,Sarah Zulkifli,https://www.google.com/maps/contrib/109164562462230356748/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXD52UzlFBDXTyFo2lXH2EoQ9T8Y6Gc1ZNrFjNAJGZzgumLd1E=s128-c0x00000000-cc-rp-mo,5,9 months ago,1760068738,"I’m deeply grateful to Artemis Preskool @ Bukit Panjang, especially the dedicated teachers and principal, for their exceptional care and commitment towards my child. The teachers are genuinely nurturing, patient, and attentive — special thanks to Ms Su the Centre Principal, Teacher Michelle, Su Lao Shi, Teacher Quek, Teacher Sharon, Teacher Rani and the rest as well. Thank you, Artemis Preskool, for making each day a positive experience and for supporting my child’s growth, curiosity, and confidence. I couldn’t ask for a better preschool community! 💖"
Bukit Panjang,Bangkit,education,kindergarten,ChIJBRGwXAAR2jERTs9vXojL5DY,Artemis Preskool @Bukit Panjang,5.0,7,2,norita rohani,https://www.google.com/maps/contrib/113870483404718573406/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJXxonyQSxQjqorLIDJYUvk6BHLHlB6QzobAcDE5fvXI9jbMzE=s128-c0x00000000-cc-rp-mo,5,10 months ago,1756354462,"The centre is really spacious and nice, which makes it such a great place for kids to play and learn. The teachers are friendly and always engaging with the children, which makes the kids feel happy and comfortable. Really love the environment and the vibe here!"
Bukit Panjang,Bangkit,education,kindergarten,ChIJBRGwXAAR2jERTs9vXojL5DY,Artemis Preskool @Bukit Panjang,5.0,7,3,Sharmaine Pizarro,https://www.google.com/maps/contrib/104838297364685682526/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjURXdQM2NrZnPRDC1MQorcNUCpPoRi6DPsoCeU30p8JqnN-gDM1=s128-c0x00000000-cc-rp-mo,5,10 months ago,1756351139,"The teachers are very friendly. I went for a visit to enrol my child and I saw how teachers interact with the children, very calm and friendly."
Bukit Panjang,Bangkit,education,kindergarten,ChIJBRGwXAAR2jERTs9vXojL5DY,Artemis Preskool @Bukit Panjang,5.0,7,4,TingTing Wei,https://www.google.com/maps/contrib/104341444179668754261/reviews,en-US,https://lh3.googleusercontent.com/a-/ALV-UjVD9GRou-GpJm4DYEvo8xLYvhUBp43wDuvk8FJybHJZQ7VfJGM=s128-c0x00000000-cc-rp-mo,5,3 months ago,1776087519,"Thank you so much, Teacher Sharine and Teacher Fang, for taking such good care of my child on their first day of kindergarten. Your patient reassurance and meticulous care helped my child gradually relax and ease their anxiety. Seeing my child smiling in the photos you sent made us feel so reassured. Your gentleness and professionalism gave my child a strong sense of security. Thank you so much from the bottom of our hearts, you've worked so hard!"
Bukit Panjang,Bangkit,education,kindergarten,ChIJ45x4iIgR2jERQfg5yAOn1ZU,Little Seeds Preschool (TSA - Bukit Panjang),4.9,38,0,MarkiThumbs,https://www.google.com/maps/contrib/111298612710231960967/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjUcoSMctAsk-73mOCQvRj1qM0qao9fI8qLoUFk0EnEB3IfHyj_F=s128-c0x00000000-cc-rp-mo,5,a month ago,1781231171,"My Son took his pre school years here from N2 to K2, and he enjoyed every second of it. ALL the Teachers are very nice and really child-development focused. Curriculum wise, It is really a good jump start for the primary preparation. But mainly I am grateful to all of them because of the Values they instill to my Son, my Son becomes expressive and not shy, he's very friendly and appreciate all his friends around him, moreover the christ centered faith that he have, truly the ""Little Seed"" they planted to my Son's heart and soul will surely flourished and will truly be there until he will received Jesus as his saviour on his own. Thank You Little Seeds Pre School Bukit Panjang. We will always be grateful of you all.

May God Bless you all. 🙏🏽"
Bukit Panjang,Bangkit,education,kindergarten,ChIJ45x4iIgR2jERQfg5yAOn1ZU,Little Seeds Preschool (TSA - Bukit Panjang),4.9,38,1,Iam YiHao,https://www.google.com/maps/contrib/111410729104671267198/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJ-pBlXMGQPFuvH56MGJiaVfjYz9Skp_ux4JpxD6XhKwh10Hg=s128-c0x00000000-cc-rp-mo,5,a month ago,1781616882,"We are very happy with Little Seeds Preschool. The teachers are caring, patient, and dedicated to creating a positive learning environment for the children. My daughter enjoys going to school every day and has grown in confidence, social skills, and independence since joining.

The school provides a good balance of learning and play, making lessons engaging and enjoyable for young children. Communication with parents is also excellent, and we appreciate the regular updates on our child’s progress.

I was also pleasantly surprised to see 白老师 at the school. She was one of the teachers who taught and cared for me when I was young, and it is truly heartwarming to know that my daughter is now learning under the guidance of someone who was such a positive influence during my own childhood. Seeing her dedication and passion for teaching remain unchanged over the years gives me great confidence and reassurance as a parent.

Thank you to all the teachers and staff for their hard work, care, and commitment. We highly recommend Little Seeds Preschool to parents looking for a nurturing, supportive, and enriching environment for their children."
Bukit Panjang,Bangkit,education,kindergarten,ChIJ45x4iIgR2jERQfg5yAOn1ZU,Little Seeds Preschool (TSA - Bukit Panjang),4.9,38,2,Melissa Sim,https://www.google.com/maps/contrib/111653308194570526647/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXYgBXIpSQhRZ5ZE82G3lEbymiAsvej2GGJC6qry-AGMY6Mwdrm=s128-c0x00000000-cc-rp-mo,5,a month ago,1781248011,"Little Seeds (BPJ) has been such an amazing, supportive and conducive place of learning for my child. She has attended Little Seeds BPJ since she turned 18 months and experienced nothing less than love, compassion, kindness and empathy in her growing up years. Even after she has graduated, she continues to speak very fondly of her time at Little Seeds and frequently hopes that she could return to her teachers. Special shout out to Aunty Joanna, Aunty E, Aunty Yuan Wei and more.

Thank you for giving my child such an amazing start to live and learning!"
Bukit Panjang,Bangkit,education,kindergarten,ChIJ45x4iIgR2jERQfg5yAOn1ZU,Little Seeds Preschool (TSA - Bukit Panjang),4.9,38,3,sien mordaunt,https://www.google.com/maps/contrib/110115290073621224770/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJgZF_G4WFZQLgj8suMsIR-SltpQT8XnbBPrOqIDkbh7FJSJw=s128-c0x00000000-cc-rp-mo-ba4,5,a month ago,1781266772,"Little Seeds Preschool has been such a blessing to our daughter and family! The teachers are caring and encouraging, and especially patient with the little children.

The cirriculum is well rounded and focuses on social skills and values which I appreciate. Most of all, the teachers and staff are the heart and soul of the place. I would heartily recommend my friends and neighbours to consider enrolling their child into Little Seeds Preschool (TSA-Bukit Panjang)."
Bukit Panjang,Bangkit,education,kindergarten,ChIJ45x4iIgR2jERQfg5yAOn1ZU,Little Seeds Preschool (TSA - Bukit Panjang),4.9,38,4,Rowenna Loh,https://www.google.com/maps/contrib/101710331803206441060/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocKqpIM8tVQjNi_Xg2d80GCLsYApu_OZChbZ65WrtTmIsVcyLQ=s128-c0x00000000-cc-rp-mo-ba2,5,a month ago,1781843045,"This preschool has been such an important part of our family’s journey.

Both of our children started here at 18 months old, and over the years, we have been blessed by the kindness, dedication and genuine care shown by the teachers and staff.

The school provides a warm, safe and nurturing environment where children feel seen, supported and encouraged to grow. What stands out most is how much the teachers truly care—not just about the children’s learning, but also about their emotional well-being and confidence.

When we moved, we considered transferring our younger child to a preschool closer to home. In the end, we chose to stay because the trust, care and sense of security we found here were simply too valuable to give up.

As parents, we often talk about needing a village to raise a child. This preschool has been part of ours. The teachers have supported our children through different stages of growth and have also been a source of encouragement for us as parents.

Thank you to all the wonderful teachers and staff for creating such a special place for children to learn, grow and thrive. We are deeply grateful for the positive impact you have had on our family."
