timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-20T15:26:42.388562,text_search,1,AIzaSy...IDGw,220,Central Water Catchment,Central Water Catchment,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Central Water Catchment, Central Water Catchment, Singapore",OK,,20,
2026-07-20T15:26:43.624619,text_search,1,AIzaSy...IDGw,221,Central Water Catchment,Central Water Catchment,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Central Water Catchment, Central Water Catchment, Singapore",OK,,20,
2026-07-20T15:26:45.010239,text_search,1,AIzaSy...IDGw,222,Central Water Catchment,Central Water Catchment,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Central Water Catchment, Central Water Catchment, Singapore",OK,,20,
2026-07-20T15:26:46.312666,text_search,1,AIzaSy...IDGw,223,Central Water Catchment,Central Water Catchment,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Central Water Catchment, Central Water Catchment, Singapore",OK,,20,
2026-07-20T15:26:47.925731,text_search,1,AIzaSy...IDGw,224,Central Water Catchment,Central Water Catchment,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Central Water Catchment, Central Water Catchment, Singapore",OK,,20,
2026-07-20T15:26:49.299293,text_search,1,AIzaSy...IDGw,225,Central Water Catchment,Central Water Catchment,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Central Water Catchment, Central Water Catchment, Singapore",OK,,20,
2026-07-20T15:26:49.843147,place_details_reviews,1,AIzaSy...IDGw,226,Central Water Catchment,Central Water Catchment,food,food dining hawker centres restaurants cafes,ChIJ04DTdbQZ2jERFt4kBQi-E60,OK,,5,Golden Mile Food Centre
2026-07-20T15:26:50.266267,place_details_reviews,1,AIzaSy...IDGw,227,Central Water Catchment,Central Water Catchment,recreation,recreation sports gyms swimming community clubs,ChIJ8yMt54sQ2jERjBRZb9swlqY,OK,,5,Temasek Club
2026-07-20T15:26:50.266956,place_details_reviews,1,AIzaSy...IDGw,227,Central Water Catchment,Central Water Catchment,education,education facilities schools childcare libraries,ChIJKaGsJKUZ2jERxa8yhKrdPfI,OK,,5,National Library / Lee Kong Chian Reference Library
2026-07-20T15:26:50.779152,place_details_reviews,1,AIzaSy...IDGw,228,Central Water Catchment,Central Water Catchment,shopping,shopping groceries malls supermarkets markets,ChIJVYEAaEca2jERpxajHtlWFRE,OK,,5,Sheng Siong Supermarket
2026-07-20T15:26:50.780533,place_details_reviews,1,AIzaSy...IDGw,228,Central Water Catchment,Central Water Catchment,recreation,recreation sports gyms swimming community clubs,ChIJ____7xMX2jERWYaeX5Kpxcw,OK,,5,Bishan Community Club
2026-07-20T15:26:51.168774,place_details_reviews,1,AIzaSy...IDGw,229,Central Water Catchment,Central Water Catchment,nature,parks gardens nature waterfront park connectors,ChIJ____rBoU2jERyE5AP5-iwrc,OK,,5,Lower Seletar Reservoir Park
2026-07-20T15:26:51.792504,place_details_reviews,1,AIzaSy...IDGw,230,Central Water Catchment,Central Water Catchment,shopping,shopping groceries malls supermarkets markets,ChIJ_xnxVaMR2jERK7dnPmCBqqc,OK,,5,FairPrice Hillion Mall
2026-07-20T15:26:51.794268,place_details_reviews,1,AIzaSy...IDGw,230,Central Water Catchment,Central Water Catchment,education,education facilities schools childcare libraries,ChIJ_yBIIRQX2jERvEDz9aXhFoU,OK,,5,Bishan Library
2026-07-20T15:26:52.223608,place_details_reviews,1,AIzaSy...IDGw,231,Central Water Catchment,Central Water Catchment,transport,public transport MRT LRT bus stops,ChIJhY0kWUca2jERcQr3RFss0Fg,OK,,5,Commonwealth
2026-07-20T15:26:52.224358,place_details_reviews,1,AIzaSy...IDGw,231,Central Water Catchment,Central Water Catchment,nature,parks gardens nature waterfront park connectors,ChIJi090zPwS2jERiJCqFWoP8Z4,OK,,5,Woodlands Waterfront Park
2026-07-20T15:26:52.224844,place_details_reviews,1,AIzaSy...IDGw,231,Central Water Catchment,Central Water Catchment,transport,public transport MRT LRT bus stops,ChIJt4dBe0MX2jERv_W35iW_eSA,OK,,5,Caldecott
2026-07-20T15:26:52.820831,place_details_reviews,1,AIzaSy...IDGw,232,Central Water Catchment,Central Water Catchment,food,food dining hawker centres restaurants cafes,ChIJv4Mk4QYa2jERlGncaOIvpW4,OK,,5,Adam Food Centre
