planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Central Water Catchment,Central Water Catchment,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Central Water Catchment, Central Water Catchment, Singapore",ChIJcaOg62wU2jERB6GKt4ELsEA,Nee Soon Central Community Children's Library,"644 Yishun Street 61, Singapore 760644",5.0,1,"[""establishment"", ""library"", ""point_of_interest""]",1.4217439,103.8373836,True
Central Water Catchment,Central Water Catchment,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Central Water Catchment, Central Water Catchment, Singapore",ChIJBYGvEQAV2jER6vbbOEyIvVk,Play & Learn Community library corner,"137 Yishun Ring Rd, Singapore 760137",,0,"[""establishment"", ""library"", ""point_of_interest""]",1.4320036,103.8300215,True
Central Water Catchment,Central Water Catchment,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Central Water Catchment, Central Water Catchment, Singapore",ChIJ2739TgoP2jERlpS4Fef772Y,Library and Information Services Centre (NIE),"1 Nanyang Walk, Singapore 637616",4.6,28,"[""establishment"", ""library"", ""point_of_interest""]",1.348661,103.677635,True
Central Water Catchment,Central Water Catchment,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Central Water Catchment, Central Water Catchment, Singapore",ChIJoYeYhwga2jERj3zUHj2k3d4,Lian Wah Library,"609A Bukit Timah Rd, Singapore 269711",5.0,2,"[""establishment"", ""point_of_interest""]",1.3243861,103.8095032,True
Central Water Catchment,Central Water Catchment,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Central Water Catchment, Central Water Catchment, Singapore",ChIJtytWhSYX2jERE5pYBPyYhAA,Mulberry Learning @ Braddell,"1 Lor 2 Toa Payoh, #01-02/03/04, Singapore 319637",4.7,76,"[""establishment"", ""point_of_interest"", ""school""]",1.3402113,103.8474403,True
Central Water Catchment,Central Water Catchment,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Central Water Catchment, Central Water Catchment, Singapore",ChIJ1fYfwGAa2jERy7f1JLymou0,SP - Library & FabLab,"500 Dover Rd, Singapore 139651",4.2,34,"[""establishment"", ""library"", ""point_of_interest""]",1.3087569,103.7799417,True
Central Water Catchment,Central Water Catchment,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Central Water Catchment, Central Water Catchment, Singapore",ChIJTXdxQk4b2jER4HdHnRNjvLY,HV Little Library,"2 Holland Ave, Block 2, Singapore 271002",4.9,64,"[""establishment"", ""library"", ""point_of_interest""]",1.3095115,103.7956789,True
Central Water Catchment,Central Water Catchment,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Central Water Catchment, Central Water Catchment, Singapore",ChIJ5-Dtl-kR2jERllI9-1NpYVY,Choa Chu Kang Library,"21 Choa Chu Kang Avenue 4 #04-01/02 and #05-06, Lot One Shopper’s Mall, Singapore 689812",4.3,280,"[""establishment"", ""library"", ""point_of_interest""]",1.384977,103.7452205,True
Central Water Catchment,Central Water Catchment,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Central Water Catchment, Central Water Catchment, Singapore",ChIJq93ndYcQ2jERjHV_c00fWVM,Lien Ying Chow Library,"535 Clementi Rd, #02-01, Singapore 599489",4.5,12,"[""establishment"", ""library"", ""point_of_interest""]",1.3337072,103.7767791,True
Central Water Catchment,Central Water Catchment,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Central Water Catchment, Central Water Catchment, Singapore",ChIJ_yBIIRQX2jERvEDz9aXhFoU,Bishan Library,"5 Bishan Pl, #01-01, Singapore 579841",4.4,470,"[""establishment"", ""library"", ""point_of_interest""]",1.3498471,103.8487828,True
Central Water Catchment,Central Water Catchment,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Central Water Catchment, Central Water Catchment, Singapore",ChIJgSLBhIAQ2jER03pM4hD-5EY,Tay Eng Soon Library,"535A Clementi Rd, Singapore 599490 Clementi Rd, Singapore 599490",4.4,7,"[""establishment"", ""library"", ""point_of_interest""]",1.3298003,103.7757296,True
Central Water Catchment,Central Water Catchment,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Central Water Catchment, Central Water Catchment, Singapore",ChIJ-cuboDAa2jERf6hKqh96UC0,Queenstown Library,"53 Margaret Dr, Singapore 149297",4.6,422,"[""establishment"", ""library"", ""point_of_interest""]",1.2986449,103.8051823,True
Central Water Catchment,Central Water Catchment,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Central Water Catchment, Central Water Catchment, Singapore",ChIJKaGsJKUZ2jERxa8yhKrdPfI,National Library / Lee Kong Chian Reference Library,"100 Victoria St, Singapore 188064",4.6,1765,"[""establishment"", ""library"", ""point_of_interest""]",1.2975884,103.8543081,True
Central Water Catchment,Central Water Catchment,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Central Water Catchment, Central Water Catchment, Singapore",ChIJ77M1mP4a2jERRfwA553Qz3E,NUS Central Library,"12 Kent Ridge Cres, Singapore 119275",4.6,166,"[""establishment"", ""library"", ""point_of_interest""]",1.2965182,103.773145,True
Central Water Catchment,Central Water Catchment,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Central Water Catchment, Central Water Catchment, Singapore",ChIJt-9Ofd8b2jER7ZMceh6D-HE,Learning Vision National University Health System,"1 Lower Kent Ridge Rd, #07-01 One @ Kent Ridge, Singapore 119082",5.0,55,"[""establishment"", ""point_of_interest"", ""school""]",1.2934298,103.7845351,True
