planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Changi Bay,Changi Bay,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Changi Bay, Changi Bay, Singapore",ChIJV8XBQ8A82jERZE3PGgh94PQ,Learning Vision Changi Airport (Terminal 3),"65 AIRPORT BOULEVARD #04-02, Terminal 3, Singapore 819663",5.0,132,"[""establishment"", ""point_of_interest"", ""school""]",1.3519556,103.9842908,True
Changi Bay,Changi Bay,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Changi Bay, Changi Bay, Singapore",ChIJyxCrCdk82jERIy1QSIk6u5k,Learning Vision Changi Business Park,"7 Changi Business Park Vis, #02-01 Sookee HQ, Singapore 486042",4.8,37,"[""establishment"", ""point_of_interest"", ""school""]",1.3382767,103.9654209,True
Changi Bay,Changi Bay,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Changi Bay, Changi Bay, Singapore",ChIJq6qaUx892jERKuxoBdGvvEI,KidsCampus Changi Simei Childcare & Infant Care Centre,"10 Simei Street 2, #04-01 Community Club, Singapore 529915",5.0,61,"[""establishment"", ""point_of_interest""]",1.3449742,103.955191,True
Changi Bay,Changi Bay,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Changi Bay, Changi Bay, Singapore",ChIJkwcGHO092jERFwg7nid1_Ss,Maplebear Changi Business Park,"15A Changi Business Park Central 1, #01-01 Eightrium@Changi Business Park, Singapore 486035",4.5,15,"[""establishment"", ""point_of_interest"", ""school""]",1.3379282,103.964248,True
Changi Bay,Changi Bay,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Changi Bay, Changi Bay, Singapore",ChIJmYuPvtgb2jERieobmDfLkCQ,Busy Bees Asia,"8 Changi Business Park Ave 1, #03-51 South Tower, Singapore 486018",1.1,9,"[""establishment"", ""point_of_interest""]",1.3351166,103.9638926,True
Changi Bay,Changi Bay,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Changi Bay, Changi Bay, Singapore",ChIJ4f-PviI92jERgXmfZjwzxyc,Star Learners @ Changi Simei | Preschool & Childcare,"114 Simei Street 1, #01-614, Singapore 520114",4.9,31,"[""establishment"", ""point_of_interest"", ""school""]",1.34375,103.950429,True
Changi Bay,Changi Bay,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Changi Bay, Changi Bay, Singapore",ChIJq6qqWuA82jERLD2Y_HDd6ww,Kinderland Preschool @ Upper Changi,"86 Jln Pergam, Singapore 488362",4.8,29,"[""establishment"", ""point_of_interest"", ""school""]",1.3469764,103.9623476,True
Changi Bay,Changi Bay,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Changi Bay, Changi Bay, Singapore",ChIJEUv2lq8j2jERSz1QvxJ17bg,Mulberry Learning @ East Coast (Bayshore),"440A Upper E Coast Rd, Level 1, Singapore 466497",4.0,3,"[""establishment"", ""point_of_interest"", ""school""]",1.3141562,103.9406255,True
Changi Bay,Changi Bay,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Changi Bay, Changi Bay, Singapore",ChIJD9x1U4w82jER_CyCuY7iR6s,MindChamps PreSchool,"65 Airport Boulevard #03-22/29, Terminal 3 Singapore Changi Airport, Singapore 819663",4.9,105,"[""establishment"", ""point_of_interest"", ""school""]",1.3563,103.987354,True
Changi Bay,Changi Bay,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Changi Bay, Changi Bay, Singapore",ChIJw8IVMqk92jERhPm5ecCjtU8,Brave Feats Student Care (Bedok),"21 Bedok North Street 1, #02-02 Common Ground Civics Centre, Singapore 469659",5.0,33,"[""establishment"", ""point_of_interest""]",1.3269455,103.9308431,True
