timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-20T15:26:54.655999,text_search,1,AIzaSy...IDGw,233,Changi,Changi Airport,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Changi Airport, Changi, Singapore",OK,,20,
2026-07-20T15:26:55.845973,text_search,1,AIzaSy...IDGw,234,Changi,Changi Airport,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Changi Airport, Changi, Singapore",OK,,20,
2026-07-20T15:26:57.188980,text_search,1,AIzaSy...IDGw,235,Changi,Changi Airport,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Changi Airport, Changi, Singapore",OK,,20,
2026-07-20T15:26:58.624249,text_search,1,AIzaSy...IDGw,236,Changi,Changi Airport,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Changi Airport, Changi, Singapore",OK,,20,
2026-07-20T15:26:59.906444,text_search,1,AIzaSy...IDGw,237,Changi,Changi Airport,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Changi Airport, Changi, Singapore",OK,,20,
2026-07-20T15:27:01.506898,text_search,1,AIzaSy...IDGw,238,Changi,Changi Airport,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Changi Airport, Changi, Singapore",OK,,20,
2026-07-20T15:27:02.878514,text_search,1,AIzaSy...IDGw,239,Changi,Changi Point,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Changi Point, Changi, Singapore",OK,,20,
2026-07-20T15:27:04.273260,text_search,1,AIzaSy...IDGw,240,Changi,Changi Point,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Changi Point, Changi, Singapore",OK,,20,
2026-07-20T15:27:05.660187,text_search,1,AIzaSy...IDGw,241,Changi,Changi Point,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Changi Point, Changi, Singapore",OK,,20,
2026-07-20T15:27:06.714667,text_search,1,AIzaSy...IDGw,242,Changi,Changi Point,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Changi Point, Changi, Singapore",OK,,20,
