planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Changi,Changi Airport,education,20,4.606,3324,92.12
Changi,Changi Airport,transport,20,3.8,2909,76.0
Changi,Changi Airport,food,20,4.255,98911,85.1
Changi,Changi Airport,shopping,20,4.27,170180,85.4
Changi,Changi Airport,recreation,20,4.275,28879,85.5
Changi,Changi Airport,nature,20,4.41,44507,88.2
Changi,Changi Point,education,20,4.642,3407,92.84
Changi,Changi Point,transport,20,4.084,16740,81.68
Changi,Changi Point,food,20,4.28,88311,85.6
Changi,Changi Point,shopping,20,4.275,182988,85.5
Changi,Changi Point,recreation,20,4.34,23540,86.8
Changi,Changi Point,nature,20,4.42,32670,88.4
Changi,Changi West,education,20,4.64,1864,92.8
Changi,Changi West,transport,20,4.09,4390,81.8
Changi,Changi West,food,1,4.3,13986,86.0
Changi,Changi West,shopping,20,4.225,201729,84.5
Changi,Changi West,recreation,20,4.28,28559,85.6
Changi,Changi West,nature,20,4.34,32161,86.8
