planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Changi,Changi Airport,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Changi Airport, Changi, Singapore",ChIJV8XBQ8A82jERZE3PGgh94PQ,Learning Vision Changi Airport (Terminal 3),"65 AIRPORT BOULEVARD #04-02, Terminal 3, Singapore 819663",5.0,132,"[""establishment"", ""point_of_interest"", ""school""]",1.3519556,103.9842908,True
Changi,Changi Airport,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Changi Airport, Changi, Singapore",ChIJD9x1U4w82jER_CyCuY7iR6s,MindChamps PreSchool,"65 Airport Boulevard #03-22/29, Terminal 3 Singapore Changi Airport, Singapore 819663",4.9,105,"[""establishment"", ""point_of_interest"", ""school""]",1.3563,103.987354,True
Changi,Changi Airport,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Changi Airport, Changi, Singapore",ChIJyxCrCdk82jERIy1QSIk6u5k,Learning Vision Changi Business Park,"7 Changi Business Park Vis, #02-01 Sookee HQ, Singapore 486042",4.8,37,"[""establishment"", ""point_of_interest"", ""school""]",1.3382767,103.9654209,True
Changi,Changi Airport,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Changi Airport, Changi, Singapore",ChIJq6qqWuA82jERLD2Y_HDd6ww,Kinderland Preschool @ Upper Changi,"86 Jln Pergam, Singapore 488362",4.8,29,"[""establishment"", ""point_of_interest"", ""school""]",1.3469764,103.9623476,True
Changi,Changi Airport,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Changi Airport, Changi, Singapore",ChIJ____T9c82jER0kOpoSgBLOE,MindChamps Performing Arts PreSchool @ Changi Business Park,"51 Changi Business Park Central 2, #01-16, Singapore 486066",4.8,30,"[""establishment"", ""point_of_interest"", ""school""]",1.335372,103.9649552,True
Changi,Changi Airport,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Changi Airport, Changi, Singapore",ChIJw8IVMqk92jERhPm5ecCjtU8,Brave Feats Student Care (Bedok),"21 Bedok North Street 1, #02-02 Common Ground Civics Centre, Singapore 469659",5.0,33,"[""establishment"", ""point_of_interest""]",1.3269455,103.9308431,True
Changi,Changi Airport,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Changi Airport, Changi, Singapore",ChIJmYuPvtgb2jERieobmDfLkCQ,Busy Bees Asia,"8 Changi Business Park Ave 1, #03-51 South Tower, Singapore 486018",1.1,9,"[""establishment"", ""point_of_interest""]",1.3351166,103.9638926,True
Changi,Changi Airport,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Changi Airport, Changi, Singapore",ChIJq6qaUx892jERKuxoBdGvvEI,KidsCampus Changi Simei Childcare & Infant Care Centre,"10 Simei Street 2, #04-01 Community Club, Singapore 529915",5.0,61,"[""establishment"", ""point_of_interest""]",1.3449742,103.955191,True
Changi,Changi Airport,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Changi Airport, Changi, Singapore",ChIJ4f-PviI92jERgXmfZjwzxyc,Star Learners @ Changi Simei | Preschool & Childcare,"114 Simei Street 1, #01-614, Singapore 520114",4.9,31,"[""establishment"", ""point_of_interest"", ""school""]",1.34375,103.950429,True
Changi,Changi Airport,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Changi Airport, Changi, Singapore",ChIJmXIi2yE92jERwRy6es4I66I,Changi Education Centre,"232 Simei Street 4, Block 233, Singapore 520232",,0,"[""establishment"", ""point_of_interest""]",1.3441738,103.9569776,True
Changi,Changi Airport,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Changi Airport, Changi, Singapore",ChIJhQfe0ygZ2jERfagUlyV4mKM,Alliance Education Centre @ WIS@Changi,"116 Changi Rd, #03-06 WIS@Changi, Singapore 419718",,0,"[""establishment"", ""point_of_interest""]",1.3164759,103.9012734,True
Changi,Changi Airport,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Changi Airport, Changi, Singapore",ChIJKxUegiY92jERh5RG0tz3974,Star Learners @ Simei | Preschool & Childcare,"9 Harvey Ave, Singapore 489480",5.0,33,"[""establishment"", ""point_of_interest"", ""school""]",1.3378518,103.9549853,True
Changi,Changi Airport,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Changi Airport, Changi, Singapore",ChIJrzknUh892jERvwiQA4cBlu4,Changi Simei Community Club,"10 Simei Street 2, Singapore 529915",4.2,908,"[""establishment"", ""point_of_interest""]",1.3448021,103.9550323,True
Changi,Changi Airport,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Changi Airport, Changi, Singapore",ChIJA2AF7Mgi2jERZRVTqLXzjko,Les Petits Gaulois,"895 E Coast Rd, Singapore 459098",4.5,22,"[""establishment"", ""point_of_interest"", ""school""]",1.3127555,103.9241824,True
Changi,Changi Airport,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Changi Airport, Changi, Singapore",ChIJ2739TgoP2jERlpS4Fef772Y,Library and Information Services Centre (NIE),"1 Nanyang Walk, Singapore 637616",4.6,28,"[""establishment"", ""library"", ""point_of_interest""]",1.348661,103.677635,True
Changi,Changi Airport,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Changi Airport, Changi, Singapore",ChIJHWfoBcEj2jERVZ7WsZLGx7M,Seedlings World Student Care,"396 Joo Chiat Pl, #02-05 The Yards, Singapore 428079",4.8,17,"[""establishment"", ""point_of_interest""]",1.3149208,103.9101826,True
Changi,Changi Airport,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Changi Airport, Changi, Singapore",ChIJvXbpwG0X2jERSpf-XFF9ne0,Scholar Stars,"116 Changi Rd, #04-08 WIS@Changi, Singapore 419718",5.0,4,"[""establishment"", ""point_of_interest""]",1.3164491,103.9012131,True
