planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Choa Chu Kang,Choa Chu Kang Central,education,14,4.39,1533,87.8
Choa Chu Kang,Choa Chu Kang Central,transport,4,4.0,358,80.0
Choa Chu Kang,Choa Chu Kang Central,food,9,4.033,4776,80.66
Choa Chu Kang,Choa Chu Kang Central,shopping,8,3.537,11980,70.74
Choa Chu Kang,Choa Chu Kang Central,recreation,8,4.057,2275,81.14
Choa Chu Kang,Choa Chu Kang Central,nature,7,4.257,3570,85.14
Choa Chu Kang,Choa Chu Kang North,education,14,4.39,1436,87.8
Choa Chu Kang,Choa Chu Kang North,transport,6,4.133,1133,82.66
Choa Chu Kang,Choa Chu Kang North,food,9,4.2,5254,84.0
Choa Chu Kang,Choa Chu Kang North,shopping,9,3.6,12595,72.0
Choa Chu Kang,Choa Chu Kang North,recreation,9,4.3,6606,86.0
Choa Chu Kang,Choa Chu Kang North,nature,8,4.312,3311,86.24
Choa Chu Kang,Keat Hong,education,14,4.456,1902,89.12
Choa Chu Kang,Keat Hong,transport,5,4.12,415,82.4
Choa Chu Kang,Keat Hong,food,5,4.14,1013,82.8
Choa Chu Kang,Keat Hong,shopping,6,4.0,2340,80.0
Choa Chu Kang,Keat Hong,recreation,10,4.32,4832,86.4
Choa Chu Kang,Keat Hong,nature,9,4.367,12250,87.34
Choa Chu Kang,Peng Siang,education,17,4.308,4541,86.16
Choa Chu Kang,Peng Siang,transport,5,4.06,384,81.2
Choa Chu Kang,Peng Siang,food,9,4.078,4474,81.56
Choa Chu Kang,Peng Siang,shopping,9,3.767,11496,75.34
Choa Chu Kang,Peng Siang,recreation,11,4.127,6706,82.54
Choa Chu Kang,Peng Siang,nature,10,4.44,11448,88.8
Choa Chu Kang,Teck Whye,education,12,4.356,1514,87.12
Choa Chu Kang,Teck Whye,transport,5,4.26,200,85.2
Choa Chu Kang,Teck Whye,food,8,4.112,5296,82.24
Choa Chu Kang,Teck Whye,shopping,7,4.029,2714,80.58
Choa Chu Kang,Teck Whye,recreation,9,4.362,2320,87.24
Choa Chu Kang,Teck Whye,nature,8,4.1,6196,82.0
Choa Chu Kang,Yew Tee,education,13,4.32,1355,86.4
Choa Chu Kang,Yew Tee,transport,5,4.22,995,84.4
Choa Chu Kang,Yew Tee,food,8,4.062,2916,81.24
Choa Chu Kang,Yew Tee,shopping,7,3.814,4483,76.28
Choa Chu Kang,Yew Tee,recreation,9,4.356,4243,87.12
Choa Chu Kang,Yew Tee,nature,8,4.562,7258,91.24
