planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Choa Chu Kang,Choa Chu Kang Central,education,50,4.42,7,0,4,1,4,0,5,0,3,0,1,0,"Great effort by the school and all staff in making the activities fun and achievable for the children. My child loves to be in the outdoor and we are happy to be able to attend suc... || Conducive environment to put my child there at CCK Lot one outlet. Teachers are approachable and welcoming. || My child, Rowen, has been attending this kindergarten since he was 18 months old and is now 2.5 years old. During this time, I’ve seen remarkable improvements in his speech and ove...",7,3,4,5,3,1
Choa Chu Kang,Choa Chu Kang Central,transport,20,4.0,0,0,0,2,0,0,0,0,5,0,0,0,"It’s March 2026 when I write this. There is upgrading work going on, it will probably go on till mid 2028. The public toilets have been refurbished, new entrance gantries installed... || MRT station and bus interchange with connections! LRT connects NS line to DT line at Bukit Panjang. Coverred walk ways connecting with Lot One shopping mall. Plenty of local deligh... || The station is built but the design is yet to be created and still under construction",0,-2,0,0,5,0
Choa Chu Kang,Choa Chu Kang Central,food,45,3.333,1,1,2,3,2,1,0,0,4,0,11,4,"This would be my First and Last❗️ Went to this cai fan stall. And I’m shock when he told me the pricing for my plate is $5.20. - sprouts with no meat or tofu (some stall I went do ... || Disappointed. They charged $0.30 for a regular polystyrene takeaway box — not about the money, but is this even reasonable? Skewers were tough and tasteless, and the crayfish didn’... || Yummy pancake: Avoid the hum-jim-peng, the flour is lumpy and hardened when fried. Totally unpalatable. I must give one star for the food. Where is the ethic of food seller? This d...",0,-1,1,0,4,7
Choa Chu Kang,Choa Chu Kang Central,shopping,35,3.0,5,1,3,6,6,1,0,0,9,0,0,0,"Lot One Shoppers’ Mall remains one of the most convenient and well-rounded suburban malls in the west of Singapore. Located directly beside Choa Chu Kang MRT and the bus interchang... || Lot One is a lively and convenient shopping destination that serves as a central hub for residents in the Choa Chu Kang area of Singapore. The mall is especially appreciated for it... || Lot One Shoppers' Mall in Choa Chu Kang is a fantastic shopping destination that caters to a wide range of needs. Conveniently located next to the Choa Chu Kang MRT station, it off...",4,-3,5,0,9,0
Choa Chu Kang,Choa Chu Kang Central,recreation,35,4.029,2,1,5,5,10,0,0,0,12,1,0,0,"Cozy gym. Decently big too, one side are the machines, cardio, and functional area, the other segment is the dumbbell area, racks, 2 powerlifting platforms (combined with racks), c... || Irene is very patient with us, friendly, approachable, and also thoughtful. She will attend to each and every one of us to make sure our posture is correct and won’t injured oursel... || Very clean gym. Staff are also very friendly, they do walk the grounds and communicate with gym users asking for feedback and assisting them if needed. Machines are maintained, in ...",1,0,10,0,11,0
Choa Chu Kang,Choa Chu Kang Central,nature,30,3.967,2,0,0,0,2,0,2,0,5,0,0,0,"🌿Choa Chu Kang Park is situated opposite Choa Chu Kang Bus Interchange along Choa Chu Kang Drive. 🚶‍➡️🏃‍➡️It's a community garden within the Choa Chu Kang Estate where residents ga... || Some parts under remodeling. Over all still good for visiting. Quite, shady with Macedonia just outside SAFRA, and walking distance to Lot 1 and CCK MRT. || The park is clean, well-maintained, and very peaceful. It has lush green lawns, shaded walking paths, and plenty of seating areas. The atmosphere is refreshing and ideal for mornin...",2,0,2,2,5,0
Choa Chu Kang,Choa Chu Kang North,education,15,4.867,0,0,0,0,0,0,5,0,2,0,0,0,"We’re very thankful for the caring and dedicated teachers at this preschool. Our daughter has grown so much in confidence, independence, and social skills since joining. The teache... || Very good teachers and staff here. My child has a good learning experience here. Highly recommended. || It has been totally a great experience for my daughter in little footprints Cck. Teachers and principal are always forthcoming and friendly to parents and responsive with parents q...",0,0,0,5,2,0
Choa Chu Kang,Choa Chu Kang North,transport,10,4.5,2,0,0,2,2,1,1,0,4,0,0,0,"as all other mrt in singapore, yew tee is disabled/wheelchair friendly and yew tee square and yew tee point is a stone's throw away. easily accessible to convenience stores, NTUC s... || 无法表达的情味, not about the look but rather the vibes. yewtee is special not because of physical built environment but rather the lack of it. Being often labeled as the worst precint in... || The location of Yew MRT station is considerably superior. It is reasonable to live nearby. Have numerous stores near the MRT. Two fast food outlets in a hawker center lot (Subway, ...",2,-2,1,1,4,0
Choa Chu Kang,Choa Chu Kang North,food,10,4.3,0,0,1,1,2,1,0,0,0,0,2,0,"S11 covers the basics well — clean, spacious, and easy to move around, with good circulation space so it doesn’t feel cramped even during busier periods. The layout is practical an... || Rating the new mini zichar shop right at the entrance of the food court. Very affordable prices for decent portions, taste wise allright. || Tried the Indian rojak. Nice and yummy. The rojak gravy is good 😊",0,0,1,0,0,2
Choa Chu Kang,Choa Chu Kang North,shopping,10,2.7,0,0,0,0,0,0,1,0,3,0,1,0,"near mrt station. going to work saw some of shelving empty like don't want to do business. want to buy is like.. empty. some staff are ok. some like give me black face look. what i... || I would like to commend the excellent service and honesty demonstrated by the team at FairPrice Finest Yew Tee MRT, especially Hu Shiyun. Last Sunday afternoon, I visited the store... || Nearest FairPrice finest from my home. Love Kale chips ,Humus chips and Lentil chips sold there. Plant based Cheese and assorted types of 🧀 are available there. Could not find froz...",0,0,0,1,3,1
