planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Choa Chu Kang,Choa Chu Kang Central,education,kindergarten,"kindergarten in Choa Chu Kang Central, Choa Chu Kang, Singapore",ChIJ____j-kR2jER_OeSDGFtNIw,Kinderland Preschool @ Choa Chu Kang,"Blk 309 Choa Chu Kang Ave 4, #02-01, Singapore 680309",4.9,60,"[""establishment"", ""point_of_interest"", ""school""]",1.3852383,103.7458463,True
Choa Chu Kang,Choa Chu Kang Central,education,kindergarten,"kindergarten in Choa Chu Kang Central, Choa Chu Kang, Singapore",ChIJrc2xJ_sR2jERnCyyvh3Jang,My First Skool at Blk 225 Choa Chu Kang Central,"Blk 225 Choa Chu Kang Central, Singapore 680225",4.9,15,"[""establishment"", ""point_of_interest"", ""school""]",1.3812136,103.74507,True
Choa Chu Kang,Choa Chu Kang Central,education,childcare centre,"childcare centre in Choa Chu Kang Central, Choa Chu Kang, Singapore",ChIJD1bL38UR2jER1xfv_ojJ34U,Star Learners @ Choa Chu Kang Central | Preschool & Childcare,"229 Choa Chu Kang Central, #01-139, Singapore 680229",4.7,54,"[""establishment"", ""point_of_interest"", ""school""]",1.3806908,103.7464306,True
Choa Chu Kang,Choa Chu Kang Central,education,childcare centre,"childcare centre in Choa Chu Kang Central, Choa Chu Kang, Singapore",ChIJ39hAJcQR2jERfMo3N26ktMQ,SDM Childcare Centre @ Choa Chu Kang,"186 Choa Chu Kang Ave 1, Singapore 689464",4.9,17,"[""establishment"", ""point_of_interest"", ""school""]",1.3769847,103.7456425,True
Choa Chu Kang,Choa Chu Kang Central,education,primary school,"primary school in Choa Chu Kang Central, Choa Chu Kang, Singapore",ChIJpR_olcQR2jERpiolhW9hXws,Chua Chu Kang Primary School,"20 Choa Chu Kang Ave 2, Singapore 689905",,0,"[""establishment"", ""point_of_interest"", ""primary_school"", ""school""]",1.3778193,103.7423121,True
Choa Chu Kang,Choa Chu Kang Central,education,primary school,"primary school in Choa Chu Kang Central, Choa Chu Kang, Singapore",ChIJ8Z1dj8ER2jERKBp5h_WFtrM,South View Primary School,"6 Choa Chu Kang Central, Singapore 689762",,0,"[""establishment"", ""point_of_interest"", ""primary_school"", ""school""]",1.381324,103.7471451,True
Choa Chu Kang,Choa Chu Kang Central,education,secondary school,"secondary school in Choa Chu Kang Central, Choa Chu Kang, Singapore",ChIJE5QEBcAR2jERYKAcfh6IBLw,Chua Chu Kang Secondary School Campus 2,"31 Teck Whye Cres, Singapore 688848",,0,"[""establishment"", ""point_of_interest"", ""school""]",1.3832504,103.7551628,True
Choa Chu Kang,Choa Chu Kang Central,education,secondary school,"secondary school in Choa Chu Kang Central, Choa Chu Kang, Singapore",ChIJe5r-9JUR2jERqq2Ga_xE6HU,Chua Chu Kang Secondary School,"31 Teck Whye Cres, Singapore 688848",,0,"[""establishment"", ""point_of_interest"", ""school"", ""secondary_school""]",1.3831667,103.7551671,True
Choa Chu Kang,Choa Chu Kang Central,education,junior college,"junior college in Choa Chu Kang Central, Choa Chu Kang, Singapore",ChIJz_-CGpUR2jERsxAVVh_vnoY,Jurong Pioneer Junior College,"21 Teck Whye Walk, Singapore 688258",3.8,86,"[""establishment"", ""point_of_interest"", ""university""]",1.3847446,103.753857,True
Choa Chu Kang,Choa Chu Kang Central,education,polytechnic,"polytechnic in Choa Chu Kang Central, Choa Chu Kang, Singapore",ChIJW1axjb8R2jERYKqQVcmPwj0,Choa Chu Kang Polyclinic (NUP),"2 Teck Whye Cres, Singapore 688846",2.4,271,"[""establishment"", ""health"", ""point_of_interest""]",1.38219,103.7509283,True
