planning_area,subzone,poi_dimension,place_query_type,place_id,place_name,place_rating,place_user_ratings_total,review_index,review_author_name,review_author_url,review_language,review_profile_photo_url,review_rating,review_relative_time_description,review_time,review_text
Choa Chu Kang,Choa Chu Kang Central,education,kindergarten,ChIJ____j-kR2jER_OeSDGFtNIw,Kinderland Preschool @ Choa Chu Kang,4.9,60,0,Avarielle Lai,https://www.google.com/maps/contrib/101383885852417602907/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVdkmIN9ycWHli4FjFmOsYUmn811-2lKJPu9Qtp5TyYHGiXad4=s128-c0x00000000-cc-rp-mo,5,2 years ago,1719278588,Great effort by the school and all staff in making the activities fun and achievable for the children. My child loves to be in the outdoor and we are happy to be able to attend such event together as a family.
Choa Chu Kang,Choa Chu Kang Central,education,kindergarten,ChIJ____j-kR2jER_OeSDGFtNIw,Kinderland Preschool @ Choa Chu Kang,4.9,60,1,Leong Yoke Mun,https://www.google.com/maps/contrib/114434383440164466336/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJ0-aOGLQv1EBwhs2da4Ktl2v-pJ26bd57wHg_U9thwKHq3ew=s128-c0x00000000-cc-rp-mo,5,7 months ago,1764293068,Conducive environment to put my child there at CCK Lot one outlet. Teachers are approachable and welcoming.
Choa Chu Kang,Choa Chu Kang Central,education,kindergarten,ChIJ____j-kR2jER_OeSDGFtNIw,Kinderland Preschool @ Choa Chu Kang,4.9,60,2,charles tan,https://www.google.com/maps/contrib/102769973156864677084/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJV18GhvVXVVOWmEhRUsW1vlXWOxzrLvCUYvtmPGDKa6cFPYQ=s128-c0x00000000-cc-rp-mo-ba3,5,a year ago,1748665500,"My child, Rowen, has been attending this kindergarten since he was 18 months old and is now 2.5 years old. During this time, I’ve seen remarkable improvements in his speech and overall understanding.

The environment is nurturing, and the staff is attentive and caring, which has given us peace of mind as parents.

I strongly recommend this place to new parents looking for a safe and supportive early learning environment. It has truly been a worry-free experience for us."
Choa Chu Kang,Choa Chu Kang Central,education,kindergarten,ChIJ____j-kR2jER_OeSDGFtNIw,Kinderland Preschool @ Choa Chu Kang,4.9,60,3,peiwen ong,https://www.google.com/maps/contrib/115659349363322957368/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocI3IBf3s1Ugq5h_T03om0olmSJ5qFMQIBxxzXx1Cu2NHCekyw=s128-c0x00000000-cc-rp-mo-ba2,5,a year ago,1748048060,"Thank you for the insightful school nutrition knowledge sharing, and special thanks to Auntie Yen Ling for the wonderful food demonstration—such a great opportunity for mummies to learn how to prepare a hearty and nutritious meal for the kids!"
Choa Chu Kang,Choa Chu Kang Central,education,kindergarten,ChIJ____j-kR2jER_OeSDGFtNIw,Kinderland Preschool @ Choa Chu Kang,4.9,60,4,Chu Siak Goh,https://www.google.com/maps/contrib/117760372900851050818/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJiP0t0e3RKv28w7FDsOIeC4nOUG9GdZV9ijsEt6vFXyts4aw=s128-c0x00000000-cc-rp-mo,5,7 months ago,1764293191,Conducive environment to study at CCK lot one. Staffs are welcoming and helpful.
Choa Chu Kang,Choa Chu Kang Central,education,kindergarten,ChIJrc2xJ_sR2jERnCyyvh3Jang,My First Skool at Blk 225 Choa Chu Kang Central,4.9,15,0,YQ Chwee,https://www.google.com/maps/contrib/114647605350849336539/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVW5V74Dh_8KHXhVL2HtkMT-eL6Q0Spx-9Gif7T3qeCgfT8OQ=s128-c0x00000000-cc-rp-mo,5,a month ago,1780667833,"Highly recommend My First Skool at 225 Choa Chu Kang Central!

My son absolutely loves going to school every day because the teachers welcome him so warmly. He is blessed to have Teacher Susan Tan and Teacher Hu Baolian. They provide the perfect balance—he listens well to Teacher Susan’s firm guidance, but loves to act pitiful to get sweet cuddles from Teacher Hu! Teacher Susan constantly goes the extra mile, giving us excellent advice whenever we face parenting challenges.

Huge thanks to the Principal for the enrollment opportunity, and to all the main and background teachers for their amazing dedication!"
Choa Chu Kang,Choa Chu Kang Central,education,kindergarten,ChIJrc2xJ_sR2jERnCyyvh3Jang,My First Skool at Blk 225 Choa Chu Kang Central,4.9,15,1,Zhafarina Zailani,https://www.google.com/maps/contrib/111683404022170044425/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocIM5D7HcOpV8MwWhZvVuJFPToZJN98Fbtb2Zw_7Ns8Dy3AiDw=s128-c0x00000000-cc-rp-mo,5,7 months ago,1764229612,"Forever blessed and eternally grateful for the Teachers in CCK06. Especially Teacher Shun Yi, Fang Lao Shi, Teacher Nina and Liu Lao Shi - they create such a positive and welcoming environment for my son on his first day of school. Six months has passed, and he always look forward to go to school every single day. His teachers always share their concerns  whenever they felt something is off and are willing to work closely with us to improve and provide the best for my son. This is important for our son’s development and we are thankful for their patience and understanding."
Choa Chu Kang,Choa Chu Kang Central,education,kindergarten,ChIJrc2xJ_sR2jERnCyyvh3Jang,My First Skool at Blk 225 Choa Chu Kang Central,4.9,15,2,mia,https://www.google.com/maps/contrib/111346256191010717978/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXOdmO-s4h0zOqSCR_aVjudeyWcNkQpEm_-nahspqfbWy_sx_w=s128-c0x00000000-cc-rp-mo-ba2,5,2 months ago,1777897869,Love this school a lot. Many experienced and hardworking infant care teachers.Shoutout to Teacher Susan Tan!! ❤️❤️❤️ My son always look forward to go school everyday.
Choa Chu Kang,Choa Chu Kang Central,education,kindergarten,ChIJrc2xJ_sR2jERnCyyvh3Jang,My First Skool at Blk 225 Choa Chu Kang Central,4.9,15,3,Siti Zahirah,https://www.google.com/maps/contrib/112077077982952164962/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjU_mnAwGi96uXg4vT-aO1ajLv875krN4VuxZgiiwfPe_FbCCCDm8w=s128-c0x00000000-cc-rp-mo,5,7 months ago,1764141587,"We are grateful for the teacher’s consistent dedication and effort in caring for the children. Their thoughtfulness, understanding, and willingness to support each student are truly appreciated. We also value the way they actively reach out to parents for feedback and suggestions, always seeking to improve and provide the best for the children."
Choa Chu Kang,Choa Chu Kang Central,education,kindergarten,ChIJrc2xJ_sR2jERnCyyvh3Jang,My First Skool at Blk 225 Choa Chu Kang Central,4.9,15,4,Muhd Zul,https://www.google.com/maps/contrib/102751726449973914697/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJTjehPzJf-cK1byXY6Mbl0mMoLYBsImG-jT2FNUNCKQnK4LQ=s128-c0x00000000-cc-rp-mo,5,7 months ago,1764051684,"Me and my wife are incredibly grateful for the highly committed teachers here. Their proactive communication and dedication to keeping us updated are a source of great comfort, assuring us that both our children are well-cared for. Crucially, both our children's development has flourished since they joined the centre."
Choa Chu Kang,Choa Chu Kang Central,education,childcare centre,ChIJD1bL38UR2jER1xfv_ojJ34U,Star Learners @ Choa Chu Kang Central | Preschool & Childcare,4.7,54,0,Sze SiewChian,https://www.google.com/maps/contrib/109762467499402373868/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocKdR8kjBIhGemh21SN6UL6UJIOhAz77DZ4O2VQ3rVKL5pyHdQ=s128-c0x00000000-cc-rp-mo,5,2 months ago,1778230009,"I am thrilled to share my positive experience with the Star Learners @ CCK central. My daughter has adapted exceptionally well, and it's heartwarming to see how much she loves going to school each day. The joy on her face when she talks about playing with her friends is priceless.

She gets along wonderfully with her classmates, which has made her social skills blossom. The teachers (special shout out to teacher Darrice and Xiao Thong Laoshi) are incredibly patient and caring, creating a nurturing environment that encourages growth and learning.

Moreover, the variety of fun activities and learning journeys keep the children engaged and excited about learning new skills. I couldn't be more pleased with the supportive atmosphere Star Learners provides. It's a fantastic place for children to thrive! 👍"
Choa Chu Kang,Choa Chu Kang Central,education,childcare centre,ChIJD1bL38UR2jER1xfv_ojJ34U,Star Learners @ Choa Chu Kang Central | Preschool & Childcare,4.7,54,1,Ivy C,https://www.google.com/maps/contrib/116884961348558221004/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocKN0StQ8Nn5_YSpeKz1mlIAlgT2s-KmRNvkpV9ItsFwjV61ZA=s128-c0x00000000-cc-rp-mo-ba2,5,8 months ago,1762658636,"We are very grateful for the positive progress we have seen in our child since joining the school. Although he is still a little shy in class, he has become more open to exploring different activities, engaging with new peers, and sharing what he learns at home.

One of the reasons we chose this school is its support for our child’s vegetarian diet. The teachers have been understanding and thoughtful, ensuring his needs are well taken care of, which gives us great peace of mind.

The teachers are caring, patient, and attentive, always taking time to understand each child and work closely with parents. It is reassuring to see the school treat a child’s well-being and development as a shared responsibility between home and school.

Special thanks to She Lao Shi, Teacher Darrice, and Principal Shi Xuan for their dedication, kindness, and consistent support. We truly appreciate their effort and heart in helping every child grow with confidence and care."
Choa Chu Kang,Choa Chu Kang Central,education,childcare centre,ChIJD1bL38UR2jER1xfv_ojJ34U,Star Learners @ Choa Chu Kang Central | Preschool & Childcare,4.7,54,2,Joanna Z,https://www.google.com/maps/contrib/109548118491708131240/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVSmjrxYcjGxjBJXZRz-ktOBaazS5CxnGjtYicJ3qSzdSsYokjF=s128-c0x00000000-cc-rp-mo,5,2 months ago,1778734575,My child feels safe and love going to school everyday. The teachers are very nice and communication with parents is great so we know what my child does or learn in school. Thank you Star Learner! :)
Choa Chu Kang,Choa Chu Kang Central,education,childcare centre,ChIJD1bL38UR2jER1xfv_ojJ34U,Star Learners @ Choa Chu Kang Central | Preschool & Childcare,4.7,54,3,Sangeetha Kunasegaran,https://www.google.com/maps/contrib/115153787061108870271/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjUwaKSGnLArNN0pT1vN59P5gm89kvugv_LvmDwS7XWsFWu9qavB=s128-c0x00000000-cc-rp-mo,5,12 months ago,1752837122,"As a parent, finding the right childcare can be daunting — but enrolling my children here has been one of the best decisions I’ve made. From the very beginning, the staff showed genuine care, attentiveness, and professionalism. My children settled in quickly, and it’s heartwarming to see how much they look forward to going to school each day.

The teachers are patient, nurturing, and truly invested in each child’s growth and well-being. There’s a strong emphasis on learning through play, and I’ve seen my children grow not just academically, but also socially and emotionally.

What I also appreciate is the open communication — I’m regularly updated on their progress and any centre happenings. It gives me great peace of mind knowing they are in such a caring and enriching environment.

Highly recommend this centre to any parent looking for a safe, warm, and stimulating space for their little ones!"
Choa Chu Kang,Choa Chu Kang Central,education,childcare centre,ChIJD1bL38UR2jER1xfv_ojJ34U,Star Learners @ Choa Chu Kang Central | Preschool & Childcare,4.7,54,4,Hay,https://www.google.com/maps/contrib/115699089606462689293/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocK2Bi1hC18ASz__dHNZjv58GmIqxllsKrujgaqtDw_OQc6K6Q=s128-c0x00000000-cc-rp-mo,5,a year ago,1743261171,"Great school highly recommendable!

My Son is currently schooling in this centre and he’s having a great time over there. I always have my son coming back hoke sharing all the fun he’s experiencing there and the new knowledge he learnt.

I can see significant improvement in his languages and communication skills.

I also feel that the new principal is professional and approachable. She also give good recommendations on the enrichment classes which my son need.

Overall, i trust that i have made the right choice putting my son in this centre.

Definitely will recommend to all my friends!"
Choa Chu Kang,Choa Chu Kang Central,education,childcare centre,ChIJ39hAJcQR2jERfMo3N26ktMQ,SDM Childcare Centre @ Choa Chu Kang,4.9,17,0,Yaya Fadhil,https://www.google.com/maps/contrib/104304170649406898150/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVohFdCfCe6-tVS5G5uQtrPeH4FFs7E7GH-i5yJnxK5a6tZEgzqEg=s128-c0x00000000-cc-rp-mo,5,a month ago,1780983511,"My son has been attending this school since January 2026, and it has been one of the best decisions we have made. He loves going to school every day and has learned so much since joining the infant class.

The school has a team of caring, dedicated, and professional teachers and staff who provide a safe, nurturing, and engaging environment for the children. Their genuine love for the children and commitment to their development are truly commendable.

As parents, we have peace of mind knowing that our son is in good hands. We are grateful for the care, support, and encouragement he receives every day. Thank you to the entire team for making his learning journey such a positive and enjoyable experience. Highly recommended!"
Choa Chu Kang,Choa Chu Kang Central,education,childcare centre,ChIJ39hAJcQR2jERfMo3N26ktMQ,SDM Childcare Centre @ Choa Chu Kang,4.9,17,1,Yang Wilmond,https://www.google.com/maps/contrib/113385626573574330118/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJEDltBl4uKGL7NnKkqK-orJxZpr7D5Flfd8DD3VNfjoijsYA=s128-c0x00000000-cc-rp-mo,5,3 months ago,1775522029,"We left our son with them when he was 3 months old until 18 months. The infant care group teachers are very caring and warm. They give timely updates, even when little accidents like our son falling on his butt and crying from scare. Though we are moving on to another centre at the 18 months mark, as our son transition into PG, we will definitely recommend or go back if we have a second child."
Choa Chu Kang,Choa Chu Kang Central,education,childcare centre,ChIJ39hAJcQR2jERfMo3N26ktMQ,SDM Childcare Centre @ Choa Chu Kang,4.9,17,2,Ngo Boon Leng,https://www.google.com/maps/contrib/100842167591404627626/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocIQOUJF1Iq-OsWmtJDjDd6S7BjcVPdyKp4Bd7jkKA_P9Fx1Dw=s128-c0x00000000-cc-rp-mo,4,a year ago,1752451532,"My daughter has been attending this childcare centre for around 8 months, and we’ve had a generally good experience. She likes to attend Tiny  Tots where she can play some sports during her time in school. The staff are friendly and will answer most of our queries. Like any centre, there’s always room to grow, but we appreciate the effort the team puts into the children’s well-being and development. Overall, we’re thankful for the support and care our child has received here."
Choa Chu Kang,Choa Chu Kang Central,education,childcare centre,ChIJ39hAJcQR2jERfMo3N26ktMQ,SDM Childcare Centre @ Choa Chu Kang,4.9,17,3,Yong Siang Toh,https://www.google.com/maps/contrib/109369222351256350791/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjUnljVDHMG6NmgWD5ga-1yJRTuAk76Rpi7pntdwQPPHqPyL45U=s128-c0x00000000-cc-rp-mo-ba3,5,9 months ago,1760363586,"Leaving our one-year-old was so hard, but the team at SDM made it easy. His teachers are so warm and nurturing. We get updates throughout the day, and nothing beats seeing his big smile at pickup. He's happy, safe, and thriving. We are so grateful!"
Choa Chu Kang,Choa Chu Kang Central,education,childcare centre,ChIJ39hAJcQR2jERfMo3N26ktMQ,SDM Childcare Centre @ Choa Chu Kang,4.9,17,4,Ingrid Halim,https://www.google.com/maps/contrib/100390119489840890846/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXO7Il7e7Bb_eoY6m3QTiaUJBK1W5wwoDKu1h4a5sd3hpkWm-BH=s128-c0x00000000-cc-rp-mo-ba2,5,a year ago,1744798506,"Enroll my child for infant class here.

The teachers are attentive and friendly. They know the children well. Given that some children will develop preference for teachers, but my child has largely enjoy going to infantcare. They provide interesting and educational activities for the children and we receive weekly photos of children's activities.

The food is nutritious. They give sufficient food and they are able to pace with children's development for eating.

Daily updates are regular. The teachers also give feedback about my child's development through regular parent-teacher meeting

The room is air-conned.

They provide updates when there are outbreaks (e.g. HFMD, COVID).

Admin process is smooth and hassle-free.

Area of improvement: They could provide spare diapers for infants for when parents forgot to top up children's diapers."
Choa Chu Kang,Choa Chu Kang Central,education,junior college,ChIJz_-CGpUR2jERsxAVVh_vnoY,Jurong Pioneer Junior College,3.8,86,0,Emma Ema,https://www.google.com/maps/contrib/104919853998786049368/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocL0Mat-tprDAwI5tMOZJ8D9YMVXSBeqTvi3PgRm6yK320kRYg=s128-c0x00000000-cc-rp-mo,1,4 months ago,1772754935,"Bunch of ridiculous students at cck interchange always not queuing up for 190, while the senior citizens all could. And just going up the bus without waiting for the queue to clear. Smart but lack of common sense."
Choa Chu Kang,Choa Chu Kang Central,education,junior college,ChIJz_-CGpUR2jERsxAVVh_vnoY,Jurong Pioneer Junior College,3.8,86,1,SeungJun Kim,https://www.google.com/maps/contrib/100958975977925692266/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjUhEAorS3l-1-W-X2FYrpnDwwK2xAbVYJYgAxOEB6kYNi1bOB6K=s128-c0x00000000-cc-rp-mo-ba7,5,8 years ago,1524593643,"A big shoutout to Mr Steve Poh, Mdm Shasila & Mr Lee Wei Chai who helped me survive in PJC"
Choa Chu Kang,Choa Chu Kang Central,education,junior college,ChIJz_-CGpUR2jERsxAVVh_vnoY,Jurong Pioneer Junior College,3.8,86,2,Darrell Tan,https://www.google.com/maps/contrib/109919661789422761900/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocI22K4crm4JqRsskpWW93uweKaZnr-F9e-95Su3VkkE29btsg=s128-c0x00000000-cc-rp-mo,5,a year ago,1749198448,"Shoutout to Mr Tan KG, #1 PE Teacher that helped me get 200 points for IPPT and Top in Inter Class Games. I have benefited greatly from his teaching and I have flourished, from a cocoon to a butterfly. Looking forward to becoming a PE Teacher in the future and nurture the next batch of CHAMPIONS!!! JP ALWAYS STRIVES AS ONE #INFINITEGROWTHBABY"
