timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-20T15:27:35.406455,text_search,1,AIzaSy...IDGw,268,Downtown Core,Anson,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anson, Downtown Core, Singapore",OK,,20,
2026-07-20T15:27:36.539918,text_search,1,AIzaSy...IDGw,269,Downtown Core,Anson,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Anson, Downtown Core, Singapore",OK,,20,
2026-07-20T15:27:38.186116,text_search,1,AIzaSy...IDGw,270,Downtown Core,Anson,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Anson, Downtown Core, Singapore",OK,,20,
2026-07-20T15:27:39.412841,text_search,1,AIzaSy...IDGw,271,Downtown Core,Anson,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Anson, Downtown Core, Singapore",OK,,20,
2026-07-20T15:27:40.981149,text_search,1,AIzaSy...IDGw,272,Downtown Core,Anson,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Anson, Downtown Core, Singapore",OK,,20,
2026-07-20T15:27:42.203044,text_search,1,AIzaSy...IDGw,273,Downtown Core,Anson,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Anson, Downtown Core, Singapore",OK,,20,
2026-07-20T15:27:43.572035,text_search,1,AIzaSy...IDGw,274,Downtown Core,Bayfront Subzone,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bayfront Subzone, Downtown Core, Singapore",OK,,20,
2026-07-20T15:27:44.739145,text_search,1,AIzaSy...IDGw,275,Downtown Core,Bayfront Subzone,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Bayfront Subzone, Downtown Core, Singapore",OK,,20,
2026-07-20T15:27:46.366741,text_search,1,AIzaSy...IDGw,276,Downtown Core,Bayfront Subzone,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Bayfront Subzone, Downtown Core, Singapore",OK,,20,
2026-07-20T15:27:47.448364,text_search,1,AIzaSy...IDGw,277,Downtown Core,Bayfront Subzone,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Bayfront Subzone, Downtown Core, Singapore",OK,,14,
2026-07-20T15:27:49.366864,text_search,1,AIzaSy...IDGw,278,Downtown Core,Bayfront Subzone,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Bayfront Subzone, Downtown Core, Singapore",OK,,20,
2026-07-20T15:27:50.732916,text_search,1,AIzaSy...IDGw,279,Downtown Core,Bayfront Subzone,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Bayfront Subzone, Downtown Core, Singapore",OK,,20,
2026-07-20T15:27:52.373207,text_search,1,AIzaSy...IDGw,280,Downtown Core,Bugis,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bugis, Downtown Core, Singapore",OK,,20,
2026-07-20T15:27:53.687600,text_search,1,AIzaSy...IDGw,281,Downtown Core,Bugis,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Bugis, Downtown Core, Singapore",OK,,20,
2026-07-20T15:27:55.074221,text_search,1,AIzaSy...IDGw,282,Downtown Core,Bugis,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Bugis, Downtown Core, Singapore",OK,,20,
2026-07-20T15:27:56.300595,text_search,1,AIzaSy...IDGw,283,Downtown Core,Bugis,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Bugis, Downtown Core, Singapore",OK,,20,
2026-07-20T15:27:57.720358,text_search,1,AIzaSy...IDGw,284,Downtown Core,Bugis,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Bugis, Downtown Core, Singapore",OK,,20,
2026-07-20T15:27:58.773188,text_search,1,AIzaSy...IDGw,285,Downtown Core,Bugis,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Bugis, Downtown Core, Singapore",OK,,20,
2026-07-20T15:27:59.995573,text_search,1,AIzaSy...IDGw,286,Downtown Core,Cecil,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Cecil, Downtown Core, Singapore",OK,,20,
2026-07-20T15:28:01.223847,text_search,1,AIzaSy...IDGw,287,Downtown Core,Cecil,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Cecil, Downtown Core, Singapore",OK,,20,
2026-07-20T15:28:02.737020,text_search,1,AIzaSy...IDGw,288,Downtown Core,Cecil,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Cecil, Downtown Core, Singapore",OK,,20,
2026-07-20T15:28:03.916353,text_search,1,AIzaSy...IDGw,289,Downtown Core,Cecil,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Cecil, Downtown Core, Singapore",OK,,20,
2026-07-20T15:28:05.549674,text_search,1,AIzaSy...IDGw,290,Downtown Core,Cecil,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Cecil, Downtown Core, Singapore",OK,,20,
2026-07-20T15:28:06.574686,text_search,1,AIzaSy...IDGw,291,Downtown Core,Cecil,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Cecil, Downtown Core, Singapore",OK,,20,
2026-07-20T15:28:07.928977,text_search,1,AIzaSy...IDGw,292,Downtown Core,Central Subzone,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Central Subzone, Downtown Core, Singapore",OK,,20,
2026-07-20T15:28:08.834533,text_search,1,AIzaSy...IDGw,293,Downtown Core,Central Subzone,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Central Subzone, Downtown Core, Singapore",OK,,20,
2026-07-20T15:28:09.975374,text_search,1,AIzaSy...IDGw,294,Downtown Core,Central Subzone,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Central Subzone, Downtown Core, Singapore",OK,,20,
2026-07-20T15:28:11.273474,text_search,1,AIzaSy...IDGw,295,Downtown Core,Central Subzone,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Central Subzone, Downtown Core, Singapore",OK,,20,
2026-07-20T15:28:12.578650,text_search,1,AIzaSy...IDGw,296,Downtown Core,Central Subzone,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Central Subzone, Downtown Core, Singapore",OK,,20,
2026-07-20T15:28:13.695006,text_search,1,AIzaSy...IDGw,297,Downtown Core,Central Subzone,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Central Subzone, Downtown Core, Singapore",OK,,20,
2026-07-20T15:28:15.091315,text_search,1,AIzaSy...IDGw,298,Downtown Core,City Hall,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near City Hall, Downtown Core, Singapore",OK,,20,
2026-07-20T15:28:16.073783,text_search,1,AIzaSy...IDGw,299,Downtown Core,City Hall,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near City Hall, Downtown Core, Singapore",OK,,20,
2026-07-20T15:28:17.461355,text_search,1,AIzaSy...IDGw,300,Downtown Core,City Hall,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near City Hall, Downtown Core, Singapore",OK,,20,
2026-07-20T15:28:18.716728,text_search,1,AIzaSy...IDGw,301,Downtown Core,City Hall,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near City Hall, Downtown Core, Singapore",OK,,20,
