planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Downtown Core,Anson,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anson, Downtown Core, Singapore",ChIJj8lwOGwZ2jERCKcuHsVr4Z0,T.E.A.M. Student Care @ Tanjong Pagar (Cantonment),"101 Cantonment Rd, #01-04 Community Club, Singapore 089774",4.9,32,"[""establishment"", ""point_of_interest""]",1.2765467,103.8416837,True
Downtown Core,Anson,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anson, Downtown Core, Singapore",ChIJJfVEO6UZ2jERq7ZasSTiEgg,Central Library,"100 Victoria St, #B1-01 National Library / Lee Kong Chian Reference Library, Singapore 188064",4.5,299,"[""establishment"", ""library"", ""point_of_interest""]",1.2977181,103.8543361,True
Downtown Core,Anson,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anson, Downtown Core, Singapore",ChIJSzhVRBMZ2jERfN2B_YwlUnQ,Learning Hands,"No. 10, Anson Road, #26-04, International Plaza, 079903, Singapore 079903",,0,"[""establishment"", ""point_of_interest"", ""school""]",1.2757785,103.8457225,True
Downtown Core,Anson,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anson, Downtown Core, Singapore",ChIJJ1vrQxMZ2jERhD_KOHYp4gE,Learner's Choice International,"10 Anson Rd, Singapore 079903",,0,"[""establishment"", ""point_of_interest"", ""school""]",1.2761261,103.8457453,True
Downtown Core,Anson,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anson, Downtown Core, Singapore",ChIJEYhXuBIZ2jERCTJH4PpNIHQ,The Children Learning Centre Pte Ltd,"5 Maxwell Rd, Singapore 069110",,0,"[""establishment"", ""point_of_interest"", ""school""]",1.278909,103.845805,True
Downtown Core,Anson,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anson, Downtown Core, Singapore",ChIJ_c8aLE8Z2jERAKq_2_hU6ag,Thinkers' Loft Education Centre,"3 Everton Prk, #01-77, Singapore 080003",5.0,4,"[""establishment"", ""point_of_interest""]",1.2772176,103.8388585,True
Downtown Core,Anson,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anson, Downtown Core, Singapore",ChIJKaGsJKUZ2jERxa8yhKrdPfI,National Library / Lee Kong Chian Reference Library,"100 Victoria St, Singapore 188064",4.6,1765,"[""establishment"", ""library"", ""point_of_interest""]",1.2975884,103.8543081,True
Downtown Core,Anson,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anson, Downtown Core, Singapore",ChIJI8r3ofMb2jERIjPaEQhAVuA,"Agora Colearning (Preschool, Play School, Enrichment, Student Care)","HarbourFront Centre, 1 Maritime Square, #04-01 Lobby C, Singapore 099253",4.9,138,"[""establishment"", ""point_of_interest"", ""school""]",1.2632359,103.8201359,True
Downtown Core,Anson,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anson, Downtown Core, Singapore",ChIJ2zOiSwsZ2jERY2Wt9PYlO_A,Chinatown Library,"133 New Bridge Rd, #04-12 Chinatown Point, Singapore 059413",3.6,160,"[""establishment"", ""library"", ""point_of_interest""]",1.2852093,103.8447228,True
Downtown Core,Anson,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anson, Downtown Core, Singapore",ChIJTXdxQk4b2jER4HdHnRNjvLY,HV Little Library,"2 Holland Ave, Block 2, Singapore 271002",4.9,64,"[""establishment"", ""library"", ""point_of_interest""]",1.3095115,103.7956789,True
Downtown Core,Anson,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anson, Downtown Core, Singapore",ChIJDcJs9UEZ2jER4dKm3CUVyMk,Harbourfront Library,"1 HarbourFront Walk, #03-05 VivoCity, Singapore 098585",4.5,484,"[""establishment"", ""library"", ""point_of_interest""]",1.2636837,103.8233985,True
Downtown Core,Anson,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anson, Downtown Core, Singapore",ChIJRQmgcK0Z2jER99m3txTK1HY,Bamboo Path Academy | One-Stop PSLE Success Hub,"1 Selegie Rd, #03-03, #03-05, Singapore 188306",5.0,27,"[""establishment"", ""point_of_interest""]",1.3002563,103.8492233,True
Downtown Core,Anson,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anson, Downtown Core, Singapore",ChIJHWfoBcEj2jERVZ7WsZLGx7M,Seedlings World Student Care,"396 Joo Chiat Pl, #02-05 The Yards, Singapore 428079",4.8,17,"[""establishment"", ""point_of_interest""]",1.3149208,103.9101826,True
Downtown Core,Anson,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anson, Downtown Core, Singapore",ChIJ77lqQRMZ2jERpPQ2FPC-VJA,Treasure Chest Education,"10 Anson Rd, Singapore 079903",,0,"[""establishment"", ""point_of_interest"", ""school""]",1.2759959,103.8459599,True
Downtown Core,Anson,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anson, Downtown Core, Singapore",ChIJ2739TgoP2jERlpS4Fef772Y,Library and Information Services Centre (NIE),"1 Nanyang Walk, Singapore 637616",4.6,28,"[""establishment"", ""library"", ""point_of_interest""]",1.348661,103.677635,True
Downtown Core,Anson,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anson, Downtown Core, Singapore",ChIJTzu447sZ2jERd0vWRESiATI,The Ngee Ann Kongsi Library (Students' Only),"1 McNally St, Singapore 187940",4.0,7,"[""establishment"", ""library"", ""point_of_interest""]",1.3028656,103.8515975,True
Downtown Core,Anson,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anson, Downtown Core, Singapore",ChIJPyaRXBMZ2jERTVe57bgNaik,Singapore Parenting Directory,"10 Anson Road, #26-04, International Plaza, Singapore 079903, Singapore 079903",,0,"[""establishment"", ""point_of_interest"", ""school""]",1.275532,103.845958,True
Downtown Core,Anson,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anson, Downtown Core, Singapore",ChIJ2VzqOGwZ2jER5rzcSCmWjMc,Kidspace Learning Place Cantonment,"Maritime House, #04-00, 120 Cantonment Rd, Singapore 089760, Singapore 089760",,0,"[""establishment"", ""point_of_interest"", ""school""]",1.276612,103.840361,True
Downtown Core,Anson,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Anson, Downtown Core, Singapore",ChIJAQDQQ38Z2jER_EqJkHCuyLw,Canopy Student Care (Tiong Bahru),"46 Jln. Bukit Ho Swee, #01-874, Singapore 160046",4.4,27,"[""establishment"", ""point_of_interest""]",1.2883461,103.8261998,True
