planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Geylang,Aljunied,education,20,4.574,4030,91.48
Geylang,Aljunied,transport,20,4.3,2022,86.0
Geylang,Aljunied,food,20,4.255,105632,85.1
Geylang,Aljunied,shopping,20,4.255,104147,85.1
Geylang,Aljunied,recreation,14,4.314,7074,86.28
Geylang,Aljunied,nature,20,4.445,57673,88.9
Geylang,Geylang East,education,18,4.6,737,92.0
Geylang,Geylang East,transport,20,4.145,3048,82.9
Geylang,Geylang East,food,20,4.175,77241,83.5
Geylang,Geylang East,shopping,20,4.245,81942,84.9
Geylang,Geylang East,recreation,16,4.4,5184,88.0
Geylang,Geylang East,nature,20,4.315,6856,86.3
Geylang,Kallang Way,education,20,4.495,995,89.9
Geylang,Kallang Way,transport,20,4.02,1304,80.4
Geylang,Kallang Way,food,20,4.245,91490,84.9
Geylang,Kallang Way,shopping,20,4.255,92202,85.1
Geylang,Kallang Way,recreation,20,4.365,7367,87.3
Geylang,Kallang Way,nature,9,4.344,14269,86.88
Geylang,Kampong Ubi,education,20,4.606,976,92.12
Geylang,Kampong Ubi,transport,20,4.045,1046,80.9
Geylang,Kampong Ubi,food,20,4.16,108538,83.2
Geylang,Kampong Ubi,shopping,20,4.255,87904,85.1
Geylang,Kampong Ubi,recreation,20,4.295,8392,85.9
Geylang,Kampong Ubi,nature,20,4.31,14946,86.2
Geylang,Macpherson,education,20,4.705,642,94.1
Geylang,Macpherson,transport,20,4.185,1364,83.7
Geylang,Macpherson,food,20,4.135,60814,82.7
Geylang,Macpherson,shopping,20,4.175,67910,83.5
Geylang,Macpherson,recreation,20,4.185,7972,83.7
Geylang,Macpherson,nature,20,4.35,12508,87.0
