planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Geylang,Aljunied,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Aljunied, Geylang, Singapore",ChIJQyTTUCMY2jERunI_GcAyOug,Geylang East Library,"50 Geylang East Ave 1, Singapore 389777",4.3,310,"[""establishment"", ""library"", ""point_of_interest""]",1.3174565,103.8857374,True
Geylang,Aljunied,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Aljunied, Geylang, Singapore",ChIJqQN8ixYZ2jER4euHzxa0fO8,Little Atlas Preschool,"60 Lor 23 Geylang, Singapore 388384",4.5,135,"[""establishment"", ""point_of_interest"", ""school""]",1.3160617,103.8812224,True
Geylang,Aljunied,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Aljunied, Geylang, Singapore",ChIJ9RTw-sMZ2jERlpBlkGiqpUI,Educatio Student Care,"100 Lor 23 Geylang, #01-01 D Centennial Building, Singapore 388398",4.8,8,"[""establishment"", ""point_of_interest""]",1.3177514,103.8812826,True
Geylang,Aljunied,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Aljunied, Geylang, Singapore",ChIJt0MJ5iMY2jERwugwFSxiveQ,Bethel Student Care Centre,"114 Aljunied Ave 2, Singapore 380114",,0,"[""establishment"", ""point_of_interest""]",1.321746,103.886822,True
Geylang,Aljunied,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Aljunied, Geylang, Singapore",ChIJD9zhoVwZ2jERbUj13E0E4Vk,Sparklekidz Academia,"50 Geylang East Ave 1, Level 3, Singapore 389777",5.0,1,"[""establishment"", ""point_of_interest""]",1.3174355,103.8858638,True
Geylang,Aljunied,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Aljunied, Geylang, Singapore",ChIJM6_ROgIZ2jERjwaDqeaHWAY,Read Think Learn Education Hub / After School Care (Geylang West / Kallang),"1205 Upper Boon Keng Rd, #02-01, Singapore 387311",4.8,6,"[""establishment"", ""point_of_interest""]",1.3157314,103.8724173,True
Geylang,Aljunied,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Aljunied, Geylang, Singapore",ChIJ1YoxWiAY2jERsmgVahPIM14,Life Edu Centre,"86 Circuit Rd, Singapore 370086",4.8,4,"[""establishment"", ""point_of_interest""]",1.3229188,103.8853787,True
Geylang,Aljunied,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Aljunied, Geylang, Singapore",ChIJpcLTXyEY2jERsf-sQF1mI94,Bethel Kinderlites,"114 Aljunied Ave 2, Singapore 380114",5.0,1,"[""establishment"", ""point_of_interest"", ""school""]",1.321746,103.886822,True
Geylang,Aljunied,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Aljunied, Geylang, Singapore",ChIJW9Yc2zgY2jER_-Pk4t9XJQA,TML Tuition Shop,"Blk, 118 Aljunied Ave 2, Singapore 380118",5.0,1,"[""establishment"", ""point_of_interest"", ""school"", ""secondary_school""]",1.3199921,103.8875472,True
Geylang,Aljunied,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Aljunied, Geylang, Singapore",ChIJJfVEO6UZ2jERq7ZasSTiEgg,Central Library,"100 Victoria St, #B1-01 National Library / Lee Kong Chian Reference Library, Singapore 188064",4.5,299,"[""establishment"", ""library"", ""point_of_interest""]",1.2977181,103.8543361,True
Geylang,Aljunied,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Aljunied, Geylang, Singapore",ChIJkRdQBhAY2jERrp6vh-rNrkY,Tuffaha Readers (Eunos Branch),"150 Changi Rd, #02-04 Guthrie Building, Singapore 419973",5.0,67,"[""establishment"", ""point_of_interest""]",1.3167489,103.9021269,True
Geylang,Aljunied,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Aljunied, Geylang, Singapore",ChIJKaGsJKUZ2jERxa8yhKrdPfI,National Library / Lee Kong Chian Reference Library,"100 Victoria St, Singapore 188064",4.6,1765,"[""establishment"", ""library"", ""point_of_interest""]",1.2975884,103.8543081,True
Geylang,Aljunied,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Aljunied, Geylang, Singapore",ChIJW-OVHdIZ2jER9RKWKa1WCnU,Read Think Learn Education Hub / Tuition Centre,"45 Boon Keng Rd, #02-05, Singapore 339771",4.6,5,"[""establishment"", ""point_of_interest""]",1.317905,103.8622398,True
Geylang,Aljunied,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Aljunied, Geylang, Singapore",ChIJC9d3bncX2jERkD7iWLg8fuI,Nest Preschool Bidadari,"22 Lichi Ave, Singapore 348796",5.0,11,"[""establishment"", ""point_of_interest"", ""school""]",1.3328883,103.8760564,True
Geylang,Aljunied,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Aljunied, Geylang, Singapore",ChIJxyAVvKYX2jERaDNkoSoZUEs,Serangoon Library,"23 Serangoon Central, #04-82/83 NEX, Singapore 556083",4.2,362,"[""establishment"", ""library"", ""point_of_interest""]",1.3502127,103.8728869,True
Geylang,Aljunied,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Aljunied, Geylang, Singapore",ChIJp82Vu0w92jER70H7i4t8wfk,Bedok Library,"11 Bedok North Street 1, #02-03 & #03-04 Heartbeat@Bedok, Singapore 469662",4.3,534,"[""establishment"", ""library"", ""point_of_interest""]",1.3268222,103.9316907,True
Geylang,Aljunied,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Aljunied, Geylang, Singapore",ChIJA2AF7Mgi2jERZRVTqLXzjko,Les Petits Gaulois,"895 E Coast Rd, Singapore 459098",4.5,22,"[""establishment"", ""point_of_interest"", ""school""]",1.3127555,103.9241824,True
Geylang,Aljunied,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Aljunied, Geylang, Singapore",ChIJ_yBIIRQX2jERvEDz9aXhFoU,Bishan Library,"5 Bishan Pl, #01-01, Singapore 579841",4.4,470,"[""establishment"", ""library"", ""point_of_interest""]",1.3498471,103.8487828,True
Geylang,Aljunied,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Aljunied, Geylang, Singapore",ChIJ72VJhR4X2jERZMho6nlURZY,"Chengzhu Mandarin Centre, The Woodleigh Mall","11 Bidadari Park Dr, #02-45, Singapore 367803",4.6,28,"[""establishment"", ""point_of_interest""]",1.3379161,103.8723492,True
Geylang,Aljunied,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Aljunied, Geylang, Singapore",ChIJR_Ch1ZQZ2jER5KUkaHuw4TM,Intellect Library Services,"1015 Geylang East Ave 3, #04-135, Singapore 389730",3.0,1,"[""book_store"", ""establishment"", ""point_of_interest"", ""store""]",1.3193635,103.8906943,True
Geylang,Aljunied,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Aljunied, Geylang, Singapore",ChIJq-tQRDQY2jERssSgCiSjYUQ,Lorong 1 Geylang Bus Terminal,"5 Sims Ave, Singapore 884003",4.1,33,"[""establishment"", ""point_of_interest""]",1.3104363,103.8716892,True
Geylang,Aljunied,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Aljunied, Geylang, Singapore",ChIJJ7f2VzYY2jER-mgBHVqveG4,Aft Geylang Rd,Singapore,4.4,11,"[""bus_station"", ""establishment"", ""point_of_interest"", ""transit_station""]",1.3099905,103.8760003,True
Geylang,Aljunied,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Aljunied, Geylang, Singapore",ChIJEeXgxDoY2jERwlXKXAzt2JQ,Opp Aljunied Stn,Singapore,4.5,13,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.316217,103.881683,True
Geylang,Aljunied,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Aljunied, Geylang, Singapore",ChIJAeeSRgAZ2jER8Q2ICvZIXQc,Outside Aljunied MRT Station Open Area,"81 Lor 25 Geylang, Singapore 388310",5.0,1,"[""establishment"", ""point_of_interest""]",1.3159815,103.8824366,True
Geylang,Aljunied,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Aljunied, Geylang, Singapore",ChIJO7BsLzsY2jER-OVKkQKKm64,Aljunied,Singapore 388310,4.4,1308,"[""establishment"", ""point_of_interest"", ""subway_station"", ""transit_station""]",1.31643,103.88291,True
Geylang,Aljunied,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Aljunied, Geylang, Singapore",ChIJ1_i9GToY2jERUNEtskemLYY,Bef Lor 18 Geylang,Singapore,4.3,33,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.3127433,103.8808021,True
Geylang,Aljunied,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Aljunied, Geylang, Singapore",ChIJJ65lEDsY2jERzXUVA7LbTg8,Aft Aljunied Stn,Singapore,4.1,7,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.3153371,103.8834465,True
Geylang,Aljunied,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Aljunied, Geylang, Singapore",ChIJk_UlnYgX2jERTITYwQCfWkg,Aljunied Pk,Singapore,5.0,3,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.3292312,103.8797308,True
