timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-20T15:30:35.991548,text_search,1,AIzaSy...IDGw,421,Hougang,Defu Industrial Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Defu Industrial Park, Hougang, Singapore",OK,,20,
2026-07-20T15:30:37.866063,text_search,1,AIzaSy...IDGw,422,Hougang,Defu Industrial Park,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Defu Industrial Park, Hougang, Singapore",OK,,20,
2026-07-20T15:30:39.534122,text_search,1,AIzaSy...IDGw,423,Hougang,Defu Industrial Park,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Defu Industrial Park, Hougang, Singapore",OK,,20,
2026-07-20T15:30:41.141588,text_search,1,AIzaSy...IDGw,424,Hougang,Defu Industrial Park,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Defu Industrial Park, Hougang, Singapore",OK,,20,
2026-07-20T15:30:42.748191,text_search,1,AIzaSy...IDGw,425,Hougang,Defu Industrial Park,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Defu Industrial Park, Hougang, Singapore",OK,,20,
2026-07-20T15:30:44.377103,text_search,1,AIzaSy...IDGw,426,Hougang,Defu Industrial Park,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Defu Industrial Park, Hougang, Singapore",OK,,20,
2026-07-20T15:30:45.979010,text_search,1,AIzaSy...IDGw,427,Hougang,Hougang Central,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Hougang Central, Hougang, Singapore",OK,,20,
2026-07-20T15:30:47.389886,text_search,1,AIzaSy...IDGw,428,Hougang,Hougang Central,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Hougang Central, Hougang, Singapore",OK,,20,
2026-07-20T15:30:48.909769,text_search,1,AIzaSy...IDGw,429,Hougang,Hougang Central,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Hougang Central, Hougang, Singapore",OK,,20,
2026-07-20T15:30:50.323645,text_search,1,AIzaSy...IDGw,430,Hougang,Hougang Central,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Hougang Central, Hougang, Singapore",OK,,20,
2026-07-20T15:30:52.138681,text_search,1,AIzaSy...IDGw,431,Hougang,Hougang Central,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Hougang Central, Hougang, Singapore",OK,,20,
2026-07-20T15:30:53.613382,text_search,1,AIzaSy...IDGw,432,Hougang,Hougang Central,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Hougang Central, Hougang, Singapore",OK,,20,
2026-07-20T15:30:55.152597,text_search,1,AIzaSy...IDGw,433,Hougang,Hougang East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Hougang East, Hougang, Singapore",OK,,20,
2026-07-20T15:30:56.723668,text_search,1,AIzaSy...IDGw,434,Hougang,Hougang East,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Hougang East, Hougang, Singapore",OK,,20,
2026-07-20T15:30:58.166835,text_search,1,AIzaSy...IDGw,435,Hougang,Hougang East,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Hougang East, Hougang, Singapore",OK,,20,
2026-07-20T15:30:59.639118,text_search,1,AIzaSy...IDGw,436,Hougang,Hougang East,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Hougang East, Hougang, Singapore",OK,,20,
2026-07-20T15:31:01.053480,text_search,1,AIzaSy...IDGw,437,Hougang,Hougang East,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Hougang East, Hougang, Singapore",OK,,20,
2026-07-20T15:31:02.586568,text_search,1,AIzaSy...IDGw,438,Hougang,Hougang East,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Hougang East, Hougang, Singapore",OK,,9,
2026-07-20T15:31:04.022690,text_search,1,AIzaSy...IDGw,439,Hougang,Hougang West,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Hougang West, Hougang, Singapore",OK,,20,
2026-07-20T15:31:05.346573,text_search,1,AIzaSy...IDGw,440,Hougang,Hougang West,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Hougang West, Hougang, Singapore",OK,,20,
2026-07-20T15:31:07.583128,text_search,1,AIzaSy...IDGw,441,Hougang,Hougang West,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Hougang West, Hougang, Singapore",OK,,20,
2026-07-20T15:31:08.788592,text_search,1,AIzaSy...IDGw,442,Hougang,Hougang West,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Hougang West, Hougang, Singapore",OK,,20,
2026-07-20T15:31:10.418819,text_search,1,AIzaSy...IDGw,443,Hougang,Hougang West,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Hougang West, Hougang, Singapore",OK,,20,
2026-07-20T15:31:11.755190,text_search,1,AIzaSy...IDGw,444,Hougang,Hougang West,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Hougang West, Hougang, Singapore",OK,,20,
2026-07-20T15:31:13.579299,text_search,1,AIzaSy...IDGw,445,Hougang,Kangkar,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Kangkar, Hougang, Singapore",OK,,20,
2026-07-20T15:31:15.059015,text_search,1,AIzaSy...IDGw,446,Hougang,Kangkar,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Kangkar, Hougang, Singapore",OK,,20,
2026-07-20T15:31:16.485007,text_search,1,AIzaSy...IDGw,447,Hougang,Kangkar,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Kangkar, Hougang, Singapore",OK,,20,
2026-07-20T15:31:17.975904,text_search,1,AIzaSy...IDGw,448,Hougang,Kangkar,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Kangkar, Hougang, Singapore",OK,,20,
2026-07-20T15:31:19.922069,text_search,1,AIzaSy...IDGw,449,Hougang,Kangkar,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Kangkar, Hougang, Singapore",OK,,20,
2026-07-20T15:31:21.062832,text_search,1,AIzaSy...IDGw,450,Hougang,Kangkar,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Kangkar, Hougang, Singapore",OK,,20,
2026-07-20T15:31:22.948796,text_search,1,AIzaSy...IDGw,451,Hougang,Kovan,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Kovan, Hougang, Singapore",OK,,20,
2026-07-20T15:31:24.439284,text_search,1,AIzaSy...IDGw,452,Hougang,Kovan,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Kovan, Hougang, Singapore",OK,,20,
