planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Hougang,Defu Industrial Park,education,20,4.605,571,92.1
Hougang,Defu Industrial Park,transport,20,4.174,1891,83.48
Hougang,Defu Industrial Park,food,20,4.24,84546,84.8
Hougang,Defu Industrial Park,shopping,20,4.095,82234,81.9
Hougang,Defu Industrial Park,recreation,20,4.175,10912,83.5
Hougang,Defu Industrial Park,nature,20,4.425,32156,88.5
Hougang,Hougang Central,education,20,4.735,600,94.7
Hougang,Hougang Central,transport,20,4.065,902,81.3
Hougang,Hougang Central,food,20,4.14,20393,82.8
Hougang,Hougang Central,shopping,20,4.04,59399,80.8
Hougang,Hougang Central,recreation,20,4.31,12441,86.2
Hougang,Hougang Central,nature,20,4.425,28059,88.5
Hougang,Hougang East,education,20,4.725,866,94.5
Hougang,Hougang East,transport,20,4.175,1786,83.5
Hougang,Hougang East,food,20,4.12,15369,82.4
Hougang,Hougang East,shopping,20,4.06,97230,81.2
Hougang,Hougang East,recreation,20,4.28,13680,85.6
Hougang,Hougang East,nature,9,4.378,8708,87.56
Hougang,Hougang West,education,20,4.68,677,93.6
Hougang,Hougang West,transport,20,4.28,929,85.6
Hougang,Hougang West,food,20,4.1,19258,82.0
Hougang,Hougang West,shopping,20,4.055,85309,81.1
Hougang,Hougang West,recreation,20,4.25,11068,85.0
Hougang,Hougang West,nature,20,4.48,27074,89.6
Hougang,Kangkar,education,20,4.568,931,91.36
Hougang,Kangkar,transport,20,4.021,1666,80.42
Hougang,Kangkar,food,20,4.11,133421,82.2
Hougang,Kangkar,shopping,20,4.04,86599,80.8
Hougang,Kangkar,recreation,20,4.19,16806,83.8
Hougang,Kangkar,nature,20,4.43,25955,88.6
Hougang,Kovan,education,20,4.605,1020,92.1
Hougang,Kovan,transport,20,3.975,1757,79.5
Hougang,Kovan,food,20,4.065,24219,81.3
Hougang,Kovan,shopping,20,4.09,60673,81.8
Hougang,Kovan,recreation,20,4.245,10331,84.9
Hougang,Kovan,nature,20,4.46,29649,89.2
Hougang,Lorong Ah Soo,education,20,4.553,711,91.06
Hougang,Lorong Ah Soo,transport,20,4.09,1645,81.8
Hougang,Lorong Ah Soo,food,20,4.23,18662,84.6
Hougang,Lorong Ah Soo,shopping,20,4.11,53438,82.2
Hougang,Lorong Ah Soo,recreation,20,4.22,10381,84.4
Hougang,Lorong Ah Soo,nature,20,4.41,32148,88.2
Hougang,Lorong Halus,education,20,4.553,297,91.06
Hougang,Lorong Halus,transport,9,3.867,1563,77.34
Hougang,Lorong Halus,food,20,4.2,32982,84.0
Hougang,Lorong Halus,shopping,20,4.105,82105,82.1
Hougang,Lorong Halus,recreation,20,4.24,15757,84.8
Hougang,Lorong Halus,nature,20,4.455,24981,89.1
Hougang,Tai Seng,education,20,4.716,850,94.32
Hougang,Tai Seng,transport,20,3.78,1014,75.6
Hougang,Tai Seng,food,20,4.075,17115,81.5
Hougang,Tai Seng,shopping,20,4.1,91305,82.0
Hougang,Tai Seng,recreation,20,4.2,11457,84.0
Hougang,Tai Seng,nature,20,4.43,16654,88.6
Hougang,Trafalgar,education,20,4.595,1084,91.9
Hougang,Trafalgar,transport,10,4.15,383,83.0
Hougang,Trafalgar,food,20,4.18,120855,83.6
Hougang,Trafalgar,shopping,20,4.08,83769,81.6
Hougang,Trafalgar,recreation,20,4.265,11586,85.3
Hougang,Trafalgar,nature,20,4.465,30701,89.3
