planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Hougang,Defu Industrial Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Defu Industrial Park, Hougang, Singapore",ChIJc1WZSMob2jERP6fyvFcY0fw,Kindle Cove Student Care,"247 Hougang Ave 3, #01-458, Singapore 530247",4.9,8,"[""establishment"", ""point_of_interest""]",1.3591131,103.8915159,True
Hougang,Defu Industrial Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Defu Industrial Park, Hougang, Singapore",ChIJNzVNgHEY2jERrGHurUvCXBw,ELFA Preschool @ Hougang,"202 Hougang St 21, #03-00, Singapore 530202",5.0,47,"[""establishment"", ""point_of_interest"", ""school""]",1.3577279,103.8840853,True
Hougang,Defu Industrial Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Defu Industrial Park, Hougang, Singapore",ChIJaYs7b5gX2jERoC0hna1fz2M,Aifuza Learning Centre Pte. Ltd.,"21 Hougang St 51, Singapore 538719",4.6,24,"[""establishment"", ""point_of_interest""]",1.3792668,103.8878925,True
Hougang,Defu Industrial Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Defu Industrial Park, Hougang, Singapore",ChIJnZDNbDYW2jERtnRfG8aG5zA,Little Tree House @ Hougang,"62 Jln Naung, Miramar, Singapore 537727",4.8,70,"[""establishment"", ""point_of_interest""]",1.3692357,103.8925399,True
Hougang,Defu Industrial Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Defu Industrial Park, Hougang, Singapore",ChIJK5bqPbEX2jERk5KpjGymleo,Kinderland Preschool @ Hougang,"Blk 202 Hougang St 21, #03-00, Singapore 530202",4.4,50,"[""establishment"", ""point_of_interest"", ""school""]",1.3576563,103.883843,True
Hougang,Defu Industrial Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Defu Industrial Park, Hougang, Singapore",ChIJ9frkgjQX2jERJbDxmBuxNho,MapleBear Kovan,"45 Jln Songket, Singapore 537416",5.0,37,"[""establishment"", ""point_of_interest""]",1.3567325,103.8862802,True
Hougang,Defu Industrial Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Defu Industrial Park, Hougang, Singapore",ChIJ03h560UW2jER9XHLcvbupdI,Life Student Care,"665 Hougang Ave 4, Singapore 530665",4.3,11,"[""establishment"", ""point_of_interest""]",1.3740987,103.8844206,True
Hougang,Defu Industrial Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Defu Industrial Park, Hougang, Singapore",ChIJza5mXrUX2jERXeMDo4AWaeU,The Education Lab,"Blk 203 Hougang St 21, #01-83, Singapore 530203",5.0,1,"[""establishment"", ""point_of_interest""]",1.3584931,103.8842225,True
Hougang,Defu Industrial Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Defu Industrial Park, Hougang, Singapore",ChIJU4zuTgQX2jEREzB1xaYh51o,Avid Learning Hub,"BLK 804 Hougang Central, #02-118, Singapore 530804",5.0,31,"[""establishment"", ""point_of_interest"", ""school""]",1.3706511,103.8947084,True
Hougang,Defu Industrial Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Defu Industrial Park, Hougang, Singapore",ChIJX5SdeDMW2jERoaMJq-6XTVk,Sunshine Kids Educare,"321 Hougang Ave 5, #01-38, Singapore 530321",4.2,13,"[""establishment"", ""point_of_interest""]",1.3671694,103.8986069,True
Hougang,Defu Industrial Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Defu Industrial Park, Hougang, Singapore",ChIJkVwiQEEW2jERPabp4lhoTEM,Ideal Student Care Services,"HDB Hougang #01-620, 580 Hougang Avenue 4 (S)530580, Singapore 530580",4.0,1,"[""establishment"", ""point_of_interest""]",1.3789264,103.8868248,True
Hougang,Defu Industrial Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Defu Industrial Park, Hougang, Singapore",ChIJ_ZqMoT8X2jERAd9chqnnMIg,Star Learners @ Hougang Central | Preschool & Childcare,"434 Hougang Ave 8, #01-904, Singapore 530434",4.9,96,"[""establishment"", ""point_of_interest"", ""school""]",1.3764575,103.8941166,True
Hougang,Defu Industrial Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Defu Industrial Park, Hougang, Singapore",ChIJtQFV3TAW2jERJAIAxezHdcE,Star Learners @ Hougang | Preschool & Childcare,"8 St Xavier's Ln, Singapore 535736",5.0,60,"[""establishment"", ""point_of_interest"", ""school""]",1.3712809,103.8983962,True
Hougang,Defu Industrial Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Defu Industrial Park, Hougang, Singapore",ChIJQ4kYKFsX2jER1zgaJiCILrk,edIFY: Math and Science (Kovan),"1019 Upper Serangoon Rd, #02-01, Singapore 534757",5.0,70,"[""establishment"", ""point_of_interest""]",1.3628112,103.8876618,True
Hougang,Defu Industrial Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Defu Industrial Park, Hougang, Singapore",ChIJjZaGy08W2jERPA2X3NCqbN8,Aljunied - Hougang PAP Community Foundation Education Centre,"632 Hougang Ave 8, Block 632, Singapore 530632",4.0,1,"[""establishment"", ""point_of_interest""]",1.3708138,103.8809316,True
Hougang,Defu Industrial Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Defu Industrial Park, Hougang, Singapore",ChIJWTQWAkEW2jERHxiIE0XYDJ8,Knowledge Park (Hougang),"927 Hougang Street 91, Singapore 530927",4.0,2,"[""establishment"", ""point_of_interest""]",1.3766901,103.8807331,True
Hougang,Defu Industrial Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Defu Industrial Park, Hougang, Singapore",ChIJq6qquloW2jERDPd3SIJ_oaI,AWWA Resource Centre,"11 Lrg. Napiri, Singapura 547532",5.0,2,"[""establishment"", ""library"", ""point_of_interest""]",1.3726501,103.878994,True
Hougang,Defu Industrial Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Defu Industrial Park, Hougang, Singapore",ChIJL41kYTUW2jERqM6KJNaa56A,Association For Early Childhood Educators (Hougang),"18, #01-159 Hougang Ave 3, Singapore 530018",3.8,5,"[""establishment"", ""point_of_interest""]",1.3632169,103.891716,True
Hougang,Defu Industrial Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Defu Industrial Park, Hougang, Singapore",ChIJuWzc1dEX2jERAv1_084GWcQ,Edufarm Learning Centre,"643 Hougang Ave 8, #01-285, Singapore 530643",,0,"[""establishment"", ""point_of_interest""]",1.3715655,103.8806472,True
Hougang,Defu Industrial Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Defu Industrial Park, Hougang, Singapore",ChIJnYM95Z0X2jER_N8y5iFtqqA,Kidz Treehouse,"21 Serangoon North Ave 4, Singapore 555855",4.6,42,"[""establishment"", ""point_of_interest""]",1.3728523,103.8745871,True
Hougang,Defu Industrial Park,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Defu Industrial Park, Hougang, Singapore",ChIJCwyWPlEX2jERoZTCon7vBaM,Hougang Bus Depot,"4 Defu Ave 1, Singapore 539536",4.2,26,"[""establishment"", ""point_of_interest""]",1.3460513,103.8932576,True
Hougang,Defu Industrial Park,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Defu Industrial Park, Hougang, Singapore",ChIJdYthjQ4X2jER6OEepnCg0Hc,Hougang Bus Park,"12A Hougang Ave 4, Singapore 538833",4.6,5,"[""establishment"", ""point_of_interest""]",1.3679845,103.8910568,True
Hougang,Defu Industrial Park,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Defu Industrial Park, Hougang, Singapore",ChIJhZ7RCcQX2jERBRq1GxZnVzs,Defu Industrial Estate,"30 Defu Lane 10, Singapore 539211",4.0,160,"[""establishment"", ""point_of_interest""]",1.3523033,103.8917329,True
Hougang,Defu Industrial Park,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Defu Industrial Park, Hougang, Singapore",ChIJJwWqyzcW2jER6pLeAgv9qOU,Hougang,Singapore,4.1,352,"[""establishment"", ""point_of_interest"", ""subway_station"", ""transit_station""]",1.3716089,103.8929679,True
Hougang,Defu Industrial Park,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Defu Industrial Park, Hougang, Singapore",ChIJ2Wt5SjYW2jERwfBXTrNg6_w,Hougang Ctrl Int,Singapore 538757,3.8,322,"[""bus_station"", ""establishment"", ""point_of_interest"", ""transit_station""]",1.3711931,103.8924653,True
Hougang,Defu Industrial Park,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Defu Industrial Park, Hougang, Singapore",ChIJ32uxRukX2jERa8-H_jFJmis,Aft Defu Lane 12,Singapore,4.0,2,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.341141,103.898148,True
Hougang,Defu Industrial Park,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Defu Industrial Park, Hougang, Singapore",ChIJxwlrtbYX2jEROgpoeX7KDIQ,Kovan Hub,"Hougang St 21, Singapore",4.6,16,"[""bus_station"", ""establishment"", ""point_of_interest"", ""transit_station""]",1.3584489,103.8853719,True
Hougang,Defu Industrial Park,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Defu Industrial Park, Hougang, Singapore",ChIJf5M8AssX2jERlR3DV7nTyow,Aft Hougang Ave 3,Singapore,3.7,9,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.361728,103.894211,True
Hougang,Defu Industrial Park,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Defu Industrial Park, Hougang, Singapore",ChIJ6wzf_78X2jERIyWjIHrJsww,SBST Hougang Depot,Singapore,4.0,10,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.345217,103.891182,True
Hougang,Defu Industrial Park,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Defu Industrial Park, Hougang, Singapore",ChIJ4_AE-TcW2jER8iTssc5JsEw,Hougang Stn Exit C,Singapore,3.7,7,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.372882,103.891701,True
Hougang,Defu Industrial Park,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Defu Industrial Park, Hougang, Singapore",ChIJC6ewCrQX2jERgTas8tFMx6Q,Kovan Stn Exit C,Singapore,4.4,10,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.3599877,103.8851427,True
Hougang,Defu Industrial Park,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Defu Industrial Park, Hougang, Singapore",ChIJdUM6qbkX2jERs-RRjqkHvb4,Opp Blk 115,Singapore,4.5,6,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.35225,103.887856,True
Hougang,Defu Industrial Park,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Defu Industrial Park, Hougang, Singapore",ChIJkxIwH7gX2jERuz6bc0G2QPk,Blk 105 Mkt/FC,Singapore,4.3,10,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.354154,103.889793,True
Hougang,Defu Industrial Park,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Defu Industrial Park, Hougang, Singapore",ChIJf2USirMX2jERAQIbXbn6e5U,Kovan Stn Exit B,Singapore,4.3,4,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.3605316,103.8852198,True
Hougang,Defu Industrial Park,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Defu Industrial Park, Hougang, Singapore",ChIJJ8F39rMX2jERDK76MHa6RwE,Kovan,"900 Upper Serangoon Rd, Singapore 534799",4.2,854,"[""establishment"", ""point_of_interest"", ""subway_station"", ""transit_station""]",1.359746,103.8842776,True
Hougang,Defu Industrial Park,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Defu Industrial Park, Hougang, Singapore",ChIJ__8P6DcW2jERh_Bp9Cp9nZ8,Taxi Stand G12,"80 Hougang Central, Singapore 538758",5.0,1,"[""bus_station"", ""establishment"", ""point_of_interest"", ""transit_station""]",1.3714348,103.8927372,True
Hougang,Defu Industrial Park,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Defu Industrial Park, Hougang, Singapore",ChIJ5_al89Ai2jERcSobpvC1uao,Upp East Coast Ter,Singapore,4.0,77,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.31796,103.952568,True
Hougang,Defu Industrial Park,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Defu Industrial Park, Hougang, Singapore",ChIJbTmU9rMX2jERdR96_vg6lYg,Bus Stop (63031),"900 Upper Serangoon Rd, Singapore 534799",,0,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.359923,103.885144,True
