planning_area,subzone,poi_dimension,place_query_type,place_id,place_name,place_rating,place_user_ratings_total,review_index,review_author_name,review_author_url,review_language,review_profile_photo_url,review_rating,review_relative_time_description,review_time,review_text
Hougang,Hougang East,food,food dining hawker centres restaurants cafes,ChIJ14tfr0UW2jERvfZClMtLrsQ,Ci Yuan Hawker Centre,4.2,2499,0,Low Bao Heng,https://www.google.com/maps/contrib/108033403024309465290/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXmNskCMTl5jIisOkzoK_cgQJ5Ccos3s95ZHfTDJtE-QP6iKvg=s128-c0x00000000-cc-rp-mo-ba6,4,a month ago,1780325453,"This is my first time at Ci Yuan Hawker Centre, and I visited on a Sunday evening at 8 pm, which is a public holiday. As a result, most stalls were closed or closing. Despite that, I was impressed by the variety of food options available here.

I look forward to returning another time to explore more!"
Hougang,Hougang East,food,food dining hawker centres restaurants cafes,ChIJ14tfr0UW2jERvfZClMtLrsQ,Ci Yuan Hawker Centre,4.2,2499,1,L Chan,https://www.google.com/maps/contrib/116520472038541999281/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocINlTnrFJLkmwifQ0iY8b49hOQOK-hAzDBIwAXYazffR8HyfQ=s128-c0x00000000-cc-rp-mo-ba8,5,3 months ago,1775444172,"This is a newer hawker centre located on the ground floor of Ci Yuan Community Club. It’s cleaner & more organised than the older ones, with a good mix of food choices without too many repeats. Prices are still affordable & the overall atmosphere is relaxed - less crowded & not touristy."
Hougang,Hougang East,food,food dining hawker centres restaurants cafes,ChIJ14tfr0UW2jERvfZClMtLrsQ,Ci Yuan Hawker Centre,4.2,2499,2,Bee B.,https://www.google.com/maps/contrib/105081768827985754088/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjWOnTPVdYKha5VWmUAUn_ieVprdSg-bO7shmbpzXjR6r98VL7-0=s128-c0x00000000-cc-rp-mo-ba5,5,5 months ago,1769923886,"I don’t live nearby so I hardly eat at Ci Yuan hawker center. Today I’m in the mood to eat some “unhealthy” kind of foods that I normally skip. So I had hokkien noodle (01-16), a duck drumstick (01-12) and fried cabbage (01-11).  Finish my lunch with chendol. I enjoyed myself. Please try out these food. My best experience so far eating at Ci Yuan hawker center. I find that the food is getting better over the years. Recommended 💕"
Hougang,Hougang East,food,food dining hawker centres restaurants cafes,ChIJ14tfr0UW2jERvfZClMtLrsQ,Ci Yuan Hawker Centre,4.2,2499,3,Choel Poh,https://www.google.com/maps/contrib/110927587321034151714/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocLUdWrIcV_NjpIQFEZBs3HpUg_goiA--jBTdLbMYrHcNSP0QVnU=s128-c0x00000000-cc-rp-mo-ba4,5,11 months ago,1755326390,"Newly open stall ""文哥潮州鱼•蒸好吃 (no English name) yet.

Tried item C: Bitter Gourd with Egg soup ($4) + Dry Hor Fun ($1.50)
= $5.50 (Total) reasonable price.

Hor Fun (dry) with black sauce (mild sweetness), fried shallots, spring onions, mini pork lards (maybe chopped very small pc - you can ask for more if you like).
You can add more chilli paste or chopped chilli padi if you like more spicy kick 🔥 🥵  Shiok & Sweat! 💦

Bitter Gourd Soup MUST TRY!
Really generous ingredients like:
- thick & tender pork slices (maybe pork collar)
- minced pork (no fats surprisingly)
- pork balls (texture not hard when bite)
- brown strips (can someone enlighten me what it call?) thanks.
- bitter gourd not bitter (I'm a person who don't fancy bitter gourd, but it really hit my taste buds - good try for me!)

This soup really warms my heart and makes me feel missing my mum's hot soup...wow!

Met a friend there who also recommended me to try their Salted fish & peanuts pork patty & Vinegar Pork Trotters.

So I will come back again to try & share with you all again!"
Hougang,Hougang East,food,food dining hawker centres restaurants cafes,ChIJ14tfr0UW2jERvfZClMtLrsQ,Ci Yuan Hawker Centre,4.2,2499,4,Chocodimples,https://www.google.com/maps/contrib/116346749207356636215/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjW7mdualdI9cEnyHAGAdaT4bLXHJ0kmsTBRU-RS2TirwiQIL9c=s128-c0x00000000-cc-rp-mo-ba6,5,8 months ago,1763771447,"Clean, spacious and airy hawker center with a variety of food options. We had taliwang nasi lemak, chef wang fried rice, ccf and the sliced fish pao fan from a zi char stall."
Hougang,Kangkar,recreation,recreation sports gyms swimming community clubs,ChIJ1xgTQ7Ui2jERqLDkdtiHQl8,Heartbeat @ Bedok ActiveSG Swimming Complex,4.4,4143,0,Spence,https://www.google.com/maps/contrib/109537908143287059616/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocI56oKmQS0jFkT8arQV0KVTMfO8K8yd8Y4xCvn3Ft2ShssNuQ=s128-c0x00000000-cc-rp-mo-ba5,5,4 months ago,1772128364,Great pool with indoor and outdoor options. You could even swim when there is lightning alert. Indoor pool is cool and water is not salty. Toilet is a little run down but it’s ok.
Hougang,Kangkar,recreation,recreation sports gyms swimming community clubs,ChIJ1xgTQ7Ui2jERqLDkdtiHQl8,Heartbeat @ Bedok ActiveSG Swimming Complex,4.4,4143,1,Kavitha,https://www.google.com/maps/contrib/110358363802981682934/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXHS2zBLbAgoj7Po1SthrL_nUlr2KRfZMKKqFjodKm4lISxPjIK3A=s128-c0x00000000-cc-rp-mo-ba6,4,2 weeks ago,1782785924,"A nice beautiful place ... There is a library... Foods ... Places to sit n relax ...
Movie screen to watch movies... 😉
Bedok polyclinic...there is a library inside bedok hub...there is a foodplace to eat, swimming complex..."
Hougang,Kangkar,recreation,recreation sports gyms swimming community clubs,ChIJ1xgTQ7Ui2jERqLDkdtiHQl8,Heartbeat @ Bedok ActiveSG Swimming Complex,4.4,4143,2,Will C,https://www.google.com/maps/contrib/108770861412310662498/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjUqv50lVVygW78t0XYwwfPaQogn6V8HTok_jSxbWHWumA_SElXiUA=s128-c0x00000000-cc-rp-mo-ba4,5,8 months ago,1762125893,"This is a large swimming complex and great for kids on the 5th floor. There are 3 pools. One for small kiddies, one intermediate and one advanced. Pool is not heated but good for warm weather days. The Olympic pool has a shelter. There is an activesg gym on the 6th floor that overlooks the pool if you want to work out (separate entrance fee of 2.50 sgd). However, the gym are strict with footwear and need to bring your own towel."
Hougang,Kangkar,recreation,recreation sports gyms swimming community clubs,ChIJ1xgTQ7Ui2jERqLDkdtiHQl8,Heartbeat @ Bedok ActiveSG Swimming Complex,4.4,4143,3,Arc Chua,https://www.google.com/maps/contrib/113018417947997443979/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjUbpN9RxBVo_Edgzjcjm6N_FFVqJ5Dg8JE4FQsukz5S7IcZOHZA=s128-c0x00000000-cc-rp-mo-ba4,5,6 months ago,1767530760,"So many activities here. U got library, gym, multi purpose hall, swimming pool, classes for booking. Amazing place"
Hougang,Kangkar,recreation,recreation sports gyms swimming community clubs,ChIJ1xgTQ7Ui2jERqLDkdtiHQl8,Heartbeat @ Bedok ActiveSG Swimming Complex,4.4,4143,4,Nadeesha Athukorala,https://www.google.com/maps/contrib/100906096244558577191/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXktMKwN18Rreba4SQkX3Aa6bhwXi35k953qVVG8NnKUfwY9W8=s128-c0x00000000-cc-rp-mo-ba6,5,11 months ago,1753841793,"Actually, It's a great location, close to the MRT and shops around. They Have  shopping stores and eateries as well.

It's a Fantastic place for kids to learn swimming at Level 5.They Have Indoor pools too in case it rains, So confirm wont miss the lessons.

Love the design of the place, very lively and green! Has a lot of activities happening as well related to community activities...🏊🤽🩱🌿🍃"
