timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-19T13:15:05.289259,text_search,1,AIzaSy...IDGw,1,Jurong East,International Business Park,education,kindergarten,"kindergarten in International Business Park, Jurong East, Singapore",OK,,20,
2026-07-19T13:15:06.372580,text_search,1,AIzaSy...IDGw,2,Jurong East,International Business Park,education,childcare centre,"childcare centre in International Business Park, Jurong East, Singapore",OK,,20,
2026-07-19T13:15:07.499917,text_search,1,AIzaSy...IDGw,3,Jurong East,International Business Park,education,primary school,"primary school in International Business Park, Jurong East, Singapore",OK,,20,
2026-07-19T13:15:08.670622,text_search,1,AIzaSy...IDGw,4,Jurong East,International Business Park,education,secondary school,"secondary school in International Business Park, Jurong East, Singapore",OK,,20,
2026-07-19T13:15:09.345043,text_search,1,AIzaSy...IDGw,5,Jurong East,International Business Park,education,junior college,"junior college in International Business Park, Jurong East, Singapore",OK,,20,
2026-07-19T13:15:10.471333,text_search,1,AIzaSy...IDGw,6,Jurong East,International Business Park,education,polytechnic,"polytechnic in International Business Park, Jurong East, Singapore",OK,,20,
2026-07-19T13:15:11.693542,text_search,1,AIzaSy...IDGw,7,Jurong East,International Business Park,education,university,"university in International Business Park, Jurong East, Singapore",OK,,20,
2026-07-19T13:15:12.620299,text_search,1,AIzaSy...IDGw,8,Jurong East,International Business Park,education,tuition centre,"tuition centre in International Business Park, Jurong East, Singapore",OK,,20,
2026-07-19T13:15:13.658401,text_search,1,AIzaSy...IDGw,9,Jurong East,International Business Park,education,library,"library in International Business Park, Jurong East, Singapore",OK,,20,
2026-07-19T13:15:14.634056,text_search,1,AIzaSy...IDGw,10,Jurong East,International Business Park,transport,MRT station,"MRT station in International Business Park, Jurong East, Singapore",OK,,18,
2026-07-19T13:15:15.494754,text_search,1,AIzaSy...IDGw,11,Jurong East,International Business Park,transport,bus stop,"bus stop in International Business Park, Jurong East, Singapore",OK,,20,
