planning_area,subzone,education_count,food_count,nature_count,recreation_count,shopping_count,transport_count,education_avg_rating,food_avg_rating,nature_avg_rating,recreation_avg_rating,shopping_avg_rating,transport_avg_rating,education_rating_100,food_rating_100,nature_rating_100,recreation_rating_100,shopping_rating_100,transport_rating_100,education_review_count,food_review_count,nature_review_count,recreation_review_count,shopping_review_count,transport_review_count,education_avg_review_rating,food_avg_review_rating,nature_avg_review_rating,recreation_avg_review_rating,shopping_avg_review_rating,transport_avg_review_rating,education_noise_positive_mentions,food_noise_positive_mentions,nature_noise_positive_mentions,recreation_noise_positive_mentions,shopping_noise_positive_mentions,transport_noise_positive_mentions,education_noise_negative_mentions,food_noise_negative_mentions,nature_noise_negative_mentions,recreation_noise_negative_mentions,shopping_noise_negative_mentions,transport_noise_negative_mentions,education_crowding_positive_mentions,food_crowding_positive_mentions,nature_crowding_positive_mentions,recreation_crowding_positive_mentions,shopping_crowding_positive_mentions,transport_crowding_positive_mentions,education_crowding_negative_mentions,food_crowding_negative_mentions,nature_crowding_negative_mentions,recreation_crowding_negative_mentions,shopping_crowding_negative_mentions,transport_crowding_negative_mentions,education_cleanliness_positive_mentions,food_cleanliness_positive_mentions,nature_cleanliness_positive_mentions,recreation_cleanliness_positive_mentions,shopping_cleanliness_positive_mentions,transport_cleanliness_positive_mentions,education_cleanliness_negative_mentions,food_cleanliness_negative_mentions,nature_cleanliness_negative_mentions,recreation_cleanliness_negative_mentions,shopping_cleanliness_negative_mentions,transport_cleanliness_negative_mentions,education_safety_positive_mentions,food_safety_positive_mentions,nature_safety_positive_mentions,recreation_safety_positive_mentions,shopping_safety_positive_mentions,transport_safety_positive_mentions,education_safety_negative_mentions,food_safety_negative_mentions,nature_safety_negative_mentions,recreation_safety_negative_mentions,shopping_safety_negative_mentions,transport_safety_negative_mentions,education_convenience_positive_mentions,food_convenience_positive_mentions,nature_convenience_positive_mentions,recreation_convenience_positive_mentions,shopping_convenience_positive_mentions,transport_convenience_positive_mentions,education_convenience_negative_mentions,food_convenience_negative_mentions,nature_convenience_negative_mentions,recreation_convenience_negative_mentions,shopping_convenience_negative_mentions,transport_convenience_negative_mentions,education_price_positive_mentions,food_price_positive_mentions,nature_price_positive_mentions,recreation_price_positive_mentions,shopping_price_positive_mentions,transport_price_positive_mentions,education_price_negative_mentions,food_price_negative_mentions,nature_price_negative_mentions,recreation_price_negative_mentions,shopping_price_negative_mentions,transport_price_negative_mentions,education_noise_net_mentions,food_noise_net_mentions,nature_noise_net_mentions,recreation_noise_net_mentions,shopping_noise_net_mentions,transport_noise_net_mentions,education_crowding_net_mentions,food_crowding_net_mentions,nature_crowding_net_mentions,recreation_crowding_net_mentions,shopping_crowding_net_mentions,transport_crowding_net_mentions,education_cleanliness_net_mentions,food_cleanliness_net_mentions,nature_cleanliness_net_mentions,recreation_cleanliness_net_mentions,shopping_cleanliness_net_mentions,transport_cleanliness_net_mentions,education_safety_net_mentions,food_safety_net_mentions,nature_safety_net_mentions,recreation_safety_net_mentions,shopping_safety_net_mentions,transport_safety_net_mentions,education_convenience_net_mentions,food_convenience_net_mentions,nature_convenience_net_mentions,recreation_convenience_net_mentions,shopping_convenience_net_mentions,transport_convenience_net_mentions,education_price_net_mentions,food_price_net_mentions,nature_price_net_mentions,recreation_price_net_mentions,shopping_price_net_mentions,transport_price_net_mentions,education_representative_reviews,food_representative_reviews,nature_representative_reviews,recreation_representative_reviews,shopping_representative_reviews,transport_representative_reviews
Jurong East,International Business Park,15,7,6,10,9,7,4.464,4.443,4.18,4.33,4.322,3.943,89.28,88.86,83.6,86.6,86.44,78.86,67,34,20,46,40,29,4.627,4.353,4.0,4.174,4.375,3.138,4,2,5,4,1,0,0,0,0,3,0,0,4,0,0,3,4,1,1,2,0,3,3,1,3,2,0,13,5,5,0,0,0,3,0,0,3,0,0,3,0,0,0,0,1,1,0,0,1,0,1,6,4,8,1,0,0,0,0,2,0,7,0,2,2,0,1,0,0,2,0,0,4,2,5,1,1,0,3,-2,0,0,1,0,3,2,0,10,5,5,3,0,-1,2,0,0,0,0,1,6,4,6,-1,7,0,0,2,0,"Lovely school. Kids learn & grow happily here. This is our sports day || As a father, I am absolutely delighted with the experience my children are having at Mulberry Jurong East Childcare Centre! When my wife and I enrolled our son and daughter, we kne... || Best place where a kid can be! The teachers have lots of patience toward every child. My kids love school so much and they look forward to school every single day. The teachers bui...","Came here to take-out the Bittergourd Fish Soup as I heard good things about this soup. It was indeed well worth it as the generous portion makes me regretted getting the big porti... || tried bittergourd fish soup. Its is truly value for money. Very worth it. Air con environment. Rice is soft. Fish slices is fresh. || The new noodle stall is pretty good in terms of food and presentation, just need to improve their work flow to save faster.","A lovely small rainforest park tucked away in the west that feels surprisingly immersive despite its compact size. The walking trails are well-paved and shaded by tall trees, makin... || It was my first and hope it's not the last visit to this place. I really want to go there again. Really liked the place and enjoyed walking around this place. This would definitely... || Didn't realise there was a quarry in the park, took a long walk in nature and found many wonderful things! Was caught by a sudden downpour, appreciated the thick trees around the a...","Only has a smith machine and dumbbells for the weight section. It is quite an old minded thing to have only smith machine and not free weight barbell, people would assume that is t... || So convenient to visit gym near my place without signing up for expensive memberships. Awesome! || It's a chill place to work out at, especially at night.","A nice and modern mall conveniently located at the Jurong East transportation hub, with sheltered walkways linking it to two other popular malls in the area. The mall is spacious, ... || Mall is around 10 years old located in Jurong east central and beside the MRT station. Good shopper traffic, more home goods, Fnb and lifestyle/services shops such as Nittori, Drea... || Great place for casual shopping. Good spread of food. Easy connection to the jurong east train station.","I have headed here in singapore to head to IMM mall. Metro ride was good. Im thrilled to see everyone using metro besides personal transport. Most of the people are very friendly g... || I love in the West. I've been using the JE MRst exchange since 1991. The ceiling plan hasn't changed at all since then. Until recently, this roof wasn't washed much at all and even... || This MRT Station is strategically located in Jurong East with two popular shopping malls in the area directly connected to it and with the IMM shopping mall and the Ng Teng Fong Co..."
Jurong East,Jurong Gateway,15,8,11,9,8,5,4.7,4.1,4.26,4.233,4.025,4.08,94.0,82.0,85.2,84.66,80.5,81.6,45,40,28,20,20,5,4.733,4.225,3.929,3.65,4.2,4.2,0,2,15,1,1,0,0,0,1,0,0,0,0,3,1,0,1,0,0,4,0,1,4,1,1,2,0,6,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,1,1,5,1,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,2,14,1,1,0,0,-1,1,-1,-3,-1,1,2,0,6,0,0,3,-1,2,0,0,0,1,1,5,1,8,0,0,8,0,0,0,0,"We’re really thankful to the team at Kiddiwinkie Schoolhouse @ Jurong Gateway for the care and attention they’ve given to our daughter, Aeryn. Big thanks to Teacher Gwen, Huang Lao... || How much do my kids enjoy this school? Their eagerness to enter school at morning drop-offs and requesting later pick-ups (so they can spend more time in school) says it all. The t... || We see the heart and soul effort that Teacher Em and Dou Laoshi put into educating the kids. Under their care, my son has developed a stronger compassionate heart, improved his mot...","Yuhua village hawker has many good and affordable options such as fishball minced meat noodle at $3, 139 hainanese chicken rice 2 person set with alot of meat at $10. Along the way... || Unlike most hawker center that are of rectangular structure where they usually struggle for air ventilation when all stalls are opened, this place is airy even during its busiest t... || Yuhua Village Market and Foods Centre is one of my go-to places for fresh groceries and affordable, delicious meals. The wet market has a great selection of fruits, vegetables, mea...","a place where u can bring your pets for a staycation or a swim workout, bring your kids for swimming lesson, play some tennis or do some gardening shopping. Situated just opposite ... || If you want to play Pickleball at night, this is one of the best places || like t9 come here to buy plants and gardening accessories at World Farm. best nursery in Sg.","Requested to cancel my membership via WhatsApp on 5th Jan 26 But the person asked me to contact another WhatsApp So I did, and asked me to make an appointment to physically meet wi... || I am extremely disappointed with the customer service at this branch I reached out online to inquire about promotions, but the staff refused to provide any details, insisting that ... || I was informed that i have a outstanding payment of $110 after sorting out and paid the amount payable the next day when i was trying to get into the gym my access pass failed. It ...","JEM is one of my favourite malls in the west of Singapore. It has a great mix of restaurants, cafes, hair salons, retail shops, and even a cinema, so there is always something to d... || Lots of things to do, eat, and shop at Jem. Plenty of parking on a weekday night like last night, although weekend parking can be crowded at certain times. Love the new Shaw Theatr... || Foodie’s Mall, lots of options. And in Fairprice Xtra, you can find the Lotte Mart and self serve instant noodles like that in Seoul convenience mart. See pics.","Jurong Region Line Stage 2 Jurong East MRT station || West side best side! Lets make west side great again! || Not open yet, will be done by 2027. The Jurong East area has been under construction for the longest time I have remembered..."
Jurong East,Jurong Port,16,8,11,11,8,5,4.5,4.0,4.29,4.23,4.45,4.0,90.0,80.0,85.8,84.6,89.0,80.0,30,20,35,15,7,3,4.433,4.25,4.486,3.933,4.571,4.0,9,2,16,0,0,0,3,0,0,0,0,0,1,0,3,0,0,0,1,0,3,1,1,0,3,0,6,4,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,12,5,1,0,0,0,0,0,0,0,1,2,0,0,4,0,0,1,1,0,0,0,6,2,16,0,0,0,0,0,0,-1,-1,0,3,0,6,4,2,0,1,0,0,0,0,0,2,0,12,5,1,0,1,1,-1,0,4,0,"My child has been attending this childcare centre since playgroup and is now 5 years old. We are truly thankful for the care, patience, and guidance given by the teachers throughou... || Thank you, LFP. I enrolled my little girl in Playgroup about a month ago, and I am grateful for the care and support she has received. A special thank you to her Playgroup teachers... || Both of our girls, Euna and Eslyn, joined LFP @ Jurong East 248 when they were 18 months old, starting from playgroup. Over the years, as they progressed through each level, every ...","There are 7 stalls now. 1 economic mixed rice with nasi lemak, 1 fishball noodle, 1 chick rice, 2 muslim food, 2 snacks and drinks. One of Muslim food stall is Syed Ibrahim Biryani... || It’s a simple and basic food centre with a couple of food stalls (halal foods too) and many tables/seats. It’s mainly opens for breakfast and lunch. || Good quality malay food with nice varieties! Best to come early before 12noon","A pleasant neighbourhood park that’s generally well maintained and easy to enjoy. The greenery is neatly kept, paths are clean, and there’s a good mix of features like open lawns, ... || The park is steeped in history and local knowledge about plants if you know who to look for. Overall also easily 3 degree Celsius cooler. I spotted a local water hen having a blast... || Weekend Wanders: Jurong Central Park Took a stroll through Jurong Central Park over the weekend — a peaceful green escape nestled just minutes away from Jurong Point and Boon Lay M...","Newly renovated space with a great variety of machines. Much better than how it was previously. Still on the smaller side, but shouldn’t be an issue on non-peak periods. Staffs are... || Wow…with facilities like have at the gym, it’s clean environment, central location and professional staff managing the gym, who needs to pay ridiculous membership fees for private ... || decent gym but no long sleeve shirts allowed apparently cuz it's ""inappropriate attire"" even if you roll up your sleeves. the staff are king so just take note ig","🤓Beer is cheap, liquor is cheap , cigarette prices are reasonable. They even sell frozen food !!! Nuggets, onion rings, chicken wings. || good to go after 12am if you wanna buy fresh seafood. so many varieties to choose from. Quite cheap if buy fresh from here if buy in bulk. Wear boots coz the floor is super wet || Jurong Fishery Port is Singapore's Biggest Fishery Port, and the other will be Senoko Fishery Port which is located around Sembawang area. They're many varieties of Fishes & Seafoo...",Few malay stalls here and gd food
Jurong East,Jurong River,16,9,8,9,8,4,4.642,4.5,4.238,4.25,4.162,4.0,92.84,90.0,84.76,85.0,83.24,80.0,10,31,10,5,10,0,5.0,4.194,4.3,3.8,3.2,0.0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0,0,2,0,0,3,1,1,0,0,1,-2,2,0,-2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0,-1,0,"As full-time working parents without a village, Superland Jurong has truly become our village. My child has been with Superland since his infant care days, and I’m incredibly grate... || We moved our child from a POP school to Superland Jurong, and the difference has been very noticeable. Since making the switch in last year, our child has been able to clearly shar... || My son attends Superland at PBC since PG last year, he loves it there and shares about his day and activities happily at the end of each day. He knows all the trs by their names an...","vibrant, authentic, cool.brings me back in time. really enjoyed coming here because it gave that 1990s Singapore feels. Everything changed too fast now & everywhere seems to look t... || This neighbourhood has a market, a hawker centre, a few kopitiams and many small businesses. There was a surprisingly large number of massage parlours. Nothing particularly interes... || Good place to eat some teochew cuisines such as freshly steamed Red Grouper Fish, kidneys, livers, bak kut teh (pork ribs soup), 'chap chye', 'chye buay', 'yu tiao', teochew kways!","The car park gantry is always having problem to exit. Can Wilson carpark do something about it? || big swimming pools || A really nice building with fantastic views over Jurong Lake. The architecture stands out beautifully, especially in the evening, and it’s a great place to pause and enjoy the surr...",Poster for free dinner for senior citzon was put on life on sunday 30 nov 25. On 10.30am 1 dec 25. The staff said sold out. Like that mihht not put up the poster. || Excellent location for neighbourhood hartland community club near Jurong East Swimming Complex Water Park Chinese Garden with plenty of greenery natural river Jurong Lake connectio... || Very calm place ...no sports activities allowed. Good place to spend some solitude time. McD is there if you are hungry. Weekend just nice to be here..,"love the deals to be had here. come here to get cheap green tea ayakata and sometimes got beer deal as welll ah || I called this old lady Chinese lady to serve me because I’ve been waiting in the solve for 15 minutes, but she tacked somehow did not listen to me. I do not know if she have some h... || Everytime when i go during the evening around 1600-1800 there will be that one employee who will just do its own business while people are queuing up waiting to pay for the items w...",
Jurong East,Lakeside (Business),18,10,6,11,9,6,4.407,4.067,4.56,4.48,4.222,3.917,88.14,81.34,91.2,89.6,84.44,78.34,14,20,6,35,21,20,4.357,3.9,4.5,4.829,4.143,4.1,0,0,4,3,1,2,0,0,2,0,1,0,0,0,1,5,0,0,0,7,1,3,1,2,0,4,1,8,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,1,4,4,3,0,0,0,0,0,0,1,2,0,2,3,0,0,2,0,0,1,0,0,0,2,3,0,2,0,-7,0,2,-1,-2,0,4,1,8,0,2,1,0,0,1,0,0,2,2,1,4,4,3,1,0,0,2,2,0,"Outstanding Care and Guidance at Lakeside Student Care (Jurong East Branch) We are writing this testimonial to express our deepest gratitude and heartfelt appreciation for the wond... || Big building with lots of space including many EV charging lots (Volt). Directly connected to JEM mall with comparatively cheap parking. || Honestly, Level 2 is where I get most of my work done as an entrepreneur seeking refuge from home procrastination. The outdoor seating has its benefits, as some use it to rest and ...","We were nearby after our visit to Lake Garden, so we came here for breakfast. The place is easy to find, with a large parking area surrounding the food court. It’s located on the s... || Been eating there since 2025. My favourites are: beef noodle soup (02–72), western stall (03-171) Cai fan with porridge (02-80) Lei Cha (03-120) More than half the stalls will clos... || For Taman Jurong Market and Food Centre, its ground floor is a busy wet market, while the second and third levels are dedicated to food stalls. Taman Jurong Shopping Centre is righ...","A huge open green space that’s very versatile and well maintained. It’s often used for outdoor exhibits, community events, and large-scale activities, but on regular days you’ll al... || Lakeside Field is a grand lawn located across the Entrance Pavilion. Lay a mat on the ground for picnic in the evening or have some fun with a frisbee. It was the venue for the Lig... || Located within the scenic Jurong Lake Gardens, Lakeside Field offers a peaceful escape with its vast open lawns and beautifully maintained green spaces. It’s the perfect spot for r...","My sincere review here with extreme fitness. Coach Zany has been very patient and friendly to my fitness needs and conditions. Appreciate every push and accountability even outside... || If I could give Kamila 15 stars I would. I was so desperatly in need of help as a mother of two small children, overweight and tired... and since she specializes in postpartum reco... || My training experience here has been great so far and my coach has been really encouraging and motivating. I was really intimidated initially but feel more comfortable coming to th...","From a frequent visitor of Teban Gardens Sheng Siong, 1. Because we used to not be very clear with where things were placed, we asked the staff at Teban Gardens Sheng Siong, and ev... || Reasonably sized supermarket and decently stocked || They give us best offer.","Lakeside MRT Station is clean, well-maintained, and convenient for daily commuters. The station provides easy access to nearby residential areas, schools, and Jurong Lake Gardens. ... || I am reluctant to leave a negative review, but the service I received at the Passenger Service Centre (EZ-Link) was unacceptable. Both staff members on duty—a Chinese male and a Ma... || Crowed MRT Station. I visited Jurong Lake Park via this station as Chinese garden was closed. There are some stores and food stall around the station, good point!"
Jurong East,Lakeside (Leisure),15,9,5,12,8,6,4.573,4.1,4.45,4.392,4.1,3.933,91.46,82.0,89.0,87.84,82.0,78.66,10,20,5,6,0,0,4.6,4.15,5.0,3.833,0.0,0.0,0,3,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,2,0,0,0,3,0,3,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,2,0,0,0,0,"Feiyue managed. Poor communication and experience with staff and counselors. Gave feedback but no one responded or followed up. || Started in 2000 with an After School Care, Lakeside Family Centre (JE) serves the vulnerable and at-risk families with emerging to high complexity of needs. || been studying at TLC for 5/6 years? My older brother also took lessons there for maybe 4 years? I had a great experience there, teachers were lovely and I managed to pull my math u...","Western cuisine. Chicken chop and pork chop were of huge serving! One of the larger serving we had so far 😁 And boy, it was tasty with the black pepper sauce! It came with sides, f... || Sept 25, 20. Try the Ban Mian & fish soup cost about $6.50 with rice, plenty of bitter gourd, tomatoes and plenty of fish. Rice were large and very satisfied. Beside also has Teoch... || Plenty of stalls with variety over here. Lunch hour often packed with people and difficult to get a seat. Newly open la Mian xiao long Bao stall with generous portion and great noo...","Wave Plaza is a great spot to sit down and rest after a run or cycle around Jurong Lake Gardens. The open space is well laid out, comfortable, and feels nicely integrated into the ... || Love the passion wave plaza @Jurong lake garden . Done dragon boat race n recent Run for inclusion here . Easy accessible . View is wonderful for the level 3 of plaza . || Very convenient location. Walking distance from lakeside mrt.","A fantastic gym located right beside Jurong Lake Gardens. The facility is large, spacious, and well ventilated, with plenty of cardio machines, weight machines, free weights, and f... || Super good experience here . Well equipped with world class equipment and big with many floor machines and toys. And you can end your workout with a walk at the jurong lake park th... || Great facilities and spacious environment. However, there are concerns regarding staff conduct. Yesterday, a staff member approached my friend to question her about her towel, even...",,
Jurong East,Penjuru Crescent,17,6,11,8,7,7,4.577,3.7,3.964,4.325,4.2,4.029,91.54,74.0,79.28,86.5,84.0,80.58,21,25,30,0,12,14,4.238,3.76,3.933,0.0,4.083,4.286,0,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,-1,0,6,0,0,0,0,-1,0,0,-1,0,0,0,1,0,0,0,-1,0,1,0,0,0,1,3,2,0,0,0,0,4,0,0,3,0,"Penjuru Recreation Centre is a dedicated hub for migrant workers in Singapore, offering a wide array of essential services, sports facilities, and communal spaces. It is currently ... || It's very popular place for dental clinic whoever in Singapore under spacial pass and work pass.I went penjuru RC for removing stone on teeth. perhaps that, People can come here fo... || It's foreign workers dormitory, they can find their own food, groceries, vegetables, beer garden etc.","Food is great, but the portion lesser than usual, especially Indian guy simply charged for double portion without acknowledge. This is ridiculous. || Ask to put curry chicken only get potato pay this for $3.50 || This canteen service very good and food also very Delicious very recommend","Very good || Let's give bad retting together || A beautifully curated and well-maintained edible garden that’s both educational and relaxing. The beds are thoughtfully laid out, clearly labelled, and easy to stroll through, maki...",,Better for something purchase urgently need. Because the price of things is high in this shop. || Good place to shop groceries items and quite affordable || Very good,Very good || Mind fresh ready if anybody going there || Best
Jurong East,Teban Gardens,12,6,8,10,5,7,4.456,4.317,4.543,4.06,4.32,4.343,89.12,86.34,90.86,81.2,86.4,86.86,15,18,24,17,8,14,4.667,4.333,4.625,3.412,3.875,4.429,1,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,1,2,1,2,6,0,0,0,0,0,0,0,6,0,0,1,0,0,1,0,0,0,0,1,1,2,0,0,0,0,-2,0,0,0,1,1,1,0,0,0,2,1,0,0,0,0,0,3,1,2,1,2,6,0,5,0,0,1,0,"My son attended Little Footprints Teban from Playgroup all the way to K2, and we had a very positive experience. The Principal Ms Rai and the teachers including the kitchen staff a... || Biggest appreciation and gratitude to Principal Raihanna, teacher Regina, teacher Devi and all the other teachers that I dont get their names for ur dedication, wonderful teaching ... || The teachers and the Kakaks are all very kind and caring. My daughter attended from playgroup until last month when she was k1. If not for us moving house, we will not change schoo...","Smaller market tucked away in a quiet residential neighborhood. Quite inaccessible as it is quite out of the way. Alot of construction and roadworks around with limited parking spa... || We have been here a few times before because we find the food nice. The atmosphere is pleasant and airy. My wife and I came again today for lunch. I must make special mention about... || nice milk tea @ only $1. Uncle ensured the cup is warmed. Hot milk tea w grass jelly is also nicely done, not too sweet","You can't call this a park imo. It's just a connector. There are 2 connectors that link A to B along a river. The connector serving the condo residents is magically more beautiful.... || Nice little stretch of green, with some fitness corners and playgrounds for the little ones. There are BBQ pits here available for rent at the nearby Residential Centres for $10 (D... || The HDB blocks are spaced nicely apart so not a highly density area. There are jogging n cycling paths along the canel. And it's near to Pandan Reservoir.","Free artificial futsal pitch with overhead netting for the public. Next to it is a basketball court. || It has good textured grass and the goal post are not to small. || Okay, ah",I have shopped at this outlet occasionally and 2 staff members certainly deserves the recognition for their attentiveness and kindness. I like to nominate MsPoh Siew Lan and a Snr ... || They did an upgrade just before the Covid came. They expanded their merchandises - by dumping them outside along the walkway outside! Business may be better but the poor cashiers a... || Review September 2023 NTUC Smart Choice bread 🍞 is an essential daily item for the only outlet around the area which caters to the nearby dormitories of foreign workers on the off ...,"Pandan Reservoir MRT station is still under construction. Very good location. || Located at Jurong Town Hall Road near the junction with Pandan Gardens and Teban Gardens Road, this MRT station will be on the second phase of the Jurong Region MRT Line (JRL) (kno... || Working in the night 🌙"
Jurong East,Toh Guan,17,5,10,12,9,6,4.554,3.94,4.4,4.483,3.989,3.95,91.08,78.8,88.0,89.66,79.78,79.0,16,20,15,17,13,9,4.188,3.8,4.733,4.588,3.0,4.111,0,0,6,4,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,2,0,0,0,6,3,0,0,-1,1,0,1,0,0,0,2,1,4,0,0,1,0,0,0,0,0,1,1,3,0,0,1,0,1,0,0,-1,0,"As a father, there is no greater peace of mind than knowing your children are in an environment where they are truly nurtured. Both of my daughters have attended Columbia Preschool... || We are very happy with columbia pre-school, the environment is caring, safe, and very suitable for children to learn and grow. The teachers are patient, supportive, and truly care ... || We are truly grateful to have found this hidden gem of a preschool for our daughter. The principal’s passion and dedication are evident in the way the school is run, and the teache...","Love the noodles esp if you like such fatty version if u prefer lean ones this stall is not for you. Nevertheless this coffee shop has plenty of choice of food to choose from. || One of my favorite coffee shop. It has our favorite stall for economic beehoon. The coffee stall was just renovated. Brighter, more air fan & more tables & seats During lunch time,... || One of my favourite coffee shop for many years. There’s an Indian Muslim prata shop that recently open which sells very nice prata, rojak, satays and other food. Their prata and ro...","I came here after dinner nearby. It's great to have a park for recreation instead of just the nearby shopping malls. The park is fine but a little too small || I enjoy spending time in Toh Guan Park. It's an oasis of peace in the heart of the city. The greenery, walking routes, and fresh air are all refreshing. Ideal for a leisurely strol... || Good location for Open, good track for jogging and greenery. Many birds on trees and there is fish pond.","I’ve been training at Verge Gym for several months, and it’s been a great experience. The gym is always clean, the equipment is well-maintained, and there are plenty of Erg machine... || Started my fitness journey at Verge Gym and honestly never imagined myself deadlifting 100kg one day. 💪 The coaches and gym friends here are super supportive, encouraging and motiv... || The coaches at Verge Training are very professional and knowledgeable. The training program was tailored perfectly to suit my fitness level and goals. I also really love the suppor...","Very well stocked mini mart. But why do we need to pay $0.2 for scanning via QR code? No one brings cash these days anymore. Because of this $0.20, I only buy stuff from here if it... || The owner and family is friendly. Well stocked. Has vegetables, and fruits. Prices are also reasonable. Not too expensive || Although has a decent selection of goods, their style is outdated. If you did not bring cash or purchase is less than $20, you must pay an extra 20 cents fee in order to Paylah/Pay...","Located at Jurong East Central near the junction with Jurong East Street 21, Jurong East Avenue 1 and Toh Guan Road, this MRT station will be on the second phase of the Jurong Regi... || Good || Ol"
Jurong East,Yuhua East,13,6,9,10,7,6,4.682,4.483,4.25,4.233,3.886,4.067,93.64,89.66,85.0,84.66,77.72,81.34,12,0,0,0,20,8,4.667,0.0,0.0,0.0,3.55,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"PCF Yuhua took care of our infant for about 5 months. The infant care teachers here are dedicated and amazing. We moved our baby in a closer Sparkletots due to convenience, and we ... || St Hua is a reputable school with useful courses that will not only help you in your career progression but also allows you to benefit the society in different ways. The teacher at... || I’ve had a good experience at this tuition centre so far. The teachers explain concepts clearly and are always willing to help when I don’t understand something. The lessons are st...",,,,"Has quite a few tasty and affordable food. Not Ur michellin star food but good for Singapore standards. Good wanton noodles, char kuai tiao,soy sauce chicken, zhui kuay, fishballs,... || Love the vibrancy of this place. Lots of small businesses among the hustles and bustles. || Love the BKM here. Great place for early person which they open at 330am. Ingredients are fresh. A","""*😊🤗😀 Yuhua 🏩💗👍 🌿🌱☘️🍀🌺💐🏵️🌾👍💖 and beautiful place 😊🤗😀 thanks you 😊🤗😀SG || Eee || Good 💯"
