planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Jurong East,International Business Park,education,15,4.464,1350,89.28
Jurong East,International Business Park,transport,7,3.943,2517,78.86
Jurong East,International Business Park,food,7,4.443,513,88.86
Jurong East,International Business Park,shopping,9,4.322,39346,86.44
Jurong East,International Business Park,recreation,10,4.33,4759,86.6
Jurong East,International Business Park,nature,6,4.18,12088,83.6
Jurong East,Jurong Gateway,education,15,4.7,1558,94.0
Jurong East,Jurong Gateway,transport,5,4.08,2497,81.6
Jurong East,Jurong Gateway,food,8,4.1,8720,82.0
Jurong East,Jurong Gateway,shopping,8,4.025,39115,80.5
Jurong East,Jurong Gateway,recreation,9,4.233,6131,84.66
Jurong East,Jurong Gateway,nature,11,4.26,23000,85.2
Jurong East,Jurong Port,education,16,4.5,2589,90.0
Jurong East,Jurong Port,transport,5,4.0,2471,80.0
Jurong East,Jurong Port,food,8,4.0,9951,80.0
Jurong East,Jurong Port,shopping,8,4.45,35792,89.0
Jurong East,Jurong Port,recreation,11,4.23,7448,84.6
Jurong East,Jurong Port,nature,11,4.29,13008,85.8
Jurong East,Jurong River,education,16,4.642,4686,92.84
Jurong East,Jurong River,transport,4,4.0,2468,80.0
Jurong East,Jurong River,food,9,4.5,10158,90.0
Jurong East,Jurong River,shopping,8,4.162,40690,83.24
Jurong East,Jurong River,recreation,9,4.25,5489,85.0
Jurong East,Jurong River,nature,8,4.238,6426,84.76
Jurong East,Lakeside (Business),education,18,4.407,2405,88.14
Jurong East,Lakeside (Business),transport,6,3.917,1319,78.34
Jurong East,Lakeside (Business),food,10,4.067,15512,81.34
Jurong East,Lakeside (Business),shopping,9,4.222,40691,84.44
Jurong East,Lakeside (Business),recreation,11,4.48,6941,89.6
Jurong East,Lakeside (Business),nature,6,4.56,6843,91.2
Jurong East,Lakeside (Leisure),education,15,4.573,8566,91.46
Jurong East,Lakeside (Leisure),transport,6,3.933,2718,78.66
Jurong East,Lakeside (Leisure),food,9,4.1,16372,82.0
Jurong East,Lakeside (Leisure),shopping,8,4.1,38394,82.0
Jurong East,Lakeside (Leisure),recreation,12,4.392,6344,87.84
Jurong East,Lakeside (Leisure),nature,5,4.45,9083,89.0
Jurong East,Penjuru Crescent,education,17,4.577,2421,91.54
Jurong East,Penjuru Crescent,transport,7,4.029,2479,80.58
Jurong East,Penjuru Crescent,food,6,3.7,805,74.0
Jurong East,Penjuru Crescent,shopping,7,4.2,33307,84.0
Jurong East,Penjuru Crescent,recreation,8,4.325,8125,86.5
Jurong East,Penjuru Crescent,nature,11,3.964,9405,79.28
Jurong East,Teban Gardens,education,12,4.456,1629,89.12
Jurong East,Teban Gardens,transport,7,4.343,3309,86.86
Jurong East,Teban Gardens,food,6,4.317,3839,86.34
Jurong East,Teban Gardens,shopping,5,4.32,3722,86.4
Jurong East,Teban Gardens,recreation,10,4.06,4080,81.2
Jurong East,Teban Gardens,nature,8,4.543,493,90.86
Jurong East,Toh Guan,education,17,4.554,2351,91.08
Jurong East,Toh Guan,transport,6,3.95,2438,79.0
Jurong East,Toh Guan,food,5,3.94,1169,78.8
Jurong East,Toh Guan,shopping,9,3.989,39267,79.78
Jurong East,Toh Guan,recreation,12,4.483,5559,89.66
Jurong East,Toh Guan,nature,10,4.4,14343,88.0
Jurong East,Yuhua East,education,13,4.682,5146,93.64
Jurong East,Yuhua East,transport,6,4.067,2480,81.34
Jurong East,Yuhua East,food,6,4.483,7073,89.66
Jurong East,Yuhua East,shopping,7,3.886,6969,77.72
Jurong East,Yuhua East,recreation,10,4.233,4810,84.66
Jurong East,Yuhua East,nature,9,4.25,9722,85.0
Jurong East,Yuhua West,education,14,4.633,5275,92.66
Jurong East,Yuhua West,transport,6,3.85,3369,77.0
Jurong East,Yuhua West,food,6,4.483,7073,89.66
Jurong East,Yuhua West,shopping,6,4.35,6449,87.0
Jurong East,Yuhua West,recreation,10,4.25,6249,85.0
Jurong East,Yuhua West,nature,8,4.1,9745,82.0
