planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Jurong East,International Business Park,education,kindergarten,"kindergarten in International Business Park, Jurong East, Singapore",ChIJFQohtqAa2jERXPTpxSYMPD4,Mulberry Learning @ Jurong East,"31 International Business Park, #01-04 & 05 Creative Resource, Singapore 609921",4.9,78,"[""establishment"", ""point_of_interest"", ""school""]",1.3287102,103.7461134,True
Jurong East,International Business Park,education,kindergarten,"kindergarten in International Business Park, Jurong East, Singapore",ChIJq6qqxQsQ2jERvKYjtmGqunA,Small Wonder @ IBP,"2 International Business Park, #01-08 The Strategy, Singapore 609930",5.0,7,"[""establishment"", ""point_of_interest"", ""school""]",1.329828,103.7474644,True
Jurong East,International Business Park,education,childcare centre,"childcare centre in International Business Park, Jurong East, Singapore",ChIJ85gyOVcR2jERoWWV9hLVi8s,MapleBear Jurong East (ICON@IBP),"3A International Business Park, #01-07 ICON @ IBP, Singapore 609935",4.9,40,"[""establishment"", ""point_of_interest""]",1.3280729,103.7493489,True
Jurong East,International Business Park,education,primary school,"primary school in International Business Park, Jurong East, Singapore",ChIJ0T7jSwkQ2jER-a0ny2o5Vf4,Posso Preschool @ Jurong East,"1A International Business Park, #04-01 Tolaram Building, Singapore 609933",4.9,25,"[""establishment"", ""point_of_interest"", ""school""]",1.3279863,103.7484347,True
Jurong East,International Business Park,education,secondary school,"secondary school in International Business Park, Jurong East, Singapore",ChIJsyTJCRcQ2jERfwQiMdnbBFE,Crest Secondary School,"561 Jurong East St 24, Singapore 609561",,0,"[""establishment"", ""point_of_interest"", ""school"", ""secondary_school""]",1.3431881,103.7428957,True
Jurong East,International Business Park,education,secondary school,"secondary school in International Business Park, Jurong East, Singapore",ChIJ6ddYmGQZ2jER9G6abHZE-40,BMC International College,"130 Jurong Gateway Rd, #03-233, Singapore 600130",3.4,90,"[""establishment"", ""point_of_interest"", ""university""]",1.3347229,103.7393548,True
Jurong East,International Business Park,education,junior college,"junior college in International Business Park, Jurong East, Singapore",ChIJz_-CGpUR2jERsxAVVh_vnoY,Jurong Pioneer Junior College,"21 Teck Whye Walk, Singapore 688258",3.8,86,"[""establishment"", ""point_of_interest"", ""university""]",1.3847446,103.753857,True
Jurong East,International Business Park,education,polytechnic,"polytechnic in International Business Park, Jurong East, Singapore",ChIJxVNWrtIR2jERD9kc1O6NM-g,AEG International College,"134 Jurong Gateway Rd, #04-307C, Singapore 600134",4.9,55,"[""establishment"", ""point_of_interest"", ""university""]",1.3339502,103.7388197,True
Jurong East,International Business Park,education,polytechnic,"polytechnic in International Business Park, Jurong East, Singapore",ChIJu4iD8AkQ2jERKzq1wfE3cAM,Jurong Data Centre,"29A International Business Park, Singapore 609934",3.5,15,"[""establishment"", ""point_of_interest""]",1.3278135,103.746376,True
Jurong East,International Business Park,education,university,"university in International Business Park, Jurong East, Singapore",ChIJneq9amAX2jERBgLoW3zvY34,East Asia Institute of Management,"1 Venture Ave, #02-06 Perennial Business City, Singapore 608521",4.1,76,"[""establishment"", ""point_of_interest"", ""university""]",1.3316099,103.7451256,True
Jurong East,International Business Park,education,university,"university in International Business Park, Jurong East, Singapore",ChIJQQiiawoQ2jERxJd8zeFnC1I,1A International Business Park,"1A International Business Park, Singapore 609933",4.2,30,"[""establishment"", ""point_of_interest""]",1.3279864,103.7482257,True
Jurong East,International Business Park,education,tuition centre,"tuition centre in International Business Park, Jurong East, Singapore",ChIJP7jTIv8R2jER4JahjcBUVBM,Indigo Education Centre @ Jurong East,"8 Jurong Town Hall Rd, #29-06 The JTC Summit, Singapore 609434",5.0,8,"[""establishment"", ""point_of_interest""]",1.3312081,103.7418656,True
Jurong East,International Business Park,education,tuition centre,"tuition centre in International Business Park, Jurong East, Singapore",ChIJ3dlEIIIR2jER3-En6GUBx_M,The Thought Tailor (Jurong East) | English & GP Tuition,"2, 02-07 Venture Dr, magic life pte. ltd., Singapore 608526",4.8,179,"[""establishment"", ""point_of_interest""]",1.330109,103.744756,True
Jurong East,International Business Park,education,library,"library in International Business Park, Jurong East, Singapore",ChIJraqq-gUQ2jERYpaqvOqNXdk,Jurong Library,"21 Jurong East Central 1, Singapore 609732",4.6,659,"[""establishment"", ""library"", ""point_of_interest""]",1.3327159,103.7395376,True
Jurong East,International Business Park,education,library,"library in International Business Park, Jurong East, Singapore",ChIJEcb5CwkQ2jERyfIJMFYWcgQ,Business Library Pte. Ltd.,"2 Venture Dr, Singapore 608526",4.5,2,"[""accounting"", ""establishment"", ""finance"", ""point_of_interest""]",1.3299269,103.7445713,True
Jurong East,International Business Park,transport,MRT station,"MRT station in International Business Park, Jurong East, Singapore",ChIJL52pCg8Q2jERgiWsODe3X9I,Jurong East,"10 Jurong East Street 12, Singapore 609690",4.4,2264,"[""establishment"", ""point_of_interest"", ""subway_station"", ""transit_station""]",1.3331441,103.7423401,True
Jurong East,International Business Park,transport,MRT station,"MRT station in International Business Park, Jurong East, Singapore",ChIJW0D9FA8Q2jERViyXL9hsxMA,Jurong East,Singapore,4.1,40,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.3332111,103.7422572,True
Jurong East,International Business Park,transport,bus stop,"bus stop in International Business Park, Jurong East, Singapore",ChIJ5ai35wkQ2jERra1n1-KXh_k,Opp Intl Business Pk,Singapore,4.0,1,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.3271571,103.7451425,True
Jurong East,International Business Park,transport,bus stop,"bus stop in International Business Park, Jurong East, Singapore",ChIJdZDcTqca2jER4l3B4MDOCe0,Intl Business Pk,Singapore,3.7,3,"[""establishment"", ""point_of_interest"", ""transit_station""]",1.3263914,103.7458749,True
Jurong East,International Business Park,transport,bus interchange,"bus interchange in International Business Park, Jurong East, Singapore",ChIJm8BQMFIR2jERYNUW5oJMmHA,Jurong East Bus Interchange,"3 Gateway Link, Jurong Gateway Rd, 17A, Singapore 608532",3.6,76,"[""bus_station"", ""establishment"", ""point_of_interest"", ""transit_station""]",1.3321506,103.7406718,True
Jurong East,International Business Park,transport,bus interchange,"bus interchange in International Business Park, Jurong East, Singapore",ChIJDXrp5xwR2jERvfmdtm1otwA,Jurong East Bus Interchange,"17A Jurong Gateway Rd, Singapore 608513",3.9,88,"[""establishment"", ""point_of_interest""]",1.3323666,103.7406174,True
Jurong East,International Business Park,transport,LRT station,"LRT station in International Business Park, Jurong East, Singapore",ChIJAeniGMYR2jERibvsRwNnaQQ,31 International Business Park,"Galaxis, Singapore",3.9,45,"[""establishment"", ""point_of_interest""]",1.328906,103.7458924,True
Jurong East,International Business Park,food,hawker centre,"hawker centre in International Business Park, Jurong East, Singapore",ChIJlVeNiAkQ2jER5A5aCuh7spE,Billion Food Point,"31 International Business Park, #02-02 Creative Resource, Singapore 609921",3.9,202,"[""establishment"", ""food"", ""point_of_interest""]",1.3283721,103.7462303,True
Jurong East,International Business Park,food,hawker centre,"hawker centre in International Business Park, Jurong East, Singapore",ChIJ6bVdxQsQ2jER1Gr5VGc8SLM,Yummy Yummy,"2 International Business Park, Singapore 609930",3.7,38,"[""establishment"", ""food"", ""point_of_interest""]",1.3300456,103.7470994,True
Jurong East,International Business Park,food,food court,"food court in International Business Park, Jurong East, Singapore",ChIJcRdfu5oR2jERfivaGAgMN7Y,Thai Food @ The Foodplace,"2 International Business Park, #01-01, Singapore 609930",5.0,8,"[""establishment"", ""food"", ""point_of_interest""]",1.3298502,103.7473981,True
Jurong East,International Business Park,food,coffee shop,"coffee shop in International Business Park, Jurong East, Singapore",ChIJ2aAtKgAR2jERGtUpQeII0co,Kopi Tarik,"2 Venture Dr, Singapore 608526",5.0,4,"[""cafe"", ""establishment"", ""food"", ""point_of_interest"", ""store""]",1.3299464,103.7446555,True
Jurong East,International Business Park,food,coffee shop,"coffee shop in International Business Park, Jurong East, Singapore",ChIJDd8JhqAa2jEREKIGssU4qN0,Vivavox,"3A International Business Park, #01-10 ICON @ IBP, Singapore 609935",4.2,116,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant""]",1.3272966,103.7493495,True
Jurong East,International Business Park,food,restaurant,"restaurant in International Business Park, Jurong East, Singapore",ChIJ3ws6DAAR2jEReyj4XRkuRYM,Nandhana's Restaurant @IBP Jurong East,"3A International Business Park, #01-09 ICON @ IBP, Singapore 609935",4.6,36,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant""]",1.3274711,103.7494761,True
Jurong East,International Business Park,food,cafe,"cafe in International Business Park, Jurong East, Singapore",ChIJ75NPmTEb2jERJlM6FUENrf0,55 Degrees,"3 International Business Park, #01-K2 Nordic European Centre, Singapore 609927",4.7,109,"[""bakery"", ""cafe"", ""department_store"", ""establishment"", ""food"", ""point_of_interest"", ""store""]",1.3273051,103.7485578,True
Jurong East,International Business Park,shopping,shopping mall,"shopping mall in International Business Park, Jurong East, Singapore",ChIJ82AoVA8Q2jERkHnr1RPW9B4,Westgate,"3 Gateway Dr, Singapore 608532",4.3,14827,"[""establishment"", ""point_of_interest"", ""shopping_mall""]",1.334382,103.7427836,True
Jurong East,International Business Park,shopping,shopping mall,"shopping mall in International Business Park, Jurong East, Singapore",ChIJa2nb2g0Q2jERlcUMLtMVyoI,IMM Building,"2 Jurong East Street 21, Singapore 609601",4.4,18149,"[""establishment"", ""point_of_interest"", ""shopping_mall""]",1.3359631,103.7470337,True
Jurong East,International Business Park,shopping,supermarket,"supermarket in International Business Park, Jurong East, Singapore",ChIJD865Hw8Q2jERXwifyEiU_Bc,FairPrice Xtra JEM,"50 Jurong Gateway Road, #B1-21/22 & #B3-01, 50 Jurong Gateway Rd, Jem, Singapore 608549",4.3,2119,"[""establishment"", ""food"", ""grocery_or_supermarket"", ""point_of_interest"", ""store"", ""supermarket""]",1.3328361,103.7430889,True
Jurong East,International Business Park,shopping,supermarket,"supermarket in International Business Park, Jurong East, Singapore",ChIJa2nb2g0Q2jERblly7bE-Wlg,Giant Supermarket,"2 Jurong East Street 21, #01 - 100 IMM Building, Singapore 609601",4.3,3822,"[""establishment"", ""food"", ""grocery_or_supermarket"", ""point_of_interest"", ""store"", ""supermarket""]",1.3341687,103.7469963,True
Jurong East,International Business Park,shopping,grocery store,"grocery store in International Business Park, Jurong East, Singapore",ChIJlVeNiAkQ2jER5A5aCuh7spE,Billion Food Point,"31 International Business Park, #02-02 Creative Resource, Singapore 609921",3.9,202,"[""establishment"", ""food"", ""point_of_interest""]",1.3283721,103.7462303,True
Jurong East,International Business Park,shopping,convenience store,"convenience store in International Business Park, Jurong East, Singapore",ChIJMdeyeLER2jERGOKEWXuIGwo,Trade hub Muslim food,"2 International Business Park, The Strategy, Singapore 609930",4.6,26,"[""cafe"", ""establishment"", ""food"", ""point_of_interest"", ""store""]",1.3298502,103.7473981,True
Jurong East,International Business Park,shopping,convenience store,"convenience store in International Business Park, Jurong East, Singapore",ChIJbZbo1iIR2jERZtKZBoQu1Ck,7-Eleven,"2 Venture Dr, #01-42 magic life pte. ltd., Singapore 608526",4.3,6,"[""convenience_store"", ""establishment"", ""food"", ""point_of_interest"", ""store""]",1.330238,103.74451,True
Jurong East,International Business Park,shopping,wet market,"wet market in International Business Park, Jurong East, Singapore",ChIJA-S30F8b2jER46-WSc7Ak2g,Teban Gardens Wet Market,"37A Teban Gardens Rd, Singapore 601037",4.4,91,"[""establishment"", ""point_of_interest""]",1.32086,103.7427812,True
