planning_area,subzone,poi_dimension,place_query_type,place_id,place_name,place_rating,place_user_ratings_total,review_index,review_author_name,review_author_url,review_language,review_profile_photo_url,review_rating,review_relative_time_description,review_time,review_text
Jurong East,International Business Park,education,kindergarten,ChIJFQohtqAa2jERXPTpxSYMPD4,Mulberry Learning @ Jurong East,4.9,78,0,Jonathan Fay,https://www.google.com/maps/contrib/111427507372984518576/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocL8Bj-odxf_tCAIRPyKRx5rs0Do0G-FANpws7aU-oAT2FdqGw=s128-c0x00000000-cc-rp-mo,5,2 years ago,1691196469,Lovely school. Kids learn & grow happily here. This is our sports day
Jurong East,International Business Park,education,kindergarten,ChIJFQohtqAa2jERXPTpxSYMPD4,Mulberry Learning @ Jurong East,4.9,78,1,Serkoon Chioh,https://www.google.com/maps/contrib/104220478966339664671/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjX3x_FkpOuyff5spzVxuH5H3Lhm2vYxVa9Ael1UYSVWi3uscTM=s128-c0x00000000-cc-rp-mo,5,2 years ago,1691195684,"As a father, I am absolutely delighted with the experience my children are having at Mulberry Jurong East Childcare Centre! When my wife and I enrolled our son and daughter, we knew we had made the right decision.

The staff at Mulberry are truly exceptional. They are caring, patient, and nurturing, making my children feel comfortable and loved. It brings me peace of mind knowing that my kids are in such capable hands, receiving the best care possible.

The learning environment at Mulberry is outstanding. My children come home every day excited about what they've learned and eager to share their experiences. The curriculum is well-rounded, stimulating their curiosity while also focusing on important social and emotional development.

The facilities are top-notch, providing a safe and clean space for the children to explore and play. I appreciate the variety of activities and resources available to them, which encourage creativity and imagination.

Communication with the teachers and staff is excellent. They keep us informed about our children's progress, and they are always approachable and receptive to any concerns or questions we may have.

The sense of community at Mulberry is heartwarming. The events and activities they organize bring families together, fostering a strong bond among parents, children, and staff alike.

In summary, as a father, I couldn't be happier with the care and education my children receive at Mulberry Jurong East Childcare Centre. It has been a blessing for our family, providing a loving and stimulating environment for our kids to grow and learn. I wholeheartedly recommend Mulberry to any parents seeking a wonderful childcare experience."
Jurong East,International Business Park,education,kindergarten,ChIJFQohtqAa2jERXPTpxSYMPD4,Mulberry Learning @ Jurong East,4.9,78,2,Felicia Choy,https://www.google.com/maps/contrib/110895767520472851195/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjWB77f8yljpuJtdtJ8nUepjt5DbTBqDr16TqNsZBJapMaRf_403=s128-c0x00000000-cc-rp-mo,5,2 years ago,1691195869,Best place where a kid can be! The teachers have lots of patience toward every child. My kids love school so much and they look forward to school every single day. The teachers build good rapport with us and we have full confidence that the school takes good care of our children.
Jurong East,International Business Park,education,kindergarten,ChIJFQohtqAa2jERXPTpxSYMPD4,Mulberry Learning @ Jurong East,4.9,78,3,Calvin Koh,https://www.google.com/maps/contrib/116191477453706615940/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjUxf3z3-xI4Am8rT8j68BltMm3pX5UG5psjaxGnbzHUxzS4Ius=s128-c0x00000000-cc-rp-mo-ba3,5,2 years ago,1691417347,"A wonderful school learning environment, teachers with an ever positive attitude and never too far if you need them. Our son has been with MBRCRT since N1 and showered with love by all the teachers. Thumbs up!"
Jurong East,International Business Park,education,kindergarten,ChIJFQohtqAa2jERXPTpxSYMPD4,Mulberry Learning @ Jurong East,4.9,78,4,Siti Nur Syazana Radzwan,https://www.google.com/maps/contrib/105652351172025612678/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjWKRyBdXQqKafDBqsKrGCpt71Fvo8rU3stb-joLh9sDJlQCmtt1=s128-c0x00000000-cc-rp-mo,5,3 years ago,1671184295,"Ever since I've send my first born to Mulberry Learning @ Jurong East since she was 2 months old, I have never had a bad impression of the school. The teachers has been so motherly and caring towards my child and her classmates, and the principal has been so thoughtful for the extra care needed to be conveyed to my child. Never have I ever had a second opinion on changing school for my child and with the second child up coming next year, I'll continue them together in the same school."
Jurong East,International Business Park,education,kindergarten,ChIJq6qqxQsQ2jERvKYjtmGqunA,Small Wonder @ IBP,5.0,7,0,Ivy Koh2,https://www.google.com/maps/contrib/111157158940220369979/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjWNzSVGxjXK6YzZWUvx3nBp4b8nsKj4tKtPRoNW4eejHmazpNJS=s128-c0x00000000-cc-rp-mo-ba4,5,4 months ago,1771988772,"Small wonder-previously safari house, has really been a really great preschool for my child. Enrolled him when he was an infant back in May 2023 and he has been here from Infant care to Playgroup to Pre Nursery(N1) now. In IFC, the teachers are always happy to be sharing our child’s progress and the activities they did - be it outdoor, indoor, stories, colouring or drawing.

We have been seeing him grow so much and at Playgroup, he knows the sound of each letter - phonics. We really love the way the curriculum are having one story book (one each for Chinese and English) for each term, teaching phonics, role playing the story line, art and craft around the story line and characters. Very interesting and of course, the principal and teachers show genuine compassion and are always ready to share with us how my child is in school and sometimes without us asking, they do share as well.

This school also encourage parents to be involve in school activities like excursion and celebrations involving parents is something that we parents enjoy! Thank you for your hard work both teaching and non teaching staff. Highly recommending it to any parents out there looking for a good pre school for your child!"
Jurong East,International Business Park,education,kindergarten,ChIJq6qqxQsQ2jERvKYjtmGqunA,Small Wonder @ IBP,5.0,7,1,Hyemin Jung,https://www.google.com/maps/contrib/108746851944918919111/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocLutgv_h0CKAl4hrwsCORmprcRdOqypkZd9_tXAMarn06cJ6w=s128-c0x00000000-cc-rp-mo,5,8 months ago,1763481042,"I have been sending my daughter to Small Wonder since she was just 4 months old, and now she is already in K2. Looking back, Small Wonder has been so much more than a childcare centre—it has been like a second home to her. She grew, learned, and blossomed here. Every milestone, every new word, every confidence she gained… so much of it came from the love and guidance she received in this school.

I cannot put into words how deeply grateful I am for all the love, patience, and dedication the teachers have shown—not only to my daughter, but also to us as parents. She adores her teachers and her friends, and it warms my heart to see how happy she has always been here.

It breaks my heart a little to say goodbye soon, but I know the beautiful memories she made in this school will stay with her forever. Small Wonder will always hold a very special place in our hearts.

Thank you, Teacher Hanna, and every teacher who has cared for and taught my daughter from infant all the way to K2. We will always remember you with so much love and gratitude."
Jurong East,International Business Park,education,kindergarten,ChIJq6qqxQsQ2jERvKYjtmGqunA,Small Wonder @ IBP,5.0,7,2,Jane Tan,https://www.google.com/maps/contrib/110006275308770705648/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocLv3WmD8IAW6OfKN3aAqbO5a4hTKZBPlaV6qg4g4BofCePcNw=s128-c0x00000000-cc-rp-mo,5,a year ago,1748389890,"My honest review as a parent because this school deserves more than just 2 5-star reviews. In short, this is one of the BEST infant cares in the west (I’m not sure about the other levels since my kid is under 18 months) with a very dedicated group of principals and teachers.

We’d initially sent our kid to an ifc with a lot of outlets right at our void deck. 2 hours in and it scarred us, with every kid crying and the teachers just casually using their phones and not caring, causing us to find an alternative desperately and immediately. We came across small wonder and the only outlet with vacancy is at ibp (30min drive from our home).

1 hour in the school and we were so impressed by how the kids in the ifc were all smiling and playing with the teachers, the amount of visuals and sensory boards to stimulate the kids, equipment to let older infants climb around and the open concept to let infants observe the older kids to aid them in adjusting when they graduate from ifc.

One event that amazed us the most was a christmas event that we attended 2 months into the school. The principal stood by the door announcing the arrival of every parent confidently ‘XXX’s parents, YYY’s parents’ and so on. We don’t understand how she managed to remember the parents of every child from every level, us included when we only just came!! This amount of love and dedication only comes from small wonder ibp. We’d visited other small wonder outlets before (even other former safari house ones) but this is hands down the best one. Just arrange a visit here and you will know I am not exaggerating.

Other than the first month of adjusting, my baby smiles every time she goes to school and smiles even wider when she sees the teachers. We have not looked back since."
Jurong East,International Business Park,education,kindergarten,ChIJq6qqxQsQ2jERvKYjtmGqunA,Small Wonder @ IBP,5.0,7,3,William Wong,https://www.google.com/maps/contrib/114818042923425214867/reviews,,https://lh3.googleusercontent.com/a/ACg8ocIJTqoIDuyxC9hqohPdQKDHE-JSupsT_41ZLb6Ls454v6hBsg=s128-c0x00000000-cc-rp-mo,5,6 months ago,1767693823,
Jurong East,International Business Park,education,kindergarten,ChIJq6qqxQsQ2jERvKYjtmGqunA,Small Wonder @ IBP,5.0,7,4,zhiyuan Lim,https://www.google.com/maps/contrib/111321279571149114805/reviews,,https://lh3.googleusercontent.com/a/ACg8ocKdrupO4l5fZT31OD0iA8DIbk86dK2BEFbAfZk410Is0EoBxQ=s128-c0x00000000-cc-rp-mo-ba3,5,10 months ago,1757399375,
Jurong East,International Business Park,education,childcare centre,ChIJ85gyOVcR2jERoWWV9hLVi8s,MapleBear Jurong East (ICON@IBP),4.9,40,0,Elaine Kan,https://www.google.com/maps/contrib/104454368196629132841/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVy3BPpm-gIpgiMZj6-uwT1lMYhe7dyfaD1HvZjcSBXE4jxr-w=s128-c0x00000000-cc-rp-mo-ba2,5,a month ago,1780044107,"When our previous preschool announced closure, we found MapleBear Jurong East at ICON@IBP. From the tour, we talked to the Centre Director Ms Jacqueline, principal & class teacher and they are so warm and genuine. It felt exactly right for our child, so we enrolled right away.

The play-based, nurturing environment is wonderful. My girl is happy, settled and having lots of fun with her friends. She now looks forward to school every day and loves her activities and friends.

The team’s communication is excellent, we always get prompt updates and clear info.
A BIG THANK YOU to Ms Lyann and 方老师 for helping her settle in so well and improve in all ways.  Teachers who truly partner with parents are priceless.

Highly recommend MapleBear Jurong East at ICON@IBP to any parent looking for a caring, engaging preschool."
