timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-17T23:02:17.269301,text_search,1,AIzaSy...IDGw,1,Jurong West,Boon Lay Place,education,kindergarten,"kindergarten in Boon Lay Place, Jurong West, Singapore",OK,,20,
2026-07-17T23:02:18.040137,text_search,1,AIzaSy...IDGw,2,Jurong West,Boon Lay Place,education,childcare centre,"childcare centre in Boon Lay Place, Jurong West, Singapore",OK,,20,
2026-07-17T23:02:18.659175,text_search,1,AIzaSy...IDGw,3,Jurong West,Boon Lay Place,education,primary school,"primary school in Boon Lay Place, Jurong West, Singapore",OK,,13,
2026-07-17T23:02:19.765485,text_search,1,AIzaSy...IDGw,4,Jurong West,Boon Lay Place,education,secondary school,"secondary school in Boon Lay Place, Jurong West, Singapore",OK,,5,
2026-07-17T23:02:20.745953,text_search,1,AIzaSy...IDGw,5,Jurong West,Boon Lay Place,education,junior college,"junior college in Boon Lay Place, Jurong West, Singapore",OK,,20,
2026-07-17T23:02:21.572325,text_search,1,AIzaSy...IDGw,6,Jurong West,Boon Lay Place,education,polytechnic,"polytechnic in Boon Lay Place, Jurong West, Singapore",OK,,20,
2026-07-17T23:02:22.720217,text_search,1,AIzaSy...IDGw,7,Jurong West,Boon Lay Place,education,university,"university in Boon Lay Place, Jurong West, Singapore",OK,,17,
2026-07-17T23:02:23.768798,text_search,1,AIzaSy...IDGw,8,Jurong West,Boon Lay Place,education,tuition centre,"tuition centre in Boon Lay Place, Jurong West, Singapore",OK,,20,
2026-07-17T23:02:24.820671,text_search,1,AIzaSy...IDGw,9,Jurong West,Boon Lay Place,education,library,"library in Boon Lay Place, Jurong West, Singapore",OK,,3,
2026-07-17T23:02:25.567772,text_search,1,AIzaSy...IDGw,10,Jurong West,Boon Lay Place,transport,MRT station,"MRT station in Boon Lay Place, Jurong West, Singapore",OK,,6,
2026-07-17T23:02:26.702319,text_search,1,AIzaSy...IDGw,11,Jurong West,Boon Lay Place,transport,bus stop,"bus stop in Boon Lay Place, Jurong West, Singapore",OK,,20,
2026-07-17T23:02:27.506704,text_search,1,AIzaSy...IDGw,12,Jurong West,Boon Lay Place,transport,bus interchange,"bus interchange in Boon Lay Place, Jurong West, Singapore",OK,,4,
2026-07-17T23:02:28.718222,text_search,1,AIzaSy...IDGw,13,Jurong West,Boon Lay Place,transport,LRT station,"LRT station in Boon Lay Place, Jurong West, Singapore",OK,,11,
2026-07-17T23:02:29.764369,text_search,1,AIzaSy...IDGw,14,Jurong West,Boon Lay Place,food,hawker centre,"hawker centre in Boon Lay Place, Jurong West, Singapore",OK,,20,
2026-07-17T23:02:30.601710,text_search,1,AIzaSy...IDGw,15,Jurong West,Boon Lay Place,food,food court,"food court in Boon Lay Place, Jurong West, Singapore",OK,,20,
2026-07-17T23:02:31.532257,text_search,1,AIzaSy...IDGw,16,Jurong West,Boon Lay Place,food,coffee shop,"coffee shop in Boon Lay Place, Jurong West, Singapore",OK,,20,
2026-07-17T23:02:32.594201,text_search,1,AIzaSy...IDGw,17,Jurong West,Boon Lay Place,food,restaurant,"restaurant in Boon Lay Place, Jurong West, Singapore",OK,,20,
2026-07-17T23:02:33.738854,text_search,1,AIzaSy...IDGw,18,Jurong West,Boon Lay Place,food,cafe,"cafe in Boon Lay Place, Jurong West, Singapore",OK,,20,
2026-07-17T23:02:34.612404,text_search,1,AIzaSy...IDGw,19,Jurong West,Boon Lay Place,shopping,shopping mall,"shopping mall in Boon Lay Place, Jurong West, Singapore",OK,,20,
2026-07-17T23:02:35.701039,text_search,1,AIzaSy...IDGw,20,Jurong West,Boon Lay Place,shopping,supermarket,"supermarket in Boon Lay Place, Jurong West, Singapore",OK,,20,
2026-07-17T23:02:36.602727,text_search,1,AIzaSy...IDGw,21,Jurong West,Boon Lay Place,shopping,grocery store,"grocery store in Boon Lay Place, Jurong West, Singapore",OK,,20,
2026-07-17T23:02:37.545687,text_search,1,AIzaSy...IDGw,22,Jurong West,Boon Lay Place,shopping,convenience store,"convenience store in Boon Lay Place, Jurong West, Singapore",OK,,20,
2026-07-17T23:02:38.455135,text_search,1,AIzaSy...IDGw,23,Jurong West,Boon Lay Place,shopping,wet market,"wet market in Boon Lay Place, Jurong West, Singapore",OK,,14,
2026-07-17T23:02:39.594881,text_search,1,AIzaSy...IDGw,24,Jurong West,Boon Lay Place,recreation,gym,"gym in Boon Lay Place, Jurong West, Singapore",OK,,20,
2026-07-17T23:02:40.691839,text_search,1,AIzaSy...IDGw,25,Jurong West,Boon Lay Place,recreation,sports centre,"sports centre in Boon Lay Place, Jurong West, Singapore",OK,,6,
2026-07-17T23:02:41.717466,text_search,1,AIzaSy...IDGw,26,Jurong West,Boon Lay Place,recreation,swimming complex,"swimming complex in Boon Lay Place, Jurong West, Singapore",OK,,11,
2026-07-17T23:02:42.871495,text_search,1,AIzaSy...IDGw,27,Jurong West,Boon Lay Place,recreation,cinema,"cinema in Boon Lay Place, Jurong West, Singapore",OK,,2,
2026-07-17T23:02:43.695669,text_search,1,AIzaSy...IDGw,28,Jurong West,Boon Lay Place,recreation,community club,"community club in Boon Lay Place, Jurong West, Singapore",OK,,1,
2026-07-17T23:02:44.521820,text_search,1,AIzaSy...IDGw,29,Jurong West,Boon Lay Place,recreation,playground,"playground in Boon Lay Place, Jurong West, Singapore",OK,,20,
2026-07-17T23:02:45.421334,text_search,1,AIzaSy...IDGw,30,Jurong West,Boon Lay Place,nature,park,"park in Boon Lay Place, Jurong West, Singapore",OK,,20,
2026-07-17T23:02:46.173070,text_search,1,AIzaSy...IDGw,31,Jurong West,Boon Lay Place,nature,nature reserve,"nature reserve in Boon Lay Place, Jurong West, Singapore",OK,,20,
2026-07-17T23:02:47.281413,text_search,1,AIzaSy...IDGw,32,Jurong West,Boon Lay Place,nature,garden,"garden in Boon Lay Place, Jurong West, Singapore",OK,,20,
2026-07-17T23:02:48.123277,text_search,1,AIzaSy...IDGw,33,Jurong West,Boon Lay Place,nature,beach,"beach in Boon Lay Place, Jurong West, Singapore",OK,,6,
2026-07-17T23:02:48.991457,text_search,1,AIzaSy...IDGw,34,Jurong West,Boon Lay Place,nature,waterfront,"waterfront in Boon Lay Place, Jurong West, Singapore",OK,,20,
2026-07-17T23:02:49.821175,text_search,1,AIzaSy...IDGw,35,Jurong West,Boon Lay Place,nature,park connector,"park connector in Boon Lay Place, Jurong West, Singapore",OK,,1,
2026-07-17T23:02:50.886521,text_search,1,AIzaSy...IDGw,36,Jurong West,Chin Bee,education,kindergarten,"kindergarten in Chin Bee, Jurong West, Singapore",OK,,20,
2026-07-17T23:02:51.581443,text_search,1,AIzaSy...IDGw,37,Jurong West,Chin Bee,education,childcare centre,"childcare centre in Chin Bee, Jurong West, Singapore",OK,,20,
2026-07-17T23:02:52.636259,text_search,1,AIzaSy...IDGw,38,Jurong West,Chin Bee,education,primary school,"primary school in Chin Bee, Jurong West, Singapore",OK,,20,
2026-07-17T23:02:53.403789,text_search,1,AIzaSy...IDGw,39,Jurong West,Chin Bee,education,secondary school,"secondary school in Chin Bee, Jurong West, Singapore",OK,,8,
2026-07-17T23:02:54.436514,text_search,1,AIzaSy...IDGw,40,Jurong West,Chin Bee,education,junior college,"junior college in Chin Bee, Jurong West, Singapore",OK,,14,
2026-07-17T23:02:55.359091,text_search,1,AIzaSy...IDGw,41,Jurong West,Chin Bee,education,polytechnic,"polytechnic in Chin Bee, Jurong West, Singapore",OK,,20,
2026-07-17T23:02:56.120400,text_search,1,AIzaSy...IDGw,42,Jurong West,Chin Bee,education,university,"university in Chin Bee, Jurong West, Singapore",OK,,1,
2026-07-17T23:02:56.935673,text_search,1,AIzaSy...IDGw,43,Jurong West,Chin Bee,education,tuition centre,"tuition centre in Chin Bee, Jurong West, Singapore",OK,,20,
2026-07-17T23:02:58.014731,text_search,1,AIzaSy...IDGw,44,Jurong West,Chin Bee,education,library,"library in Chin Bee, Jurong West, Singapore",OK,,3,
2026-07-17T23:02:58.746377,text_search,1,AIzaSy...IDGw,45,Jurong West,Chin Bee,transport,MRT station,"MRT station in Chin Bee, Jurong West, Singapore",OK,,16,
2026-07-17T23:02:59.763277,text_search,1,AIzaSy...IDGw,46,Jurong West,Chin Bee,transport,bus stop,"bus stop in Chin Bee, Jurong West, Singapore",OK,,20,
2026-07-17T23:03:00.731340,text_search,1,AIzaSy...IDGw,47,Jurong West,Chin Bee,transport,bus interchange,"bus interchange in Chin Bee, Jurong West, Singapore",OK,,20,
2026-07-17T23:03:01.773058,text_search,1,AIzaSy...IDGw,48,Jurong West,Chin Bee,transport,LRT station,"LRT station in Chin Bee, Jurong West, Singapore",OK,,12,
2026-07-17T23:03:02.862448,text_search,1,AIzaSy...IDGw,49,Jurong West,Chin Bee,food,hawker centre,"hawker centre in Chin Bee, Jurong West, Singapore",OK,,3,
2026-07-17T23:03:04.141835,text_search,1,AIzaSy...IDGw,50,Jurong West,Chin Bee,food,food court,"food court in Chin Bee, Jurong West, Singapore",OK,,20,
2026-07-17T23:03:05.269807,text_search,1,AIzaSy...IDGw,51,Jurong West,Chin Bee,food,coffee shop,"coffee shop in Chin Bee, Jurong West, Singapore",OK,,20,
2026-07-17T23:03:06.071905,text_search,1,AIzaSy...IDGw,52,Jurong West,Chin Bee,food,restaurant,"restaurant in Chin Bee, Jurong West, Singapore",OK,,20,
2026-07-17T23:03:07.073692,text_search,1,AIzaSy...IDGw,53,Jurong West,Chin Bee,food,cafe,"cafe in Chin Bee, Jurong West, Singapore",OK,,1,
2026-07-17T23:03:08.097608,text_search,1,AIzaSy...IDGw,54,Jurong West,Chin Bee,shopping,shopping mall,"shopping mall in Chin Bee, Jurong West, Singapore",OK,,10,
2026-07-17T23:03:09.174858,text_search,1,AIzaSy...IDGw,55,Jurong West,Chin Bee,shopping,supermarket,"supermarket in Chin Bee, Jurong West, Singapore",OK,,20,
2026-07-17T23:03:10.044251,text_search,1,AIzaSy...IDGw,56,Jurong West,Chin Bee,shopping,grocery store,"grocery store in Chin Bee, Jurong West, Singapore",OK,,20,
2026-07-17T23:03:10.773901,text_search,1,AIzaSy...IDGw,57,Jurong West,Chin Bee,shopping,convenience store,"convenience store in Chin Bee, Jurong West, Singapore",OK,,20,
2026-07-17T23:03:11.533512,text_search,1,AIzaSy...IDGw,58,Jurong West,Chin Bee,shopping,wet market,"wet market in Chin Bee, Jurong West, Singapore",OK,,20,
2026-07-17T23:03:12.491757,text_search,1,AIzaSy...IDGw,59,Jurong West,Chin Bee,recreation,gym,"gym in Chin Bee, Jurong West, Singapore",OK,,20,
2026-07-17T23:03:13.338318,text_search,1,AIzaSy...IDGw,60,Jurong West,Chin Bee,recreation,sports centre,"sports centre in Chin Bee, Jurong West, Singapore",OK,,6,
2026-07-17T23:03:14.267459,text_search,1,AIzaSy...IDGw,61,Jurong West,Chin Bee,recreation,swimming complex,"swimming complex in Chin Bee, Jurong West, Singapore",OK,,9,
2026-07-17T23:03:15.145833,text_search,1,AIzaSy...IDGw,62,Jurong West,Chin Bee,recreation,cinema,"cinema in Chin Bee, Jurong West, Singapore",OK,,1,
2026-07-17T23:03:16.109565,text_search,1,AIzaSy...IDGw,63,Jurong West,Chin Bee,recreation,community club,"community club in Chin Bee, Jurong West, Singapore",OK,,20,
2026-07-17T23:03:16.863156,text_search,1,AIzaSy...IDGw,64,Jurong West,Chin Bee,recreation,playground,"playground in Chin Bee, Jurong West, Singapore",OK,,20,
2026-07-17T23:03:17.973708,text_search,1,AIzaSy...IDGw,65,Jurong West,Chin Bee,nature,park,"park in Chin Bee, Jurong West, Singapore",OK,,20,
2026-07-17T23:03:18.951400,text_search,1,AIzaSy...IDGw,66,Jurong West,Chin Bee,nature,nature reserve,"nature reserve in Chin Bee, Jurong West, Singapore",OK,,20,
2026-07-17T23:03:19.904260,text_search,1,AIzaSy...IDGw,67,Jurong West,Chin Bee,nature,garden,"garden in Chin Bee, Jurong West, Singapore",OK,,20,
2026-07-17T23:03:21.110023,text_search,1,AIzaSy...IDGw,68,Jurong West,Chin Bee,nature,beach,"beach in Chin Bee, Jurong West, Singapore",OK,,1,
2026-07-17T23:03:22.245896,text_search,1,AIzaSy...IDGw,69,Jurong West,Chin Bee,nature,waterfront,"waterfront in Chin Bee, Jurong West, Singapore",OK,,20,
2026-07-17T23:03:22.891642,text_search,1,AIzaSy...IDGw,70,Jurong West,Chin Bee,nature,park connector,"park connector in Chin Bee, Jurong West, Singapore",OK,,9,
2026-07-17T23:03:23.648594,text_search,1,AIzaSy...IDGw,71,Jurong West,Hong Kah,education,kindergarten,"kindergarten in Hong Kah, Jurong West, Singapore",OK,,20,
2026-07-17T23:03:24.445335,text_search,1,AIzaSy...IDGw,72,Jurong West,Hong Kah,education,childcare centre,"childcare centre in Hong Kah, Jurong West, Singapore",OK,,20,
2026-07-17T23:03:25.313982,text_search,1,AIzaSy...IDGw,73,Jurong West,Hong Kah,education,primary school,"primary school in Hong Kah, Jurong West, Singapore",OK,,20,
2026-07-17T23:03:26.103176,text_search,1,AIzaSy...IDGw,74,Jurong West,Hong Kah,education,secondary school,"secondary school in Hong Kah, Jurong West, Singapore",OK,,13,
2026-07-17T23:03:26.824559,text_search,1,AIzaSy...IDGw,75,Jurong West,Hong Kah,education,junior college,"junior college in Hong Kah, Jurong West, Singapore",OK,,20,
2026-07-17T23:03:27.628752,text_search,1,AIzaSy...IDGw,76,Jurong West,Hong Kah,education,polytechnic,"polytechnic in Hong Kah, Jurong West, Singapore",OK,,20,
2026-07-17T23:03:28.380327,text_search,1,AIzaSy...IDGw,77,Jurong West,Hong Kah,education,university,"university in Hong Kah, Jurong West, Singapore",OK,,8,
2026-07-17T23:03:29.270345,text_search,1,AIzaSy...IDGw,78,Jurong West,Hong Kah,education,tuition centre,"tuition centre in Hong Kah, Jurong West, Singapore",OK,,20,
2026-07-17T23:03:30.190480,text_search,1,AIzaSy...IDGw,79,Jurong West,Hong Kah,education,library,"library in Hong Kah, Jurong West, Singapore",OK,,2,
2026-07-17T23:03:31.279545,text_search,1,AIzaSy...IDGw,80,Jurong West,Hong Kah,transport,MRT station,"MRT station in Hong Kah, Jurong West, Singapore",OK,,20,
2026-07-17T23:03:32.320093,text_search,1,AIzaSy...IDGw,81,Jurong West,Hong Kah,transport,bus stop,"bus stop in Hong Kah, Jurong West, Singapore",OK,,20,
2026-07-17T23:03:33.277473,text_search,1,AIzaSy...IDGw,82,Jurong West,Hong Kah,transport,bus interchange,"bus interchange in Hong Kah, Jurong West, Singapore",OK,,20,
2026-07-17T23:03:34.225785,text_search,1,AIzaSy...IDGw,83,Jurong West,Hong Kah,transport,LRT station,"LRT station in Hong Kah, Jurong West, Singapore",OK,,20,
2026-07-17T23:03:34.916872,text_search,1,AIzaSy...IDGw,84,Jurong West,Hong Kah,food,hawker centre,"hawker centre in Hong Kah, Jurong West, Singapore",OK,,20,
