planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Jurong West,Boon Lay Place,education,56,4.589,8,0,1,1,4,0,4,1,7,1,3,0,"To the Amazing Rainbow Childcare K1B team, You are truly the best! I want to express my heartfelt gratitude, especially to Teacher Ezann, for always supporting my son both physical... || I am incredibly happy with the progress my children have made at this childcare center. The teachers are wonderful and know exactly how to bring out the best in each child, not jus... || My son studied in Rainbow School for the past 2 years. I can see improvement in him. At first, he is very shy to open up and having difficulty in interact with his classmates. Afte...",8,0,4,3,6,3
Jurong West,Boon Lay Place,transport,25,3.44,0,0,1,3,4,0,1,1,8,0,0,1,"Been commuting here for years, but never seen staffs up at the platform controlling the crowd during peak hours OR weekends. For eg, to ask ppl to stand at the side to let ppl OUT ... || Located at nearly central of Jurong west area. Very convenient for catching train to city center. The station is attached to a huge shopping mall and the bus interchange. Highly re... || The gantries are so user unfriendly . Entrance going in have to do a detour instead of opening some up on the side facing Jurong point. It might be to drive traffic to the shops at...",0,-2,4,0,8,-1
Jurong West,Boon Lay Place,food,30,3.867,0,1,1,6,3,2,0,1,2,0,4,0,"Update: 14 Feb 26 Just had my first visit to the reopened Boon Lay Place Wet Market! It’s easily one of the largest and best-organized markets in Western Singapore now. The stalls ... || Recently reopened Boon Lay Food Place which has been around for the longest time. The newly upgraded place is much more cleaner, cooler and have more space with the center segment ... || Although it's newly renovated hawker centre, but many areas are still required improvement, eg. cleanliness, seating, tray return etc. Majority food selling here is good and still ...",-1,-5,1,-1,2,4
Jurong West,Boon Lay Place,shopping,20,2.85,1,1,2,1,1,0,0,1,6,0,0,1,"Jurong Point has really evolved into one of the largest and most comprehensive suburban malls in Singapore over the years. The mall keeps expanding and now offers an impressive var... || Jurong Point is one of the more convenient suburban malls in Singapore with a huge variety of shops, supermarkets, restaurants and daily necessities all under one roof. The mall is... || As one of Singapore’s largest suburban malls, Jurong Point serves as a massive retail and lifestyle hub for the West. It’s famous for its immersive themed precincts and endless foo...",0,1,1,-1,6,-1
Jurong West,Boon Lay Place,recreation,40,3.7,1,0,6,4,5,1,0,0,1,0,3,1,"Very spacious and not as crowded as other active SG gyms || Definitely one of the really good ActiveSG gyms, especially on the Western side. While you gotta follow the usual SportsSG rules, the staff are usually happy to show you around and... || Just in Singapore for a few weeks and was looking for a gym where I could pay per entry. This was perfect. $3.5SGD per entry. Better than me committing to buying a month pass at ot...",1,2,4,0,1,2
Jurong West,Boon Lay Place,nature,27,4.0,6,1,1,0,6,0,0,3,10,0,1,1,"A pleasant neighbourhood park that’s generally well maintained and easy to enjoy. The greenery is neatly kept, paths are clean, and there’s a good mix of features like open lawns, ... || Jurong Central Park · Singapore ⭐️⭐️⭐️⭐️ Visited in the morning and found it fairly quiet, which made for a pleasant short stroll. The park isn’t particularly spectacular, but it’s... || Weekend Wanders: Jurong Central Park Took a stroll through Jurong Central Park over the weekend — a peaceful green escape nestled just minutes away from Jurong Point and Boon Lay M...",5,1,6,-3,10,0
Jurong West,Chin Bee,education,35,4.771,0,1,0,0,7,0,3,1,0,0,0,0,"My daughter attended JCK Kindergarten, and it has been a wonderful journey for both her and our family. The teachers are responsible, passionate, and truly dedicated to the childre... || We are incredibly grateful for the experience we’ve had at JCK. The teachers are truly passionate and committed to the well-being and development of the children. We have seen our ... || JCK was one of the best pre-primary school I got in singapore for my son. The efforts taken by all teachers for kids growth n development are really priceless. Concept of plus prog...",-1,0,7,2,0,0
Jurong West,Chin Bee,transport,18,4.222,2,0,0,2,0,0,0,0,4,0,0,0,"It is going to be very convenient for the people living nearby. || Very crowded but plenty of on the go Food carts available || In Google maps its showing Js5,basically its JS6 Jurong West JRL Stn",2,-2,0,0,4,0
Jurong West,Chin Bee,food,40,4.525,5,2,2,8,8,0,1,0,2,0,6,0,"Did not expect that this hawker center is so clean! We are really impressed by their cleanliness ! We ordered Malay food, Nasi Padang. Very delicious! If we were to order these muc... || 13/November/2025 Had mixed rice for brunch ($4.60), was normal. Lots of stalls to choose from, I'll be back. Limited parking lots available. || The Hong Kong roast duck is very nice.",3,-6,8,1,2,6
Jurong West,Chin Bee,shopping,35,3.971,0,0,2,1,3,0,0,0,3,0,3,2,"A nice and modern mall conveniently located at the Jurong East transportation hub, with sheltered walkways linking it to two other popular malls in the area. The mall is spacious, ... || Mall is around 10 years old located in Jurong east central and beside the MRT station. Good shopper traffic, more home goods, Fnb and lifestyle/services shops such as Nittori, Drea... || Great place for casual shopping. Good spread of food. Easy connection to the jurong east train station.",0,1,3,0,3,1
