planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Jurong West,Boon Lay Place,education,kindergarten,"kindergarten in Boon Lay Place, Jurong West, Singapore",ChIJl0DTCMIP2jERxIYMsHqYeyY,Rainbow Childcare Pte Ltd,"221 Boon Lay Pl, #03-100 Shopping Centre, Singapore 640221",4.8,82,"[""establishment"", ""point_of_interest"", ""school""]",1.3461938,103.7124483,True
Jurong West,Boon Lay Place,education,kindergarten,"kindergarten in Boon Lay Place, Jurong West, Singapore",ChIJ9frdb8IP2jERULNaQauDCa4,PCF Sparkletots Preschool @ Boon Lay Blk 207,"Blk 207 Boon Lay Pl, #01-215, Singapore 640207",4.5,2,"[""establishment"", ""point_of_interest"", ""school""]",1.3466394,103.7136298,True
Jurong West,Boon Lay Place,education,childcare centre,"childcare centre in Boon Lay Place, Jurong West, Singapore",ChIJQ3u8icEP2jER84TmbfrAhss,Little Explorers Cove,"88 Boon Lay Pl, Hockey Village, Singapore 649883",5.0,3,"[""establishment"", ""point_of_interest""]",1.3477404,103.7115866,True
Jurong West,Boon Lay Place,education,primary school,"primary school in Boon Lay Place, Jurong West, Singapore",ChIJiRDxoOkP2jERWvGpVvrW15I,Boon Lay Garden Primary School,"20 Boon Lay Dr, Singapore 649930",,0,"[""establishment"", ""point_of_interest"", ""primary_school"", ""school""]",1.3433969,103.7131343,True
Jurong West,Boon Lay Place,education,primary school,"primary school in Boon Lay Place, Jurong West, Singapore",ChIJOfCBMMcP2jERDSx2GZS4xZ0,Corporation Primary School,"31 Jurong West St. 24, Singapore 648347",,0,"[""establishment"", ""point_of_interest"", ""primary_school"", ""school""]",1.3514322,103.7076403,True
Jurong West,Boon Lay Place,education,secondary school,"secondary school in Boon Lay Place, Jurong West, Singapore",ChIJc2MrR5QP2jERndRHjWsok84,Boon Lay Secondary School,"11 Jurong West Street 65, Singapore 648354",,0,"[""establishment"", ""point_of_interest"", ""school""]",1.343319,103.7019012,True
Jurong West,Boon Lay Place,education,secondary school,"secondary school in Boon Lay Place, Jurong West, Singapore",ChIJr1lusOsP2jERKAFcVUeYtEA,River Valley High School,"6 Boon Lay Ave, Singapore 649961",,0,"[""establishment"", ""point_of_interest"", ""school""]",1.3438847,103.7095372,True
Jurong West,Boon Lay Place,education,junior college,"junior college in Boon Lay Place, Jurong West, Singapore",ChIJPeCff8EP2jERXw_DYnWynFY,Boon Lay Community Club,"10 Boon Lay Pl, Level 1 Community Centre, Singapore 649882",4.3,457,"[""establishment"", ""point_of_interest""]",1.3484558,103.7114966,True
Jurong West,Boon Lay Place,education,junior college,"junior college in Boon Lay Place, Jurong West, Singapore",ChIJz_-CGpUR2jERsxAVVh_vnoY,Jurong Pioneer Junior College,"21 Teck Whye Walk, Singapore 688258",3.8,86,"[""establishment"", ""point_of_interest"", ""university""]",1.3847446,103.753857,True
Jurong West,Boon Lay Place,education,polytechnic,"polytechnic in Boon Lay Place, Jurong West, Singapore",ChIJWeO0jn0Q2jERQwzr3v_n0nU,Ngee Ann Polytechnic,"535 Clementi Rd, Singapore 599489",4.3,498,"[""establishment"", ""point_of_interest""]",1.3315798,103.7747134,True
Jurong West,Boon Lay Place,education,polytechnic,"polytechnic in Boon Lay Place, Jurong West, Singapore",ChIJFXzxL2Aa2jERnoWTOdJdVKk,Singapore Polytechnic,"500 Dover Rd, Singapore 139651",4.3,646,"[""establishment"", ""point_of_interest""]",1.3097757,103.7775495,True
Jurong West,Boon Lay Place,education,university,"university in Boon Lay Place, Jurong West, Singapore",ChIJjyf3EsIP2jER-6PJOuQZ2po,Boon Lay Shopping Centre,"221 Boon Lay Pl, Singapore 640221",4.3,1718,"[""establishment"", ""point_of_interest"", ""shopping_mall""]",1.3462076,103.7124343,True
Jurong West,Boon Lay Place,education,university,"university in Boon Lay Place, Jurong West, Singapore",ChIJ9X7QCrkR2jEROrobPKwyqOo,TEG International College,"5 Jurong West Ave 5, #03-06, Singapore 649485",4.1,264,"[""establishment"", ""point_of_interest"", ""university""]",1.3497024,103.702984,True
