planning_area,subzone,poi_dimension,place_query_type,place_id,place_name,place_rating,place_user_ratings_total,review_index,review_author_name,review_author_url,review_language,review_profile_photo_url,review_rating,review_relative_time_description,review_time,review_text
Jurong West,Boon Lay Place,education,kindergarten,ChIJl0DTCMIP2jERxIYMsHqYeyY,Rainbow Childcare Pte Ltd,4.8,82,0,naw kapaw htoo,https://www.google.com/maps/contrib/117604484463173560839/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXb9bFy_-OvbQb6U0Hj8d2B4Rve9nO1IxY-7zrLUBalRK9urTZSiw=s128-c0x00000000-cc-rp-mo,5,a year ago,1734225037,"To the Amazing Rainbow Childcare K1B team,
You are truly the best! I want to express my heartfelt gratitude, especially to Teacher Ezann, for always supporting my son both physically and mentally. Thanks to your dedication and care, he has made remarkable improvements and gained so much confidence.I am deeply appreciative of the care and support provided by the entire team at Rainbow Childcare Centre. May this centre continue to be filled with blessings and happiness. Your kindness and unwavering support mean the world to us, and we are forever grateful. Thank you!"
Jurong West,Boon Lay Place,education,kindergarten,ChIJl0DTCMIP2jERxIYMsHqYeyY,Rainbow Childcare Pte Ltd,4.8,82,1,Saliza Sani,https://www.google.com/maps/contrib/103156509224279002916/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJWXLvrP_cIDkHWUkN9U_oXzwuuu3jZTEXeLKHJ5mbPA6L1Mg=s128-c0x00000000-cc-rp-mo,5,a year ago,1734756215,"I am incredibly happy with the progress my children have made at this childcare center. The teachers are wonderful and know exactly how to bring out the best in each child, not just my own. It's evident in the way my child has grown more confident in socializing with her friends and teachers. The school goes above and beyond by organizing field trips, which I believe are crucial for their development beyond classroom learning. Additionally, they offer enriching extra classes, including phonics, speech and drama, and science, which have been a fantastic bonus. Most importantly, they are preparing the kids for what to expect when transitioning to Primary 1. I am truly grateful for everything the center has done for my children’s growth and confidence. Thank you Rainbow Childcare!"
Jurong West,Boon Lay Place,education,kindergarten,ChIJl0DTCMIP2jERxIYMsHqYeyY,Rainbow Childcare Pte Ltd,4.8,82,2,Rosnani Ibrahim,https://www.google.com/maps/contrib/105066898385272664668/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocKFrIioEy6fBqhrUDCEH2FRMlQZkygRrAkaNeJfVI6Y7HwKNA=s128-c0x00000000-cc-rp-mo,5,a year ago,1734356848,"My son studied in Rainbow School for the past 2 years. I can see improvement in him.
At first, he is very shy to open up and having difficulty in interact with his classmates. After joining, he is very confident to talk to his teacher and his classmates. The Syllabus and teaching techniques by teachers are advanced . Special thanks to Ms Joanne ( Principal) and Teacher Ezann.
This pre-school is highly recommended."
Jurong West,Boon Lay Place,education,kindergarten,ChIJl0DTCMIP2jERxIYMsHqYeyY,Rainbow Childcare Pte Ltd,4.8,82,3,Lili,https://www.google.com/maps/contrib/114834679272692404250/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocIfjYbnrJdPBj2v4skJGBrTUuOsS2aUKXVux2WavavQrYq-4w=s128-c0x00000000-cc-rp-mo,5,a year ago,1734318349,"I couldn't be more thrilled with our experience at this childcare! My children are very enjoying at there. Every day, I see how much they enjoy being there and how much they've grown, both academically and socially. The teachers are incredibly caring and attentive, creating a warm and nurturing environment where my child feels safe and excited to learn. My children are well prepared for transition to primary school. Thank you and big hugs to all teachers and principle."
Jurong West,Boon Lay Place,education,kindergarten,ChIJl0DTCMIP2jERxIYMsHqYeyY,Rainbow Childcare Pte Ltd,4.8,82,4,Naufa ZAI,https://www.google.com/maps/contrib/115923234130495627816/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjUqPKUJGEAmaJin2M9TxjLsXJgpXTwrRypBUf-5Aw6TWXncAdUU=s128-c0x00000000-cc-rp-mo,5,a year ago,1734974717,"Dear Teachers and Principal,

I wanted to take a moment to express my deepest gratitude for the care and dedication you have shown to my girls since day 1. It is truly comforting to know that they are in such a nurturing and supportive environment where they not only feel safe but also thrive and grow.

The impact of your hard work, patience, and kindness is evident in their smiles and excitement when they talk about their day. Your commitment to fostering a love of learning and encouraging their individual personalities has made a lasting impression on us as a family.

We are so thankful to have such wonderful teachers and a caring principal who genuinely put their hearts into making a difference in the children's lives. I feel incredibly fortunate knowing that my girls are surrounded by such a dedicated team.

Thank you once again for everything you do. Your efforts mean more than words can express! 🥰💜

Warmest regards,
NurfaZai
Naurah.. Nairah.. Natrah"
Jurong West,Boon Lay Place,education,kindergarten,ChIJ9frdb8IP2jERULNaQauDCa4,PCF Sparkletots Preschool @ Boon Lay Blk 207,4.5,2,0,Vitha Mani,https://www.google.com/maps/contrib/110053585223778823604/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXCTWgB4LPdDbeUKNVThFP0xEMrc2MifGrLN5jcEQZsBfPDL-r6=s128-c0x00000000-cc-rp-mo-ba4,5,2 years ago,1700286841,My third baby mano who go there
Jurong West,Boon Lay Place,education,kindergarten,ChIJ9frdb8IP2jERULNaQauDCa4,PCF Sparkletots Preschool @ Boon Lay Blk 207,4.5,2,1,AIJAZ KING,https://www.google.com/maps/contrib/114075753071527555245/reviews,,https://lh3.googleusercontent.com/a-/ALV-UjULL2wc-sHPfsHpotDpjc_dz6aNvLvksFq2KPgaiX9dhxdH3Z8v=s128-c0x00000000-cc-rp-mo,4,2 years ago,1697525349,
Jurong West,Boon Lay Place,education,childcare centre,ChIJQ3u8icEP2jER84TmbfrAhss,Little Explorers Cove,5.0,3,0,Keira Chen,https://www.google.com/maps/contrib/113842217691408822915/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXSolQkaZ3KvhqrhCKBCulCx2_14c0bC47jVUCNngXpF5g8ANDC=s128-c0x00000000-cc-rp-mo-ba4,5,9 months ago,1759971904,"It is my first son's second week at child care. He is 18 months and I was very worried. However, the teachers showed so much care and love. They would carry and hug him when he cries, and they never shout at him even when he is a bit mischievous (throw other's water bottles). The teachers said, ""It is normal - he will learn and get used."" They were so patient!

I got to sit in 30min on a Monday when I bought his uniform and processed the admin. Sent him for half a day on Tuesday, and got to sit in 30min in the morning. The environment is really great. Lots of corners for children to explore. Even a library, supermarket and play kitchen! They have their indoor garden where kids exercise too, but due to Covid, outdoor activity has been suspended.

Teacher Ida even gave her phone number and what's apped me photos of him. I'm so touched and grateful that he is doing OK. Today, my aunt fetched him and Teacher Ida called me on my mobile phone just to verify that ny aunt is a legitimate caregiver to fetch him. I'm thankful cuz my child won't be kidnapped.

The principal replies email quickly. Ms Santa is very experienced to answer my 30+ questions ranging from discipline to safe management.

My child really loves his teachers so much. 2 weeks in, he cried when one teacher was leaving to go home and my boy followed him to the gate. In the morning, he happily waves bye to me, and runs in. He used to cry last week, but he would still want his teacher to carry him. (He cried cuz he wants me more, but he likes his teacher too!) When he leaves the centre, he says bye to every single teacher. His teacher asks good questions and teaches him too, even though he can't really speak in sentences yet. They taught him what's a shoe, colours, turn-taking etc. Whether he learnt it, I'm not sure as he cannot really express himself.

They have a class dojo (which I'm not on yet). They seem to check temperature daily at drop off mornings and pick up evenings.

Price is ok for the facility and care. They have a blanket, nice school bag, PE attire and Uniform which I paid for at registration. I wrote an email to express some concerns after 3 days, and the principal acted on my concern and investigated.

Would recommend!

Update: it has been 4 years and now I've 2 kids. The teachers are really remarkable - craftwork, decor, teaching. Enrolment is very small, but somehow there is still trips to zoo, National gallery, bouncetopia.

There are goodie bags for Deepavali, Children's Day.

My child performend dancing on stage at Boon Lay CC. The teachers choreographed the dance and put the kids through practice, and dressed them up. I was so proud of my boys for achieving such a big feat, dancing in front of Minister and the boon lay residents on big stage.

Very few (almost don't have) foreigner teachers. They offer Chinese, Malay, Tamil. The values education is really whole new level because the teachers inculcate values consistently.

There is graduation camp for K2. My kid isn't at that age yet but the graduation is very cosy and the teachers set up a nice party.

As teachers are good, they are very strong in pedagogy. Sports, arts, music, craft, English speech and drama, dancercise. They even organised Robotics and coding class. The chinese teacher is remarkable. She somehow magically makes Chinese tingxie easy and words memorable. My kids come back singing Chinese nursery rhymes and their enunciation is good.

There is even a school bus (very cheap). Very affordable private childcare."
Jurong West,Boon Lay Place,education,childcare centre,ChIJQ3u8icEP2jER84TmbfrAhss,Little Explorers Cove,5.0,3,1,Nurdiyanah JH,https://www.google.com/maps/contrib/105661193659949683675/reviews,,https://lh3.googleusercontent.com/a-/ALV-UjXSELWA5kdZCTDMI0r8Ez3GWUfdLElp72gXCvEmKh1TFG_W5y_y8A=s128-c0x00000000-cc-rp-mo,5,a month ago,1781199926,
Jurong West,Boon Lay Place,education,childcare centre,ChIJQ3u8icEP2jER84TmbfrAhss,Little Explorers Cove,5.0,3,2,Pasanee Warakittiphan,https://www.google.com/maps/contrib/117156812992616907934/reviews,,https://lh3.googleusercontent.com/a/ACg8ocLkgK0Xmu6v9nnMPDD-Ctoq2G1VzGeuJjs6JJfSVlkF0WrJkQ=s128-c0x00000000-cc-rp-mo-ba3,5,8 years ago,1508252059,
