planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Kallang,Bendemeer,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bendemeer, Kallang, Singapore",ChIJM6_ROgIZ2jERjwaDqeaHWAY,Read Think Learn Education Hub / After School Care (Geylang West / Kallang),"1205 Upper Boon Keng Rd, #02-01, Singapore 387311",4.8,6,"[""establishment"", ""point_of_interest""]",1.3157314,103.8724173,True
Kallang,Bendemeer,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bendemeer, Kallang, Singapore",ChIJ-8IBCtIZ2jER7v3RZGuNkmc,Twinklekidz@Bendemeer,"80 Bendemeer Rd, #01-07, Singapore 339949",4.6,38,"[""establishment"", ""point_of_interest"", ""school""]",1.3172569,103.8635502,True
Kallang,Bendemeer,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bendemeer, Kallang, Singapore",ChIJuR6D5s0Z2jER3anRnYz7aZs,Joyful Tots at Bendemeer,"70 Bendemeer Rd, #03-03, Singapore 339940",4.6,23,"[""establishment"", ""point_of_interest"", ""school""]",1.3164173,103.8625531,True
Kallang,Bendemeer,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bendemeer, Kallang, Singapore",ChIJwRAtRAAZ2jERt9SBuu87izQ,MapleBear Kallang,"20 Kallang Ave, #03-01, Lobby B, Singapore 339411",5.0,12,"[""establishment"", ""point_of_interest"", ""school""]",1.3096883,103.8650884,True
Kallang,Bendemeer,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bendemeer, Kallang, Singapore",ChIJh7CPSKoZ2jERHpAF-PJuAS8,PlayFACTO School @ Boon Keng | Student Care Boon Keng,"72 Bendemeer Rd, #03-11/12 Luzerne Building, Singapore 339941",4.8,81,"[""establishment"", ""point_of_interest"", ""school""]",1.3160296,103.8628655,True
Kallang,Bendemeer,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bendemeer, Kallang, Singapore",ChIJPdDS-csZ2jERESWnmmYgjBs,Maple Bear Lavender,"2 Kallang Ave, #04-16 CT Hub, Singapore 339407",5.0,3,"[""establishment"", ""point_of_interest"", ""school""]",1.3120213,103.8628407,True
Kallang,Bendemeer,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bendemeer, Kallang, Singapore",ChIJx31uqmMZ2jERJYGPs4eb05I,PlayFACTO School @ Bendemeer,"1177 Serangoon Rd, #02-01 Jui Residences, Singapore 328231",4.8,48,"[""establishment"", ""point_of_interest""]",1.3260889,103.8664498,True
Kallang,Bendemeer,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bendemeer, Kallang, Singapore",ChIJM6Z6fdQZ2jERFlb8LHPNPU8,Big Heart Student Care@Bendemeer,"91 Bendemeer Rd, Singapore 339948",1.0,1,"[""establishment"", ""point_of_interest""]",1.3221947,103.865084,True
Kallang,Bendemeer,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bendemeer, Kallang, Singapore",ChIJ03NK39YZ2jERd8h26AQAXB0,MindChamps PreSchool @ Boon Keng,"30A Kallang Pl, #01-01, Singapore 339213",5.0,144,"[""establishment"", ""point_of_interest"", ""school""]",1.3143354,103.8662505,True
Kallang,Bendemeer,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Bendemeer, Kallang, Singapore",ChIJVVVVBdIZ2jERvblaxcflgVc,Kallang Community Club,"45 Boon Keng Rd, Singapore 339771",4.0,560,"[""establishment"", ""point_of_interest""]",1.3179854,103.8624274,True
