planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Lim Chu Kang,Lim Chu Kang,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Lim Chu Kang, Lim Chu Kang, Singapore",ChIJ2739TgoP2jERlpS4Fef772Y,Library and Information Services Centre (NIE),"1 Nanyang Walk, Singapore 637616",4.6,28,"[""establishment"", ""library"", ""point_of_interest""]",1.348661,103.677635,True
Lim Chu Kang,Lim Chu Kang,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Lim Chu Kang, Lim Chu Kang, Singapore",ChIJ5-Dtl-kR2jERllI9-1NpYVY,Choa Chu Kang Library,"21 Choa Chu Kang Avenue 4 #04-01/02 and #05-06, Lot One Shopper’s Mall, Singapore 689812",4.3,280,"[""establishment"", ""library"", ""point_of_interest""]",1.384977,103.7452205,True
Lim Chu Kang,Lim Chu Kang,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Lim Chu Kang, Lim Chu Kang, Singapore",ChIJVUkk2O8R2jERbTU3jlW7AIw,Little Footprints Preschool @ Choa Chu Kang - Limbang,"533 Choa Chu Kang Street 51, #02-01 Limbang Shopping Centre, Singapore 680533",4.8,67,"[""establishment"", ""point_of_interest"", ""school""]",1.3920515,103.743666,True
Lim Chu Kang,Lim Chu Kang,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Lim Chu Kang, Lim Chu Kang, Singapore",ChIJyVJ-4sQR2jERrzSdbFHljAQ,in:genius Student Care @ Choa Chu Kang,"309 Choa Chu Kang Ave 4, #04-07, Singapore 680309",5.0,27,"[""establishment"", ""point_of_interest""]",1.3851291,103.7457328,True
Lim Chu Kang,Lim Chu Kang,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Lim Chu Kang, Lim Chu Kang, Singapore",ChIJ85BTqAIR2jER0elL_B7aOfM,Discovery Learners Student Care Center,"Block 541 Choa Chu Kang Street 52, #01-46, Singapore 680541",5.0,14,"[""establishment"", ""point_of_interest""]",1.3926538,103.7445298,True
Lim Chu Kang,Lim Chu Kang,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Lim Chu Kang, Lim Chu Kang, Singapore",ChIJmRqPF8QR2jERBjbHumdR_z4,Greenfield Montessori,"688C Choa Chu Kang Cres, Block 688C, Singapore 683688",4.8,33,"[""establishment"", ""point_of_interest""]",1.4032512,103.7507755,True
Lim Chu Kang,Lim Chu Kang,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Lim Chu Kang, Lim Chu Kang, Singapore",ChIJ39hAJcQR2jERfMo3N26ktMQ,SDM Childcare Centre @ Choa Chu Kang,"186 Choa Chu Kang Ave 1, Singapore 689464",4.9,17,"[""establishment"", ""point_of_interest"", ""school""]",1.3769847,103.7456425,True
Lim Chu Kang,Lim Chu Kang,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Lim Chu Kang, Lim Chu Kang, Singapore",ChIJp4_y7ccR2jERSt3nPw7Te_E,Little Footprints Preschool @ ITE West,"1 Choa Chu Kang Grv, Singapore 688236",4.9,44,"[""establishment"", ""point_of_interest"", ""school""]",1.3760208,103.752942,True
Lim Chu Kang,Lim Chu Kang,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Lim Chu Kang, Lim Chu Kang, Singapore",ChIJTXdxQk4b2jER4HdHnRNjvLY,HV Little Library,"2 Holland Ave, Block 2, Singapore 271002",4.9,64,"[""establishment"", ""library"", ""point_of_interest""]",1.3095115,103.7956789,True
Lim Chu Kang,Lim Chu Kang,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Lim Chu Kang, Lim Chu Kang, Singapore",ChIJkZEm_NoR2jER2JHSz_r0VHQ,Greenery Childcare Centre,"483 Choa Chu Kang Ave 5, #01-164, Singapore 680483",5.0,25,"[""establishment"", ""point_of_interest"", ""school""]",1.3758855,103.7376734,True
