planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Mandai,Mandai East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Mandai East, Mandai, Singapore",ChIJf5_pqVIS2jERAkF9nM8cvqk,Little Muslim Readers (Woodlands),"11 Woodlands Cl, Singapore 737853",5.0,1,"[""establishment"", ""point_of_interest""]",1.4343653,103.8024411,True
Mandai,Mandai East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Mandai East, Mandai, Singapore",ChIJjxeoub4T2jEROJtpVYn5dcs,Agape Little Uni Gambas (Nordcom II),"2 Gambas Cres, #01-15 Nordcom II, Singapore 757044",4.7,40,"[""establishment"", ""point_of_interest"", ""school""]",1.4434524,103.8155447,True
Mandai,Mandai East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Mandai East, Mandai, Singapore",ChIJnVjyIGMT2jER1AP2Rg9FFT4,Star Learners @ Sembawang Way | Preschool & Childcare,"355 Sembawang Wy, #02-02, Singapore 750355",5.0,116,"[""establishment"", ""point_of_interest"", ""school""]",1.4500614,103.8184399,True
Mandai,Mandai East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Mandai East, Mandai, Singapore",ChIJh-bVYOgT2jERnSDkw1F-WjM,PlayFACTO School @ Woods Square | Student Care Woodlands,"8 Woodlands Square, Solo 2, #04-25 Woods Square, Singapore 737713",5.0,122,"[""establishment"", ""point_of_interest""]",1.4353,103.7855651,True
Mandai,Mandai East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Mandai East, Mandai, Singapore",ChIJHyby1H8U2jERcLpQogdt3pc,Star Learners @ Sembawang Place | Preschool & Childcare,"587 Sembawang Pl, Singapore 758440",4.8,51,"[""establishment"", ""point_of_interest"", ""school""]",1.43938,103.824555,True
Mandai,Mandai East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Mandai East, Mandai, Singapore",ChIJqVqJA6YT2jERen84koMFzGM,Woodlands Library,"900 S Woodlands Dr, #01-03 Civic Centre, Singapore 730900",4.3,488,"[""establishment"", ""library"", ""point_of_interest""]",1.4349053,103.78678,True
Mandai,Mandai East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Mandai East, Mandai, Singapore",ChIJeaqovalUSisREgD2TAt83wo,Small Wonder Woodlands Close,"11 Woodlands Cl, #01-25 WOODLANDS 11, Singapore 737853",5.0,20,"[""establishment"", ""point_of_interest"", ""school""]",1.4343653,103.8024411,True
Mandai,Mandai East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Mandai East, Mandai, Singapore",ChIJlWuGEUET2jERN8QxATXQ-mo,SAS MS Library,"40 Woodlands Street 41, Singapore 738547",5.0,1,"[""establishment"", ""library"", ""point_of_interest""]",1.4257604,103.7754555,True
Mandai,Mandai East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Mandai East, Mandai, Singapore",ChIJAQBU3HQT2jER6dkS1qHMOk8,Creative Land Childcare & Development Centre,"715 Woodlands Drive 70, #12-152 Block 715, Singapore 730715",5.0,1,"[""establishment"", ""point_of_interest""]",1.4419538,103.7998133,True
Mandai,Mandai East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Mandai East, Mandai, Singapore",ChIJBYGvEQAV2jER6vbbOEyIvVk,Play & Learn Community library corner,"137 Yishun Ring Rd, Singapore 760137",,0,"[""establishment"", ""library"", ""point_of_interest""]",1.4320036,103.8300215,True
Mandai,Mandai East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Mandai East, Mandai, Singapore",ChIJjc4Gd2IT2jERErJlDYsVmmM,Glory Joy Child Development Centre,"501B Wellington Cir, #01-06, Singapore 752501",4.8,27,"[""establishment"", ""point_of_interest"", ""school""]",1.4521332,103.8214902,True
Mandai,Mandai East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Mandai East, Mandai, Singapore",ChIJqdSp_aEV2jERZcy1OsTx3Qk,Hua Cheng Education Centre (Junction Nine),"18 Yishun Ave 9, Junction Nine, #01-81, #01-70, Singapore 768897",4.8,29,"[""establishment"", ""point_of_interest""]",1.433182,103.841643,True
Mandai,Mandai East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Mandai East, Mandai, Singapore",ChIJEbc1amET2jER-FRRivzSbLw,Endeavour Primary School,"10 Admiralty Link, Singapore 757521",,0,"[""establishment"", ""point_of_interest"", ""primary_school"", ""school""]",1.4545646,103.8171781,True
Mandai,Mandai East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Mandai East, Mandai, Singapore",ChIJFwBnxn0T2jERFDDiOhsMo_U,Canberra Community Club,"2 Sembawang Cres, #01-01, Singapore 757632",4.1,1059,"[""establishment"", ""point_of_interest""]",1.4449347,103.8197721,True
