planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Marina East,Marina East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Marina East, Marina East, Singapore",ChIJ_ZDXQLUZ2jERW4oS5x86G84,Lily Valley Preschool,"6 Raffles Blvd, #02-27/28 Marina Square, Singapore 039594",5.0,20,"[""establishment"", ""point_of_interest"", ""school""]",1.2912061,103.8576768,True
Marina East,Marina East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Marina East, Marina East, Singapore",ChIJLc768A4Z2jERemFom0buOCQ,Changemakers Explorer One Marina Boulevard | Preschool,"1 Marina Blvd, #B1-01, Singapore 018989",5.0,5,"[""establishment"", ""point_of_interest"", ""school""]",1.2822004,103.8526513,True
Marina East,Marina East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Marina East, Marina East, Singapore",ChIJK9y3VqgZ2jER-hyPwXlHXd4,MindChamps Performing Arts PreSchool @ Marina Square,"6 Raffles Blvd, # 04 -100 Marina Square, Singapore 039594",4.8,149,"[""establishment"", ""point_of_interest"", ""school""]",1.2912061,103.8576768,True
Marina East,Marina East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Marina East, Marina East, Singapore",ChIJJfVEO6UZ2jERq7ZasSTiEgg,Central Library,"100 Victoria St, #B1-01 National Library / Lee Kong Chian Reference Library, Singapore 188064",4.5,299,"[""establishment"", ""library"", ""point_of_interest""]",1.2977181,103.8543361,True
Marina East,Marina East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Marina East, Marina East, Singapore",ChIJ2Uuf5swQ2jERUJ8XjfSTNDU,Little Skool-House OCBC Centre,"65 Chulia Street, West Wing, #02-02 OCBC Centre, Singapore 049513",5.0,7,"[""establishment"", ""point_of_interest"", ""school""]",1.285184,103.8488954,True
Marina East,Marina East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Marina East, Marina East, Singapore",ChIJvfKuq_AZ2jERN-vgQsDU224,KiddiWinkie Schoolhouse @ East Coast,"511 E Coast Rd, Singapore 429064",4.5,51,"[""establishment"", ""point_of_interest"", ""school""]",1.3098305,103.9139459,True
Marina East,Marina East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Marina East, Marina East, Singapore",ChIJneIMG6g8RmcRC6UDMg7es-o,Bright Learners Preschool,"217 E Coast Rd, #03-01/02/03, Singapore 428915",4.6,9,"[""establishment"", ""point_of_interest"", ""school""]",1.3075235,103.9069598,True
Marina East,Marina East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Marina East, Marina East, Singapore",ChIJnZOAlA0Z2jERsfWLwkudpKE,Genius Hive Pre-School Pte Ltd,"105 Cecil St, Singapore 069534",4.3,10,"[""establishment"", ""point_of_interest"", ""school""]",1.2806153,103.8492068,True
Marina East,Marina East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Marina East, Marina East, Singapore",ChIJq6qqwmYX2jERAxY8TjQr7jU,MindChamps Global HQ,"6 Raffles Blvd, #04-100 Marina Square, Singapore 039594",3.5,15,"[""establishment"", ""point_of_interest"", ""real_estate_agency"", ""school""]",1.2914251,103.8576758,True
Marina East,Marina East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Marina East, Marina East, Singapore",ChIJHWfoBcEj2jERVZ7WsZLGx7M,Seedlings World Student Care,"396 Joo Chiat Pl, #02-05 The Yards, Singapore 428079",4.8,17,"[""establishment"", ""point_of_interest""]",1.3149208,103.9101826,True
Marina East,Marina East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Marina East, Marina East, Singapore",ChIJeTQ0a3QY2jERz7wVigJjpLk,New Life Preschool @ Marine Drive,"66 Marine Dr, Singapore 440066",4.8,20,"[""establishment"", ""point_of_interest"", ""school""]",1.3039081,103.9097784,True
Marina East,Marina East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Marina East, Marina East, Singapore",ChIJAQAA0EMY2jERCzlGLaihAgs,Odyssey The Global Preschool – Wilkinson,"101 Wilkinson Rd, Singapore 436559",4.8,107,"[""establishment"", ""point_of_interest"", ""school""]",1.3018973,103.8877113,True
Marina East,Marina East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Marina East, Marina East, Singapore",ChIJQyTTUCMY2jERunI_GcAyOug,Geylang East Library,"50 Geylang East Ave 1, Singapore 389777",4.3,310,"[""establishment"", ""library"", ""point_of_interest""]",1.3174565,103.8857374,True
Marina East,Marina East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Marina East, Marina East, Singapore",ChIJ9Rs9Te8Z2jERl6yudFUGMJY,"United World Preschool (UWP) - East Coast, Katong","112 E Coast Rd, #03-01/02/03/04/28 i12 Katong, Singapore 428802",4.5,43,"[""establishment"", ""point_of_interest"", ""school""]",1.3052002,103.9050645,True
Marina East,Marina East,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Marina East, Marina East, Singapore",ChIJlScVJdEi2jERqUCuQWHiOu0,Wharton Montessori Preschool @ East Coast,"791A Upper E Coast Rd, Singapore 466601",4.8,19,"[""establishment"", ""point_of_interest"", ""school""]",1.3196791,103.9539117,True
