timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-20T15:35:07.143861,text_search,1,AIzaSy...IDGw,619,Marina South,Marina South,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Marina South, Marina South, Singapore",OK,,20,
2026-07-20T15:35:08.828922,text_search,1,AIzaSy...IDGw,620,Marina South,Marina South,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Marina South, Marina South, Singapore",OK,,20,
2026-07-20T15:35:10.427356,text_search,1,AIzaSy...IDGw,621,Marina South,Marina South,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Marina South, Marina South, Singapore",OK,,20,
2026-07-20T15:35:12.337159,text_search,1,AIzaSy...IDGw,622,Marina South,Marina South,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Marina South, Marina South, Singapore",OK,,20,
2026-07-20T15:35:14.281312,text_search,1,AIzaSy...IDGw,623,Marina South,Marina South,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Marina South, Marina South, Singapore",OK,,20,
2026-07-20T15:35:16.009566,text_search,1,AIzaSy...IDGw,624,Marina South,Marina South,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Marina South, Marina South, Singapore",OK,,20,
2026-07-20T15:35:16.028615,place_details_reviews,1,AIzaSy...IDGw,624,Marina South,Marina South,shopping,shopping groceries malls supermarkets markets,ChIJ20X__K4Z2jERRE8GRs-d8HE,OK,,5,Suntec City
2026-07-20T15:35:16.028824,place_details_reviews,1,AIzaSy...IDGw,624,Marina South,Marina South,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,OK,,5,Lau Pa Sat
2026-07-20T15:35:16.872890,place_details_reviews,1,AIzaSy...IDGw,625,Marina South,Marina South,transport,public transport MRT LRT bus stops,ChIJBzn5UR8Z2jERZA4snZcCZR0,OK,,5,Marina South Pier
2026-07-20T15:35:16.874639,place_details_reviews,1,AIzaSy...IDGw,625,Marina South,Marina South,education,education facilities schools childcare libraries,ChIJDcJs9UEZ2jER4dKm3CUVyMk,OK,,5,Harbourfront Library
2026-07-20T15:35:16.875224,place_details_reviews,1,AIzaSy...IDGw,625,Marina South,Marina South,recreation,recreation sports gyms swimming community clubs,ChIJG54AV6YZ2jEREJaczuWecw8,OK,,5,Singapore Recreation Club
2026-07-20T15:35:16.875705,place_details_reviews,1,AIzaSy...IDGw,625,Marina South,Marina South,education,education facilities schools childcare libraries,ChIJKaGsJKUZ2jERxa8yhKrdPfI,OK,,5,National Library / Lee Kong Chian Reference Library
2026-07-20T15:35:16.876080,place_details_reviews,1,AIzaSy...IDGw,625,Marina South,Marina South,nature,parks gardens nature waterfront park connectors,ChIJMxZ-kwQZ2jERdsqftXeWCWI,OK,,5,Gardens by the Bay
2026-07-20T15:35:16.876476,place_details_reviews,1,AIzaSy...IDGw,625,Marina South,Marina South,transport,public transport MRT LRT bus stops,ChIJPYxKUwQZ2jER7KUuPbBTsUQ,OK,,5,Bayfront
2026-07-20T15:35:16.876794,place_details_reviews,1,AIzaSy...IDGw,625,Marina South,Marina South,recreation,recreation sports gyms swimming community clubs,ChIJRQBn6loY2jERjqNd6Z0qL1k,OK,,5,Singapore Swimming Club
2026-07-20T15:35:16.877093,place_details_reviews,1,AIzaSy...IDGw,625,Marina South,Marina South,shopping,shopping groceries malls supermarkets markets,ChIJZ1omp8gZ2jERgDUAb_hBKLY,OK,,5,City Square Mall
2026-07-20T15:35:16.877341,place_details_reviews,1,AIzaSy...IDGw,625,Marina South,Marina South,nature,parks gardens nature waterfront park connectors,ChIJd0VihwEZ2jERKeREhO6G1Qg,OK,,5,Cloud Forest
2026-07-20T15:35:16.877581,place_details_reviews,1,AIzaSy...IDGw,625,Marina South,Marina South,food,food dining hawker centres restaurants cafes,ChIJseQsTQ0Z2jERqpBTWF0Zf84,OK,,5,Maxwell Food Centre
