planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Marina South,Marina South,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Marina South, Marina South, Singapore",ChIJLc768A4Z2jERemFom0buOCQ,Changemakers Explorer One Marina Boulevard | Preschool,"1 Marina Blvd, #B1-01, Singapore 018989",5.0,5,"[""establishment"", ""point_of_interest"", ""school""]",1.2822004,103.8526513,True
Marina South,Marina South,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Marina South, Marina South, Singapore",ChIJ_ZDXQLUZ2jERW4oS5x86G84,Lily Valley Preschool,"6 Raffles Blvd, #02-27/28 Marina Square, Singapore 039594",5.0,20,"[""establishment"", ""point_of_interest"", ""school""]",1.2912061,103.8576768,True
Marina South,Marina South,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Marina South, Marina South, Singapore",ChIJDcJs9UEZ2jER4dKm3CUVyMk,Harbourfront Library,"1 HarbourFront Walk, #03-05 VivoCity, Singapore 098585",4.5,484,"[""establishment"", ""library"", ""point_of_interest""]",1.2636837,103.8233985,True
Marina South,Marina South,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Marina South, Marina South, Singapore",ChIJK9y3VqgZ2jER-hyPwXlHXd4,MindChamps Performing Arts PreSchool @ Marina Square,"6 Raffles Blvd, # 04 -100 Marina Square, Singapore 039594",4.8,149,"[""establishment"", ""point_of_interest"", ""school""]",1.2912061,103.8576768,True
Marina South,Marina South,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Marina South, Marina South, Singapore",ChIJTXdxQk4b2jER4HdHnRNjvLY,HV Little Library,"2 Holland Ave, Block 2, Singapore 271002",4.9,64,"[""establishment"", ""library"", ""point_of_interest""]",1.3095115,103.7956789,True
Marina South,Marina South,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Marina South, Marina South, Singapore",ChIJJfVEO6UZ2jERq7ZasSTiEgg,Central Library,"100 Victoria St, #B1-01 National Library / Lee Kong Chian Reference Library, Singapore 188064",4.5,299,"[""establishment"", ""library"", ""point_of_interest""]",1.2977181,103.8543361,True
Marina South,Marina South,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Marina South, Marina South, Singapore",ChIJKaGsJKUZ2jERxa8yhKrdPfI,National Library / Lee Kong Chian Reference Library,"100 Victoria St, Singapore 188064",4.6,1765,"[""establishment"", ""library"", ""point_of_interest""]",1.2975884,103.8543081,True
Marina South,Marina South,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Marina South, Marina South, Singapore",ChIJ2Uuf5swQ2jERUJ8XjfSTNDU,Little Skool-House OCBC Centre,"65 Chulia Street, West Wing, #02-02 OCBC Centre, Singapore 049513",5.0,7,"[""establishment"", ""point_of_interest"", ""school""]",1.285184,103.8488954,True
Marina South,Marina South,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Marina South, Marina South, Singapore",ChIJ2739TgoP2jERlpS4Fef772Y,Library and Information Services Centre (NIE),"1 Nanyang Walk, Singapore 637616",4.6,28,"[""establishment"", ""library"", ""point_of_interest""]",1.348661,103.677635,True
Marina South,Marina South,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Marina South, Marina South, Singapore",ChIJ_bfDcqcX2jERafd4CRwaXrU,Geniebook CAMPUS (Junction 8),"9 Bishan Pl, #04-02A Bishan Junction 8, Singapore 579837",5.0,1,"[""establishment"", ""point_of_interest""]",1.3503819,103.848618,True
Marina South,Marina South,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Marina South, Marina South, Singapore",ChIJ1fYfwGAa2jERy7f1JLymou0,SP - Library & FabLab,"500 Dover Rd, Singapore 139651",4.2,34,"[""establishment"", ""library"", ""point_of_interest""]",1.3087569,103.7799417,True
Marina South,Marina South,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Marina South, Marina South, Singapore",ChIJPaRwcKMZ2jERUSouCuWdZLk,SMU Li Ka Shing Library,"70 Stamford Rd, Singapore 178901",4.6,86,"[""establishment"", ""library"", ""point_of_interest""]",1.2962087,103.8501207,True
Marina South,Marina South,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Marina South, Marina South, Singapore",ChIJ-cuboDAa2jERf6hKqh96UC0,Queenstown Library,"53 Margaret Dr, Singapore 149297",4.6,422,"[""establishment"", ""library"", ""point_of_interest""]",1.2986449,103.8051823,True
Marina South,Marina South,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Marina South, Marina South, Singapore",ChIJXUcW3pgb2jERZIyrnp5n5Wk,C J Koh Law Library,"20 College Ave E, Singapore 138529",4.5,15,"[""establishment"", ""library"", ""point_of_interest""]",1.3071359,103.7725613,True
