timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-20T15:35:19.315394,text_search,1,AIzaSy...IDGw,626,Marine Parade,East Coast,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near East Coast, Marine Parade, Singapore",OK,,20,
2026-07-20T15:35:21.011072,text_search,1,AIzaSy...IDGw,627,Marine Parade,East Coast,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near East Coast, Marine Parade, Singapore",OK,,20,
2026-07-20T15:35:22.858064,text_search,1,AIzaSy...IDGw,628,Marine Parade,East Coast,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near East Coast, Marine Parade, Singapore",OK,,20,
2026-07-20T15:35:24.910839,text_search,1,AIzaSy...IDGw,629,Marine Parade,East Coast,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near East Coast, Marine Parade, Singapore",OK,,20,
2026-07-20T15:35:26.655245,text_search,1,AIzaSy...IDGw,630,Marine Parade,East Coast,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near East Coast, Marine Parade, Singapore",OK,,20,
2026-07-20T15:35:28.217811,text_search,1,AIzaSy...IDGw,631,Marine Parade,East Coast,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near East Coast, Marine Parade, Singapore",OK,,20,
2026-07-20T15:35:29.953234,text_search,1,AIzaSy...IDGw,632,Marine Parade,Katong,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Katong, Marine Parade, Singapore",OK,,20,
2026-07-20T15:35:31.410497,text_search,1,AIzaSy...IDGw,633,Marine Parade,Katong,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Katong, Marine Parade, Singapore",OK,,20,
2026-07-20T15:35:33.292643,text_search,1,AIzaSy...IDGw,634,Marine Parade,Katong,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Katong, Marine Parade, Singapore",OK,,20,
2026-07-20T15:35:35.249518,text_search,1,AIzaSy...IDGw,635,Marine Parade,Katong,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Katong, Marine Parade, Singapore",OK,,20,
2026-07-20T15:35:37.103562,text_search,1,AIzaSy...IDGw,636,Marine Parade,Katong,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Katong, Marine Parade, Singapore",OK,,20,
