planning_area,subzone,poi_dimension,place_query_type,place_id,place_name,place_rating,place_user_ratings_total,review_index,review_author_name,review_author_url,review_language,review_profile_photo_url,review_rating,review_relative_time_description,review_time,review_text
Marine Parade,East Coast,transport,public transport MRT LRT bus stops,ChIJ-QrO4p8i2jER7WO8ltdRFwc,Marine Terrace,4.7,169,0,chew irene,https://www.google.com/maps/contrib/117857104446223187253/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVRhm-dzaI2MtxrJ6OIlm_6bSDVciJA_4xvUAE1DK5Acr8EV_aS7Q=s128-c0x00000000-cc-rp-mo-ba3,3,a year ago,1745485330,"On 24 April 2025, at approximately 4:30 PM, a group of students in school uniforms were observed loitering and sitting on the floor at the entrance of the Cheers outlet located in Marine Terrace MRT station. While the students appeared to be taking a break or socializing, their presence created minor obstructions near the convenience store and along the public walkway. Such behavior may disrupt the flow of commuters and create an untidy impression of the station. It is recommended that the respective schools be informed of this incident, so appropriate reminders on public conduct and responsibility in uniform can be issued. Students should be encouraged to gather in more appropriate common areas or community spaces, and avoid sitting in commercial or high-traffic zones, especially in public transport facilities. Ensuring that students are guided with respect and accountability will maintain both their safety and the comfort of the broader public. MRT staff or school liaison officers may wish to follow up if such behavior persists during peak hours or in similar public settings."
Marine Parade,East Coast,transport,public transport MRT LRT bus stops,ChIJ-QrO4p8i2jER7WO8ltdRFwc,Marine Terrace,4.7,169,1,JuzChris L.,https://www.google.com/maps/contrib/100442615697378152802/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjW5Djlp-JMbfgGisHDomxse-4sDgxcfJhGD2S9OphgJ75DVOGAf=s128-c0x00000000-cc-rp-mo-ba6,4,2 years ago,1719147615,"Newly open TEL line that brings residents in the east and along the North-South Corridor closer to a train station and hence giving them faster access to the city.
Marine Parade MRT station is an underground Mass Rapid Transit station on the Thomson–East Coast line (TEL). The station is built underneath Marine Parade Road, serving nearby residential and commercial developments including Parkway Parade, Roxy Square and I12 Katong. Exit A next to McDonalds and Marine Parade Food Centre where you can find varieties of local delights.
Worth noting this station house Singapore's first underground bicycle parking facilities.
Direct link to Parkway Parade shopping mall have yet to be connected, once done it will be seamless connection the shopping mall."
Marine Parade,East Coast,transport,public transport MRT LRT bus stops,ChIJ-QrO4p8i2jER7WO8ltdRFwc,Marine Terrace,4.7,169,2,Blackraven,https://www.google.com/maps/contrib/114385515451710838076/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXqctQ7jglxaOLANFQWOxhRwei1zo_uXlcIsm-EaC0KcTMg774f=s128-c0x00000000-cc-rp-mo-ba7,5,3 months ago,1774308822,"New mrt station in the neighborhood. Well designed and build, comes with underground bicycle park and open air car park nearby. It’s so quiet that I didn’t realize a train had arrived! Able to reach Outram Part in 20min (instead of 23min using the Green Line). Environment was clean and very spacious!"
Marine Parade,East Coast,transport,public transport MRT LRT bus stops,ChIJ-QrO4p8i2jER7WO8ltdRFwc,Marine Terrace,4.7,169,3,Gyat Rizz,https://www.google.com/maps/contrib/106426524703262979875/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjWNswB_JxSC6fxm33vz_ridnljaQhi2lyEhkhRvTgIZcBiKDS80=s128-c0x00000000-cc-rp-mo-ba3,5,4 months ago,1773892571,"This mrt station is super long in length, it takes a good 5 mins to walk from one end to the other. other than that, it's a standard mrt station with a cheers and bike park, nothing too interesting unlike marine parade which looks like the Xbox logo, but I'll give it 5 stars anyways since it does it's job well. It serves a lot of school students so yeah good job"
Marine Parade,East Coast,transport,public transport MRT LRT bus stops,ChIJ-QrO4p8i2jER7WO8ltdRFwc,Marine Terrace,4.7,169,4,Whiskey Tea,https://www.google.com/maps/contrib/111788781388191786320/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVL43BnOGBU6S4sC6kBM0g55r4s-vxEDB8mqEiUJcSFkx2gjcRn=s128-c0x00000000-cc-rp-mo-ba7,5,a year ago,1744515929,"Thomson East Coast Line (TEL) A very much needed addition to the est side , connecting easties to city and orchard .

Totally dig the huge ventilation fans for cool air circulation .

You can take the train to Marina Bay and switch to red line towards Orchard or continue on the TEL  to Orchard ."
Marine Parade,Katong,transport,public transport MRT LRT bus stops,ChIJ-QrO4p8i2jER7WO8ltdRFwc,Marine Terrace,4.7,169,0,chew irene,https://www.google.com/maps/contrib/117857104446223187253/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVRhm-dzaI2MtxrJ6OIlm_6bSDVciJA_4xvUAE1DK5Acr8EV_aS7Q=s128-c0x00000000-cc-rp-mo-ba3,3,a year ago,1745485330,"On 24 April 2025, at approximately 4:30 PM, a group of students in school uniforms were observed loitering and sitting on the floor at the entrance of the Cheers outlet located in Marine Terrace MRT station. While the students appeared to be taking a break or socializing, their presence created minor obstructions near the convenience store and along the public walkway. Such behavior may disrupt the flow of commuters and create an untidy impression of the station. It is recommended that the respective schools be informed of this incident, so appropriate reminders on public conduct and responsibility in uniform can be issued. Students should be encouraged to gather in more appropriate common areas or community spaces, and avoid sitting in commercial or high-traffic zones, especially in public transport facilities. Ensuring that students are guided with respect and accountability will maintain both their safety and the comfort of the broader public. MRT staff or school liaison officers may wish to follow up if such behavior persists during peak hours or in similar public settings."
Marine Parade,Katong,transport,public transport MRT LRT bus stops,ChIJ-QrO4p8i2jER7WO8ltdRFwc,Marine Terrace,4.7,169,1,JuzChris L.,https://www.google.com/maps/contrib/100442615697378152802/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjW5Djlp-JMbfgGisHDomxse-4sDgxcfJhGD2S9OphgJ75DVOGAf=s128-c0x00000000-cc-rp-mo-ba6,4,2 years ago,1719147615,"Newly open TEL line that brings residents in the east and along the North-South Corridor closer to a train station and hence giving them faster access to the city.
Marine Parade MRT station is an underground Mass Rapid Transit station on the Thomson–East Coast line (TEL). The station is built underneath Marine Parade Road, serving nearby residential and commercial developments including Parkway Parade, Roxy Square and I12 Katong. Exit A next to McDonalds and Marine Parade Food Centre where you can find varieties of local delights.
Worth noting this station house Singapore's first underground bicycle parking facilities.
Direct link to Parkway Parade shopping mall have yet to be connected, once done it will be seamless connection the shopping mall."
Marine Parade,Katong,transport,public transport MRT LRT bus stops,ChIJ-QrO4p8i2jER7WO8ltdRFwc,Marine Terrace,4.7,169,2,Blackraven,https://www.google.com/maps/contrib/114385515451710838076/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXqctQ7jglxaOLANFQWOxhRwei1zo_uXlcIsm-EaC0KcTMg774f=s128-c0x00000000-cc-rp-mo-ba7,5,3 months ago,1774308822,"New mrt station in the neighborhood. Well designed and build, comes with underground bicycle park and open air car park nearby. It’s so quiet that I didn’t realize a train had arrived! Able to reach Outram Part in 20min (instead of 23min using the Green Line). Environment was clean and very spacious!"
Marine Parade,Katong,transport,public transport MRT LRT bus stops,ChIJ-QrO4p8i2jER7WO8ltdRFwc,Marine Terrace,4.7,169,3,Gyat Rizz,https://www.google.com/maps/contrib/106426524703262979875/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjWNswB_JxSC6fxm33vz_ridnljaQhi2lyEhkhRvTgIZcBiKDS80=s128-c0x00000000-cc-rp-mo-ba3,5,4 months ago,1773892571,"This mrt station is super long in length, it takes a good 5 mins to walk from one end to the other. other than that, it's a standard mrt station with a cheers and bike park, nothing too interesting unlike marine parade which looks like the Xbox logo, but I'll give it 5 stars anyways since it does it's job well. It serves a lot of school students so yeah good job"
Marine Parade,Katong,transport,public transport MRT LRT bus stops,ChIJ-QrO4p8i2jER7WO8ltdRFwc,Marine Terrace,4.7,169,4,Whiskey Tea,https://www.google.com/maps/contrib/111788781388191786320/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVL43BnOGBU6S4sC6kBM0g55r4s-vxEDB8mqEiUJcSFkx2gjcRn=s128-c0x00000000-cc-rp-mo-ba7,5,a year ago,1744515929,"Thomson East Coast Line (TEL) A very much needed addition to the est side , connecting easties to city and orchard .

Totally dig the huge ventilation fans for cool air circulation .

You can take the train to Marina Bay and switch to red line towards Orchard or continue on the TEL  to Orchard ."
