timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-18T17:07:26.939656,text_search,2,AIzaSy...8yB0,357,Museum,Bras Basah,education,kindergarten,"kindergarten in Bras Basah, Museum, Singapore",OK,,20,
2026-07-18T17:07:27.780365,text_search,2,AIzaSy...8yB0,358,Museum,Bras Basah,education,childcare centre,"childcare centre in Bras Basah, Museum, Singapore",OK,,20,
2026-07-18T17:07:28.331176,text_search,2,AIzaSy...8yB0,359,Museum,Bras Basah,education,primary school,"primary school in Bras Basah, Museum, Singapore",OK,,20,
2026-07-18T17:07:29.117606,text_search,2,AIzaSy...8yB0,360,Museum,Bras Basah,education,secondary school,"secondary school in Bras Basah, Museum, Singapore",OK,,20,
2026-07-18T17:07:31.437548,text_search,2,AIzaSy...8yB0,361,Museum,Bras Basah,education,junior college,"junior college in Bras Basah, Museum, Singapore",OK,,20,
2026-07-18T17:07:32.232508,text_search,2,AIzaSy...8yB0,362,Museum,Bras Basah,education,polytechnic,"polytechnic in Bras Basah, Museum, Singapore",OK,,10,
2026-07-18T17:07:32.981953,text_search,2,AIzaSy...8yB0,363,Museum,Bras Basah,education,university,"university in Bras Basah, Museum, Singapore",OK,,20,
2026-07-18T17:07:34.127980,text_search,2,AIzaSy...8yB0,364,Museum,Bras Basah,education,tuition centre,"tuition centre in Bras Basah, Museum, Singapore",OK,,20,
2026-07-18T17:07:34.785557,text_search,2,AIzaSy...8yB0,365,Museum,Bras Basah,education,library,"library in Bras Basah, Museum, Singapore",OK,,20,
2026-07-18T17:07:35.477026,text_search,2,AIzaSy...8yB0,366,Museum,Bras Basah,transport,MRT station,"MRT station in Bras Basah, Museum, Singapore",OK,,3,
2026-07-18T17:07:36.179200,text_search,2,AIzaSy...8yB0,367,Museum,Bras Basah,transport,bus stop,"bus stop in Bras Basah, Museum, Singapore",OK,,20,
2026-07-18T17:07:36.909124,text_search,2,AIzaSy...8yB0,368,Museum,Bras Basah,transport,bus interchange,"bus interchange in Bras Basah, Museum, Singapore",OK,,20,
2026-07-18T17:07:37.509197,text_search,2,AIzaSy...8yB0,369,Museum,Bras Basah,transport,LRT station,"LRT station in Bras Basah, Museum, Singapore",OK,,3,
2026-07-18T17:07:38.302226,text_search,2,AIzaSy...8yB0,370,Museum,Bras Basah,food,hawker centre,"hawker centre in Bras Basah, Museum, Singapore",OK,,20,
2026-07-18T17:07:39.338819,text_search,2,AIzaSy...8yB0,371,Museum,Bras Basah,food,food court,"food court in Bras Basah, Museum, Singapore",OK,,20,
