planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Museum,Bras Basah,education,kindergarten,"kindergarten in Bras Basah, Museum, Singapore",ChIJqavzXaAZ2jER5hOKJC7xvUI,NAFA Arts Preschool,"80 Bencoolen St, Singapore 189655",4.2,5,"[""establishment"", ""point_of_interest"", ""school""]",1.2997784,103.8519094,True
Museum,Bras Basah,education,kindergarten,"kindergarten in Bras Basah, Museum, Singapore",ChIJs2Wgx6QZ2jERq7DsFKQLoh4,Viv's Schoolhouse - Best International Preschool In Singapore,"12 Queen St, #04-01 Hotel Royal Queens, Singapore 188553",5.0,45,"[""establishment"", ""point_of_interest"", ""school""]",1.297675,103.85216,True
Museum,Bras Basah,education,childcare centre,"childcare centre in Bras Basah, Museum, Singapore",ChIJAQAAMPEa2jERYZpLfb7At0U,Little Skool-House Kent Vale,"101B Clementi Rd, Kent Vale Staff Housing, Singapore 129798",4.7,25,"[""establishment"", ""point_of_interest"", ""school""]",1.3014063,103.7689334,True
Museum,Bras Basah,education,primary school,"primary school in Bras Basah, Museum, Singapore",ChIJeRJ4bb4Z2jER4193i8GbelU,St Margaret's School (Primary),"136 Sophia Rd, Singapore 228197",,0,"[""establishment"", ""point_of_interest"", ""primary_school"", ""school""]",1.3034962,103.8458939,True
Museum,Bras Basah,education,primary school,"primary school in Bras Basah, Museum, Singapore",ChIJF1fc0_Aa2jERRBt9Q6qpP7g,"The Japanese School, Singapore (Primary, Clementi Campus)","95 Clementi Rd, Singapore 129782",,0,"[""establishment"", ""point_of_interest"", ""primary_school"", ""school""]",1.3004063,103.7692858,True
Museum,Bras Basah,education,secondary school,"secondary school in Bras Basah, Museum, Singapore",ChIJUeXKz7wZ2jERMmZROJYsRrk,"School of the Arts, Singapore","1 Zubir Said Dr, Singapore 227968",4.5,275,"[""establishment"", ""point_of_interest""]",1.2993734,103.8487619,True
Museum,Bras Basah,education,secondary school,"secondary school in Bras Basah, Museum, Singapore",ChIJc60HhvQa2jERroz_1Z_TgtE,NUS High School of Math and Science,"20 Clementi Ave 1, Singapore 129957",,0,"[""establishment"", ""point_of_interest"", ""school"", ""secondary_school""]",1.3071072,103.7693914,True
Museum,Bras Basah,education,junior college,"junior college in Bras Basah, Museum, Singapore",ChIJ61lTU6EQ2jERiBDECMxHYFY,National Junior College,"37 Hillcrest Rd, Singapore 288913",4.4,182,"[""establishment"", ""point_of_interest"", ""school"", ""university""]",1.330476,103.8045,True
Museum,Bras Basah,education,junior college,"junior college in Bras Basah, Museum, Singapore",ChIJESRAQ1sa2jERlSmmrDCCriw,Anglo-Chinese Junior College,"25 Dover Cl E, Singapore 139745",4.0,119,"[""establishment"", ""point_of_interest"", ""school"", ""university""]",1.3031354,103.785109,True
Museum,Bras Basah,education,polytechnic,"polytechnic in Bras Basah, Museum, Singapore",ChIJFXzxL2Aa2jERnoWTOdJdVKk,Singapore Polytechnic,"500 Dover Rd, Singapore 139651",4.3,646,"[""establishment"", ""point_of_interest""]",1.3097757,103.7775495,True
