planning_area,subzone,poi_dimension,place_query_type,place_id,place_name,place_rating,place_user_ratings_total,review_index,review_author_name,review_author_url,review_language,review_profile_photo_url,review_rating,review_relative_time_description,review_time,review_text
Museum,Bras Basah,education,kindergarten,ChIJqavzXaAZ2jER5hOKJC7xvUI,NAFA Arts Preschool,4.2,5,0,Jaslyn Therese Ng,https://www.google.com/maps/contrib/116635907642959761559/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVCvPDKo5e9w5j-tM5SyIoOGhUIcMgy2xjNS1lDs9k_SRp7EmLG=s128-c0x00000000-cc-rp-mo,5,3 years ago,1689646254,"NAFA Arts Preschool has a very well-rounded and holistic curriculum for their students. My daughter has learned and grown a lot since she joined in January 2023. The Principal and Teachers are very caring, encouraging, and supportive. Aside from the great curriculum the school offers, they also teach and instill good lifestyle / hygiene habits to the young ones (which I personally really love and appreciate). The meals served in school are always nutritious and sufficient. I can focus on my work knowing my daughter is in excellent hands everyday."
Museum,Bras Basah,education,kindergarten,ChIJqavzXaAZ2jER5hOKJC7xvUI,NAFA Arts Preschool,4.2,5,1,Marienne Yang,https://www.google.com/maps/contrib/113621065518272955835/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVeiJZrRQ-dDaMi4xPwzFUkPebXLQ2hk4qy3FSiKfryGRMwIHI=s128-c0x00000000-cc-rp-mo,5,2 years ago,1689907812,"As a parent whose child has experienced 2 different preschools (and with nephews in other preschools), I can confidently say that APS has exceeded all my expectations. Not only do the teachers genuinely care about the well-being and development of each child, the dedication and compassion to each child has deeply touched our hearts.

The focus on arts education/exposure plays a vital role in fostering creativity and imagination - we are inspired by the various forms of art he is exposed to in school. Regular updates on his progress, together with weekly insights on his class activities have made us feel involved and assured about his development.

We definitely recommend NAFA Arts Preschool to any parent seeking a nurturing and stimulating environment for their child!"
Museum,Bras Basah,education,kindergarten,ChIJqavzXaAZ2jER5hOKJC7xvUI,NAFA Arts Preschool,4.2,5,2,A,https://www.google.com/maps/contrib/114355738096352502549/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocKmklAnMhGdx9MCPO_1kALJop7ajJ8g7DaIf2mCgKTh89ch5A=s128-c0x00000000-cc-rp-mo,1,3 years ago,1679645219,"The principal of NAFA Art Pre School does not CARE ABOUT HER STUDENTS AND STAFF, and I must say, it was one of the worst experiences I've had with an educational administrator. This principal was not only uncaring, but also irresponsible in her duties.

From the moment I approached them with a concern about my child's academic progress DUE TO HIGH TURNOVER RATES OF TEACHERS LEAVING, it was clear that the principal had little interest in helping. They seemed dismissive of my concerns and did not provide any concrete solutions or support. In fact, they seemed to go out of their way to avoid dealing with the issue, which only made me more frustrated and upset.

It was as if they were content to let things slide and avoid any confrontation, regardless of the potential consequences for the students involved.

Overall, I would not recommend this principal to anyone seeking a responsible and caring leader for their child's education. Their lack of concern and irresponsible behavior have left a lasting negative impression on me, and I can only imagine how their actions have affected other parents and students in the school."
Museum,Bras Basah,education,kindergarten,ChIJqavzXaAZ2jER5hOKJC7xvUI,NAFA Arts Preschool,4.2,5,3,Eric,https://www.google.com/maps/contrib/113955730007300321379/reviews,,https://lh3.googleusercontent.com/a-/ALV-UjUwf9-xWRzjOPcBVVSq0no41hDXPQB0W_igI6XcHwBNuUd-9dAR=s128-c0x00000000-cc-rp-mo,5,2 years ago,1704156019,
Museum,Bras Basah,education,kindergarten,ChIJqavzXaAZ2jER5hOKJC7xvUI,NAFA Arts Preschool,4.2,5,4,Vivian Huang,https://www.google.com/maps/contrib/110726526880110308581/reviews,,https://lh3.googleusercontent.com/a-/ALV-UjUYBRKwxvtrRaxiMkLxV3K8YglNOeOysZgl7txsA2b0RgjwjMLM=s128-c0x00000000-cc-rp-mo,5,3 years ago,1677842312,
Museum,Bras Basah,education,kindergarten,ChIJs2Wgx6QZ2jERq7DsFKQLoh4,Viv's Schoolhouse - Best International Preschool In Singapore,5.0,45,0,J Ang,https://www.google.com/maps/contrib/103746274329529529776/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocLIIwXL_tlMrU47hKMcNyegiZ760fLLfO-6lhAkPnA56aaSMQ=s128-c0x00000000-cc-rp-mo,5,a year ago,1734324150,"We found out about Viv’s Schoolhouse through the recommendation of a friend and after going for the school tour, we were impressed with what the school offered in terms of curriculum and school activities such as their monthly excursions, cookery, water play and outdoor time.

Our boys (2 & 5) have been with the school for over 6 months now and the only regret I have is that I didn’t send my kids in earlier! Especially my older son, who used to be disinterested and unchallenged in his previous preschool, is now thriving in this school. He looks forward to the many daily activities which his teachers prepared to make lessons fun and engaging for them to learn through play. I’ve also seen a huge improvement in his reading and writing skills.

Photos of my kids going on excursions, learning and having fun in school are always updated very quickly and frequently in the school app. Any concerns about my kids are also addressed promptly. The school also stresses on primary school readiness and inculcating good values in the children.

I highly recommend Viv’s schoolhouse to all parents who wish for their kids to have a great preschool experience where they’ll be supported by a great team of educators and a quality curriculum."
Museum,Bras Basah,education,kindergarten,ChIJs2Wgx6QZ2jERq7DsFKQLoh4,Viv's Schoolhouse - Best International Preschool In Singapore,5.0,45,1,Shee Ming Chew,https://www.google.com/maps/contrib/108520694043065155592/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocLvQr3Kc7n1zzG6vgAKT_R7HEefWEUfXpU0VLBk4qKT2uqHEw=s128-c0x00000000-cc-rp-mo,5,6 months ago,1767409837,"⭐️⭐️⭐️⭐️⭐️
We are truly grateful to Viv School House for preparing our child, Tiffany so well for Primary 1. The teachers are caring, patient, and very dedicated, and the curriculum is thoughtfully planned to build confidence and strong foundations.

What really impressed us is how aligned their teaching is with primary school expectations. We were happy to learn that P1 will include Show & Tell for English lesson and Pinyin for Mandarin lesson. Viv has already been exposing the children to these concepts, making the transition much smoother and less stressful.

My child has grown not only academically but also in confidence and communication skills. Thank you Viv School House for creating such a supportive and nurturing environment. Highly recommended to parents looking for a preschool that truly prepares children for the next stage of learning! 💕"
Museum,Bras Basah,education,kindergarten,ChIJs2Wgx6QZ2jERq7DsFKQLoh4,Viv's Schoolhouse - Best International Preschool In Singapore,5.0,45,2,TypeAlphabet,https://www.google.com/maps/contrib/109072876612117685775/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjVLQ4NG6Zr7ea1aA-uGAZ89T_81lpEPBA1od_1xQQp-rRlLAUU=s128-c0x00000000-cc-rp-mo-ba4,5,6 months ago,1767784675,"Our daughter attended Viv's and she had a blast. The school's curriculum is very holistic and it is one of the reasons we were drawn to it. They are one of the few pre schools that have their own dedicated curriculum specialist. Teachers here are warm and lovely, we felt at ease as parents with the constant updates and the way our daughter interacted with the teachers.

There are too many things to highlight but the monthly excursions, Japanese classes, and swimming classes are something you can look forward to that are not that found in other schools.

Thank you for being a great institution for our family!"
Museum,Bras Basah,education,kindergarten,ChIJs2Wgx6QZ2jERq7DsFKQLoh4,Viv's Schoolhouse - Best International Preschool In Singapore,5.0,45,3,Irene Y,https://www.google.com/maps/contrib/117470149184979763863/reviews,en,https://lh3.googleusercontent.com/a/ACg8ocJy6jqsdYi2AprappoO1FIQzcE-niKfT7mjdxeVlglU1Pping=s128-c0x00000000-cc-rp-mo-ba4,5,a year ago,1741267376,"After experiencing three different preschools, including an international one overseas, I can confidently say that Viv’s Schoolhouse has been the most suitable for my son. What sets this school apart is the perfect balance between play and academics—ensuring that children learn in a way that feels natural and enjoyable rather than forced.

The teachers are truly dedicated, patient, and nurturing, creating a warm and supportive environment where kids feel safe and encouraged to explore. It’s evident that they genuinely care about the children’s growth, both academically and emotionally.

Additionally, the school management team has put in a lot of heart and effort into shaping the school into a space that prioritizes young children’s development. From the thoughtfully designed curriculum to the engaging activities (cookery class, speech and drama, monthly excursions etc), everything reflects a deep understanding of what young learners need.

Seeing my child excited to go to school everyday and thriving in this environment has been incredibly reassuring. I highly recommend Viv’s Schoolhouse to any parent looking for a preschool that truly understands and caters to young children’s learning and well-being."
Museum,Bras Basah,education,kindergarten,ChIJs2Wgx6QZ2jERq7DsFKQLoh4,Viv's Schoolhouse - Best International Preschool In Singapore,5.0,45,4,Edarabia Singapore,https://www.google.com/maps/contrib/107592309715041417771/reviews,en,https://lh3.googleusercontent.com/a-/ALV-UjXA2Az98e9Bw2XbSLtKgBKdCTP9qHzQ28AnpH1xEUjvk-SBxTk=s128-c0x00000000-cc-rp-mo-ba3,5,6 months ago,1767864881,Viv’s Schoolhouse offers educational programmes focused on early childhood development. The school has modern facilities that support a nurturing environment for children’s learning and growth.
