timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-20T15:36:22.094123,text_search,1,AIzaSy...IDGw,667,Newton,Cairnhill,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Cairnhill, Newton, Singapore",OK,,20,
2026-07-20T15:36:23.818366,text_search,1,AIzaSy...IDGw,668,Newton,Cairnhill,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Cairnhill, Newton, Singapore",OK,,20,
2026-07-20T15:36:25.580139,text_search,1,AIzaSy...IDGw,669,Newton,Cairnhill,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Cairnhill, Newton, Singapore",OK,,20,
2026-07-20T15:36:27.406816,text_search,1,AIzaSy...IDGw,670,Newton,Cairnhill,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Cairnhill, Newton, Singapore",OK,,20,
2026-07-20T15:36:29.430688,text_search,1,AIzaSy...IDGw,671,Newton,Cairnhill,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Cairnhill, Newton, Singapore",OK,,20,
2026-07-20T15:36:31.099057,text_search,1,AIzaSy...IDGw,672,Newton,Cairnhill,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Cairnhill, Newton, Singapore",OK,,20,
2026-07-20T15:36:32.920575,text_search,1,AIzaSy...IDGw,673,Newton,Goodwood Park,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Goodwood Park, Newton, Singapore",OK,,20,
2026-07-20T15:36:34.719598,text_search,1,AIzaSy...IDGw,674,Newton,Goodwood Park,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Goodwood Park, Newton, Singapore",OK,,20,
2026-07-20T15:36:36.692789,text_search,1,AIzaSy...IDGw,675,Newton,Goodwood Park,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Goodwood Park, Newton, Singapore",OK,,20,
2026-07-20T15:36:38.827916,text_search,1,AIzaSy...IDGw,676,Newton,Goodwood Park,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Goodwood Park, Newton, Singapore",OK,,20,
2026-07-20T15:36:40.873241,text_search,1,AIzaSy...IDGw,677,Newton,Goodwood Park,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Goodwood Park, Newton, Singapore",OK,,20,
