planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
Newton,Cairnhill,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Cairnhill, Newton, Singapore",ChIJHUX0eOwZ2jERUyjwh9QEzwA,Mulberry Learning @ Cairnhill,"1 Anthony Rd, #02-06/07, Singapore 229944",5.0,26,"[""establishment"", ""point_of_interest"", ""school""]",1.3106901,103.838859,True
Newton,Cairnhill,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Cairnhill, Newton, Singapore",ChIJcWKu6EIZ2jERTUR7JlnDv0c,Learning Leap Student Care Centre (Newton),"204 Bukit Timah Rd, #01-00 Boon Liew Building, Singapore 229863",4.7,15,"[""establishment"", ""point_of_interest""]",1.3119379,103.8419827,True
Newton,Cairnhill,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Cairnhill, Newton, Singapore",ChIJ8bqOnOsZ2jERskirrFPQRP0,Kiddiwinkie Schoolhouse @ Newton,"420 Clemenceau Ave N, #01-02, Singapore 229492",4.8,85,"[""establishment"", ""point_of_interest"", ""school""]",1.3104057,103.8399169,True
Newton,Cairnhill,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Cairnhill, Newton, Singapore",ChIJEyruCHwZ2jERI064WCBG1WI,Maple Bear Newton,"37 Newton Rd, Singapore 307965",5.0,1,"[""establishment"", ""point_of_interest""]",1.3167442,103.8411278,True
Newton,Cairnhill,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Cairnhill, Newton, Singapore",ChIJ____L-YZ2jERrBBuvpFDk0w,EtonHouse Newton Pre-School,"39 Newton Rd, Singapore 307966",4.6,101,"[""establishment"", ""point_of_interest"", ""school""]",1.3172429,103.8410471,True
Newton,Cairnhill,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Cairnhill, Newton, Singapore",ChIJIROZiW8Z2jERkijlp_0ZWBE,Kiddiwinkie Schoolhouse @ Orchard,"15 Scotts Rd, #02-01 Thong Teck Building, Singapore 228218",4.8,49,"[""establishment"", ""point_of_interest"", ""school""]",1.3079487,103.8325852,True
Newton,Cairnhill,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Cairnhill, Newton, Singapore",ChIJ9ZTeLPMZ2jERt78cRolyi2M,EtonHouse International Pre-School Claymore,"15 Claymore Rd, Singapore 229542",4.3,4,"[""establishment"", ""point_of_interest"", ""school""]",1.3081097,103.8298348,True
Newton,Cairnhill,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Cairnhill, Newton, Singapore",ChIJ0YGwDu8Z2jER8fwTJdzP_kw,Zee Playhouse,"257B Bukit Timah Rd, Singapore 259699",4.2,5,"[""establishment"", ""point_of_interest"", ""school""]",1.3156887,103.8364621,True
Newton,Cairnhill,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Cairnhill, Newton, Singapore",ChIJrbxqbVYZ2jEREs2Bq8ZAm6M,Superland Pre-school (River valley),"336 River Valley Rd, #01-00, Singapore 238366",4.6,16,"[""establishment"", ""point_of_interest"", ""school""]",1.2960792,103.8385122,True
Newton,Cairnhill,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Cairnhill, Newton, Singapore",ChIJTXdxQk4b2jER4HdHnRNjvLY,HV Little Library,"2 Holland Ave, Block 2, Singapore 271002",4.9,64,"[""establishment"", ""library"", ""point_of_interest""]",1.3095115,103.7956789,True
