timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-20T15:37:38.785398,text_search,1,AIzaSy...IDGw,718,North-Eastern Islands,North-Eastern Islands,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near North-Eastern Islands, North-Eastern Islands, Singapore",OK,,20,
2026-07-20T15:37:40.391673,text_search,1,AIzaSy...IDGw,719,North-Eastern Islands,North-Eastern Islands,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near North-Eastern Islands, North-Eastern Islands, Singapore",OK,,20,
2026-07-20T15:37:42.356192,text_search,1,AIzaSy...IDGw,720,North-Eastern Islands,North-Eastern Islands,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near North-Eastern Islands, North-Eastern Islands, Singapore",OK,,20,
2026-07-20T15:37:44.240022,text_search,1,AIzaSy...IDGw,721,North-Eastern Islands,North-Eastern Islands,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near North-Eastern Islands, North-Eastern Islands, Singapore",OK,,20,
2026-07-20T15:37:46.368377,text_search,1,AIzaSy...IDGw,722,North-Eastern Islands,North-Eastern Islands,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near North-Eastern Islands, North-Eastern Islands, Singapore",OK,,20,
2026-07-20T15:37:48.286306,text_search,1,AIzaSy...IDGw,723,North-Eastern Islands,North-Eastern Islands,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near North-Eastern Islands, North-Eastern Islands, Singapore",OK,,20,
2026-07-20T15:37:48.714228,place_details_reviews,1,AIzaSy...IDGw,724,North-Eastern Islands,North-Eastern Islands,education,education facilities schools childcare libraries,ChIJ-0k4ljEV2jERUd3RjzibqqE,OK,,5,EduFirst Learning Centre (Punggol) - English Math Chinese Science Tuition Centre Singapore
2026-07-20T15:37:48.716009,place_details_reviews,1,AIzaSy...IDGw,724,North-Eastern Islands,North-Eastern Islands,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,OK,,5,Lau Pa Sat
2026-07-20T15:37:49.803646,place_details_reviews,1,AIzaSy...IDGw,725,North-Eastern Islands,North-Eastern Islands,transport,public transport MRT LRT bus stops,ChIJHSFoU_ka2jER1hxgW5i82tQ,OK,,5,Kent Ridge Ter
2026-07-20T15:37:49.804201,place_details_reviews,1,AIzaSy...IDGw,725,North-Eastern Islands,North-Eastern Islands,recreation,recreation sports gyms swimming community clubs,ChIJRQBn6loY2jERjqNd6Z0qL1k,OK,,5,Singapore Swimming Club
2026-07-20T15:37:50.616608,place_details_reviews,1,AIzaSy...IDGw,726,North-Eastern Islands,North-Eastern Islands,education,education facilities schools childcare libraries,ChIJV8XBQ8A82jERZE3PGgh94PQ,OK,,5,Learning Vision Changi Airport (Terminal 3)
2026-07-20T15:37:50.618203,place_details_reviews,1,AIzaSy...IDGw,726,North-Eastern Islands,North-Eastern Islands,shopping,shopping groceries malls supermarkets markets,ChIJZ1omp8gZ2jERgDUAb_hBKLY,OK,,5,City Square Mall
2026-07-20T15:37:50.619297,place_details_reviews,1,AIzaSy...IDGw,726,North-Eastern Islands,North-Eastern Islands,shopping,shopping groceries malls supermarkets markets,ChIJeRqAraYX2jERQpyIAXSU1SU,OK,,5,NEX
2026-07-20T15:37:50.620253,place_details_reviews,1,AIzaSy...IDGw,726,North-Eastern Islands,North-Eastern Islands,nature,parks gardens nature waterfront park connectors,ChIJi090zPwS2jERiJCqFWoP8Z4,OK,,5,Woodlands Waterfront Park
2026-07-20T15:37:50.621217,place_details_reviews,1,AIzaSy...IDGw,726,North-Eastern Islands,North-Eastern Islands,transport,public transport MRT LRT bus stops,ChIJi9J7UkUa2jEREUidaQaWpMU,OK,,5,One-North
2026-07-20T15:37:50.622544,place_details_reviews,1,AIzaSy...IDGw,726,North-Eastern Islands,North-Eastern Islands,recreation,recreation sports gyms swimming community clubs,ChIJs45bbr0R2jERwByR91EdWqw,OK,,5,Senja-Cashew Community Club
2026-07-20T15:37:50.623733,place_details_reviews,1,AIzaSy...IDGw,726,North-Eastern Islands,North-Eastern Islands,food,food dining hawker centres restaurants cafes,ChIJseQsTQ0Z2jERqpBTWF0Zf84,OK,,5,Maxwell Food Centre
2026-07-20T15:37:50.624242,place_details_reviews,1,AIzaSy...IDGw,726,North-Eastern Islands,North-Eastern Islands,nature,parks gardens nature waterfront park connectors,ChIJw62n3Vo92jERl8c1cg9hXzE,OK,,5,Bedok Reservoir Park
