planning_area,subzone,poi_dimension,place_query_type,search_query,place_id,place_name,formatted_address,rating,user_ratings_total,types,lat,lng,need_reviews
North-Eastern Islands,North-Eastern Islands,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near North-Eastern Islands, North-Eastern Islands, Singapore",ChIJcaOg62wU2jERB6GKt4ELsEA,Nee Soon Central Community Children's Library,"644 Yishun Street 61, Singapore 760644",5.0,1,"[""establishment"", ""library"", ""point_of_interest""]",1.4217439,103.8373836,True
North-Eastern Islands,North-Eastern Islands,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near North-Eastern Islands, North-Eastern Islands, Singapore",ChIJbURpe_Ab2jERtE10Rb38Dbc,The Ngee Ann Kongsi Library @SIT,"11 New Punggol Rd, Level 5 W1 Campus Heart, Singapore 828616",5.0,1,"[""establishment"", ""library"", ""point_of_interest""]",1.4141431,103.9107407,True
North-Eastern Islands,North-Eastern Islands,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near North-Eastern Islands, North-Eastern Islands, Singapore",ChIJIcrZoAAW2jERyZ8KcxO3nwo,Kids' Kingdom Child Development and Learning Centre @ Punggol,"1 Edgefield Walk, Singapore 828850",4.5,23,"[""establishment"", ""point_of_interest"", ""school""]",1.4009793,103.9097069,True
North-Eastern Islands,North-Eastern Islands,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near North-Eastern Islands, North-Eastern Islands, Singapore",ChIJ9x5WHEs82jER1kODOrzUieI,Odyssey The Global Preschool – Loyang,"191 Jln. Loyang Besar, Singapore 506996",4.7,61,"[""establishment"", ""point_of_interest"", ""school""]",1.3797783,103.9623099,True
North-Eastern Islands,North-Eastern Islands,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near North-Eastern Islands, North-Eastern Islands, Singapore",ChIJgYqG6moV2jERX_90tnNlx-s,Skool4Kidz Campus @ One Punggol,"1 Punggol Dr., #03-03, Singapore 828629",4.7,60,"[""establishment"", ""point_of_interest"", ""school""]",1.4091077,103.9052892,True
North-Eastern Islands,North-Eastern Islands,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near North-Eastern Islands, North-Eastern Islands, Singapore",ChIJkS1PGwAX2jERPZwpMof5BzI,Little Children's Library,"350 Anchorvale Rd, Singapore 544317",,0,"[""establishment"", ""library"", ""point_of_interest""]",1.3929354,103.8865545,True
North-Eastern Islands,North-Eastern Islands,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near North-Eastern Islands, North-Eastern Islands, Singapore",ChIJnYM95Z0X2jER_N8y5iFtqqA,Kidz Treehouse,"21 Serangoon North Ave 4, Singapore 555855",4.6,42,"[""establishment"", ""point_of_interest""]",1.3728523,103.8745871,True
North-Eastern Islands,North-Eastern Islands,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near North-Eastern Islands, North-Eastern Islands, Singapore",ChIJ4bc7GPsV2jER7wq9Dl_itV8,My First Skool at 2 Punggol Drive | Preschool | Childcare | Playgroup | Infant Care | Large Centre,"2 Punggol Dr., Singapore 828803",4.2,47,"[""establishment"", ""point_of_interest"", ""school""]",1.4071571,103.9043372,True
North-Eastern Islands,North-Eastern Islands,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near North-Eastern Islands, North-Eastern Islands, Singapore",ChIJHWfoBcEj2jERVZ7WsZLGx7M,Seedlings World Student Care,"396 Joo Chiat Pl, #02-05 The Yards, Singapore 428079",4.8,17,"[""establishment"", ""point_of_interest""]",1.3149208,103.9101826,True
North-Eastern Islands,North-Eastern Islands,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near North-Eastern Islands, North-Eastern Islands, Singapore",ChIJw8IVMqk92jERhPm5ecCjtU8,Brave Feats Student Care (Bedok),"21 Bedok North Street 1, #02-02 Common Ground Civics Centre, Singapore 469659",5.0,33,"[""establishment"", ""point_of_interest""]",1.3269455,103.9308431,True
