timestamp,api_type,api_key_index,api_key_masked,api_key_calls,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-20T15:37:52.799146,text_search,1,AIzaSy...IDGw,727,Novena,Balestier,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Balestier, Novena, Singapore",OK,,20,
2026-07-20T15:37:54.586626,text_search,1,AIzaSy...IDGw,728,Novena,Balestier,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Balestier, Novena, Singapore",OK,,20,
2026-07-20T15:37:56.110334,text_search,1,AIzaSy...IDGw,729,Novena,Balestier,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Balestier, Novena, Singapore",OK,,20,
2026-07-20T15:37:57.872897,text_search,1,AIzaSy...IDGw,730,Novena,Balestier,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Balestier, Novena, Singapore",OK,,20,
2026-07-20T15:37:59.918439,text_search,1,AIzaSy...IDGw,731,Novena,Balestier,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Balestier, Novena, Singapore",OK,,20,
2026-07-20T15:38:01.517825,text_search,1,AIzaSy...IDGw,732,Novena,Balestier,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Balestier, Novena, Singapore",OK,,20,
2026-07-20T15:38:03.448072,text_search,1,AIzaSy...IDGw,733,Novena,Dunearn,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Dunearn, Novena, Singapore",OK,,20,
2026-07-20T15:38:05.101594,text_search,1,AIzaSy...IDGw,734,Novena,Dunearn,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Dunearn, Novena, Singapore",OK,,20,
2026-07-20T15:38:07.040207,text_search,1,AIzaSy...IDGw,735,Novena,Dunearn,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Dunearn, Novena, Singapore",OK,,20,
2026-07-20T15:38:09.202631,text_search,1,AIzaSy...IDGw,736,Novena,Dunearn,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Dunearn, Novena, Singapore",OK,,20,
2026-07-20T15:38:11.111610,text_search,1,AIzaSy...IDGw,737,Novena,Dunearn,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Dunearn, Novena, Singapore",OK,,20,
2026-07-20T15:38:12.489639,text_search,1,AIzaSy...IDGw,738,Novena,Dunearn,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Dunearn, Novena, Singapore",OK,,20,
2026-07-20T15:38:14.332954,text_search,1,AIzaSy...IDGw,739,Novena,Malcolm,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Malcolm, Novena, Singapore",OK,,20,
2026-07-20T15:38:16.054450,text_search,1,AIzaSy...IDGw,740,Novena,Malcolm,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Malcolm, Novena, Singapore",OK,,20,
2026-07-20T15:38:17.750971,text_search,1,AIzaSy...IDGw,741,Novena,Malcolm,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Malcolm, Novena, Singapore",OK,,20,
2026-07-20T15:38:19.716991,text_search,1,AIzaSy...IDGw,742,Novena,Malcolm,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Malcolm, Novena, Singapore",OK,,20,
2026-07-20T15:38:21.594417,text_search,1,AIzaSy...IDGw,743,Novena,Malcolm,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Malcolm, Novena, Singapore",OK,,20,
2026-07-20T15:38:23.300580,text_search,1,AIzaSy...IDGw,744,Novena,Malcolm,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Malcolm, Novena, Singapore",OK,,20,
2026-07-20T15:38:25.417828,text_search,1,AIzaSy...IDGw,745,Novena,Moulmein,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Moulmein, Novena, Singapore",OK,,20,
2026-07-20T15:38:27.415606,text_search,1,AIzaSy...IDGw,746,Novena,Moulmein,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Moulmein, Novena, Singapore",OK,,20,
2026-07-20T15:38:29.761104,text_search,1,AIzaSy...IDGw,747,Novena,Moulmein,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Moulmein, Novena, Singapore",OK,,20,
2026-07-20T15:38:31.650437,text_search,1,AIzaSy...IDGw,748,Novena,Moulmein,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Moulmein, Novena, Singapore",OK,,20,
2026-07-20T15:38:33.859706,text_search,1,AIzaSy...IDGw,749,Novena,Moulmein,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Moulmein, Novena, Singapore",OK,,20,
2026-07-20T15:38:36.235059,text_search,1,AIzaSy...IDGw,750,Novena,Moulmein,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Moulmein, Novena, Singapore",OK,,20,
2026-07-20T15:38:42.415656,text_search,1,AIzaSy...IDGw,751,Novena,Mount Pleasant,education,education facilities schools childcare libraries,"education facilities schools childcare libraries near Mount Pleasant, Novena, Singapore",OK,,20,
2026-07-20T15:38:44.328277,text_search,1,AIzaSy...IDGw,752,Novena,Mount Pleasant,transport,public transport MRT LRT bus stops,"public transport MRT LRT bus stops near Mount Pleasant, Novena, Singapore",OK,,20,
2026-07-20T15:38:46.804927,text_search,1,AIzaSy...IDGw,753,Novena,Mount Pleasant,food,food dining hawker centres restaurants cafes,"food dining hawker centres restaurants cafes near Mount Pleasant, Novena, Singapore",OK,,20,
2026-07-20T15:38:48.923715,text_search,1,AIzaSy...IDGw,754,Novena,Mount Pleasant,shopping,shopping groceries malls supermarkets markets,"shopping groceries malls supermarkets markets near Mount Pleasant, Novena, Singapore",OK,,20,
2026-07-20T15:38:50.914259,text_search,1,AIzaSy...IDGw,755,Novena,Mount Pleasant,recreation,recreation sports gyms swimming community clubs,"recreation sports gyms swimming community clubs near Mount Pleasant, Novena, Singapore",OK,,20,
2026-07-20T15:38:53.127993,text_search,1,AIzaSy...IDGw,756,Novena,Mount Pleasant,nature,parks gardens nature waterfront park connectors,"parks gardens nature waterfront park connectors near Mount Pleasant, Novena, Singapore",OK,,20,
2026-07-20T15:38:53.161127,place_details_reviews,1,AIzaSy...IDGw,756,Novena,Malcolm,education,education facilities schools childcare libraries,ChIJ-cuboDAa2jERf6hKqh96UC0,OK,,5,Queenstown Library
2026-07-20T15:38:53.774397,place_details_reviews,1,AIzaSy...IDGw,757,Novena,Balestier,transport,public transport MRT LRT bus stops,ChIJ09SSDtgZ2jERpHQBmSipROw,OK,,5,St. Michael's Ter
2026-07-20T15:38:53.775445,place_details_reviews,1,AIzaSy...IDGw,757,Novena,Mount Pleasant,recreation,recreation sports gyms swimming community clubs,ChIJ0S3wSmoa2jER2aq7I8gFiy0,OK,,5,Buona Vista Community Club
2026-07-20T15:38:53.775977,place_details_reviews,1,AIzaSy...IDGw,757,Novena,Balestier,food,food dining hawker centres restaurants cafes,ChIJ5Y6l4Q0Z2jERYL0KDIjT6v0,OK,,5,Lau Pa Sat
